,CHULA VISTA,.008,.010,C,C,.011,.017,.018,.012,.009,.017,.011,.007,.008,.010,.008,.004,.003,.004,.004,.009,.012,.016,.025,.015,.011,.025,22
,DOWNTOWN SES,.012,.011,C,C,.019,.020,.022,.015,.013,.011,.010,.010,.009,.008,.010,.009,.008,.009,.013,.014,.010,.014,.021,.017,.013,.022,06
,EL CAJON LES,.003,.003,C,C,C,.013,.015,.016,.015,.009,M,M,M,M,M,M,M,.012,.008,.009,.012,.010,.012,.011,.011,.016,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.006,C,C,.016,.014,.011,.009,.009,.006,M,M,M,M,M,.007,.008,.009,.012,.021,.026,.025,.026,.019,.014,.026,20
,OTAY MESA DVN,.010,.011,C,C,.004,.020,.019,.019,.019,M,M,M,M,.008,.008,.006,.003,.003,.003,.008,.013,.013,.015,.015,.011,.020,05
,PENDLETON,.005,.005,C,C,.007,.009,.012,.008,.011,.010,.005,.006,.007,.008,.005,.005,.003,.003,.002,.004,.013,.012,.015,.011,.008,.015,22
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.001,.001,.003,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,08
,CARMEL MT RCH,.005,.007,C,C,.010,.008,.023,.038,.032,.017,.013,.012,M,.009,.007,.007,.005,.004,.006,.003,.008,.007,.007,.002,.011,.038,07
,CHULA VISTA,.000,.000,C,C,.000,.003,.007,.005,.004,.008,.003,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.002,.008,09
,DOWNTOWN SES,.000,.000,C,C,.007,.005,.014,.008,.005,.004,.003,.002,.002,.001,.002,.002,.001,.000,.000,.000,.000,.000,.001,.001,.003,.014,06
,EL CAJON LES,.000,.000,C,C,C,.004,.012,.016,.011,.003,M,M,M,M,M,M,M,.001,.000,.000,.000,.000,.001,.000,.003,.016,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.002,.001,.003,.003,.003,.001,M,M,M,M,M,.001,.000,.000,.000,.000,.000,.000,.001,.001,.001,.003,06
,OTAY MESA DVN,.002,.002,C,C,.002,.011,.009,.011,.010,M,M,M,M,.002,.002,.002,.001,.001,.001,.002,.002,.002,.001,.001,.004,.011,05
,PENDLETON,.000,.000,C,C,.001,.002,.011,.014,.012,.010,.002,.002,.002,.002,.001,.002,.000,.000,.000,.000,.000,.000,.000,.000,.003,.014,07
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.5,.9,1.1,.8,.5,.6,.6,.6,.7,.6,.5,.6,.7,.8,.8,.9,.9,.9,.7,.7,1.1,07
10 INTMP °C,ALPINE,26,26,27,26,26,26,26,25,24,23,24,23,23,24,23,23,24,24,24,24,25,24,25,25,25,27,02
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,24,24,25,25,25,25,26,26,26,25,26,00
,CHULA VISTA,23,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,23,24,24,24,24,24,24,01
,DOWNTOWN SES,24,25,24,25,25,25,25,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,01
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,26,26,26,25,25,25,26,26,26,26,26,26,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,26,26,25,25,25,24,25,26,26,26,26,27,27,26,27,00
,PENDLETON,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,9.7,8.7,6.1,5.1,8.3,6.5,6.6,3.6,.0,-.6,.6,3.6,9.4,7.2,4.4,7.2,12.6,7.6,6.7,4.9,3.9,1.2,-1.5,2.2,5.1,12.6,16
,DOWNTOWN SES,7.1,8.4,9.1,8.0,13.4,9.9,12.4,12.6,13.5,19.6,M,16.2,17.5,16.2,12.9,10.4,15.0,12.8,13.0,13.8,11.1,11.7,19.9,10.6,12.8,19.9,22
,EL CAJON LES,8.8,6.0,6.7,8.5,6.8,5.0,7.6,13.7,11.2,13.4,12.6,10.9,17.2,13.9,13.4,8.8,10.3,10.4,12.6,11.2,10.9,14.5,11.9,13.4,10.8,17.2,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,14.6,27.8,12.8,16.4,8.9,16.4,22.0,23.1,14.8,12.6,16.0,18.7,16.6,16.2,23.7,21.9,16.6,16.2,11.3,16.5,34.5,15.7,23.7,19.9,18.2,34.5,20
,PENDLETON,3.2,3.1,2.5,6.1,5.9,4.1,3.3,3.8,3.6,M,3.1,2.6,5.3,6.5,5.9,3.9,5.5,8.9,8.7,4.8,7.5,5.5,4.3,3.3,4.8,8.9,17
12 VWDR °,ALPINE,99,92,103,47,348,71,68,276,217,103,69,73,284,13,97,102,242,319,23,105,90,49,316,94,138,348,04
,CHULA VISTA,60,61,43,42,55,63,51,21,352,289,277,286,285,279,261,248,247,240,154,168,148,99,38,79,160,352,08
,DOWNTOWN SES,49,17,8,41,47,38,27,343,335,294,277,286,300,318,288,280,292,292,300,196,215,92,5,38,182,343,07
,EL CAJON LES,87,93,115,205,119,98,50,309,308,251,257,252,261,312,305,290,253,197,160,117,130,109,113,137,189,312,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,40,42,31,37,54,54,54,19,325,327,303,296,316,320,311,311,290,277,280,90,83,68,34,52,167,327,09
,OTAY MESA DVN,74,98,29,4,4,126,112,188,303,306,318,293,299,294,294,295,309,312,2,138,86,44,66,74,170,318,10
,PENDLETON,61,69,32,62,69,57,48,57,319,258,276,293,295,291,279,288,290,293,216,152,112,125,79,47,170,319,08
13 SIGTHETA °,ALPINE,16,16,56,54,47,55,77,56,49,28,46,38,55,57,37,68,44,23,23,12,28,56,54,16,42,77,06
,CHULA VISTA,17,18,16,25,20,36,25,25,45,37,26,22,20,23,22,21,19,20,17,16,27,48,28,26,25,48,21
,DOWNTOWN SES,12,15,12,21,23,22,30,39,28,36,16,21,21,26,20,15,18,18,46,16,21,16,29,38,23,46,18
,EL CAJON LES,16,25,53,30,49,31,47,51,57,56,44,34,23,25,33,23,18,19,27,36,43,65,42,28,36,65,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,7,7,11,12,8,13,19,15,18,24,17,15,14,14,14,13,13,49,44,61,28,10,18,19,61,20
,OTAY MESA DVN,23,11,13,28,19,9,25,29,27,19,24,14,13,13,15,14,16,14,20,20,20,21,18,33,19,33,23
,PENDLETON,18,12,11,11,13,13,10,14,30,14,16,18,18,18,16,17,18,20,26,10,12,14,9,12,15,30,08
14 VWSP MPH,ALPINE,1.4,1.6,.8,.2,.4,1.5,.2,.8,.3,5.6,4.2,4.6,2.1,1.2,4.4,1.4,2.2,1.0,.9,2.1,1.4,.4,.5,1.4,1.7,5.6,09
,CHULA VISTA,2.0,.8,1.2,.9,2.2,1.3,1.9,1.4,1.6,2.8,5.1,7.0,7.4,6.2,5.8,6.6,5.4,3.3,1.2,1.0,.8,.9,.8,1.1,2.9,7.4,12
,DOWNTOWN SES,1.4,1.2,1.5,1.0,1.8,2.5,2.0,1.6,3.2,4.0,7.6,7.6,7.5,6.3,6.4,7.6,6.2,4.9,.9,2.0,1.4,1.2,.9,1.1,3.4,7.6,10
,EL CAJON LES,2.1,1.1,.9,.0,.8,.5,.5,.9,.9,1.0,1.7,4.1,4.8,4.7,3.7,4.3,4.9,4.2,3.0,.5,.5,.8,.5,.4,2.0,4.9,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.7,3.2,3.0,3.6,3.3,4.1,3.9,3.5,7.0,6.4,5.7,10.4,12.2,11.1,10.1,9.1,7.3,5.3,1.1,.9,.5,1.4,2.5,2.6,5.0,12.2,12
,OTAY MESA DVN,.6,1.6,1.5,2.8,3.1,2.8,2.0,.9,2.7,5.0,6.3,9.5,10.2,9.3,7.5,7.2,5.7,4.6,1.5,1.2,1.4,2.0,1.6,1.2,3.8,10.2,12
,PENDLETON,3.1,3.6,4.2,3.9,5.4,4.8,4.6,4.5,1.2,4.0,4.4,6.7,7.4,5.6,5.1,4.7,4.1,3.4,1.9,2.9,3.3,2.9,3.9,3.2,4.1,7.4,12
15 SWSP MPH,ALPINE,1.4,1.7,1.3,1.2,1.2,2.1,1.7,1.5,3.8,6.3,5.5,5.6,3.7,4.4,5.4,3.2,2.9,1.3,1.2,2.2,1.5,1.3,.9,1.5,2.6,6.3,09
,CHULA VISTA,2.0,.9,1.2,1.0,2.3,1.5,2.0,1.7,2.3,3.4,5.5,7.5,7.8,6.7,6.2,7.1,5.7,3.5,1.3,1.1,.9,1.0,.9,1.2,3.1,7.8,12
,DOWNTOWN SES,1.5,1.3,1.6,1.2,2.0,2.6,2.2,2.1,3.6,4.9,7.9,8.2,8.0,7.1,6.9,7.9,6.5,5.1,1.3,2.2,1.6,1.3,1.1,1.4,3.7,8.2,11
,EL CAJON LES,2.2,1.2,1.0,.0,.8,.6,.6,1.3,1.2,1.8,2.9,4.9,5.8,5.3,4.9,4.9,5.2,4.5,3.2,1.0,.8,1.2,.6,.7,2.4,5.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.7,3.3,3.2,3.8,3.3,4.2,4.0,4.3,7.2,6.8,6.3,10.8,12.6,11.5,10.4,9.5,7.5,5.5,1.5,1.3,.8,1.6,2.6,2.9,5.3,12.6,12
,OTAY MESA DVN,.8,1.6,1.6,3.1,3.3,2.8,2.2,1.5,2.9,5.4,6.9,9.8,10.5,9.6,7.8,7.6,5.9,4.7,1.8,1.4,1.8,2.4,2.0,1.6,4.1,10.5,12
,PENDLETON,3.2,3.7,4.3,4.0,5.6,5.0,4.7,4.6,2.9,4.2,4.6,7.1,7.7,5.9,5.5,5.0,4.3,3.7,2.6,3.0,3.4,3.1,4.0,3.3,4.4,7.7,12
16 AMBTEMP °F,ALPINE,54.5,57.0,57.4,58.6,57.3,56.6,60.3,68.0,75.8,83.5,86.1,87.9,86.7,87.6,88.9,86.7,81.0,73.6,69.5,67.8,69.9,69.7,68.4,69.1,71.7,88.9,14
,CARMEL MT RCH,57.4,56.4,55.1,55.2,54.8,54.0,56.4,60.6,64.2,69.1,74.9,76.8,76.0,77.7,80.0,78.6,75.4,70.4,67.2,65.3,64.5,62.8,61.8,61.0,65.7,80.0,14
,CHULA VISTA,60.0,59.0,57.9,57.3,57.3,57.0,57.8,61.3,65.9,69.2,71.9,73.3,74.4,76.1,76.1,72.3,68.6,66.8,66.3,65.4,64.4,63.8,62.7,62.3,65.3,76.1,13
,DOWNTOWN SES,61.1,60.3,59.8,59.0,58.1,58.4,59.2,63.3,67.0,69.8,70.5,71.5,73.3,76.4,75.7,72.3,70.0,68.1,67.7,66.9,65.6,65.2,64.5,63.9,66.2,76.4,13
,EL CAJON LES,56.9,55.9,54.6,53.7,52.6,52.2,53.4,58.2,64.2,70.7,77.2,81.5,82.9,85.3,86.6,86.4,82.2,72.9,67.3,66.3,64.9,63.5,62.0,60.7,67.2,86.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.5,58.1,56.4,56.6,55.8,56.0,56.6,62.7,67.1,70.4,74.9,74.4,74.9,76.8,78.5,78.0,73.3,67.5,66.4,64.4,63.4,62.4,62.3,59.8,65.6,78.5,14
,OTAY MESA DVN,59.1,58.9,58.3,57.4,56.8,56.4,58.1,62.9,67.8,71.6,75.4,76.8,76.7,78.1,78.4,76.2,70.1,66.7,65.1,64.1,63.6,63.1,62.9,62.2,66.1,78.4,14
,PENDLETON,59.1,58.4,57.1,56.9,55.6,55.8,56.0,59.5,64.7,65.9,67.0,68.9,70.0,70.3,70.9,70.6,69.6,67.9,67.0,66.6,66.0,65.5,64.1,62.3,64.0,70.9,14
17 RELHUM %,ALPINE,80,66,66,55,61,58,52,32,28,24,21,19,26,22,16,19,33,44,44,34,30,31,32,30,38,80,00
,EL CAJON LES,81,82,84,87,86,85,81,75,63,53,44,37,36,30,28,29,30,61,77,79,80,83,86,87,65,87,03
,KEARNY MESA,91,92,91,91,93,93,92,84,71,60,51,54,54,49,44,47,61,74,78,80,82,84,86,89,75,93,04
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,749,749,749,749,749,749,748,747,747,746,746,746,747,748,748,748,748,748,748,748,749,05
,KEARNY MESA,746,746,746,746,746,746,747,747,747,747,747,746,746,745,744,744,744,745,745,746,746,746,746,746,746,747,06
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,2,44,281,492,659,757,803,766,657,501,302,75,0,-2,-1,-1,0,0,0,222,803,11
,KEARNY MESA,0,0,0,0,0,2,84,281,491,653,740,772,747,660,516,329,116,3,0,-1,0,0,0,0,225,772,11
25 NOY,EL CAJON LES,4.40,4.73,5.39,7.79,9.13,C,C,37.51,30.31,14.54,11.19,9.16,9.75,7.73,8.07,7.20,8.97,13.92,9.27,10.85,14.29,12.01,14.15,13.25,11.98,37.51,07
26 NOY-NO,EL CAJON LES,4.43,4.76,5.40,7.44,8.79,C,C,18.68,16.97,10.36,8.99,7.89,8.68,6.96,7.10,6.66,8.58,13.50,9.28,10.71,14.20,11.94,13.79,12.84,9.90,18.68,07
27 NO Trace,EL CAJON LES,-.02,-.02,.00,.35,.34,C,C,18.82,13.33,4.18,2.20,1.26,1.07,.76,.97,.53,.38,.41,.00,.14,.09,.06,.35,.41,2.07,18.82,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.1,M,M,M,M,M,M,M,.1,.0,.0,.0,.0,.0,.0,.0,.1,07
29 CO Tr PPB,EL CAJON LES,201.7,194.1,C,C,C,354.1,499.2,552.9,460.8,349.9,C,C,M,M,M,M,C,328.6,276.0,293.9,355.0,328.0,353.9,345.4,349.5,552.9,07
BCarbon ng/m3,DOWNTOWN SES,574.2,526.6,507.6,521.5,920.3,849.9,1150.8,937.1,883.3,1024.8,944.9,942.8,882.6,824.6,841.4,789.8,749.7,900.5,839.0,1041.8,855.9,955.8,1446.4,1066.0,874.1,1446.4,22
