Current Date:,10/17/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/16/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.045,.047,C,C,.043,.043,.040,.046,.047,.051,.050,.056,.063,.064,.065,.061,.056,.053,.048,.049,.048,.050,.048,.047,.050,.065,14
,CHULA VISTA,.026,.021,C,C,.006,.001,.003,.007,.026,.043,.053,.063,.058,.051,.051,.052,.055,.049,.040,.042,.029,.020,.006,.013,.032,.063,11
,DOWNTOWN SES,.013,.010,C,C,.002,.001,M,.005,.011,.036,.055,.057,.056,.053,.052,.052,.050,.036,.030,.033,.025,.016,.018,.035,.030,.057,11
,EL CAJON LES,.014,.011,C,C,C,.001,.003,.009,.023,.035,.044,.057,.063,.063,.057,.054,.050,.041,.035,.030,.028,.024,.019,.015,.032,.063,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.023,C,C,.025,.006,.004,.016,.023,.023,.032,.053,.059,.058,.060,.062,.060,.047,.042,.034,.022,.009,.010,.016,.031,.062,15
,OTAY MESA DVN,.005,.005,C,C,.009,.008,M,.013,.013,.022,.041,M,.060,.053,.054,.049,.043,.042,.043,.033,.025,.008,.016,.015,.027,.060,12
,PENDLETON,.024,.020,C,C,.009,.010,.012,.020,.033,.038,.043,.047,.051,.048,.047,.045,.045,.044,.043,.041,.033,.028,.016,.020,.032,.051,12
02 NOX PPM,ALPINE,.000,.000,C,C,.001,.002,.006,.001,.001,.001,.001,.006,.006,.004,.005,.005,.006,.008,.010,.006,.008,.002,.000,.001,.004,.010,18
,CARMEL MT RCH,.022,.033,C,C,.074,.094,.078,.086,.066,.062,.059,M,M,M,.025,.024,.021,.035,.022,.025,.025,.044,.037,.024,.045,.094,05
,CHULA VISTA,.008,.009,C,C,.023,.053,.068,.063,.023,.012,.011,.007,.006,.004,.004,.004,.005,.005,.005,.003,.010,.012,.021,.016,.017,.068,06
,DOWNTOWN SES,.019,.017,C,C,.032,.053,M,.086,.063,.024,.011,.012,.010,.015,.010,.009,.011,.017,.021,.014,.015,.020,.018,.006,.023,.086,07
,EL CAJON LES,.008,.010,C,C,C,.031,.042,.036,.025,.019,.018,.015,.009,.010,.010,.011,.012,.014,.015,.015,.012,.013,.013,.013,.017,.042,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.011,C,C,.012,.057,.053,.029,.027,.040,.039,.012,.009,.006,.007,.006,.008,.009,.011,.010,.019,.028,.028,.014,.020,.057,05
,OTAY MESA DVN,.031,.032,C,C,.032,.038,M,.045,.064,.055,.024,M,.009,.008,.006,.007,.007,.008,.006,.009,.012,.037,.023,.024,.024,.064,08
,PENDLETON,.008,.008,C,C,.022,.031,.021,.040,.018,.018,.005,.003,.004,.006,.002,.002,.001,.001,.003,.005,.009,.010,.016,.008,.011,.040,07
03 NO2 PPM,ALPINE,.000,.000,C,C,.001,.002,.005,.001,.000,.001,.001,.005,.005,.004,.005,.005,.006,.008,.010,.006,.008,.002,.000,.001,.003,.010,18
,CARMEL MT RCH,.020,.027,C,C,.034,.038,.034,.034,.031,.032,.033,M,M,M,.017,.017,.017,.027,.017,.020,.022,.033,.031,.020,.027,.038,05
,CHULA VISTA,.008,.009,C,C,.018,.024,.026,.026,.016,.010,.009,.007,.006,.004,.004,.003,.004,.005,.005,.003,.010,.012,.020,.016,.011,.026,06
,DOWNTOWN SES,.018,.017,C,C,.024,.024,M,.030,.030,.017,.009,.010,.009,.012,.008,.008,.010,.016,.020,.014,.014,.020,.017,.006,.016,.030,07
,EL CAJON LES,.008,.009,C,C,C,.016,.018,.020,.017,.014,.015,.012,.008,.009,.008,.010,.011,.014,.014,.015,.012,.012,.012,.013,.013,.020,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.011,C,C,.012,.026,.026,.019,.018,.026,.027,.010,.008,.006,.007,.006,.008,.009,.011,.010,.019,.028,.027,.014,.015,.028,21
,OTAY MESA DVN,.029,.030,C,C,.025,.029,M,.027,.036,.034,.018,M,.008,.006,.005,.005,.006,.007,.005,.008,.011,.035,.021,.022,.018,.036,08
,PENDLETON,.008,.008,C,C,.018,.017,.015,.022,.013,.011,.004,.002,.003,.005,.002,.002,.001,.001,.003,.004,.009,.010,.014,.008,.008,.022,07
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.000,.001,.000,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.002,.006,C,C,.040,.057,.044,.052,.035,.030,.026,M,M,M,.009,.007,.004,.008,.004,.005,.003,.011,.006,.004,.019,.057,05
,CHULA VISTA,.000,.000,C,C,.005,.029,.042,.037,.007,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.006,.042,06
,DOWNTOWN SES,.001,.001,C,C,.008,.029,M,.056,.033,.007,.002,.002,.002,.003,.002,.001,.001,.001,.001,.000,.001,.001,.001,.000,.007,.056,07
,EL CAJON LES,.000,.000,C,C,C,.015,.025,.016,.008,.004,.004,.003,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.004,.025,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.031,.027,.010,.008,.014,.012,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.005,.031,05
,OTAY MESA DVN,.002,.001,C,C,.007,.009,M,.018,.029,.022,.006,M,.002,.002,.002,.002,.001,.001,.001,.001,.001,.002,.001,.002,.006,.029,08
,PENDLETON,.000,.000,C,C,.004,.014,.006,.018,.005,.007,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.000,.003,.018,07
06 CO PPM,CARMEL MT RCH,.6,.6,C,C,C,1.4,1.5,1.2,.7,.6,.7,C,M,M,.6,.5,.6,.8,.7,.7,.6,.8,.9,.6,.8,1.5,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,25,24,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,24,25,25,25,25,25,25,25,25,25,26,26,26,26,25,26,00
,CHULA VISTA,24,23,24,24,24,23,23,24,24,24,24,24,23,23,24,23,23,24,24,24,23,24,23,24,24,24,00
,DOWNTOWN SES,24,24,25,24,25,24,25,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,25,02
,EL CAJON LES,26,27,27,27,27,27,27,27,27,26,26,26,26,25,25,25,26,26,26,26,26,26,26,26,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,24,25,25,25,25,25,24,24,24,23,23,23,24,24,24,24,24,24,24,24,24,24,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,25,25,25,25,24,24,25,25,26,26,26,26,27,26,27,00
,PENDLETON,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,4.4,7.4,4.7,1.0,1.1,2.3,8.1,7.5,4.2,M,5.0,4.0,3.7,8.1,10.9,7.6,3.2,8.9,12.5,10.3,11.3,4.1,-.7,.6,5.6,12.5,18
,DOWNTOWN SES,12.0,13.3,17.2,18.2,16.3,15.1,17.8,19.1,21.6,17.6,16.6,17.7,14.5,13.6,13.0,13.1,17.3,11.5,11.8,11.5,9.3,10.6,13.5,11.0,14.7,21.6,08
,EL CAJON LES,9.6,8.4,11.1,10.4,9.3,11.3,15.2,11.7,10.0,8.6,8.8,13.3,9.8,15.7,12.1,12.2,12.3,12.0,16.1,13.6,13.6,14.5,15.7,15.1,12.1,16.1,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,30.4,38.3,25.0,29.3,26.0,37.2,19.2,62.0,28.7,21.1,17.0,24.4,19.4,14.7,9.3,10.1,18.1,12.0,10.7,21.6,9.8,33.5,28.9,21.2,23.6,62.0,07
,PENDLETON,2.7,3.7,6.2,5.4,4.0,2.9,2.5,2.8,3.7,2.9,2.8,4.6,6.0,5.1,2.5,1.8,2.2,2.8,3.5,2.4,2.5,2.3,1.9,4.9,3.4,6.2,02
12 VWDR °,ALPINE,76,86,103,106,97,91,105,100,111,140,130,302,282,258,257,276,276,329,55,27,25,96,91,315,156,329,17
,CHULA VISTA,88,62,50,69,78,114,96,228,246,266,250,258,255,254,248,250,245,220,234,186,130,92,334,140,183,334,22
,DOWNTOWN SES,43,22,10,346,116,10,328,220,184,210,217,211,245,251,208,216,249,304,272,3,103,106,234,220,180,346,03
,EL CAJON LES,99,249,130,239,246,113,125,9,77,289,255,259,252,250,243,248,221,223,187,155,106,148,228,103,186,289,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,30,31,43,44,24,72,111,159,154,M,M,M,M,270,237,281,277,266,280,279,51,208,65,107,149,281,15
,OTAY MESA DVN,122,98,72,121,125,48,52,78,270,314,301,301,316,303,293,299,307,313,283,13,110,133,8,15,179,316,12
,PENDLETON,64,50,66,38,58,20,6,360,233,256,261,261,253,240,223,191,166,173,145,163,91,67,98,111,150,360,07
13 SIGTHETA °,ALPINE,34,32,16,13,14,19,21,21,22,23,47,24,29,29,29,26,22,22,34,26,33,13,13,42,25,47,10
,CHULA VISTA,40,32,25,31,36,30,30,50,32,24,22,21,27,30,24,22,24,24,21,49,34,40,50,16,31,50,07
,DOWNTOWN SES,38,23,15,44,34,61,57,27,31,24,21,28,33,30,19,21,27,38,55,23,31,14,49,22,32,61,05
,EL CAJON LES,13,49,50,62,57,52,41,66,36,78,31,21,22,29,27,22,23,20,31,40,22,26,37,47,38,78,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,8,11,14,8,30,41,21,23,M,M,M,M,24,20,17,13,11,11,29,23,48,34,17,21,48,21
,OTAY MESA DVN,18,24,38,44,23,72,62,36,44,25,20,12,18,17,15,15,16,21,24,35,34,31,18,22,29,72,05
,PENDLETON,14,47,26,46,16,17,49,62,51,19,14,15,16,22,25,23,14,16,17,21,16,22,14,22,25,62,07
14 VWSP MPH,ALPINE,.9,1.3,3.3,3.2,2.5,2.3,3.3,5.0,6.3,6.7,3.3,5.4,5.9,5.7,4.5,5.3,2.8,1.3,1.0,.6,.3,1.5,1.9,1.1,3.1,6.7,09
,CHULA VISTA,.8,1.4,1.4,1.2,1.3,.9,1.1,1.2,2.1,3.8,5.2,5.1,4.1,3.9,4.7,4.4,2.8,1.8,1.7,.5,.7,.4,.1,1.3,2.2,5.2,10
,DOWNTOWN SES,1.3,1.1,2.4,1.2,.9,.5,.6,1.5,2.2,3.8,5.3,4.2,3.2,4.1,6.3,5.4,2.3,1.1,.9,1.6,1.2,1.1,1.6,2.2,2.3,6.3,14
,EL CAJON LES,1.7,.2,.2,.2,.2,.6,.9,.2,1.3,.7,3.5,5.8,5.5,4.8,4.4,4.6,3.3,2.6,1.1,1.1,1.7,1.4,.5,1.2,2.0,5.8,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.5,6.5,4.8,5.6,8.9,2.2,2.1,3.2,3.1,M,M,M,M,6.0,7.0,6.5,5.4,3.2,3.7,2.8,1.4,.5,1.2,2.5,4.1,8.9,04
,OTAY MESA DVN,2.7,2.5,1.4,1.9,2.0,1.2,1.1,1.1,.8,4.4,5.6,8.1,6.8,6.6,5.8,6.0,5.7,4.2,2.0,1.8,1.5,2.1,1.8,1.9,3.3,8.1,11
,PENDLETON,4.2,1.7,3.2,2.6,3.6,4.0,3.8,.2,2.2,2.8,3.9,4.3,3.6,3.1,3.4,2.8,3.8,4.0,2.9,1.7,1.9,1.3,2.5,1.1,2.9,4.3,11
15 SWSP MPH,ALPINE,1.2,1.5,3.6,3.2,2.6,2.5,3.6,5.4,6.8,7.3,4.6,5.9,6.8,6.5,5.1,5.8,3.1,1.5,1.4,1.4,.7,1.5,2.0,2.1,3.6,7.3,09
,CHULA VISTA,.9,1.5,2.0,1.6,1.5,1.1,1.2,1.9,2.5,4.1,5.5,5.5,4.5,4.4,5.2,4.7,3.1,1.9,1.9,.9,1.4,.8,.6,1.4,2.5,5.5,10
,DOWNTOWN SES,1.3,1.2,2.6,1.9,1.2,1.0,1.1,1.8,2.5,4.2,5.6,4.7,4.4,5.2,6.8,5.8,4.0,1.7,2.5,2.1,1.4,1.2,1.9,2.4,2.9,6.8,14
,EL CAJON LES,1.8,.4,.2,.3,.3,.7,1.3,.5,1.5,1.5,4.4,6.3,5.9,5.4,5.1,4.9,3.6,2.9,1.5,1.4,1.8,1.8,.7,1.4,2.3,6.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.7,6.6,4.9,5.9,9.0,4.0,3.0,3.6,3.4,M,M,M,M,6.5,7.4,7.2,5.6,3.3,3.8,3.3,1.9,.8,1.3,2.7,4.4,9.0,04
,OTAY MESA DVN,2.9,2.9,3.1,2.3,2.2,1.5,2.0,1.6,2.1,4.7,5.9,8.3,7.3,6.9,6.0,6.2,6.1,4.5,2.2,2.2,2.1,3.0,2.7,2.1,3.8,8.3,11
,PENDLETON,4.5,2.7,3.4,3.5,3.7,4.5,4.8,2.7,2.9,3.0,4.1,4.6,3.8,3.4,3.7,3.1,4.0,4.2,3.2,2.1,2.1,1.4,2.5,1.4,3.3,4.8,06
16 AMBTEMP °F,ALPINE,68.9,69.9,66.7,63.7,67.2,68.9,71.5,80.0,84.3,87.4,90.3,89.5,89.1,87.0,85.4,82.8,76.9,72.6,70.0,70.0,68.3,69.6,70.4,68.0,75.8,90.3,10
,CARMEL MT RCH,60.3,60.3,59.8,59.7,61.6,64.1,67.2,69.8,74.8,81.2,84.8,84.9,85.0,84.5,83.7,82.2,75.1,72.2,68.8,66.6,65.3,64.5,63.0,62.1,70.9,85.0,12
,CHULA VISTA,61.5,61.2,60.4,59.8,59.5,58.6,60.7,65.0,69.0,71.4,72.5,72.3,73.8,74.9,74.2,70.8,68.4,67.0,66.3,66.0,65.6,64.8,63.5,64.1,66.3,74.9,13
,DOWNTOWN SES,63.0,62.2,62.3,61.8,61.2,60.6,62.2,66.5,69.5,72.0,73.3,74.7,76.9,77.3,74.5,71.5,69.7,69.4,68.1,67.2,66.1,65.8,65.4,64.9,67.8,77.3,13
,EL CAJON LES,58.7,58.1,57.3,56.5,55.8,55.2,56.8,64.7,74.1,81.7,86.5,86.2,86.9,87.4,87.0,83.5,78.3,74.1,71.0,68.8,66.4,65.1,64.4,62.7,70.3,87.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
