Current Date:,10/18/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/17/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.045,C,C,.051,.048,.045,.035,.037,.057,.058,.064,.067,.061,.056,.057,.043,.040,.041,.040,.038,.036,.034,.035,.046,.067,12
,CHULA VISTA,.037,.047,C,C,.038,.030,.033,.028,.035,.042,.049,.046,.044,.041,.039,.040,.042,.041,.041,.039,.038,.037,.035,.034,.038,.049,10
,DOWNTOWN SES,.043,.049,.050,.048,.050,.045,.043,.040,.042,.043,.051,.045,.044,.041,.039,.041,.041,.042,.041,.041,.042,.039,.039,.040,.043,.051,10
,EL CAJON LES,.013,.012,C,C,C,.012,.012,M,M,M,M,M,M,.045,.044,.039,.039,.040,.041,.039,.038,.034,.033,.034,.031,.045,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.016,C,C,.040,.035,.041,.037,.040,.045,.050,.050,.045,.044,.041,.039,.040,.041,.041,.038,.036,.037,.035,.031,.037,.050,10
,OTAY MESA DVN,.017,.023,C,C,.007,.005,M,M,.014,.028,.045,M,.046,.043,.041,.036,.034,.033,.034,.033,.032,.032,.034,.033,.030,.046,12
,PENDLETON,.027,.026,C,C,.039,.035,.016,.020,.027,.044,.045,.039,.038,.038,.039,.040,.041,.040,.039,.037,.040,.039,.040,.035,.035,.045,10
02 NOX PPM,ALPINE,.002,.001,C,C,.001,.006,.005,.017,.013,.003,.002,.006,.006,.002,.002,.001,.003,.003,.002,.003,.003,.004,.004,.003,.004,.017,07
,CARMEL MT RCH,.021,.015,C,C,.026,.028,M,M,M,M,M,.036,.036,M,.026,.026,.016,.014,.022,.017,.010,.003,.002,.003,.019,.036,11
,CHULA VISTA,.005,.002,C,C,.005,.010,.010,.015,.016,.019,.004,.002,.002,.002,.002,.002,.002,.002,.001,.002,.003,.003,.005,.004,.005,.019,09
,DOWNTOWN SES,.005,.003,.003,.004,.004,.006,.007,.011,.010,.013,.004,.002,.002,.002,.003,.004,.003,.003,.002,.003,.002,.003,.003,.003,.004,.013,09
,EL CAJON LES,.013,.012,C,C,C,.011,.014,M,M,M,M,M,M,.004,.004,.004,.003,.003,.002,.002,.002,.004,.004,.003,.006,.014,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,.014,C,C,.006,.009,.007,.011,.011,.009,.010,.005,.004,.005,.005,.004,.003,.002,.002,.003,.005,.004,.005,.006,.007,.020,00
,OTAY MESA DVN,.019,.010,C,C,.025,.027,M,M,.054,.066,.029,M,.008,.009,.008,.008,.006,.007,.006,.007,.008,.006,.005,.006,.017,.066,09
,PENDLETON,.006,.006,C,C,.004,.005,.015,.014,.013,.005,.005,.003,.002,.004,.001,.001,.000,.000,.001,.003,.001,.001,.001,.003,.004,.015,06
03 NO2 PPM,ALPINE,.002,.001,C,C,.001,.004,.004,.013,.009,.002,.002,.005,.005,.002,.001,.001,.002,.003,.002,.003,.003,.004,.004,.003,.003,.013,07
,CARMEL MT RCH,.018,.012,C,C,.016,.016,M,M,M,M,M,.024,.020,M,.016,.016,.011,.008,.013,.012,.008,.003,.002,.003,.012,.024,11
,CHULA VISTA,.005,.002,C,C,.005,.010,.009,.013,.013,.015,.004,.002,.002,.002,.001,.002,.001,.002,.001,.002,.003,.003,.004,.004,.005,.015,09
,DOWNTOWN SES,.005,.002,.003,.004,.004,.006,.007,.009,.008,.010,.004,.002,.002,.001,.002,.003,.003,.002,.002,.002,.002,.003,.003,.003,.004,.010,09
,EL CAJON LES,.013,.011,C,C,C,.011,.013,M,M,M,M,M,M,.003,.003,.003,.002,.003,.002,.002,.002,.004,.004,.003,.005,.013,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.014,C,C,.006,.009,.007,.009,.009,.008,.008,.004,.004,.004,.004,.004,.003,.002,.003,.004,.005,.004,.005,.006,.006,.018,00
,OTAY MESA DVN,.018,.008,C,C,.022,.023,M,M,.031,.045,.023,M,.006,.006,.006,.006,.005,.006,.005,.006,.006,.005,.004,.005,.012,.045,09
,PENDLETON,.006,.006,C,C,.004,.005,.012,.011,.010,.004,.004,.002,.001,.003,.001,.001,.000,.000,.001,.003,.001,.001,.001,.003,.004,.012,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.004,.003,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,CARMEL MT RCH,.002,.002,C,C,.010,.011,M,M,M,M,M,.012,.016,M,.010,.009,.005,.006,.009,.006,.002,.000,.000,.000,.006,.016,12
,CHULA VISTA,.000,.000,C,C,.000,.001,.001,.002,.003,.004,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
,DOWNTOWN SES,.000,.000,.000,.000,.000,.000,.001,.001,.002,.003,.001,.001,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,09
,EL CAJON LES,.000,.000,C,C,C,.001,.001,M,M,M,M,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.000,C,C,.000,.000,.000,.001,.002,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,00
,OTAY MESA DVN,.001,.002,C,C,.003,.004,M,M,.023,.021,.006,M,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.004,.023,08
,PENDLETON,.000,.000,C,C,.000,.000,.002,.004,.003,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,.7,M,M,M,M,C,.5,.5,M,.5,.4,.3,.3,.4,.5,.3,.2,.1,.2,.4,.7,05
10 INTMP °C,ALPINE,24,25,25,25,26,25,25,25,24,24,24,23,24,24,24,24,24,24,25,24,25,25,26,26,25,26,04
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,24,24,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,25,24,24,23,24,24,24,24,23,23,23,23,23,23,24,24,23,24,24,24,24,24,25,03
,DOWNTOWN SES,25,24,25,24,25,25,25,25,24,24,24,23,23,23,23,23,23,24,24,24,24,24,24,25,24,25,00
,EL CAJON LES,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,24,25,25,25,25,25,24,24,23,23,23,23,23,23,24,24,24,24,25,25,25,25,24,25,00
,OTAY MESA DVN,26,27,27,27,26,27,27,27,27,27,27,26,26,26,26,25,25,25,26,26,26,27,26,26,26,27,01
,PENDLETON,25,26,26,26,26,26,26,25,25,25,24,24,24,24,24,24,25,25,25,26,26,26,26,26,25,26,01
11 PM2.5 µg/M3,ALPINE,.6,3.3,3.4,2.6,7.0,5.8,6.8,6.5,4.1,5.3,4.3,8.7,13.0,8.9,7.1,5.3,6.3,7.8,14.8,8.0,5.5,12.3,11.1,11.5,7.0,14.8,18
,DOWNTOWN SES,8.8,11.6,11.4,12.2,9.8,12.7,12.9,14.2,19.3,22.1,15.5,10.1,8.1,6.4,6.6,6.8,7.0,8.0,7.2,7.0,5.0,6.5,6.1,8.8,10.1,22.1,09
,EL CAJON LES,17.1,15.3,13.0,10.4,10.5,11.3,10.9,21.6,22.4,21.6,21.2,M,M,M,4.1,6.3,8.7,9.5,7.1,5.3,4.9,7.0,7.0,10.3,11.6,22.4,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,24.9,7.7,16.3,14.5,23.5,26.3,31.8,44.6,55.2,65.1,30.0,17.3,21.7,M,9.3,12.7,10.0,10.2,8.9,7.5,6.3,12.3,13.3,15.9,21.1,65.1,09
,PENDLETON,3.1,2.2,5.0,4.9,3.7,2.6,3.0,.9,-.9,3.7,3.5,2.3,.5,-.4,-.8,-.2,1.1,2.8,3.6,2.3,3.7,4.0,1.9,1.4,2.2,5.0,02
12 VWDR °,ALPINE,103,13,84,106,107,64,84,119,268,237,243,272,268,248,219,218,225,237,260,223,185,171,143,141,177,272,11
,CHULA VISTA,231,207,132,229,129,195,96,125,170,167,235,230,226,218,220,222,235,202,198,191,162,156,152,197,189,235,10
,DOWNTOWN SES,219,126,155,233,143,197,128,178,179,197,212,212,218,213,205,189,219,201,180,185,177,155,167,226,188,233,03
,EL CAJON LES,89,177,107,236,112,103,89,160,73,155,224,227,220,223,208,211,214,205,202,187,142,142,144,150,167,236,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,198,106,144,180,173,178,145,152,139,147,203,207,191,186,198,167,199,234,210,184,138,145,139,146,171,234,17
,OTAY MESA DVN,358,19,139,356,63,14,52,87,165,158,205,269,257,243,233,239,231,222,226,189,183,170,170,143,183,358,00
,PENDLETON,57,76,62,151,134,138,61,81,81,196,219,211,199,201,198,227,225,218,163,137,207,171,162,152,155,227,15
13 SIGTHETA °,ALPINE,35,32,22,13,14,25,55,21,34,36,29,27,27,31,30,29,22,26,25,22,16,14,14,12,25,55,06
,CHULA VISTA,38,43,39,42,21,42,25,39,40,32,21,24,29,28,24,24,20,24,25,21,18,16,16,27,28,43,01
,DOWNTOWN SES,26,46,37,23,33,35,27,37,22,19,19,19,21,21,20,18,21,20,15,17,15,21,21,17,24,46,01
,EL CAJON LES,47,30,31,52,31,49,34,40,44,51,28,22,24,23,25,25,20,19,22,15,18,16,13,15,29,52,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,27,22,16,24,32,22,19,33,26,18,19,18,23,21,17,17,23,15,19,40,11,12,10,12,21,40,19
,OTAY MESA DVN,25,19,39,37,12,43,18,49,48,23,39,32,19,23,27,16,12,11,15,15,14,14,14,12,24,49,07
,PENDLETON,35,14,19,18,20,22,17,15,27,25,16,16,18,24,19,16,15,15,14,13,25,12,14,12,18,35,00
14 VWSP MPH,ALPINE,.6,1.5,1.4,1.9,1.8,.6,.7,1.7,2.5,3.2,5.2,6.2,6.1,5.4,5.0,4.4,5.8,4.1,3.5,2.9,3.9,3.4,3.8,4.5,3.3,6.2,11
,CHULA VISTA,1.0,1.3,1.3,1.3,1.1,1.3,2.3,2.1,2.4,2.9,8.0,8.2,6.1,6.2,6.5,6.8,6.6,4.7,3.6,3.2,3.5,4.7,3.8,2.4,3.8,8.2,11
,DOWNTOWN SES,1.8,.5,1.9,2.3,1.6,1.9,2.2,3.0,5.0,6.2,8.5,9.0,8.0,7.8,7.6,8.1,7.1,5.9,5.6,4.2,5.5,4.7,4.7,3.5,4.9,9.0,11
,EL CAJON LES,.4,.3,.6,.6,1.8,1.3,2.9,1.2,1.3,1.9,4.9,6.6,5.9,6.7,5.7,6.0,7.7,5.5,3.9,4.6,4.5,4.5,5.3,4.4,3.7,7.7,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.8,2.3,4.8,2.7,2.8,2.6,4.3,4.1,5.6,7.2,7.9,9.6,8.3,8.0,8.1,9.2,6.2,6.4,4.3,3.1,6.8,6.5,6.8,4.8,5.6,9.6,11
,OTAY MESA DVN,1.7,2.9,1.5,.4,2.8,1.1,3.0,.4,1.3,5.1,3.9,8.5,9.1,6.7,5.4,8.3,8.3,8.0,6.3,4.9,5.4,5.8,6.1,6.1,4.7,9.1,12
,PENDLETON,1.1,3.9,2.7,2.8,3.8,3.1,3.6,4.9,4.0,5.2,7.3,7.3,5.6,4.1,5.7,7.3,7.7,6.0,4.4,7.4,3.5,5.8,4.4,4.2,4.8,7.7,16
15 SWSP MPH,ALPINE,1.9,2.0,1.6,1.9,1.8,1.3,2.1,2.0,3.0,3.7,5.9,6.9,6.9,6.4,5.7,5.0,6.2,4.4,3.8,3.2,4.1,3.6,4.0,4.6,3.8,6.9,11
,CHULA VISTA,1.6,1.8,1.8,1.5,1.6,1.7,2.4,2.6,3.0,3.8,8.6,8.9,6.9,6.9,7.2,7.6,7.0,5.2,4.0,3.4,3.7,4.9,4.0,2.6,4.3,8.9,11
,DOWNTOWN SES,2.3,1.8,2.6,2.6,2.1,3.0,2.5,3.7,5.3,6.8,9.0,9.5,8.6,8.4,8.4,8.6,7.6,6.3,5.8,4.4,5.8,5.0,5.1,3.7,5.4,9.5,11
,EL CAJON LES,.8,.9,1.0,.8,2.5,2.2,3.1,3.0,2.1,2.9,5.5,7.0,6.5,7.4,6.3,6.7,8.2,6.0,4.8,4.8,4.8,4.7,5.5,4.6,4.3,8.2,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.4,2.5,5.0,3.0,3.1,4.1,5.5,5.0,6.2,7.7,8.4,10.2,9.2,8.8,8.5,9.7,7.2,6.7,4.8,4.3,7.0,6.8,6.9,4.9,6.2,10.2,11
,OTAY MESA DVN,2.1,3.4,1.8,1.0,3.0,1.9,3.5,2.3,2.4,5.4,5.5,9.3,9.6,7.3,6.1,8.9,8.7,8.1,6.7,5.1,5.7,6.0,6.3,6.3,5.3,9.6,12
,PENDLETON,2.4,4.1,3.1,3.0,4.2,4.9,3.7,5.1,4.5,5.7,7.6,7.5,5.9,4.6,6.0,7.6,7.9,6.3,4.7,7.6,4.1,6.0,4.5,4.4,5.2,7.9,16
16 AMBTEMP °F,ALPINE,64.0,64.7,63.2,63.2,64.4,63.4,62.2,66.6,70.3,73.4,76.7,77.6,76.6,75.4,73.8,72.1,66.3,59.7,58.8,57.6,56.1,55.0,56.0,56.2,65.6,77.6,11
,CARMEL MT RCH,61.5,59.6,58.5,58.4,59.3,58.9,59.4,60.6,65.0,70.8,74.5,75.7,75.2,76.5,76.1,74.3,69.3,64.8,63.5,62.2,61.9,62.1,62.1,61.7,65.5,76.5,13
,CHULA VISTA,64.5,64.9,64.3,63.5,63.6,63.4,64.1,65.0,67.0,71.3,71.4,70.6,70.5,70.6,70.2,68.3,66.4,65.2,64.6,64.6,64.7,64.9,64.9,64.0,66.4,71.4,10
,DOWNTOWN SES,64.7,64.6,64.6,64.4,63.9,64.1,64.8,65.9,67.3,69.0,69.2,68.9,68.6,68.7,68.7,68.0,67.0,65.8,64.9,65.0,65.1,65.1,65.1,64.1,66.1,69.2,10
,EL CAJON LES,61.5,60.8,60.0,59.3,58.4,57.0,59.0,62.1,66.0,71.8,76.1,75.5,74.6,74.0,73.9,72.6,67.1,65.0,64.4,62.6,62.5,63.1,62.9,62.0,65.5,76.1,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62.9,63.2,62.8,62.4,62.3,63.2,63.7,65.6,68.3,71.4,73.9,72.3,72.6,71.9,71.9,70.1,67.7,66.2,65.4,64.4,64.7,64.7,64.5,64.2,66.7,73.9,10
,OTAY MESA DVN,62.0,60.8,60.3,59.3,59.4,58.3,59.3,62.9,66.7,71.5,76.3,77.3,75.6,75.1,74.7,72.6,66.7,64.6,63.3,63.5,63.6,63.7,63.8,63.4,66.0,77.3,11
,PENDLETON,64.5,64.0,63.0,64.2,64.6,63.8,63.2,64.6,67.3,69.4,70.3,70.9,71.0,71.3,70.9,69.4,67.7,65.4,65.3,65.9,66.3,65.8,65.7,65.0,66.6,71.3,13
17 RELHUM %,ALPINE,31,30,33,33,31,34,37,33,32,23,22,27,37,37,38,32,63,86,86,87,89,88,83,79,49,89,20
,EL CAJON LES,86,87,93,96,96,92,86,83,73,58,43,48,53,54,51,55,72,74,72,75,74,73,72,73,72,96,03
,KEARNY MESA,91,95,96,96,96,95,89,83,74,63,54,59,61,62,59,66,74,75,75,78,75,76,76,76,77,96,02
18 PRES mmHg,EL CAJON LES,745,745,744,744,744,745,745,745,745,745,745,745,744,744,744,744,744,744,744,745,745,745,745,745,745,745,00
,KEARNY MESA,742,742,742,742,742,742,742,743,743,743,743,743,742,742,741,741,741,742,742,742,742,743,743,743,742,743,07
19 SOLAR W/M2,EL CAJON LES,0,2,2,2,1,2,66,251,457,639,749,803,771,658,504,302,68,4,2,0,2,3,1,0,220,803,11
,KEARNY MESA,0,0,0,0,0,1,50,235,476,641,733,772,740,651,509,306,70,2,0,0,0,0,0,0,216,772,11
25 NOY,EL CAJON LES,15.05,14.34,10.98,10.69,10.20,C,C,14.87,13.36,12.10,14.83,8.45,5.11,M,4.68,5.01,3.58,3.85,3.14,2.72,2.65,5.05,5.14,3.78,8.07,15.05,00
26 NOY-NO,EL CAJON LES,15.04,14.28,10.97,10.70,10.14,C,C,12.25,11.17,10.32,12.65,7.35,4.34,M,3.63,4.11,3.12,3.20,2.75,2.57,2.67,5.04,5.16,3.80,7.39,15.04,00
27 NO Trace,EL CAJON LES,.01,.06,.01,-.01,.05,C,C,2.61,2.18,1.77,2.17,1.10,.76,M,1.05,.90,.45,.64,.39,.14,-.01,.00,-.01,-.02,.67,2.61,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,M,M,M,M,M,M,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,13
29 CO Tr PPB,EL CAJON LES,439.5,407.7,C,C,C,337.9,401.8,M,M,M,C,C,M,157.8,176.0,167.8,160.8,139.6,127.0,125.9,123.8,147.1,148.8,139.8,213.4,439.5,00
BCarbon ng/m3,DOWNTOWN SES,467.8,365.4,348.5,373.4,366.1,493.7,436.4,629.0,773.9,974.8,460.0,170.6,104.3,96.3,107.0,166.5,195.8,143.0,134.4,187.1,98.3,177.6,187.5,130.2,316.2,974.8,09
