Current Date:,3/1/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
2/28/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.053,.054,C,C,.054,.053,.053,.051,.049,.052,.051,.053,.055,.056,.056,.059,.059,.052,.045,.052,.051,.051,.054,.054,.053,.059,15
,CHULA VISTA,.012,.013,C,C,.021,.019,.006,.012,.016,.035,.045,.045,.047,.050,.049,.046,.045,.037,.027,.018,.007,.004,.006,.023,.026,.050,13
,DOWNTOWN SES,.001,.003,C,C,.013,.005,.003,.006,.013,.023,.026,.031,.035,.038,.040,.041,.036,.024,.015,.015,.007,.002,.001,.002,.017,.041,15
,EL CAJON LES,.003,.004,C,C,C,.002,.002,.005,.014,.018,.039,.048,.051,.051,.053,.054,.051,.041,.026,.021,.010,.012,.008,.009,.024,.054,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.032,.032,C,C,.032,.028,.022,.020,M,.036,.038,.043,.047,.050,.051,.052,.050,.038,.027,.021,.013,.030,.031,.033,.034,.052,15
,OTAY MESA DVN,.025,.035,C,C,.037,.034,.034,.028,.038,.046,.046,.049,.049,.050,.052,.050,.044,.035,.023,.030,.023,.003,.002,.009,.033,.052,14
,PENDLETON,,,,,,,,P,M,M,.041,.043,.046,.044,.046,.045,.034,.035,.032,.010,.016,.021,.023,.022,.032,.046,12
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,.6,.5,C,C,.5,2.0,1.4,3.4,4.2,1.6,3.7,2.6,2.2,.8,3.0,3.7,3.5,9.6,10.4,4.8,5.0,4.2,1.9,2.1,3.2,10.4,18
,CARMEL MT RCH,29.2,24.2,C,C,28.4,40.6,39.2,30.0,20.6,14.4,20.7,18.6,20.2,19.9,16.8,20.0,21.4,27.7,37.8,51.2,54.7,38.6,29.7,22.5,28.4,54.7,20
,CHULA VISTA,20.6,20.1,C,C,15.8,21.3,35.2,28.1,24.2,12.6,6.4,10.5,9.1,8.2,10.4,14.4,16.2,20.9,26.2,30.5,41.4,39.3,39.2,21.1,21.4,41.4,20
,DOWNTOWN SES,35.4,31.2,C,C,19.9,29.9,35.3,32.6,27.7,25.2,26.0,21.4,17.7,15.6,14.0,15.7,17.9,31.6,39.6,37.3,47.0,49.1,45.1,40.7,29.8,49.1,21
,EL CAJON LES,24.5,22.2,C,C,C,20.8,20.4,22.6,24.0,24.3,10.6,4.8,4.3,6.1,6.5,4.5,6.2,14.8,25.8,23.4,29.1,25.2,26.5,21.3,17.5,29.1,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8.6,6.8,C,C,7.8,11.9,19.4,20.4,M,11.6,12.2,11.3,7.0,6.4,6.3,6.0,8.2,19.5,29.7,30.8,31.9,20.2,14.8,9.8,14.3,31.9,20
,OTAY MESA DVN,14.0,5.9,C,C,1.9,8.2,9.2,10.1,4.5,.7,1.5,1.2,3.5,3.2,3.5,5.8,9.5,12.9,25.7,14.6,24.1,51.2,48.6,35.6,13.4,51.2,21
,PENDLETON,,,,,,,,P,M,M,7.4,7.4,7.3,7.7,7.9,7.4,20.6,19.7,20.7,44.7,34.7,27.0,18.4,16.1,17.6,44.7,19
04 NO PPB,ALPINE,.031,.035,C,C,.047,.412,.231,1.160,1.285,.327,1.881,1.220,.468,.106,.637,.649,.324,1.205,1.341,.461,.353,.083,.019,.027,.559,1.881,10
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,2.474,.258,C,C,.309,1.525,2.396,4.997,2.064,.407,.559,.493,1.169,1.135,1.062,1.430,1.468,.686,8.418,1.570,6.524,62.272,13.666,3.262,5.370,62.272,21
,PENDLETON,,,,,,,,P,M,M,3.511,5.347,3.253,3.087,2.542,1.853,3.965,1.232,.141,2.448,.455,.226,3.911,2.370,2.453,5.347,11
06 CO PPM,CARMEL MT RCH,.8,.6,C,C,.4,1.1,.8,.6,.4,.4,.3,.5,.6,.7,.6,.7,.7,.9,1.1,1.0,1.1,.8,.6,.5,.7,1.1,05
10 INTMP °C,ALPINE,27,27,27,27,27,27,28,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,27,26,28,06
,CARMEL MT RCH,25,25,25,25,25,25,24,24,25,25,24,24,24,24,24,24,24,24,25,25,26,26,26,25,25,26,20
,CHULA VISTA,24,23,23,23,23,23,23,25,25,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,27,09
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,24,24,25,25,25,26,26,25,26,00
,EL CAJON LES,24,24,24,24,25,25,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,27,27,27,26,26,26,25,25,25,25,25,24,24,24,25,26,26,26,27,26,27,05
,PENDLETON,,,,,,,,P,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,24,25,08
11 PM2.5 µg/M3,ALPINE,4.3,1.8,-.3,.4,1.2,2.0,-.1,-4.0,-7.8,-7.3,-2.3,M,M,M,M,M,M,M,M,M,M,M,M,M,-1.1,4.3,00
,DOWNTOWN SES,18.2,12.2,8.4,5.2,2.2,5.0,10.9,9.5,6.7,6.2,3.9,4.7,3.7,4.6,5.7,4.0,3.1,8.2,13.5,8.9,15.9,14.9,18.2,14.1,8.6,18.2,00
,EL CAJON LES,13.9,11.7,10.5,10.4,17.0,8.2,12.7,8.6,7.4,7.1,4.9,.1,-.3,6.0,4.6,.7,.6,3.1,5.6,9.5,8.6,15.1,13.1,12.7,7.9,17.0,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,12.7,7.0,4.1,2.8,3.0,4.5,2.6,8.0,5.1,.3,-2.9,-.9,.3,-2.5,-.2,1.0,1.2,3.7,16.0,6.5,7.5,45.9,26.1,18.8,7.1,45.9,21
,PENDLETON,,,,,,,,3.1,1.7,9.2,7.8,5.4,4.9,6.9,8.5,9.5,12.6,15.9,11.3,12.9,11.6,8.4,7.9,9.0,8.6,15.9,17
12 VWDR °,ALPINE,48,31,5,11,84,291,9,348,288,306,320,312,292,304,295,289,264,206,110,2,31,2,48,62,0,348,07
,CHULA VISTA,92,61,58,121,87,58,60,25,6,352,257,268,268,258,286,294,280,258,168,145,117,104,101,97,0,352,09
,DOWNTOWN SES,3,25,36,344,58,358,352,346,96,222,232,241,281,283,305,294,285,297,339,344,42,89,46,360,0,360,23
,EL CAJON LES,242,267,228,29,120,208,153,262,5,348,344,299,271,279,257,263,274,263,289,100,167,115,129,224,0,348,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,54,48,59,64,65,50,51,95,142,144,216,274,279,277,303,307,302,300,330,359,8,82,60,68,0,359,19
,OTAY MESA DVN,111,33,80,107,25,68,30,36,7,332,318,297,304,290,293,300,282,322,54,14,97,140,118,128,0,332,09
,PENDLETON,,,,,,,,P,3,249,291,298,276,285,280,245,257,195,135,58,37,53,58,65,0,298,11
13 SIGTHETA °,ALPINE,50,39,23,43,44,34,23,28,36,34,33,31,30,24,27,26,32,56,28,10,38,52,22,19,33,56,17
