Current Date:,2/9/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
2/8/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.053,C,C,.052,.052,.051,P,,,P,.051,.051,.051,.052,.051,.050,.049,.049,.046,.047,.048,.050,.049,.050,.053,01
,CHULA VISTA,.024,.022,C,C,.024,.019,.017,.013,.011,.023,.042,.046,.043,.049,.047,.047,.047,.035,.024,.013,.003,.009,.008,.007,.026,.049,13
,DOWNTOWN SES,.020,.023,C,C,.015,.014,.009,.004,.007,.029,.035,.032,.040,.040,.042,.040,.044,.044,.034,.024,.010,.001,.001,.002,.023,.044,16
,EL CAJON LES,.004,.003,.003,.002,.002,.002,.002,.004,.009,.017,.024,.043,.050,.051,.049,.048,.046,.034,.015,.015,.007,.008,.004,.003,.018,.051,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.039,.041,C,C,.023,.024,.017,.020,.032,.038,.044,.047,.048,.049,.050,.051,.054,.047,.033,.021,.025,.030,.028,.029,.035,.054,16
,OTAY MESA DVN,.040,.041,C,C,.041,.039,.036,.030,.038,.039,.046,.048,.051,.049,.050,.048,.043,.039,.036,.014,.002,.005,.004,.020,.034,.051,12
,PENDLETON,.033,.037,C,C,.029,.025,.024,.027,.029,.031,.034,.030,.034,.029,.038,.037,.040,.025,.011,.002,.006,.019,.018,.018,.026,.040,16
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,1.0,.5,C,C,.7,1.0,2.0,P,,,P,1.0,.5,.7,.5,.9,1.4,2.1,1.6,3.9,2.0,1.0,.5,.5,1.2,3.9,19
,CARMEL MT RCH,13.1,16.9,20.6,19.5,19.5,19.9,38.7,41.4,33.2,9.9,27.8,22.0,20.9,18.0,19.5,23.0,21.2,25.1,37.2,53.5,44.0,49.2,47.9,39.2,28.3,53.5,19
,CHULA VISTA,15.2,17.3,C,C,14.5,21.5,25.5,31.0,32.6,21.1,8.2,9.0,15.8,8.4,9.1,11.7,13.7,24.8,34.7,41.2,48.6,35.8,36.7,35.2,23.2,48.6,20
,DOWNTOWN SES,18.7,14.8,C,C,20.9,25.5,30.3,37.9,36.6,16.8,13.7,22.3,12.6,11.7,10.1,14.3,13.4,14.4,25.6,30.4,42.0,47.9,45.2,41.8,24.8,47.9,21
,EL CAJON LES,26.3,27.4,24.3,25.2,23.7,23.4,24.4,25.8,29.6,26.9,27.0,9.9,3.4,3.6,6.8,8.8,9.5,20.1,32.6,28.2,33.2,29.2,29.9,27.5,21.9,33.2,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.9,3.6,C,C,19.7,18.0,27.2,23.7,10.5,9.5,5.1,4.6,6.1,7.0,6.6,7.3,7.7,14.2,22.8,27.3,24.7,21.8,19.8,14.0,13.9,27.3,19
,OTAY MESA DVN,4.3,3.8,C,C,2.3,5.1,9.4,13.6,2.4,3.6,1.0,1.2,1.7,6.4,4.4,5.5,8.7,11.3,12.4,38.2,52.2,46.7,47.3,19.1,13.6,52.2,20
,PENDLETON,4.7,4.1,C,C,7.6,11.0,12.1,10.7,9.9,9.1,7.8,13.5,10.0,24.8,14.5,20.1,16.1,27.1,38.7,50.4,43.5,24.3,20.1,16.2,18.0,50.4,19
04 NO PPB,ALPINE,.269,.267,C,C,.288,.374,.696,P,,,P,.875,.471,.766,.487,.654,.827,.849,.787,1.300,.393,.453,.271,.249,.571,1.300,19
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.331,.289,C,C,.419,.529,1.612,16.034,.751,1.198,.395,.433,.550,1.726,1.228,1.343,1.126,.761,.394,25.041,15.493,9.784,15.656,1.951,4.411,25.041,19
,PENDLETON,-.163,-.166,C,C,-.027,.233,.507,2.828,4.139,4.421,3.760,13.119,6.535,23.980,7.285,11.430,2.548,.207,-.057,17.430,14.584,.549,.683,1.530,5.243,23.980,13
06 CO PPM,CARMEL MT RCH,.2,.4,.3,.3,.3,.3,.9,1.0,.8,.2,.5,.5,.6,.6,.8,.8,.6,.7,1.0,1.0,.8,1.1,1.1,.9,.7,1.1,21
10 INTMP °C,ALPINE,27,27,27,27,27,28,28,P,,,P,25,26,25,26,25,25,25,25,25,26,26,26,27,26,28,05
,CARMEL MT RCH,25,24,24,24,23,23,23,22,23,24,24,24,24,24,24,24,24,24,24,25,25,25,25,24,24,25,00
,CHULA VISTA,24,23,23,23,23,23,23,23,24,26,26,26,26,26,26,26,26,26,26,27,26,26,26,25,25,27,19
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,24,24,24,23,23,23,23,24,24,25,25,25,25,25,25,26,00
,EL CAJON LES,24,24,24,24,24,24,24,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,24,25,24,23,23,23,24,26,25,25,24,24,25,24,25,25,25,26,26,26,25,25,25,26,09
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,24,24,24,23,23,24,25,25,26,26,26,25,26,00
,PENDLETON,25,25,25,25,25,25,26,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,06
11 PM2.5 µg/M3,ALPINE,2.7,2.9,-.1,3.3,2.9,4.7,4.5,,,,-5.3,-4.9,-3.5,-1.8,-.8,2.7,2.7,1.9,1.9,.3,1.7,5.2,1.8,3.9,1.2,5.2,21
,DOWNTOWN SES,1.1,2.8,4.9,3.7,3.2,3.9,5.4,7.5,9.7,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.6,9.7,08
,EL CAJON LES,7.5,6.2,5.7,6.6,6.4,5.3,7.0,11.8,15.3,9.1,10.6,6.0,2.4,1.6,-.1,1.5,4.3,2.0,2.9,12.2,14.4,10.7,11.4,9.4,7.0,15.3,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-4.2,-1.2,.3,3.1,8.2,5.1,3.5,31.5,4.5,3.5,-.2,-1.7,-.7,-.8,.4,3.5,4.4,3.7,3.1,25.0,27.8,17.1,16.8,17.3,7.0,31.5,07
,PENDLETON,1.1,1.4,1.3,1.1,.9,1.7,4.2,2.7,3.0,3.4,4.2,4.2,6.7,7.5,8.2,9.0,9.3,8.5,8.7,12.0,10.5,10.4,7.4,6.2,5.5,12.0,19
12 VWDR °,ALPINE,344,80,306,157,343,343,21,P,,,P,24,38,35,49,36,70,55,23,40,45,98,79,84,0,344,00
,CHULA VISTA,36,47,62,54,53,76,84,66,21,354,353,297,287,278,291,300,286,303,323,124,96,98,64,88,0,354,09
,DOWNTOWN SES,343,8,338,358,17,44,19,253,215,147,220,261,277,289,285,300,314,341,332,1,73,37,28,353,0,358,03
,EL CAJON LES,190,133,97,106,101,115,125,213,230,324,330,258,240,263,263,236,245,255,102,110,116,120,197,204,0,330,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,51,46,16,4,43,65,77,67,62,146,143,220,285,303,300,303,293,322,336,354,17,40,112,68,0,354,19
,OTAY MESA DVN,192,328,15,27,26,62,78,51,7,315,304,310,319,281,280,296,277,342,260,144,111,121,98,86,0,342,17
,PENDLETON,64,35,28,72,74,48,50,63,63,57,356,275,284,279,284,298,272,276,210,111,79,58,76,76,0,356,10
13 SIGTHETA °,ALPINE,61,66,47,33,26,40,33,P,,,P,48,31,27,29,34,43,34,22,45,27,24,30,37,37,66,01
,CHULA VISTA,38,33,16,44,21,19,30,35,24,23,30,37,21,21,20,20,17,19,15,15,16,28,41,43,26,44,03
,DOWNTOWN SES,17,38,33,20,62,33,47,38,37,47,50,20,17,21,18,24,22,17,18,56,20,47,43,36,33,62,04
,EL CAJON LES,70,60,49,53,52,44,34,37,51,48,38,39,45,40,31,23,20,21,44,19,61,66,68,64,45,70,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,12,19,7,6,7,5,11,17,23,45,40,21,15,14,11,9,11,9,11,18,20,28,14,16,45,10
,OTAY MESA DVN,58,48,21,10,12,19,18,31,34,62,17,19,19,23,11,13,11,17,52,22,31,52,37,46,28,62,09
,PENDLETON,11,8,51,12,7,10,15,10,11,15,25,17,16,18,16,17,21,21,21,16,10,15,10,13,16,51,02
14 VWSP MPH,ALPINE,.6,.6,1.3,.9,.7,1.1,.9,P,,,P,3.3,6.1,6.8,7.3,3.6,2.2,1.8,2.8,1.6,1.4,1.9,1.8,1.6,.0,7.3,14
,CHULA VISTA,.9,1.2,1.4,1.5,1.8,1.8,1.0,1.7,1.6,2.1,2.4,2.8,5.6,6.3,6.5,5.8,4.6,2.1,2.2,1.9,2.1,1.6,1.4,1.3,.0,6.5,14
,DOWNTOWN SES,2.3,2.0,2.1,2.1,1.3,2.4,1.8,.2,.5,.5,1.1,4.7,6.0,6.1,6.5,5.0,4.8,3.9,2.4,.8,1.7,.7,.8,.9,.0,6.5,14
,EL CAJON LES,.2,.5,.6,.7,.9,.3,.6,.3,.4,.7,1.2,2.3,2.6,5.5,5.6,6.1,4.2,1.9,1.3,1.6,.7,.3,.4,.0,.0,6.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,6.1,4.6,4.1,7.0,4.5,5.5,4.3,3.0,2.2,2.8,2.0,3.1,6.1,8.2,9.4,9.2,6.6,5.2,4.0,4.7,4.4,2.4,1.8,2.7,.0,9.4,14
,OTAY MESA DVN,1.7,2.4,4.8,5.4,5.8,2.9,1.8,2.0,1.6,1.2,4.0,5.7,5.6,7.8,10.6,7.5,5.3,2.6,.6,1.8,3.0,1.1,1.0,1.4,.0,10.6,14
,PENDLETON,9.8,8.5,3.1,4.8,7.0,6.0,5.6,9.3,9.1,6.0,2.8,4.0,4.0,3.9,3.9,4.6,3.3,1.8,.8,2.2,4.4,5.4,5.5,5.0,.0,9.8,00
15 SWSP MPH,ALPINE,2.9,2.3,2.2,1.6,2.2,2.0,2.3,P,,,P,4.7,6.9,7.5,8.2,4.3,2.8,2.4,3.3,2.0,2.8,2.1,2.0,1.9,3.3,8.2,14
