Current Date:,12/5/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
12/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.040,C,C,.041,.040,.036,.033,.036,.033,.038,.042,.043,.046,.047,.042,.031,.026,.028,.031,.033,.033,.036,.038,.036,.047,14
,CHULA VISTA,.007,.009,C,C,.009,.005,.007,.008,.011,.015,M,M,.039,.037,.044,.043,.040,.022,.011,.002,.000,.005,.001,.000,.015,.044,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.002,.002,.003,.004,.009,.010,.017,.032,.045,.042,.038,.038,.028,.023,.010,.011,.008,.010,.004,.016,.045,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.024,C,C,.017,.018,.014,.013,.019,.032,.036,.039,M,M,.038,.039,.032,.017,.009,.011,.005,.015,.016,.014,.021,.039,11
,OTAY MESA DVN,.032,.031,C,C,.035,.033,.031,.032,.034,M,.041,.042,.043,.043,.043,.040,.038,.032,.031,.011,.019,.021,.021,.023,.032,.043,12
,PENDLETON,.025,.025,C,C,.021,.021,.020,.017,.021,.022,.029,.037,.036,.039,.038,.040,.040,.025,.015,.007,.012,.017,.020,.017,.024,.040,15
02 NOX PPM,ALPINE,.003,.002,C,C,.002,.004,.006,.014,.008,.010,.007,.003,.003,.002,.002,.006,.016,.019,.012,.010,.008,.008,.005,.003,.007,.019,17
,CARMEL MT RCH,.037,.025,C,C,C,.023,.039,.121,.047,.019,.010,M,.013,.026,.047,.040,.038,.036,.043,.077,.064,.027,.027,.052,.041,.121,07
,CHULA VISTA,.029,.024,C,C,.023,.030,.045,.049,.053,.048,M,M,.011,M,.004,.005,.006,.018,.027,.037,.060,.035,.033,.035,.030,.060,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.023,C,C,C,.041,.061,.065,.068,.063,.075,.054,.023,.003,.007,.012,.010,.019,.017,.029,.029,.025,.021,.027,.033,.075,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.010,C,C,.016,.016,.022,.027,.022,.010,.008,.006,M,M,.018,.013,.018,.032,.038,.033,.036,.020,.017,.019,.020,.038,18
,OTAY MESA DVN,.007,.007,C,C,.004,.007,.009,.011,.008,M,.005,.004,.003,.005,.003,.006,.005,.008,.008,.031,.018,.015,.014,.011,.009,.031,19
,PENDLETON,.008,.007,C,C,.010,.011,.015,.021,.018,.019,.014,.007,.010,.007,.009,.008,.009,.024,.029,.045,.030,.020,.016,.017,.016,.045,19
03 NO2 PPM,ALPINE,.003,.002,C,C,.002,.003,.006,.011,.006,.007,.005,.002,.003,.001,.002,.005,.015,.018,.012,.009,.008,.007,.005,.003,.006,.018,17
,CARMEL MT RCH,.029,.020,C,C,C,.019,.024,.042,.027,.012,.009,M,.008,.014,.024,.024,.024,.028,.035,.039,.037,.024,.021,.031,.025,.042,07
,CHULA VISTA,.027,.023,C,C,.022,.027,.031,.036,.032,.028,M,M,.008,M,.003,.003,.004,.016,.025,.029,.031,.026,.027,.026,.022,.036,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.019,.018,C,C,C,.017,.019,.020,.024,.026,.033,.031,.017,.002,.006,.010,.009,.016,.016,.025,.025,.022,.017,.020,.019,.033,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
