Current Date:,12/25/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
12/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.038,C,C,.042,.044,.041,.038,.031,.037,.044,.040,.044,.050,.053,.055,.054,.045,.034,.034,.030,.033,.043,.037,.041,.055,15
,CHULA VISTA,.012,.010,C,C,.001,.001,.000,.001,.003,M,M,.036,.047,.049,.049,.049,.045,.042,.030,.020,.025,.024,.013,.018,.023,.049,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.002,.002,M,M,M,M,M,M,M,M,M,.042,.035,.031,.032,.034,.031,.033,.031,.023,.042,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.041,.034,C,C,.021,.012,.009,.008,.019,.018,.022,M,M,.052,.056,.052,.044,.036,.036,.021,.026,.021,.019,.025,.028,.056,14
,OTAY MESA DVN,.021,.016,C,C,.016,.015,.016,.016,M,.021,.028,.033,.044,.050,.052,.051,.043,.039,.041,.039,.032,.022,.026,.026,.030,.052,14
,PENDLETON,.019,.017,C,C,.018,.012,.010,.010,.010,.019,.027,.040,.047,.051,.055,.056,.054,.054,.037,.030,.023,.026,.028,.026,.030,.056,15
02 NOX PPM,ALPINE,.004,.003,C,C,.001,.001,.002,.003,.012,.007,.005,.005,.009,.012,.009,.007,.007,.010,.014,.011,.012,.011,.006,.007,.007,.014,18
,CARMEL MT RCH,.011,.012,C,C,C,.038,.049,.035,.040,.016,.024,.028,.022,.021,.015,.025,.019,.017,.016,.010,.012,.009,.011,.008,.021,.049,06
,CHULA VISTA,.014,.014,C,C,.021,.022,.029,.041,.049,M,M,.016,.006,.008,.010,.006,.005,.007,.012,.017,.015,.015,.021,.017,.017,.049,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.030,.026,C,C,C,.031,.033,M,M,M,M,M,M,M,M,M,.014,.012,.010,.008,.008,.008,.006,.006,.016,.033,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.008,.011,.013,.019,.014,.017,.013,M,M,.006,.006,.010,.006,.007,.009,.011,.009,.014,.015,.011,.011,.019,07
,OTAY MESA DVN,.007,.012,C,C,.007,.009,.009,.010,M,.018,.028,.027,.010,.003,.003,.004,.003,.003,.002,.003,.005,.012,.012,.010,.009,.028,10
,PENDLETON,.007,.006,C,C,.007,.008,.013,.009,.009,.007,.006,.004,.005,.004,.004,.004,.003,.003,.012,.012,.014,.012,.009,.008,.008,.014,20
03 NO2 PPM,ALPINE,.004,.003,C,C,.001,.001,.002,.003,.009,.005,.004,.004,.007,.010,.008,.007,.007,.010,.014,.011,.012,.011,.006,.007,.007,.014,18
,CARMEL MT RCH,.010,.011,C,C,C,.019,.021,.015,.017,.012,.016,.016,.014,.014,.012,.018,.014,.013,.012,.009,.010,.008,.010,.007,.013,.021,06
,CHULA VISTA,.013,.013,C,C,.014,.014,.014,.013,.015,M,M,.011,.005,.006,.008,.005,.004,.007,.011,.016,.014,.014,.020,.016,.012,.020,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.015,.013,C,C,C,.015,.013,M,M,M,M,M,M,M,M,M,.013,.011,.009,.008,.008,.007,.006,.006,.010,.015,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.007,.010,.012,.015,.011,.011,.009,M,M,.005,.005,.009,.006,.007,.009,.011,.009,.013,.015,.011,.009,.015,07
,OTAY MESA DVN,.007,.012,C,C,.007,.009,.008,.009,M,.012,.020,.020,.008,.003,.003,.004,.003,.003,.002,.003,.005,.012,.012,.010,.008,.020,10
,PENDLETON,.007,.005,C,C,.006,.007,.010,.007,.006,.005,.005,.004,.004,.004,.004,.004,.003,.002,.012,.012,.014,.011,.009,.007,.007,.014,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.003,.001,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,CARMEL MT RCH,.001,.002,C,C,C,.020,.029,.019,.023,.003,.008,.012,.009,.007,.003,.007,.005,.004,.003,.001,.002,.001,.001,.000,.008,.029,06
,CHULA VISTA,.001,.001,C,C,.007,.008,.014,.028,.034,M,M,.005,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.006,.034,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.015,.013,C,C,C,.017,.020,M,M,M,M,M,M,M,M,M,.002,.001,.001,.000,.000,.000,.000,.000,.006,.020,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.002,.004,.003,.006,.004,M,M,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,09
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.001,M,.006,.009,.007,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.009,10
,PENDLETON,.000,.000,C,C,.001,.001,.003,.001,.002,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
06 CO PPM,CARMEL MT RCH,.5,.5,C,C,C,.6,.8,.6,.7,.3,.5,.7,.7,.7,.5,.8,.7,.7,.6,.4,.4,.3,.5,.3,.6,.8,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,28,28,28,28,28,28,28,28,27,26,25,25,25,25,26,26,27,26,27,28,28,28,28,28,27,28,00
,CARMEL MT RCH,26,26,27,26,27,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,02
,CHULA VISTA,23,23,23,23,22,22,21,21,21,22,24,24,24,24,24,24,24,25,25,25,25,25,25,25,24,25,17
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,27,27,26,26,26,26,26,26,26,27,26,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,26,26,25,26,22
,OTAY MESA DVN,26,25,26,26,26,26,26,26,27,27,26,26,26,26,26,25,25,25,26,26,26,26,26,26,26,27,08
,PENDLETON,23,23,23,24,24,24,23,23,23,23,23,22,22,22,22,23,23,23,24,24,24,24,24,24,23,24,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,8.6,5.0,3.3,5.0,4.2,2.2,1.2,1.2,2.1,1.3,.3,1.7,4.4,21.2,15.7,13.7,18.5,18.0,24.1,27.4,23.4,20.5,21.8,22.7,11.1,27.4,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,38.8,32.7,27.3,32.7,25.4,20.6,20.1,19.7,21.8,20.8,18.0,18.7,18.8,13.7,21.3,16.8,20.7,20.2,18.8,28.0,29.2,29.8,22.3,27.7,23.4,38.8,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,21.1,33.6,54.8,40.4,20.1,22.8,21.1,31.7,25.6,25.6,34.4,37.4,30.8,24.6,22.0,21.2,16.7,19.7,23.4,23.6,35.9,52.4,55.7,61.0,31.4,61.0,23
