Current Date:,12/12/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
12/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.017,.014,C,C,.030,.021,.016,.017,.021,.023,.027,.036,.038,.042,.046,.045,.039,.032,.027,.025,.022,.025,.024,.027,.027,.046,14
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.004,.016,.031,.037,.041,.042,.043,.041,.037,.028,.012,.001,.003,.000,.002,.001,.015,.043,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.002,C,C,C,P,P,.003,.005,.010,.024,.036,.038,.040,.044,.041,.035,.027,.018,.008,.006,.003,.004,.005,.018,.044,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.001,.001,.003,.005,.009,.025,.035,.038,.040,.042,.041,.040,.034,.023,.007,.009,.007,.004,.004,.007,.017,.042,13
,OTAY MESA DVN,.007,.006,C,C,.003,.003,.010,.015,.018,.022,.027,.033,.039,.041,.041,.039,.035,.032,.030,.027,.026,.029,.026,.025,.024,.041,13
,PENDLETON,.002,.003,C,C,.003,.003,.003,.005,.008,.012,,,,,,,,,,,,,,,.004,.012,09
02 NOX PPM,ALPINE,.014,.014,C,C,.004,.009,.013,.017,.014,.014,.012,.008,.010,.009,.007,.008,.010,.012,.013,.012,.014,.008,.008,.006,.011,.017,07
,CARMEL MT RCH,.032,.032,C,C,C,.047,.063,.039,.044,.020,.022,.032,.040,.035,.032,.033,.031,.027,.043,.034,.041,.045,.046,.041,.037,.063,06
,CHULA VISTA,.031,.027,C,C,.051,.041,.057,.060,.053,.039,.016,.009,.005,.005,.004,.004,.006,.013,.026,.045,.038,.046,.037,.033,.029,.060,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.028,.023,C,C,C,P,P,.050,.047,.048,.022,.009,.010,.015,.010,.008,.011,.014,.017,.023,.024,.030,.021,.014,.022,.050,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.021,C,C,.035,.041,.034,.028,.024,.014,.008,.009,.010,.011,.010,.006,.010,.018,.037,.025,.023,.028,.028,.020,.021,.041,05
,OTAY MESA DVN,.024,.027,C,C,.028,.035,.023,.018,.019,.026,.027,.018,.009,.005,.005,.005,.006,.005,.005,.004,.003,.004,.003,.003,.014,.035,05
,PENDLETON,.019,.015,C,C,.017,.020,.019,.021,.023,.022,,,,,,,,,,,,,,,.020,.023,08
03 NO2 PPM,ALPINE,.014,.014,C,C,.004,.008,.011,.013,.011,.010,.008,.006,.008,.007,.006,.007,.009,.012,.012,.011,.011,.008,.008,.006,.009,.014,00
,CARMEL MT RCH,.018,.019,C,C,C,.021,.022,.019,.020,.014,.012,.019,.022,.020,.018,.020,.020,.018,.025,.023,.026,.027,.027,.025,.021,.027,21
,CHULA VISTA,.022,.019,C,C,.024,.028,.029,.029,.025,.023,.012,.007,.004,.003,.002,.003,.005,.011,.023,.033,.029,.028,.024,.024,.019,.033,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.016,C,C,C,P,P,.016,.018,.021,.014,.006,.008,.010,.008,.007,.009,.013,.016,.020,.020,.019,.016,.013,.014,.021,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.019,C,C,.019,.022,.023,.019,.016,.010,.006,.007,.008,.009,.008,.006,.009,.017,.029,.024,.021,.022,.025,.019,.016,.029,18
,OTAY MESA DVN,.024,.025,C,C,.024,.028,.020,.016,.014,.017,.019,.014,.008,.005,.005,.004,.006,.005,.005,.004,.003,.004,.003,.003,.012,.028,05
,PENDLETON,.015,.013,C,C,.013,.013,.013,.012,.010,.011,,,,,,,,,,,,,,,.013,.015,00
