Current Date:,12/2/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
12/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.025,.026,.027,.029,.031,.033,.035,.037,.039,.039,.038,.038,.037,.036,.035,.035,.034,.034,.034,.036,.037,.038,.039,0.034,0.039,09
,CHULA VISTA,.011,.014,.018,.02,.022,.026,.028,.031,.035,.037,.038,.038,.037,.036,.036,.037,.037,.037,.037,.038,.04,.041,.041,.04,0.032,0.041,21
,EL CAJON LES,,,,.022,.024,.026,.028,.032,.036,.038,.038,.037,.035,.033,.031,.03,.029,.029,.028,.028,,,,,0.03,0.038,09
,KEARNY MESA,.009,.012,.016,.019,.021,.024,.028,.032,.036,.037,.036,.036,.034,.031,.03,.029,.029,.03,.03,.031,.033,.037,.038,.037,0.028,0.038,22
,OTAY MESA DVN,.024,.025,.026,.026,.027,.028,.029,.031,.034,.035,.035,.035,.035,.034,.033,.033,.032,.033,.034,.035,.037,.038,.039,.038,0.032,0.039,22
,PENDLETON,.012,.012,.014,.017,.019,.023,.026,.03,.033,.037,.039,.04,.041,.041,.041,.042,.042,.043,.043,.043,.042,.04,.037,.033,0.032,0.043,17
