Current Date:,12/17/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
12/16/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.038,C,C,.043,.045,.043,.043,.041,.040,.039,.040,.040,.044,.046,.048,.046,.042,.036,.034,.033,.034,.034,.038,.039,.040,.048,14
,CHULA VISTA,.000,C,C,.000,.001,.000,.000,.005,.012,.019,.024,.032,.035,.041,.044,.044,.042,.033,.026,.012,.005,.019,.007,.010,.018,.044,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,C,C,C,.002,.002,.002,.003,.008,.016,.026,.034,.041,.045,.043,.043,.036,.023,.016,.007,.008,.010,.012,.011,.018,.045,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,C,C,.007,.009,.010,.008,.009,.024,.030,.033,.037,.040,.041,.042,.042,.037,.026,.023,.024,.024,.025,.019,.014,.024,.042,14
,OTAY MESA DVN,.006,C,C,.011,.021,.013,.015,.021,.024,.029,.029,.037,.040,.041,.045,.041,.040,.035,.032,.034,.031,.028,.019,.029,.028,.045,14
,PENDLETON,.006,C,C,.013,.011,.008,.008,.008,.014,.020,.021,.031,.037,.039,.044,.045,.042,.034,.028,.027,.015,.016,.019,.014,.022,.045,15
02 NOX PPM,ALPINE,.004,C,C,.001,.001,.001,.001,.003,.003,.006,.004,.005,.005,.006,.007,.010,.010,.012,.013,.011,.010,.008,.004,.004,.006,.013,18
,CARMEL MT RCH,.046,C,C,C,.028,.021,.029,.047,.035,.027,.022,.024,.020,.020,.022,.027,.017,.030,.024,.022,.019,.015,.018,.018,.025,.047,07
,CHULA VISTA,.035,C,C,.029,.025,.030,.036,.036,.024,.021,.021,.017,.016,.009,.006,.007,.007,.012,.015,.028,.031,.016,.021,.017,.021,.036,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.052,C,C,C,.042,.039,.034,.053,.034,.026,.016,.011,.010,.008,.011,.010,.013,.020,.023,.032,.028,.022,.019,.014,.025,.053,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.028,C,C,.019,.016,.014,.019,.022,.010,.008,.008,.010,.010,.010,.008,.008,.009,.012,.015,.013,.012,.008,.010,.009,.013,.028,00
,OTAY MESA DVN,.036,C,C,.026,.010,.021,.020,.014,.012,.011,.018,.009,.011,.011,.007,.006,.006,.006,.008,.007,.007,.009,.015,.006,.013,.036,00
,PENDLETON,.020,C,C,.010,.011,.013,.013,.015,.012,.010,.011,.009,.007,.006,.002,.002,.005,.010,.012,.012,.021,.014,.009,.011,.011,.021,20
03 NO2 PPM,ALPINE,.004,C,C,.001,.001,.001,.001,.002,.003,.004,.003,.004,.004,.005,.006,.009,.010,.011,.012,.011,.010,.008,.004,.004,.005,.012,18
