Current Date:,8/7/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/6/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.024,C,C,.048,.046,.039,.048,.044,.053,.064,.073,.077,.074,.073,.073,.065,.052,.041,.036,.033,.025,.025,.017,.048,.077,12
,CHULA VISTA,.029,.027,.024,.022,.020,.016,.015,.023,.034,.036,.037,.040,.041,.041,.038,.039,.033,.035,.037,.037,.036,.034,.033,.034,.031,.041,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.022,.020,C,C,C,.016,.016,.021,.026,.038,.052,.059,.055,.054,.055,.049,.043,.041,.035,.033,.033,.032,.030,.027,.036,.059,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.028,.030,C,C,.022,.019,.021,.026,.034,.041,M,M,M,.040,.042,.039,.041,.038,.032,.029,.028,.027,.024,.023,.030,.042,14
,OTAY MESA DVN,.023,.024,C,C,.016,.014,.015,.017,.023,.032,.038,.043,M,.044,.043,.042,.036,.034,.030,.030,.030,.029,.026,.027,.029,.044,13
,PENDLETON,.040,.041,C,C,.035,.028,.027,.032,.036,.038,.036,.040,.043,M,M,M,M,.032,.031,.032,.032,.034,.035,.034,.034,.043,12
02 NOX PPM,ALPINE,.004,.008,C,C,.005,.007,.014,.009,.009,.007,.005,.005,.005,.005,.005,.005,.005,.006,.007,.007,.006,.009,.009,.013,.007,.014,06
,CARMEL MT RCH,.007,.011,C,C,.026,.035,.035,.031,.034,.032,.024,.024,.027,.029,.026,.018,.022,.024,.021,.015,.019,.020,.015,.011,.023,.035,05
,CHULA VISTA,.003,.004,.004,.004,.005,.009,.016,.014,.005,.004,.003,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.004,.016,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.005,C,C,C,.009,.012,.012,.012,.010,.007,.006,.005,.005,.006,.005,.005,.004,.003,.003,.003,.002,.002,.003,.006,.012,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.002,C,C,.006,.008,.010,.006,.006,.005,M,M,M,.005,.006,.004,.003,.003,.003,.005,.006,.006,.007,.006,.005,.010,06
,OTAY MESA DVN,.003,.003,C,C,.006,.007,.006,.013,.014,.010,.007,.005,M,.004,.004,.003,.003,.003,.004,.004,.004,.004,.004,.004,.005,.014,08
,PENDLETON,.000,.001,C,C,.004,.009,.006,.006,.009,M,M,M,M,M,M,M,M,.003,.003,.003,.003,.003,.003,.003,.004,.009,05
03 NO2 PPM,ALPINE,.004,.007,C,C,.005,.006,.012,.007,.008,.006,.005,.005,.005,.004,.004,.005,.005,.005,.007,.007,.006,.009,.009,.013,.007,.013,23
,CARMEL MT RCH,.005,.008,C,C,.014,.017,.014,.014,.016,.018,.014,.013,.015,.016,.016,.011,.012,.013,.013,.009,.011,.011,.009,.007,.013,.018,09
,CHULA VISTA,.003,.004,.004,.004,.005,.008,.011,.009,.004,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.011,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.005,C,C,C,.008,.009,.007,.008,.007,.006,.005,.004,.004,.005,.004,.004,.003,.003,.003,.002,.002,.002,.003,.005,.009,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.002,C,C,.006,.008,.008,.005,.005,.004,M,M,M,.004,.005,.003,.003,.003,.003,.006,.006,.006,.007,.006,.005,.008,05
,OTAY MESA DVN,.002,.002,C,C,.004,.005,.003,.008,.009,.007,.005,.003,M,.002,.002,.002,.002,.002,.003,.003,.002,.003,.003,.003,.004,.009,08
,PENDLETON,.000,.001,C,C,.003,.008,.005,.004,.006,M,M,M,M,M,M,M,M,.001,.000,.001,.001,.001,.001,.001,.002,.008,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,CARMEL MT RCH,.002,.003,C,C,.012,.018,.021,.017,.017,.014,.010,.011,.012,.012,.011,.007,.009,.010,.008,.006,.008,.009,.006,.003,.010,.021,06
,CHULA VISTA,.000,.000,.000,.000,.000,.001,.005,.004,.001,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.003,.005,.004,.003,.001,.001,.001,.001,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.005,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.002,.002,.001,.001,M,M,M,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,OTAY MESA DVN,.001,.001,C,C,.002,.003,.002,.005,.005,.004,.002,.002,M,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.005,07
,PENDLETON,.000,.000,C,C,.001,.001,.001,.001,.003,M,M,M,M,M,M,M,M,.003,.002,.002,.002,.002,.002,.002,.002,.003,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.6,.6,.5,.4,.4,.4,.4,.5,.5,.6,.5,.6,.6,.5,.4,.4,.4,.3,.2,.4,.6,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,24,25,25,25,24,24,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,02
,CARMEL MT RCH,25,25,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,02
,CHULA VISTA,25,25,24,24,25,25,25,25,25,25,25,25,25,24,25,25,24,24,25,25,25,25,24,24,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
