Current Date:,8/4/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/3/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.044,C,C,.050,.045,.049,.050,.054,.054,.059,.066,.076,.074,.069,.067,.066,.061,.049,.041,.032,.045,.047,.053,.054,.076,12
,CHULA VISTA,.020,.020,.022,.021,.020,.018,.016,.020,.026,.035,.045,.046,.045,.043,.037,.038,.036,.033,.029,.024,.024,.022,.021,.021,.028,.046,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.010,.011,C,C,C,.010,.011,.016,.022,.033,.050,.062,.067,.063,.059,.057,.048,.039,.033,.031,.027,.023,.019,.016,.033,.067,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.014,C,C,.011,,,P,,P,.043,.050,.049,.046,.046,.043,.038,.034,.034,.033,.025,.019,.015,.013,.031,.050,11
,OTAY MESA DVN,.016,.016,C,C,.010,.010,.012,.014,.020,.030,.042,.051,.051,.049,.046,.042,.039,.033,.028,.023,.020,.018,.018,.016,.027,.051,11
,PENDLETON,.012,.020,C,C,.015,.012,.018,.027,.032,.038,.041,.038,.033,.036,.033,.033,.032,.034,.033,.033,.033,.033,.032,.029,.029,.041,10
02 NOX PPM,ALPINE,.006,.004,C,C,.002,.008,.004,.006,.007,.005,.005,.004,.005,.004,.003,.003,.002,.003,.005,.008,.012,.006,.005,.002,.005,.012,20
,CARMEL MT RCH,.012,.008,C,C,.019,.026,.014,.028,.019,.021,.018,.016,<,.017,.016,.015,.013,.012,.014,.017,.016,.014,.011,.013,.016,.028,07
,CHULA VISTA,.002,.002,.002,.002,.003,.004,.007,.006,.007,.007,.004,.002,.002,.002,.001,.002,.002,.001,.001,.002,.001,.002,.001,.001,.003,.007,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.006,C,C,C,.007,.008,.010,.013,.012,.008,.008,.005,.005,.005,.004,.006,.007,.007,.005,.005,.007,.006,.006,.007,.013,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.009,,,P,,P,.006,.006,.005,.004,.007,.005,.005,.006,.005,.004,.006,.008,.008,.008,.006,.009,04
,OTAY MESA DVN,.005,.005,C,C,.008,.008,.006,.006,.006,.007,.007,.006,.004,.004,.004,.004,.003,.003,.003,.003,.004,.004,.004,.005,.005,.008,04
,PENDLETON,.009,.008,C,C,.005,.005,.004,.003,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.002,.002,.009,00
03 NO2 PPM,ALPINE,.006,.004,C,C,.002,.007,.004,.005,.006,.005,.005,.004,.005,.004,.003,.003,.002,.003,.005,.007,.012,.006,.005,.002,.005,.012,20
,CARMEL MT RCH,.007,.005,C,C,.009,.011,.008,.010,.008,.010,.010,.010,<,.010,.011,.009,.007,.007,.009,.012,.010,.009,.008,.008,.009,.012,19
,CHULA VISTA,.003,.002,.002,.002,.003,.004,.005,.005,.005,.005,.003,.002,.002,.001,.001,.001,.002,.001,.001,.002,.001,.002,.001,.001,.002,.005,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.006,C,C,C,.005,.005,.006,.008,.008,.006,.006,.005,.004,.004,.004,.004,.006,.006,.005,.005,.006,.006,.006,.006,.008,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.009,,,P,,P,.005,.005,.005,.004,.006,.004,.005,.006,.005,.005,.006,.008,.008,.008,.006,.009,04
,OTAY MESA DVN,.004,.004,C,C,.006,.005,.004,.003,.003,.005,.005,.004,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.003,.003,.003,.006,04
,PENDLETON,.009,.007,C,C,.005,.005,.004,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.001,.002,.002,.009,00
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.005,.003,C,C,.010,.015,.006,.018,.010,.011,.008,.005,<,.006,.006,.006,.005,.004,.004,.005,.005,.005,.003,.004,.007,.018,07
,CHULA VISTA,.000,.000,.000,.000,.000,.000,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.002,.002,.004,.005,.004,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.001,.005,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,,,P,,P,.001,.001,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,10
,OTAY MESA DVN,.001,.001,C,C,.002,.002,.002,.003,.002,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,07
,PENDLETON,.000,.000,C,C,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.5,.2,.5,.4,.5,.5,.6,<,.6,.6,.6,.6,.6,.6,.6,.6,.5,.5,.4,.5,.6,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,24,25,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,02
,CARMEL MT RCH,26,26,26,26,26,26,25,25,25,25,25,25,<,25,25,25,25,25,25,25,25,25,26,26,25,26,00
,CHULA VISTA,25,24,25,24,24,25,24,25,24,25,25,25,24,25,25,25,25,25,24,24,24,25,24,24,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,25,25,26,26,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,25,25,25,,,P,,P,24,24,24,24,24,24,24,24,24,24,24,25,24,25,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,26,26,25,25,25,25,25,25,25,26,26,27,27,27,26,27,00
,PENDLETON,24,24,25,-24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,25,02
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,8.1,9.0,8.8,5.7,3.4,6.4,5.0,4.2,2.9,3.7,3.4,2.0,9.2,8.8,6.6,7.8,6.2,6.1,9.9,9.9,13.8,9.8,4.8,8.4,6.8,13.8,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,7.7,7.8,9.8,9.6,6.2,11.6,14.1,15.0,17.2,19.6,17.9,12.7,13.8,16.0,13.1,14.1,17.5,13.0,10.7,10.2,12.4,12.9,13.6,10.8,12.8,19.6,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,9.1,6.9,6.6,14.9,9.6,13.4,12.6,13.4,17.4,15.8,14.1,12.5,15.1,11.1,16.8,12.3,8.4,8.9,9.9,8.7,7.9,6.5,7.4,5.1,11.0,17.4,08
,PENDLETON,6.0,4.1,4.3,985.0,9.1,8.9,6.1,11.2,9.1,10.1,7.0,14.0,11.5,8.2,6.9,8.4,6.5,5.4,5.3,6.6,4.0,1.8,5.1,7.9,48.0,985.0,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,355,67,65,68,285,356,305,277,248,283,289,278,302,292,274,273,302,297,314,121,76,60,40,94,222,356,05
,CHULA VISTA,237,285,286,327,292,26,346,259,277,262,250,257,256,253,248,252,268,247,247,249,242,246,279,256,256,346,06
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,172,157,156,185,163,293,189,277,328,297,276,238,249,246,250,250,255,256,209,190,176,207,167,155,223,328,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,275,297,321,322,356,,,P,,P,299,263,280,274,249,245,241,245,240,182,277,291,275,280,274,356,04
,OTAY MESA DVN,337,359,15,25,69,102,339,307,300,303,298,296,292,296,296,297,303,297,309,326,355,347,352,345,274,359,01
,PENDLETON,12,356,332,346,9,5,3,240,254,258,261,257,262,262,259,253,250,251,225,181,223,203,172,161,210,356,01
13 SIGTHETA °,ALPINE,38,16,17,20,34,17,15,24,30,26,28,29,28,30,29,31,24,20,27,47,35,14,16,16,25,47,19
,CHULA VISTA,29,32,34,57,52,50,57,53,48,25,25,24,22,23,24,26,26,20,24,18,17,18,24,51,32,57,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,23,22,25,27,46,40,45,70,45,52,27,31,24,23,26,22,19,25,22,18,15,24,27,28,30,70,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5,9,48,20,17,,,P,,35,27,24,19,19,25,22,16,17,19,17,19,6,8,43,21,48,02
,OTAY MESA DVN,37,18,19,21,57,55,32,34,26,22,19,18,14,13,14,13,10,12,18,19,16,14,12,19,22,57,04
,PENDLETON,16,16,45,21,14,11,37,27,15,15,14,15,13,14,13,14,16,17,18,30,28,22,16,49,21,49,23
14 VWSP MPH,ALPINE,.8,.7,.5,.8,.1,.7,1.0,1.8,2.7,3.9,4.8,4.8,5.5,5.6,5.3,4.9,5.2,3.8,1.7,1.0,.5,1.1,.5,1.2,2.5,5.6,13
,CHULA VISTA,1.5,1.6,1.4,.6,.7,.9,.5,1.4,2.2,5.0,5.4,6.0,6.5,6.3,5.8,5.3,5.0,4.6,3.7,2.5,1.6,1.9,1.4,.4,3.0,6.5,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.0,1.9,1.3,1.6,.7,.8,.6,.9,2.2,2.3,4.8,5.2,6.4,6.8,6.4,5.7,5.8,4.4,3.9,2.8,2.7,1.3,1.1,.9,3.0,6.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.8,3.6,.9,1.9,2.2,,,P,,P,5.9,7.0,7.7,7.4,6.4,6.6,6.5,5.2,4.4,3.0,1.4,2.9,3.0,1.7,4.3,7.7,12
,OTAY MESA DVN,2.1,1.9,2.0,1.7,.3,.6,1.7,2.8,3.5,5.5,6.6,7.1,9.5,9.3,9.3,9.1,10.0,8.2,5.2,3.0,2.3,2.7,2.9,1.4,4.5,10.0,16
,PENDLETON,2.2,1.7,1.1,.5,3.1,3.3,2.2,1.8,4.0,4.8,5.4,5.9,6.1,6.4,6.1,5.8,4.9,3.9,4.1,2.9,1.8,1.5,1.4,.8,3.4,6.4,13
15 SWSP MPH,ALPINE,1.2,.7,.6,1.0,.3,.7,1.0,2.0,3.0,4.3,5.3,5.4,6.1,6.4,5.9,5.6,5.7,4.1,2.0,1.4,1.0,1.2,1.0,1.2,2.8,6.4,13
,CHULA VISTA,1.8,1.9,1.8,1.1,1.1,1.4,1.7,2.1,2.7,5.5,6.0,6.5,7.0,6.8,6.3,5.8,5.5,4.9,4.0,2.6,1.7,2.0,1.9,.9,3.5,7.0,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.1,2.0,1.4,1.7,1.2,1.6,1.2,1.8,2.8,3.1,5.3,6.0,6.9,7.3,7.0,6.2,6.1,4.8,4.2,3.0,2.9,1.5,1.4,1.3,3.5,7.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.8,3.6,1.3,2.1,2.6,,,P,,P,6.5,7.7,8.1,7.8,7.1,7.0,6.9,5.5,4.7,3.3,2.3,3.0,3.1,1.7,4.6,8.1,12
,OTAY MESA DVN,2.6,2.1,2.1,1.8,.7,1.2,2.1,3.2,3.9,6.0,7.0,7.4,9.8,9.5,9.6,9.4,10.2,8.4,5.9,3.3,2.3,2.8,3.0,1.6,4.8,10.2,16
,PENDLETON,2.3,1.8,1.6,.7,3.1,3.4,2.7,2.2,4.2,4.9,5.6,6.1,6.3,6.5,6.3,6.0,5.0,4.1,4.4,3.3,2.0,1.6,1.5,1.2,3.6,6.5,13
16 AMBTEMP °F,ALPINE,74.0,73.8,73.9,74.0,72.9,73.8,75.7,81.4,85.7,88.7,90.3,93.0,93.6,92.9,93.3,90.8,87.8,82.1,76.7,74.4,73.3,74.1,74.0,74.2,81.0,93.6,12
,CARMEL MT RCH,66.2,64.0,63.6,63.0,63.0,63.6,64.2,65.6,71.3,78.0,82.0,84.2,<,82.7,84.8,83.4,80.1,75.8,72.3,70.7,68.5,67.0,65.7,65.1,71.5,84.8,14
,CHULA VISTA,67.6,67.5,67.1,66.9,66.9,66.7,67.2,68.2,71.3,72.7,73.4,73.7,72.5,71.8,72.2,72.0,71.5,69.3,67.9,67.1,66.3,66.0,65.8,65.5,69.0,73.7,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,67.8,66.6,65.6,64.8,65.4,65.5,66.5,70.4,75.7,81.8,86.2,87.9,88.1,88.1,87.0,86.5,84.1,80.5,75.2,71.9,69.9,69.0,67.6,66.4,74.9,88.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
