,CHULA VISTA,.001,.001,.001,.001,.002,.003,.004,.005,.004,.006,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.002,.002,.006,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,C,C,C,.005,.005,.008,<,<,.009,.011,.005,.004,.004,.003,.004,.005,.005,.005,.005,.005,.006,.006,.006,.006,.011,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,C,C,.003,.004,.005,.007,.014,.012,.009,.004,.003,.003,.003,.002,.002,.003,.005,.003,.005,.006,.005,.004,.006,.005,.014,07
,OTAY MESA DVN,.005,C,C,.006,.007,.007,.011,.014,.010,.006,.005,.006,.004,.004,.003,.003,.003,.003,.003,.003,.003,.004,.004,.004,.005,.014,07
,PENDLETON,.004,C,C,.002,.002,.002,.002,.002,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,00
03 NO2 PPM,ALPINE,.002,C,C,.002,.002,.002,.003,.005,.003,.004,.005,.004,.004,.003,.003,.002,.003,.002,.004,.005,.007,.005,.006,.002,.004,.007,20
,CARMEL MT RCH,.005,C,C,.008,.007,.012,.010,.010,.010,.009,.008,.008,.008,.007,.007,.006,.007,.007,.008,.008,.009,.009,.007,.005,.008,.012,05
,CHULA VISTA,.001,.001,.001,.001,.002,.003,.003,.004,.003,.004,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.002,.002,.004,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,C,C,C,.005,.004,.005,<,<,.007,.008,.005,.003,.003,.002,.003,.004,.004,.004,.005,.005,.005,.006,.006,.005,.008,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,C,C,.003,.004,.005,.005,.009,.008,.007,.004,.003,.003,.002,.002,.002,.003,.005,.003,.005,.006,.005,.005,.006,.005,.009,00
,OTAY MESA DVN,.003,C,C,.004,.004,.005,.006,.008,.007,.004,.004,.004,.003,.002,.002,.001,.001,.001,.002,.002,.002,.002,.003,.003,.003,.008,07
,PENDLETON,.004,C,C,.002,.002,.002,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,00
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,CARMEL MT RCH,.001,C,C,.004,.004,.009,.013,.010,.009,.007,.005,.005,.004,.005,.004,.004,.004,.005,.005,.005,.006,.005,.003,.002,.005,.013,06
,CHULA VISTA,.000,.000,.000,.000,.000,.000,.001,.001,.001,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,C,C,C,.000,.001,.003,<,<,.002,.003,.001,.001,.001,.000,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.003,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,C,C,.000,.000,.000,.001,.005,.004,.002,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.001,.005,07
,OTAY MESA DVN,.002,C,C,.002,.002,.002,.005,.006,.003,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.006,07
,PENDLETON,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
06 CO PPM,CARMEL MT RCH,.4,C,C,.3,.3,.5,.7,.5,.5,.6,.5,.5,.6,.6,.5,.6,.6,.5,.5,.4,.5,.4,.3,.3,.5,.7,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,25,25,24,24,25,24,24,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,01
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,00
,CHULA VISTA,24,25,25,25,24,25,25,25,25,25,25,25,25,24,25,25,25,24,24,24,24,25,24,25,25,25,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,25,26,26,26,26,25,26,<,<,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,26,26,26,25,25,25,25,25,25,25,26,26,27,27,26,27,00
,PENDLETON,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.1,4.4,6.7,8.9,6.7,5.6,4.5,3.3,3.2,4.2,5.9,8.2,8.7,5.9,9.4,8.9,6.6,4.5,4.4,10.0,10.5,8.0,7.3,6.0,6.5,10.5,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.7,15.5,6.4,9.6,8.1,9.4,10.5,,13.8,13.0,20.3,18.4,15.5,7.0,13.3,10.3,9.9,9.4,7.3,7.0,8.5,9.5,6.9,6.6,10.6,20.3,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.0,7.4,10.3,11.0,8.0,5.2,13.3,21.5,24.3,14.5,16.2,15.2,19.1,11.7,10.5,8.3,9.3,6.7,3.6,5.4,6.8,6.9,7.0,7.4,10.5,24.3,08
,PENDLETON,7.1,6.6,7.6,10.0,6.6,8.7,11.9,9.2,7.9,10.8,10.0,6.5,2.6,.1,4.1,5.2,3.6,3.6,6.7,5.0,2.9,1.6,2.4,4.4,6.0,11.9,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,84,336,356,324,35,9,100,231,250,268,303,293,272,279,277,300,304,284,298,292,79,84,101,108,219,356,02
,CHULA VISTA,247,275,342,251,17,79,236,240,268,261,265,254,262,249,251,248,248,248,239,240,243,237,252,256,238,342,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,173,202,134,105,100,110,240,<,<,277,252,254,256,242,267,227,224,213,202,199,179,183,177,176,200,277,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,293,297,22,318,90,50,256,230,246,261,275,286,284,273,274,285,275,283,285,287,283,268,273,319,251,319,23
,OTAY MESA DVN,280,345,358,355,7,143,261,311,292,296,296,295,294,296,295,298,297,304,308,297,334,352,329,351,291,358,02
,PENDLETON,356,339,340,352,59,30,58,252,261,258,253,247,252,264,261,262,250,258,243,218,197,223,239,235,238,356,00
13 SIGTHETA °,ALPINE,17,23,24,16,36,16,25,25,26,29,25,35,35,30,28,26,26,23,22,15,34,47,18,14,26,47,21
,CHULA VISTA,31,42,41,55,33,33,65,72,27,23,26,26,23,20,17,23,20,21,18,19,16,16,27,28,30,72,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,29,20,43,13,26,49,<,<,28,27,42,30,21,26,24,20,17,18,20,19,21,22,33,26,49,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,31,45,62,28,29,16,37,34,27,28,25,25,19,17,18,13,14,9,7,5,6,7,19,23,62,03
,OTAY MESA DVN,42,20,21,26,29,25,27,23,16,15,13,15,14,12,13,12,13,13,12,16,18,10,14,26,19,42,00
,PENDLETON,21,23,26,49,37,32,37,40,37,20,18,14,15,13,12,14,13,14,21,32,24,26,32,40,25,49,03
14 VWSP MPH,ALPINE,.6,.8,.5,1.0,.6,.8,.5,1.7,2.9,3.5,4.7,4.0,4.2,5.3,5.5,5.3,4.9,4.4,2.6,.9,.9,.8,1.7,1.4,2.5,5.5,14
,CHULA VISTA,1.1,1.4,1.5,.8,1.5,1.7,.3,1.0,3.6,4.8,4.6,5.3,6.1,7.3,7.4,5.8,6.7,4.9,3.5,2.1,1.9,1.8,.9,.5,3.2,7.4,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.5,.8,1.4,.8,.9,.9,.6,<,<,4.9,4.6,3.8,4.5,6.7,5.5,6.1,6.1,6.6,4.0,2.5,2.1,2.0,1.8,1.0,3.1,6.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.6,2.0,1.0,.6,1.7,1.3,2.9,2.6,3.0,5.5,5.8,5.6,7.6,8.6,8.2,7.1,7.6,6.9,4.9,3.8,3.5,4.1,3.8,1.4,4.2,8.6,13
,OTAY MESA DVN,1.3,2.7,1.5,.8,1.3,.5,.8,3.1,5.3,7.9,8.2,8.5,8.5,10.1,8.9,8.8,9.6,8.4,6.9,3.7,2.5,3.0,2.1,1.9,4.8,10.1,13
,PENDLETON,1.9,2.0,2.0,1.2,1.6,2.2,1.1,1.3,2.1,3.6,3.7,5.7,5.8,5.6,6.7,5.7,6.4,5.5,3.7,1.8,2.4,1.9,1.6,.9,3.2,6.7,14
15 SWSP MPH,ALPINE,.6,1.1,.7,1.0,1.0,1.3,.8,2.5,3.3,4.1,5.1,4.7,5.0,6.1,6.1,6.0,5.4,4.7,3.0,1.1,1.4,1.9,1.9,1.4,2.9,6.1,13
,CHULA VISTA,1.5,1.7,1.7,1.4,1.8,2.0,1.3,1.8,3.9,5.2,5.2,5.8,6.6,7.7,7.7,6.2,7.0,5.2,3.7,2.2,2.0,1.9,1.0,.8,3.6,7.7,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.8,1.0,1.6,1.0,1.0,.9,.8,<,<,5.4,5.3,4.8,5.5,7.3,6.1,6.9,6.5,6.9,4.2,2.6,2.3,2.2,1.9,1.4,3.5,7.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.0,2.4,1.3,1.2,2.2,2.0,3.0,3.2,4.0,6.1,6.7,6.2,8.4,9.0,8.6,7.4,7.8,7.1,5.0,3.8,3.5,4.2,3.9,1.5,4.6,9.0,13
,OTAY MESA DVN,1.4,2.9,1.6,.9,1.4,.7,1.0,3.5,5.5,8.1,8.4,8.8,8.8,10.3,9.2,9.0,9.8,8.6,7.0,4.1,2.7,3.1,2.5,2.2,5.1,10.3,13
,PENDLETON,2.0,2.2,2.2,1.7,2.0,2.7,1.6,2.2,2.4,3.9,3.9,5.9,6.0,5.7,6.8,5.8,6.5,5.7,3.9,2.3,2.7,2.1,2.0,1.5,3.5,6.8,14
16 AMBTEMP °F,ALPINE,74.5,74.1,73.5,73.0,72.6,73.5,78.3,84.0,85.8,88.9,89.1,91.6,94.6,95.1,94.5,92.8,88.9,84.0,77.0,72.6,71.9,73.3,73.0,73.7,81.3,95.1,13
,CARMEL MT RCH,63.9,62.4,61.7,61.3,61.0,61.4,65.3,68.0,73.2,77.2,78.5,82.9,85.3,84.9,84.3,82.7,81.1,76.6,71.9,69.2,68.2,66.8,65.6,64.1,71.6,85.3,12
,CHULA VISTA,65.4,65.5,65.5,65.2,65.0,64.0,63.9,66.6,68.2,68.1,70.7,73.8,74.3,74.7,74.0,72.8,71.5,69.6,67.6,66.7,66.4,66.0,66.0,66.0,68.2,74.7,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,65.9,65.3,63.9,63.1,62.6,62.8,67.2,<,<,81.6,83.8,86.6,89.9,90.0,90.9,89.0,86.2,80.1,74.9,72.0,70.2,68.6,67.3,66.4,74.9,90.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.7,64.2,64.5,64.0,63.7,63.2,64.0,65.7,72.8,76.8,78.7,81.8,84.3,83.3,81.9,81.0,79.2,75.0,71.6,68.6,67.4,66.2,65.6,65.3,71.4,84.3,12
,OTAY MESA DVN,63.0,62.6,62.9,62.7,62.1,62.0,64.7,68.2,74.3,75.9,76.4,79.3,82.6,80.8,80.2,78.7,77.1,72.8,70.0,66.8,66.2,65.6,64.8,64.2,70.2,82.6,12
,PENDLETON,67.0,67.6,67.5,67.2,67.2,66.3,66.2,67.7,68.3,69.5,70.5,72.6,73.9,74.1,74.2,73.2,73.5,71.3,70.3,69.9,69.2,68.8,68.6,68.5,69.7,74.2,14
17 RELHUM %,ALPINE,38,38,37,37,38,35,30,23,22,24,30,27,25,26,26,27,33,38,53,63,65,57,51,43,37,65,20
,EL CAJON LES,86,87,90,91,92,93,81,<,<,51,46,42,37,38,35,41,45,56,65,72,76,80,83,85,67,93,05
,KEARNY MESA,93,94,95,97,97,98,98,97,84,69,63,53,46,46,51,54,57,66,73,81,85,88,91,91,78,98,05
18 PRES mmHg,KEARNY MESA,745,745,745,745,745,745,745,745,745,746,746,745,745,745,745,744,744,744,745,745,745,746,746,745,745,746,09
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,28,160,441,616,667,933,988,989,914,810,638,425,211,33,0,0,0,0,0,327,989,12
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.1,<,<,.1,.3,.2,.2,.2,.2,.2,.2,.2,.1,.1,.0,.0,.0,.0,.1,.3,10
29 CO Tr PPB,EL CAJON LES,232.5,C,C,C,196.0,217.4,263.9,<,<,369.1,381.1,315.3,275.0,262.5,226.9,236.5,239.9,220.6,216.2,218.0,214.1,226.0,234.9,235.2,251.6,381.1,10
