Current Date:,8/31/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/30/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.040,C,C,.038,.038,.035,.032,.039,.051,.062,.069,.083,.073,.068,.061,.053,.047,.033,.026,.023,.016,.027,.034,.044,.083,12
,CHULA VISTA,.010,.003,C,C,.012,.006,.019,.021,.027,.035,.038,.042,.041,.041,.036,.028,.025,.025,.023,.022,.020,.021,.021,.022,.024,.042,11
,DOWNTOWN SES,.015,.016,C,C,.003,.001,.006,.016,.025,.034,.037,.043,.044,.040,.031,.028,.026,.022,.018,.014,.018,.015,.017,.019,.022,.044,12
,EL CAJON LES,.011,.011,C,C,C,.004,.010,.022,.032,M,.053,.055,.061,.062,.054,.046,.041,.032,.020,.018,.015,.013,.012,.010,.029,.062,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.016,C,C,.003,.001,.008,.023,.025,.036,.044,.048,.051,.046,.045,.034,.030,.026,.020,.016,.015,.015,.017,.017,.025,.051,12
,OTAY MESA DVN,.012,.007,C,C,.002,P,P,.012,.025,.042,.041,.047,.048,.046,.042,.034,.029,.025,.022,.019,.018,.017,.017,.014,.025,.048,12
,PENDLETON,.031,.024,C,C,.016,.009,.011,.020,.028,.041,.042,.036,.028,.028,.023,.022,.027,.036,.033,.029,.026,.023,.016,.018,.025,.042,10
02 NOX PPM,ALPINE,.005,.004,C,C,.003,.004,.005,.011,.008,.005,.005,.004,.006,.004,.004,.004,.003,.003,.006,.007,.008,.014,.009,.004,.006,.014,21
,CARMEL MT RCH,.019,.015,.022,.028,.048,.058,.023,.023,.034,M,M,M,.025,.025,.024,.023,.020,.018,.017,.021,.020,.017,.017,.009,.024,.058,05
,CHULA VISTA,.010,.014,C,C,.012,.020,.009,.009,.012,.004,.004,.003,.003,.003,.002,.003,.002,.002,.001,.002,.002,.001,.002,.003,.006,.020,05
,DOWNTOWN SES,.013,.012,C,C,.026,.040,.036,.024,.018,.011,.012,.009,.009,.006,.007,.008,.007,.007,.008,.012,.007,.012,.011,.007,.014,.040,05
,EL CAJON LES,.010,.010,C,C,C,.017,.017,.010,.011,M,.014,.013,.007,.005,.005,.004,.004,.006,.007,.006,.007,.007,.008,.008,.009,.017,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.011,C,C,.028,.050,.036,.015,.021,.018,.009,.007,.004,.004,.004,.004,.003,.003,.004,.005,.006,.007,.005,.004,.012,.050,05
,OTAY MESA DVN,.013,.016,C,C,.032,P,P,.049,.032,.015,.007,.006,.006,.005,.004,.004,.004,.004,.004,.004,.004,.004,.004,.005,.011,.049,07
,PENDLETON,.005,.006,C,C,.008,.012,.011,.009,.007,.003,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.003,.011,.008,.004,.012,05
03 NO2 PPM,ALPINE,.004,.004,C,C,.003,.003,.004,.008,.006,.004,.005,.004,.006,.003,.003,.003,.003,.003,.006,.007,.008,.014,.009,.004,.005,.014,21
,CARMEL MT RCH,.014,.012,.017,.022,.025,.027,.015,.013,.020,M,M,M,.014,.014,.013,.012,.010,.009,.008,.011,.010,.010,.011,.006,.014,.027,05
,CHULA VISTA,.010,.014,C,C,.012,.018,.008,.007,.009,.003,.003,.002,.003,.002,.002,.002,.002,.001,.001,.002,.002,.002,.002,.003,.005,.018,05
,DOWNTOWN SES,.013,.012,C,C,.019,.020,.021,.015,.013,.008,.008,.007,.007,.004,.005,.006,.005,.006,.008,.012,.007,.012,.010,.007,.010,.021,06
,EL CAJON LES,.010,.009,C,C,C,.012,.011,.007,.008,M,.012,.010,.005,.004,.004,.003,.003,.005,.007,.006,.006,.007,.007,.007,.007,.012,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.011,C,C,.019,.022,.018,.011,.015,.014,.007,.006,.004,.003,.003,.003,.003,.003,.004,.005,.006,.007,.005,.004,.009,.022,05
,OTAY MESA DVN,.009,.014,C,C,.021,P,P,.027,.021,.012,.005,.004,.004,.003,.003,.002,.002,.002,.003,.003,.003,.003,.003,.004,.007,.027,07
,PENDLETON,.005,.006,C,C,.008,.010,.007,.006,.005,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.010,.008,.003,.010,05
