Current Date:,8/9/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/8/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.020,.017,C,C,.041,.037,.042,.042,.040,.049,.057,.068,.077,.071,.062,.059,.055,.053,.049,.042,.038,.037,.042,.041,.047,.077,12
,CHULA VISTA,.034,.032,C,C,.027,.026,.025,.026,.030,.034,.043,.044,.044,.044,.042,.042,.042,.040,.037,.035,.032,.032,.034,.033,.035,.044,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.023,C,C,C,.018,M,M,M,M,M,M,M,M,M,M,.052,.047,.035,.030,.027,.024,.022,.019,.029,.052,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.026,.025,C,C,.025,.026,.023,.023,.025,M,M,.046,.044,.045,.045,.047,.043,.038,.034,.029,.027,.026,.025,.019,.032,.047,15
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,.036,.043,.049,.048,.050,.050,.050,.047,.042,.036,.033,.032,.028,.026,.023,.039,.050,13
,PENDLETON,.031,.032,C,C,.034,.028,.026,.023,.029,.035,.039,.039,.036,.039,.039,.041,.038,.042,.042,.044,.044,.041,.038,.036,.036,.044,19
02 NOX PPM,ALPINE,.010,.010,C,C,.005,.009,.005,.011,.014,.007,.007,.006,.005,.004,.004,.004,.003,.004,.006,.007,.007,.008,.003,.003,.006,.014,08
,CARMEL MT RCH,.012,.018,C,C,.028,.023,.023,.018,.038,.038,.029,.026,.029,.022,.021,.019,.019,.018,.016,.017,.022,.018,.013,.015,.022,.038,08
,CHULA VISTA,.002,.002,C,C,.004,.005,.009,.006,.007,.009,.004,.002,.002,.002,.003,.002,.002,.002,.002,.003,.003,.003,.002,.003,.004,.009,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.007,M,M,M,M,M,M,M,M,M,M,.005,.007,.008,.007,.007,.007,.007,.007,.006,.008,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.006,.005,.007,.008,.013,M,M,.006,.003,.003,.003,.003,.003,.003,.004,.005,.007,.008,.007,.009,.006,.013,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,.008,.010,.007,.006,.005,.005,.004,.004,.004,.004,.004,.004,.004,.005,.009,.006,.010,10
,PENDLETON,.001,.001,C,C,.008,.003,.003,.005,.003,.003,.000,.000,.010,.000,.000,-.001,-.001,-.001,-.001,-.001,-.001,.001,.001,.001,.002,.010,12
03 NO2 PPM,ALPINE,.010,.009,C,C,.005,.008,.005,.009,.010,.006,.006,.006,.005,.004,.003,.004,.003,.003,.006,.007,.007,.008,.003,.003,.006,.010,00
,CARMEL MT RCH,.008,.011,C,C,.013,.012,.011,.009,.017,.017,.015,.014,.014,.011,.011,.010,.011,.011,.009,.010,.014,.011,.008,.011,.012,.017,08
,CHULA VISTA,.002,.002,C,C,.004,.005,.008,.005,.005,.006,.003,.002,.002,.002,.002,.002,.002,.002,.002,.003,.003,.003,.002,.003,.003,.008,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.006,M,M,M,M,M,M,M,M,M,M,.004,.006,.007,.007,.007,.006,.007,.007,.006,.007,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.006,.005,.006,.006,.009,M,M,.005,.003,.003,.003,.003,.003,.003,.004,.005,.007,.008,.008,.009,.005,.009,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,.006,.008,.005,.004,.003,.003,.003,.003,.003,.003,.002,.002,.003,.003,.006,.004,.008,10
,PENDLETON,.003,.003,C,C,.004,.005,.004,.005,.003,.003,.001,.001,.006,.001,.001,.000,.000,.000,.000,.000,.001,.003,.003,.003,.002,.006,12
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.002,.004,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,08
,CARMEL MT RCH,.004,.007,C,C,.015,.012,.012,.009,.021,.020,.013,.012,.015,.012,.010,.010,.008,.008,.007,.007,.008,.007,.005,.004,.010,.021,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.001,.002,.002,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,M,M,M,M,M,M,M,M,M,M,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
