,KEARNY MESA,.011,.003,C,C,.004,.006,.009,.011,M,M,.010,.007,M,M,.003,.003,.004,.003,.003,.004,.006,.008,.011,.011,.007,.011,00
,OTAY MESA DVN,.004,.006,C,C,.008,.011,.012,M,M,M,.014,.009,.006,.006,.006,.005,.005,.005,.004,.005,.004,.005,.005,.006,.007,.014,10
,PENDLETON,.005,.005,C,C,.014,.004,.003,.004,.007,.008,.004,.002,.003,.002,.011,.029,.001,.001,.001,.001,.001,.004,.013,.009,.006,.029,15
03 NO2 PPM,ALPINE,.003,.003,C,C,.004,.005,.007,.006,.007,.006,.006,.006,.005,.005,.004,.004,.004,.005,.005,.006,.006,.010,.005,.004,.005,.010,21
,CARMEL MT RCH,.007,.007,C,C,.012,.011,.016,.015,.017,.019,.020,.014,.013,.014,.012,.010,.010,.010,.008,.011,.010,.013,.011,.010,.012,.020,10
,CHULA VISTA,.004,.005,C,C,.006,.007,.007,.007,.007,.010,M,M,.002,.003,.003,.002,.003,.003,.003,.007,.008,.009,.009,.007,.006,.010,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.005,C,C,C,.007,M,M,M,M,M,M,M,M,M,M,M,M,.007,.008,.011,.010,.009,.009,.008,.011,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.003,C,C,.004,.006,.008,.007,M,M,.008,.006,M,M,.003,.003,.004,.003,.003,.004,.006,.008,.011,.011,.006,.011,00
,OTAY MESA DVN,.003,.004,C,C,.006,.008,.008,M,M,M,.010,.007,.004,.004,.004,.004,.003,.004,.003,.004,.003,.004,.004,.004,.005,.010,10
,PENDLETON,.005,.005,C,C,.009,.004,.003,.003,.005,.004,.003,.002,.002,.001,.004,.008,.001,.001,.001,.001,.001,.004,.013,.009,.004,.013,22
04 NO PPM,ALPINE,.000,.001,C,C,.001,.001,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,CARMEL MT RCH,.005,.007,C,C,.008,.005,.022,.027,.028,.023,.017,.010,.010,.011,.009,.007,.007,.006,.005,.009,.008,.007,.006,.005,.011,.028,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.002,.004,.005,M,M,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,M,M,M,M,M,M,M,M,M,M,M,M,.000,.001,.000,.000,.000,.000,.000,.001,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.004,M,M,.002,.001,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,07
,OTAY MESA DVN,.001,.002,C,C,.002,.003,.004,M,M,M,.004,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.004,06
,PENDLETON,.000,.000,C,C,.006,.000,.000,.001,.003,.004,.001,.001,.001,.001,.007,.021,.000,.000,.000,.000,.000,.000,.000,.000,.002,.021,15
06 CO PPM,CARMEL MT RCH,.2,.3,C,C,C,.3,.6,.6,.5,.5,.5,.4,.5,.6,.4,.4,.4,.5,.5,.5,.5,.5,.5,.4,.5,.6,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,00
,CHULA VISTA,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,24,25,25,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,26,27,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,26,26,27,26,25,25,25,24,24,24,25,24,25,26,26,26,27,26,27,00
,PENDLETON,24,24,25,25,25,25,25,24,24,26,25,24,24,1,-37,24,24,24,24,25,25,25,25,25,21,26,09
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,9.7,8.7,6.1,4.9,3.5,9.9,8.2,7.1,4.9,3.7,9.6,9.9,8.7,14.6,11.8,9.8,7.7,8.4,11.1,9.2,7.8,14.3,9.3,7.8,8.6,14.6,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,9.5,12.2,10.9,10.0,6.7,11.1,11.9,20.7,19.0,18.6,18.0,18.6,16.1,15.5,14.5,11.2,11.4,12.3,10.1,9.5,12.6,12.2,16.6,9.0,13.2,20.7,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.0,25.1,11.9,8.3,15.2,21.6,12.9,16.4,18.1,19.9,21.9,M,M,M,M,M,M,M,M,M,M,M,M,M,16.1,25.1,01
,PENDLETON,10.0,8.7,11.3,11.7,10.0,9.7,7.2,4.5,5.1,12.0,10.4,14.1,8.9,M,13.8,8.9,9.3,11.0,9.2,5.9,6.4,5.5,6.4,7.2,9.0,14.1,11
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,71,25,353,53,55,97,115,283,264,276,293,289,270,293,268,282,274,310,327,332,27,90,2,13,194,353,02
,CHULA VISTA,1,349,350,10,31,16,12,352,253,268,261,255,258,268,265,263,262,261,261,285,290,222,218,137,215,352,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,129,120,197,330,296,120,102,189,298,258,261,258,249,257,257,252,253,252,264,255,169,176,156,161,219,330,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,339,323,293,303,349,324,322,310,316,273,249,281,296,292,299,294,293,299,290,291,289,280,299,312,301,349,04
,OTAY MESA DVN,7,29,3,350,75,58,101,309,309,304,306,300,299,296,299,297,296,290,300,313,313,276,3,0,214,350,03
,PENDLETON,9,9,13,4,17,27,355,21,256,264,258,266,273,273,267,262,264,266,281,310,314,322,353,14,196,355,06
13 SIGTHETA °,ALPINE,36,26,25,23,10,18,22,40,24,28,33,32,31,28,33,29,28,22,19,17,36,13,20,20,26,40,07
,CHULA VISTA,51,36,48,30,28,29,48,37,79,29,25,22,22,M,21,20,20,23,18,17,21,18,24,16,30,79,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,20,33,22,28,20,17,44,68,72,52,37,29,28,26,23,27,21,20,17,23,13,17,16,33,29,72,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,16,28,14,26,35,39,45,32,29,37,31,25,17,18,17,17,16,13,8,7,6,6,6,10,21,45,06
,OTAY MESA DVN,12,20,13,18,22,46,45,35,39,27,17,18,18,14,14,13,12,13,10,15,24,27,16,16,21,46,05
,PENDLETON,25,12,17,18,15,21,30,47,37,19,13,15,16,23,22,14,14,16,20,20,24,17,13,10,20,47,07
14 VWSP MPH,ALPINE,.7,.7,1.9,.7,.9,1.0,.3,1.9,3.2,3.6,4.0,4.6,4.8,5.2,4.6,4.7,4.2,3.9,1.8,1.0,.4,1.3,.9,.7,2.4,5.2,13
,CHULA VISTA,.3,1.1,1.5,1.8,1.6,1.5,1.3,1.7,.7,4.6,5.4,6.4,6.5,7.2,7.1,6.7,6.0,5.1,5.2,3.5,2.0,1.1,.8,.9,3.3,7.2,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.1,1.0,.2,.7,.1,.8,.7,.5,.7,2.2,3.5,4.5,5.2,5.9,5.6,4.7,5.3,4.5,4.6,2.6,2.7,2.0,1.4,.8,2.6,5.9,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.7,2.2,3.3,2.4,1.5,1.3,1.6,3.5,3.9,3.7,5.8,7.4,8.8,9.0,8.3,8.4,8.2,8.2,8.2,5.4,3.5,3.2,3.1,1.7,4.8,9.0,13
,OTAY MESA DVN,2.2,1.2,2.3,2.5,1.7,.9,.7,1.7,2.4,4.2,6.8,7.1,7.8,9.0,9.1,8.5,8.7,7.1,6.3,3.9,2.0,1.2,1.4,1.2,4.2,9.1,14
,PENDLETON,2.5,3.2,3.2,2.8,4.0,3.3,2.1,1.5,1.3,3.7,5.7,5.4,5.6,4.0,1.0,5.4,4.8,3.7,3.1,3.7,3.0,2.8,1.7,2.2,3.3,5.7,10
15 SWSP MPH,ALPINE,.9,1.2,2.1,.8,1.0,1.1,.5,2.2,3.5,4.2,4.6,5.3,5.5,5.9,5.5,5.3,4.8,4.2,1.9,1.1,1.0,1.4,1.1,.9,2.8,5.9,13
,CHULA VISTA,.8,1.3,1.9,2.1,1.7,1.8,1.7,2.1,2.0,5.3,6.0,6.9,7.0,7.6,7.6,7.0,6.4,5.4,5.4,3.7,2.2,1.2,.9,1.0,3.7,7.6,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,1.2,.5,.9,.7,.8,.8,1.0,1.8,3.0,4.2,5.2,6.0,6.6,6.1,5.1,5.7,4.8,4.8,2.8,2.8,2.0,1.5,1.0,2.9,6.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.7,2.5,3.4,2.9,2.2,1.8,2.3,4.4,4.4,4.5,6.6,8.3,9.2,9.4,8.7,8.8,8.5,8.4,8.3,5.4,3.6,3.2,3.3,1.8,5.2,9.4,13
,OTAY MESA DVN,2.3,1.4,2.3,2.7,1.9,1.4,1.2,2.3,2.9,4.6,7.1,7.5,8.2,9.3,9.4,8.8,8.9,7.3,6.4,4.1,2.6,1.4,1.4,1.2,4.4,9.4,14
,PENDLETON,3.1,3.3,3.4,3.0,4.2,3.6,2.4,1.9,2.5,4.0,5.9,5.6,5.8,4.1,1.0,5.6,4.9,3.9,3.4,3.9,3.2,3.0,1.7,2.2,3.6,5.9,10
16 AMBTEMP °F,ALPINE,67.8,68.1,68.3,67.9,69.0,69.5,74.0,79.4,83.0,85.8,88.7,90.3,92.7,93.5,93.0,91.3,89.0,83.9,77.9,74.3,72.4,72.7,73.5,72.9,79.1,93.5,13
,CARMEL MT RCH,60.1,59.6,60.1,60.4,61.2,60.9,62.1,64.1,69.2,76.8,81.7,81.2,81.2,82.0,81.5,81.2,80.3,76.3,71.3,68.2,66.7,65.8,64.6,63.7,70.0,82.0,13
,CHULA VISTA,65.0,65.0,65.1,64.9,64.4,64.1,63.8,64.6,69.2,72.2,72.6,73.2,74.1,74.6,74.8,74.9,74.2,73.1,70.2,69.0,68.4,67.8,67.3,66.4,69.1,74.9,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,62.9,62.1,62.2,61.7,60.8,59.9,60.9,65.7,73.3,79.3,83.4,86.5,87.6,88.6,88.6,89.0,87.0,84.1,79.0,74.6,71.1,69.3,68.1,67.4,73.9,89.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62.3,63.0,62.7,62.4,62.8,63.3,64.1,66.3,69.6,75.1,79.7,80.7,79.3,78.7,78.4,78.4,77.7,74.2,69.1,66.2,65.4,65.1,64.4,63.9,69.7,80.7,11
,OTAY MESA DVN,62.4,62.3,61.8,61.9,61.7,60.8,61.1,63.5,69.4,76.6,78.5,79.4,80.2,79.5,79.0,78.6,77.1,75.0,70.6,68.0,66.8,65.8,66.0,65.4,69.6,80.2,12
,PENDLETON,65.5,65.1,64.6,64.4,63.3,62.3,61.8,62.6,64.9,66.5,68.8,70.4,71.3,31.5,-34.7,72.1,71.0,69.3,68.8,68.3,68.2,67.8,66.8,66.1,61.1,72.1,15
17 RELHUM %,ALPINE,69,67,64,64,56,52,44,36,26,27,29,28,25,25,25,28,28,38,48,55,58,57,53,53,44,69,00
,EL CAJON LES,88,89,89,89,90,93,93,81,63,52,45,41,41,40,39,37,39,42,53,65,75,79,82,83,66,93,05
,KEARNY MESA,90,93,94,95,95,95,93,88,79,65,56,56,58,58,57,58,59,67,79,87,90,91,93,92,79,95,03
18 PRES mmHg,KEARNY MESA,746,745,745,745,745,746,746,746,746,746,746,746,746,745,745,745,745,745,745,745,746,746,746,746,746,746,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,17,144,451,647,817,932,992,986,919,802,628,414,193,25,0,0,0,0,0,332,992,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,M,M,M,M,M,M,M,M,M,M,M,M,.1,.0,.0,.0,.0,.0,.0,.1,18
29 CO Tr PPB,EL CAJON LES,255.0,210.3,C,C,C,263.5,M,M,M,M,C,C,M,M,M,M,C,C,247.0,282.1,252.7,268.6,255.8,279.3,257.1,282.1,19
