03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.004,.011,.010,.008,.005,.005,.005,.005,.005,.004,.004,.005,.006,.006,.007,.008,.006,.005,.003,.005,.011,06
,CARMEL MT RCH,.018,.020,C,C,.017,.013,.021,.024,.021,.017,.021,.014,.014,.017,.017,.014,.011,.011,.011,.011,.014,.014,.012,.014,.016,.024,07
,CHULA VISTA,.012,.015,C,C,.014,.019,.014,M,M,M,M,M,M,.002,.003,.003,.002,.001,.002,.002,.001,.002,.002,.004,.006,.019,05
,DOWNTOWN SES,.009,.007,C,C,.004,.008,.012,.014,.021,.012,.009,.007,.008,.009,.007,.007,.007,.010,.013,.012,.013,.013,.006,.003,.010,.021,08
,EL CAJON LES,.008,.009,C,C,C,.010,.009,.010,.015,M,M,M,.007,.006,.007,.006,.007,.007,.010,.010,.010,.010,.006,.006,.009,.015,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,<,.010,.007,.004,.008,.007,.007,.017,.013,.012,.006,.006,.005,.006,.005,.004,.004,.007,.007,.007,.008,.013,.011,.008,.017,08
,OTAY MESA DVN,.012,.010,C,C,.018,.023,.022,.025,.026,.016,.009,.006,.005,.004,.004,.005,.005,.005,.004,.004,.004,.005,.005,.007,.010,.026,08
,PENDLETON,.010,.009,C,C,.016,.012,.009,.007,.005,.003,.003,.003,.004,.001,.000,.000,.000,.000,.000,.001,.004,.009,.009,.006,.005,.016,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.003,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,06
,CARMEL MT RCH,.004,.003,C,C,.010,.011,.032,.040,.026,.017,.016,.009,.009,.010,.010,.009,.009,.008,.009,.007,.009,.008,.003,.003,.012,.040,07
,CHULA VISTA,.001,.003,C,C,.011,.007,.008,M,M,M,M,M,M,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.011,04
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.003,.007,.014,.005,.003,.002,.002,.003,.002,.003,.002,.002,.001,.000,.000,.000,.000,.000,.002,.014,08
,EL CAJON LES,.000,.000,C,C,C,.005,.005,.005,.008,M,M,M,.001,.001,.001,.001,.001,.001,.001,.000,.001,.001,.000,.000,.002,.008,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,<,.000,.000,.000,.000,.001,.003,.011,.005,.004,.001,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.001,.011,08
,OTAY MESA DVN,.007,.001,C,C,.009,.019,.032,.024,.019,.008,.004,.002,.002,.002,.002,.002,.002,.002,.001,.001,.002,.002,.001,.001,.007,.032,06
,PENDLETON,.000,.000,C,C,.012,.006,.006,.004,.002,.001,.001,.000,.003,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.012,04
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.4,.9,.8,.6,.5,.5,C,.5,.7,.7,.5,.6,.6,.6,.5,.5,.5,.3,.4,.5,.9,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,26,00
,CHULA VISTA,25,25,25,26,25,25,25,24,25,25,25,25,25,25,25,24,25,25,25,24,24,25,25,24,25,26,03
,DOWNTOWN SES,25,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,00
,EL CAJON LES,26,27,27,27,27,27,27,27,27,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,<,25,25,25,24,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,02
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,26,25,24,24,24,25,25,24,24,25,26,26,26,26,26,27,00
,PENDLETON,25,25,26,26,26,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,5.8,8.0,5.1,5.7,3.7,2.1,4.1,7.6,5.4,2.8,7.4,9.9,6.6,13.2,12.3,16.6,16.0,10.8,13.1,12.0,15.5,10.4,14.5,10.7,9.1,16.6,15
,DOWNTOWN SES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,EL CAJON LES,8.8,12.7,11.3,12.9,10.9,7.0,7.8,11.9,17.9,11.3,9.8,16.1,17.0,18.1,M,M,12.1,18.0,11.4,12.3,15.3,12.4,12.8,10.4,12.6,18.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.4,36.4,26.2,29.7,22.9,38.8,33.0,44.5,39.7,16.6,17.1,12.1,M,13.8,13.8,15.0,15.1,15.2,9.4,10.1,11.5,9.8,10.9,11.7,20.3,44.5,07
,PENDLETON,10.1,7.8,5.6,6.5,8.3,8.9,9.4,11.7,10.3,10.8,10.7,13.0,11.7,7.9,6.7,8.9,7.2,4.9,4.2,3.3,7.4,9.2,8.7,5.9,8.2,13.0,11
12 VWDR °,ALPINE,28,354,336,316,338,27,347,220,251,259,290,292,285,291,273,291,308,299,337,33,61,72,85,91,229,354,01
,CHULA VISTA,140,122,120,84,4,55,308,320,276,263,258,253,244,241,251,259,249,246,250,235,234,234,164,192,208,320,07
,DOWNTOWN SES,339,345,320,331,332,15,77,128,249,269,271,269,276,279,255,270,262,236,276,298,272,214,188,168,247,345,01
,EL CAJON LES,121,113,102,226,113,115,340,281,279,284,269,264,247,238,236,247,256,221,241,186,182,188,147,134,210,340,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,<,2,335,353,340,293,244,262,275,247,279,286,278,271,286,294,283,292,300,283,263,85,133,248,353,04
,OTAY MESA DVN,30,67,108,81,72,130,156,311,301,299,294,302,296,297,299,301,298,299,314,339,329,325,348,359,248,359,23
,PENDLETON,49,30,39,56,62,59,69,258,227,233,252,255,252,259,265,263,248,248,237,217,126,95,91,98,166,265,14
13 SIGTHETA °,ALPINE,16,18,19,10,27,15,49,22,31,30,24,27,32,27,31,26,24,23,17,24,21,50,23,15,25,50,21
,CHULA VISTA,12,28,16,32,23,30,40,35,36,26,26,25,23,22,21,25,22,21,19,20,21,29,27,51,26,51,23
,DOWNTOWN SES,15,14,20,23,38,37,41,66,37,M,22,19,20,18,28,22,17,19,21,22,21,20,20,30,26,66,07
,EL CAJON LES,44,28,38,39,21,20,49,63,55,41,28,25,25,23,22,20,22,23,19,20,26,21,20,26,30,63,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,11,7,10,25,28,37,66,34,40,25,22,21,20,21,19,14,13,7,8,9,27,7,9,20,66,07
,OTAY MESA DVN,14,23,17,33,14,9,16,20,23,15,14,17,15,14,12,13,11,11,14,19,13,15,34,30,17,34,22
,PENDLETON,13,8,9,11,13,13,11,37,18,20,13,16,14,13,13,12,17,14,17,18,35,13,14,18,16,37,07
14 VWSP MPH,ALPINE,1.0,1.0,.5,.7,.7,.7,.1,1.1,2.6,3.5,4.5,5.0,5.0,6.0,5.5,4.9,4.8,3.0,2.3,1.5,.6,.5,1.4,1.8,2.4,6.0,13
,CHULA VISTA,1.2,.9,.7,.1,1.1,.6,1.2,1.9,2.6,4.2,5.1,6.2,6.0,5.8,6.4,5.2,4.9,4.4,3.4,2.0,2.6,2.1,1.6,.4,2.9,6.4,14
,DOWNTOWN SES,1.7,1.7,2.0,2.8,2.1,1.5,1.3,.3,2.9,4.8,5.8,6.6,5.9,6.6,5.6,5.7,5.8,4.8,3.4,2.3,2.2,2.9,2.4,2.6,3.5,6.6,11
,EL CAJON LES,.5,.5,.2,.0,.8,.7,.2,.5,1.3,2.7,4.1,5.3,5.5,6.5,6.7,6.2,5.7,4.1,3.5,2.6,1.5,2.5,2.0,1.3,2.7,6.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.0,<,3.2,3.7,2.6,1.3,1.5,1.1,2.6,3.4,5.6,7.1,7.0,7.8,7.8,7.9,7.9,5.8,5.8,4.6,3.1,2.1,2.5,2.8,4.4,7.9,15
,OTAY MESA DVN,1.9,1.1,1.5,.2,1.2,2.7,2.9,2.3,3.7,6.9,8.1,6.4,7.4,7.8,8.2,8.9,8.6,7.0,5.1,3.0,2.3,3.4,1.3,.8,4.3,8.9,15
,PENDLETON,2.3,3.2,3.0,2.9,2.9,3.0,2.9,1.8,3.5,4.2,4.9,4.8,6.1,5.9,5.3,5.0,4.2,4.6,3.6,2.4,.9,2.4,2.2,2.5,3.5,6.1,12
15 SWSP MPH,ALPINE,1.2,1.0,.7,.8,.8,.8,.6,1.5,3.0,4.1,4.9,5.5,5.9,6.8,6.3,5.5,5.2,3.4,2.5,2.1,1.4,1.0,1.8,1.9,2.9,6.8,13
,CHULA VISTA,1.2,.9,.7,.2,1.2,1.0,1.4,2.2,3.1,4.6,5.7,6.8,6.4,6.3,6.8,5.7,5.2,4.7,3.5,2.2,2.8,2.5,1.8,1.4,3.3,6.8,11
,DOWNTOWN SES,1.8,1.7,2.2,3.1,2.5,1.8,1.6,1.7,3.8,5.2,6.2,6.9,6.3,6.9,6.6,6.2,6.0,5.2,4.2,2.9,2.4,3.1,2.7,3.0,3.9,6.9,11
,EL CAJON LES,.5,.5,.4,.1,.8,.7,.4,1.3,2.0,3.5,4.6,6.0,6.1,7.0,7.2,6.6,6.2,4.6,3.7,3.1,1.7,2.7,2.2,1.5,3.1,7.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.1,<,3.4,3.8,2.8,2.0,1.9,1.9,3.6,4.2,6.4,7.7,7.4,8.4,8.3,8.4,8.2,6.0,5.8,4.7,3.2,2.2,2.5,2.9,4.8,8.4,13
,OTAY MESA DVN,2.0,1.4,1.9,.4,1.6,2.8,3.1,2.7,4.0,7.1,8.3,6.7,7.7,8.0,8.4,9.1,8.8,7.1,5.4,3.1,2.7,3.7,1.7,1.0,4.5,9.1,15
,PENDLETON,2.4,3.3,3.1,3.0,3.0,3.1,3.0,2.3,3.8,4.5,5.0,5.0,6.3,6.1,5.5,5.1,4.4,4.7,3.8,2.5,1.1,2.5,2.3,2.6,3.7,6.3,12
16 AMBTEMP °F,ALPINE,72.7,72.0,72.1,71.9,71.3,71.4,75.1,81.3,85.1,89.3,91.4,94.4,96.1,95.7,95.5,93.6,89.5,85.0,78.1,74.8,73.9,72.9,72.1,73.4,81.2,96.1,12
,CARMEL MT RCH,63.6,63.0,62.8,62.9,62.9,62.1,65.9,69.9,74.0,78.0,83.7,84.8,86.5,88.1,87.3,85.0,82.4,79.6,74.7,70.3,68.4,66.5,64.6,64.0,73.0,88.1,13
,CHULA VISTA,65.6,65.0,64.1,63.4,62.2,61.8,62.9,65.2,69.9,72.2,73.4,73.0,74.1,74.9,74.7,74.3,73.5,71.5,69.4,68.4,67.7,67.7,67.4,66.6,68.7,74.9,13
,DOWNTOWN SES,66.4,65.9,65.6,65.3,65.1,65.0,65.5,68.2,71.4,73.1,74.6,74.7,76.1,77.1,77.3,76.5,75.6,74.1,71.7,70.1,69.4,68.3,67.4,67.2,70.5,77.3,14
,EL CAJON LES,66.8,65.3,64.4,63.4,61.6,61.4,65.7,71.0,76.7,82.2,86.0,90.1,90.7,91.6,90.8,88.2,87.4,83.6,78.0,73.4,71.1,68.9,66.5,65.2,75.4,91.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.0,<,62.4,63.5,64.5,63.9,64.1,68.1,73.9,78.9,82.9,84.1,85.9,86.8,85.6,83.4,81.1,78.3,73.2,68.2,66.8,66.3,64.2,63.5,72.7,86.8,13
,OTAY MESA DVN,65.7,65.4,64.5,64.5,63.5,62.9,63.9,67.1,73.2,78.0,80.4,82.0,81.7,82.5,82.0,81.2,78.1,75.7,71.4,68.8,67.2,66.1,65.6,64.9,71.5,82.5,13
,PENDLETON,64.9,63.5,63.7,63.2,62.4,62.2,65.0,67.5,69.6,71.2,71.7,73.0,74.5,74.7,74.7,74.4,74.4,73.0,71.0,69.6,69.6,68.7,67.6,67.9,69.1,74.7,13
17 RELHUM %,ALPINE,45,44,42,40,38,38,37,27,23,22,22,19,19,24,24,26,31,37,45,49,52,53,55,44,36,55,22
,EL CAJON LES,83,85,85,86,88,88,73,59,54,47,38,34,38,38,37,41,42,51,61,72,77,83,90,93,64,93,23
,KEARNY MESA,88,<,90,93,95,97,97,92,75,60,53,51,43,39,43,46,46,48,61,77,87,92,92,92,72,97,05
18 PRES mmHg,EL CAJON LES,746,745,745,745,745,745,746,746,746,746,745,745,744,744,743,743,743,743,743,743,744,744,744,744,744,746,00
,KEARNY MESA,743,<,743,743,743,743,744,744,744,744,743,743,742,742,741,741,741,741,741,741,741,742,741,741,742,744,06
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,34,219,427,659,834,960,1025,1006,930,785,592,361,129,4,-3,-2,-1,-1,0,332,1025,11
,KEARNY MESA,0,<,0,0,1,45,146,468,660,803,934,991,989,918,791,621,412,177,15,-1,-1,-1,-1,-1,346,991,11
25 NOY,EL CAJON LES,9.46,10.06,10.15,11.15,13.02,C,C,17.40,25.34,20.55,11.33,12.53,10.76,10.32,10.72,10.44,10.05,10.18,12.06,12.33,11.40,12.19,7.52,7.06,12.09,25.34,08
26 NOY-NO,EL CAJON LES,9.42,10.04,10.06,10.76,11.68,C,C,11.86,16.79,15.06,9.57,10.97,9.49,9.27,9.57,9.21,8.84,9.12,11.65,12.01,11.13,11.77,7.48,7.04,10.58,16.79,08
27 NO Trace,EL CAJON LES,.04,.02,.09,.38,1.34,C,C,5.54,8.54,5.49,1.76,1.55,1.27,1.05,1.15,1.22,1.21,1.06,.41,.31,.27,.41,.04,.02,1.50,8.54,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.0,.1,M,M,M,.2,.2,.2,.2,.2,.2,.1,.1,.1,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,286.9,304.4,C,C,C,378.3,365.3,390.4,523.0,M,C,C,312.9,322.5,294.3,296.7,295.6,301.4,314.9,297.7,294.3,294.6,244.1,211.9,318.2,523.0,08
BCarbon ng/m3,DOWNTOWN SES,412.1,276.4,278.5,184.4,209.9,343.4,524.1,787.2,1980.9,1339.9,1162.3,875.0,794.0,669.4,524.7,541.5,484.2,432.7,537.2,633.9,700.9,805.4,455.9,316.9,636.3,1980.9,08
