Current Date:,8/28/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/27/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.032,.032,C,C,.033,.026,.033,.034,.035,.043,.056,.067,.075,.076,.072,.064,.057,.048,.040,.033,.027,.021,.018,.013,.042,.076,13
,CHULA VISTA,.031,.030,C,C,.023,.021,.019,.020,.026,.036,.041,<,.041,.040,.037,.035,.035,.033,.032,.031,.030,.030,.029,.028,.030,.041,10
,DOWNTOWN SES,.034,.033,C,C,.030,.027,.024,M,M,M,.038,.042,.040,.038,.036,.036,.035,.033,.031,.030,.028,.030,.031,.030,.032,.042,11
,EL CAJON LES,.021,.021,C,C,C,.019,.018,.020,.027,.037,M,M,.054,M,.049,.047,.044,.037,.032,.029,.027,.027,.026,.025,.031,.054,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.022,.019,C,C,.022,.020,.019,M,M,M,M,M,.050,.044,.040,.037,.036,.034,.030,.028,.025,.024,.024,.025,.029,.050,12
,OTAY MESA DVN,.023,.024,C,C,.017,.015,.015,.019,.024,M,M,.049,.042,.041,.040,.036,.032,.029,.028,.025,.024,.024,.024,.022,.027,.049,11
,PENDLETON,.031,.022,C,C,.009,.008,.021,.030,.032,.033,.035,.032,.031,.031,.031,.032,.031,.031,.031,.031,.031,.031,.031,.030,.028,.035,10
02 NOX PPM,ALPINE,.004,.004,C,C,.005,.015,.008,.012,.010,.006,.006,.005,.006,.006,.005,.005,.006,.007,.007,.007,.009,.011,.011,.014,.008,.015,05
,CARMEL MT RCH,.017,.019,C,C,.029,.016,.024,.024,.023,.025,.037,.025,.024,.032,.028,.023,.023,.021,.015,.017,.015,.017,.015,.013,.022,.037,10
,CHULA VISTA,.001,.002,C,C,.005,.006,.008,.010,.010,.006,.005,<,.002,.002,.002,.001,.001,.001,.001,.000,.001,.001,.001,.002,.003,.010,07
,DOWNTOWN SES,.002,.002,C,C,.005,.007,.009,M,M,M,.007,.004,.005,.005,.005,.006,.004,.003,.004,.003,.004,.003,.002,.003,.004,.009,06
,EL CAJON LES,.005,.004,C,C,C,.006,.006,.011,.010,.012,M,M,M,M,.006,.005,.004,.005,.006,.005,.004,.003,.002,.002,.006,.012,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.007,.009,.010,M,M,M,M,M,.004,.004,.003,.003,.003,.003,.003,.003,.006,.007,.006,.005,.005,.010,06
,OTAY MESA DVN,.004,.003,C,C,.005,.006,.009,.008,.011,M,M,.006,.004,.004,.004,.004,.003,.003,.003,.004,.004,.004,.003,.004,.005,.011,08
,PENDLETON,.000,.005,C,C,.014,.015,.008,.003,.001,.004,.001,.002,.010,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,.015,05
03 NO2 PPM,ALPINE,.004,.004,C,C,.005,.011,.007,.009,.008,.005,.005,.005,.005,.006,.005,.005,.005,.007,.007,.007,.008,.011,.011,.014,.007,.014,23
,CARMEL MT RCH,.014,.014,C,C,.014,.010,.013,.013,.013,.016,.021,.016,.014,.016,.014,.013,.012,.011,.008,.010,.009,.010,.010,.009,.013,.021,10
,CHULA VISTA,.001,.002,C,C,.005,.006,.008,.007,.007,.005,.004,<,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.003,.008,06
,DOWNTOWN SES,.002,.002,C,C,.004,.006,.008,M,M,M,.005,.003,.004,.004,.003,.004,.003,.003,.004,.003,.004,.003,.002,.003,.004,.008,06
,EL CAJON LES,.004,.003,C,C,C,.005,.005,.008,.007,.007,M,M,M,M,.005,.004,.004,.005,.006,.005,.004,.003,.002,.002,.005,.008,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.009,C,C,.007,.009,.009,M,M,M,M,M,.004,.003,.003,.003,.003,.003,.004,.004,.006,.007,.006,.005,.005,.009,01
,OTAY MESA DVN,.003,.002,C,C,.004,.004,.005,.005,.007,M,M,.005,.003,.003,.003,.003,.002,.002,.002,.003,.003,.003,.002,.003,.003,.007,08
,PENDLETON,.001,.005,C,C,.012,.013,.007,.003,.001,.003,.001,.001,.005,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,.013,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.003,.001,.003,.002,.001,.001,.000,.000,.000,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.001,.003,05
,CARMEL MT RCH,.003,.005,C,C,.015,.006,.011,.011,.010,.009,.016,.009,.010,.016,.014,.011,.011,.010,.007,.007,.006,.007,.005,.004,.009,.016,10
,CHULA VISTA,.000,.000,C,C,.000,.001,.001,.003,.003,.001,.001,<,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,M,M,M,.002,.001,.001,.001,.001,.002,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,10
,EL CAJON LES,.001,.001,C,C,C,.000,.001,.004,.003,.004,M,M,M,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.004,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.001,.001,C,C,.002,.002,.003,.003,.004,M,M,.002,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.004,08
,PENDLETON,.000,.000,C,C,.002,.002,.001,.000,.000,.001,.000,.000,.005,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,12
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.3,.4,.4,.3,.4,.5,.5,.5,.6,.5,.5,.6,.6,.5,.4,.4,.4,.4,.3,.4,.6,13
10 INTMP °C,ALPINE,24,24,25,25,24,24,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,02
,CARMEL MT RCH,25,25,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,23,23,24,23,24,24,24,24,25,00
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,27,27,26,26,26,26,26,26,26,26,27,26,26,27,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,25,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,02
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,24,25,24,24,24,24,24,25,26,26,27,27,25,27,22
,PENDLETON,25,25,26,26,26,25,25,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,8.4,5.4,7.0,6.0,6.5,4.9,7.6,6.3,8.1,9.1,9.1,9.6,10.9,10.2,11.4,12.3,11.8,11.4,7.7,6.8,7.9,11.1,10.6,9.0,8.7,12.3,15
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,10.1,9.7,11.2,9.9,13.0,14.2,15.0,19.0,16.1,14.7,17.3,15.9,13.6,14.4,12.9,10.7,9.8,8.2,12.2,10.3,10.5,9.7,9.1,12.0,12.4,19.0,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.5,5.5,9.5,10.4,10.5,14.9,24.3,19.1,24.0,19.6,24.5,12.0,9.5,13.6,24.4,17.1,12.8,10.9,11.7,8.3,10.1,7.6,7.1,12.3,13.5,24.5,10
,PENDLETON,7.4,5.7,8.0,11.1,9.8,8.9,9.5,M,7.5,10.0,11.3,9.6,6.5,5.8,8.5,8.4,8.7,7.2,8.2,6.9,6.3,8.1,9.4,8.0,8.2,11.3,10
12 VWDR °,ALPINE,29,18,345,324,353,1,207,259,276,281,270,283,302,308,311,316,299,314,316,326,6,153,134,92,230,353,04
,CHULA VISTA,245,245,237,230,211,201,207,215,275,276,260,249,253,256,256,256,252,250,246,229,231,234,204,226,239,276,09
,DOWNTOWN SES,222,202,166,179,161,116,179,179,215,210,218,223,223,220,216,202,203,204,212,212,214,224,203,223,201,224,21
,EL CAJON LES,165,158,160,170,167,110,128,186,312,293,270,257,226,216,224,227,224,222,210,214,219,207,191,193,206,312,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,288,312,123,77,24,103,114,136,202,190,220,232,232,225,224,227,230,226,229,224,201,188,166,135,189,312,01
