Current Date:,8/8/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/7/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.055,C,C,.052,.051,.050,.042,.050,.056,.063,.080,.084,.062,.055,.053,.055,.054,.052,.047,.037,.030,.035,.031,.051,.084,12
,CHULA VISTA,.032,.030,C,C,.014,.004,.012,.019,.031,.044,.049,.051,.043,.040,.042,.042,.039,.039,.035,.031,.030,.029,.028,.026,.032,.051,11
,DOWNTOWN SES,.029,.027,C,C,.017,.013,.011,.020,.029,.040,.049,.048,.046,.041,.043,.041,.039,.038,.035,.032,.030,.031,.035,.035,.033,.049,10
,EL CAJON LES,.021,.016,C,C,C,.007,.012,M,M,M,M,M,.066,.065,.058,.053,.048,.043,.039,.033,.028,.026,.023,.019,.034,.066,12
,KEARNY MESA,.016,.031,C,C,.015,.016,.013,.021,.032,.042,.059,.059,.059,.056,.051,.051,.049,.045,.040,.037,.031,.027,.027,.025,.036,.059,10
,OTAY MESA DVN,.032,.028,C,C,.020,.017,.019,.023,.031,M,.064,.064,.062,.053,.053,.049,.047,.042,.037,.036,.033,.027,.027,.027,.037,.064,10
,PENDLETON,.037,.040,C,C,.028,.021,.028,.024,.027,.038,.046,.047,.043,.044,.045,.045,.045,.047,.045,.041,.040,.041,.025,.027,.037,.047,11
03 NO2 PPB,ALPINE,2.0,1.3,C,C,1.2,2.1,2.5,11.1,5.1,2.4,2.0,3.3,2.9,1.6,1.6,1.6,1.5,2.5,4.1,4.5,8.8,10.7,5.5,7.4,3.8,11.1,07
,CARMEL MT RCH,13.0,13.8,C,C,20.4,17.2,15.5,25.8,26.7,26.0,27.7,23.8,21.8,21.8,18.4,16.8,17.0,23.0,17.8,18.6,18.3,15.3,17.0,12.1,19.4,27.7,10
,CHULA VISTA,3.0,4.5,C,C,9.3,15.7,10.4,11.3,7.7,6.5,3.8,2.5,2.3,2.3,2.7,2.2,2.1,2.7,3.1,2.9,2.5,2.2,2.4,3.8,4.8,15.7,05
,DOWNTOWN SES,7.4,6.6,C,C,9.9,12.4,16.9,13.6,8.7,8.3,4.4,2.2,2.9,4.5,3.2,2.4,2.3,2.7,3.7,5.2,7.1,5.4,2.5,3.6,6.1,16.9,06
,EL CAJON LES,5.2,5.3,C,C,C,8.6,8.0,M,M,M,M,M,3.1,2.8,2.6,3.1,4.1,4.7,5.6,6.3,6.3,6.2,6.7,7.0,5.3,8.6,05
,KEARNY MESA,7.4,2.3,C,C,8.3,7.5,10.6,12.2,11.5,12.5,5.7,4.1,3.5,2.8,3.1,3.3,3.7,4.5,6.9,6.8,9.4,10.5,8.3,9.5,7.0,12.5,09
,OTAY MESA DVN,2.5,2.7,C,C,2.8,4.8,4.2,7.8,11.0,M,9.3,5.9,4.7,4.2,5.2,5.0,4.5,4.5,3.9,3.6,4.0,5.6,5.0,4.2,5.0,11.0,08
,PENDLETON,2.3,1.5,C,C,5.3,6.6,6.0,8.0,6.3,4.5,1.4,1.7,5.6,6.5,4.8,1.0,.6,.6,.5,.5,.7,.5,9.8,5.6,3.6,9.8,22
04 NO PPB,ALPINE,.0,.0,C,C,.1,.3,.2,2.5,1.0,.3,.1,.2,.2,.1,.2,.2,.1,.1,.0,.1,.1,.0,.0,.0,.2,2.5,07
,OTAY MESA DVN,.1,.1,C,C,.1,.9,1.7,4.4,5.8,M,5.2,9.2,7.2,1.9,.7,.7,.6,.3,.0,.0,.1,.2,.0,.0,1.8,9.2,11
,PENDLETON,.1,.1,C,C,.2,2.6,2.3,4.9,3.6,2.3,.5,.9,4.5,4.9,3.3,.4,.1,.1,.1,.1,.1,.1,.4,.1,1.4,4.9,07
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,.7,.7,.5,.9,.7,.6,.6,.6,.6,.6,.6,.5,.5,.6,.4,.5,.4,.4,.5,.4,.6,.9,07
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,00
,CHULA VISTA,26,26,26,27,27,26,26,27,27,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,03
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,00
,EL CAJON LES,26,26,26,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,03
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,27,28,29,30,30,30,31,32,33,35,36,33,29,27,25,25,26,25,26,26,26,26,26,29,36,11
,PENDLETON,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,03
11 PM2.5 µg/M3,ALPINE,6.0,7.2,5.6,3.2,2.5,2.2,1.6,2.3,2.7,3.9,6.5,10.6,12.4,6.7,5.5,4.7,4.0,4.4,5.9,6.5,6.4,5.1,4.4,4.7,5.2,12.4,12
,CARMEL MT RCH,7.3,8.2,9.2,9.8,10.0,10.2,11.6,12.7,12.0,11.6,11.8,9.5,7.7,7.0,5.9,5.5,5.9,6.6,4.2,7.6,7.9,7.5,8.5,8.5,8.6,12.7,07
,CHULA VISTA,10.8,10.9,11.3,13.1,16.8,16.4,16.3,23.6,30.7,32.5,22.2,19.3,14.5,11.8,11.0,10.9,10.8,10.8,11.1,9.5,9.6,9.8,10.2,10.5,14.7,32.5,09
,DOWNTOWN SES,13.6,18.1,16.5,18.0,18.1,19.4,19.8,21.9,23.8,27.3,15.8,14.1,12.0,9.5,9.2,8.4,8.4,7.8,8.4,8.8,9.6,9.6,10.0,10.5,14.1,27.3,09
,EL CAJON LES,11.4,11.7,11.6,12.1,12.2,12.2,M,11.1,10.6,11.9,17.0,14.7,13.1,10.6,9.0,7.5,7.3,7.6,7.6,7.9,8.3,8.6,9.2,9.4,10.5,17.0,10
,KEARNY MESA,12.2,11.7,10.5,12.6,9.8,6.5,9.5,15.6,20.5,23.5,18.8,14.7,14.1,11.4,7.1,6.1,5.8,7.4,7.8,8.1,8.7,10.8,10.7,11.2,11.4,23.5,09
,OTAY MESA DVN,13.2,15.3,23.8,28.0,16.7,22.2,20.6,26.1,30.6,29.3,26.1,20.1,16.4,13.0,11.0,9.7,9.7,9.8,9.7,10.0,10.7,19.9,13.3,12.2,17.3,30.6,08
,PENDLETON,14.4,12.0,9.0,12.6,11.3,8.8,6.3,7.0,9.5,M,M,12.7,11.7,11.7,10.8,10.0,9.3,9.0,8.7,8.3,8.5,9.4,10.2,9.7,10.0,14.4,00
12 VWDR °,ALPINE,93,5,54,101,103,76,110,187,248,260,268,268,258,267,253,240,254,276,319,347,112,129,84,131,0,347,19
,CHULA VISTA,356,31,39,36,30,150,196,273,257,263,259,262,265,266,258,257,260,265,244,262,246,239,278,11,0,356,00
,DOWNTOWN SES,346,351,353,19,7,34,98,217,211,232,221,238,231,228,232,234,218,217,210,190,227,196,240,192,0,353,02
,EL CAJON LES,231,133,335,135,263,230,197,18,227,219,221,220,232,220,223,230,240,240,212,210,168,158,207,121,0,335,02
,KEARNY MESA,326,338,84,346,360,345,120,213,219,220,196,198,226,217,197,194,198,176,194,188,165,181,254,350,0,360,04
,OTAY MESA DVN,281,11,145,318,339,354,328,297,302,311,274,281,298,308,296,298,295,300,316,343,343,335,347,337,0,354,05
,PENDLETON,45,17,26,24,46,62,73,81,244,237,256,260,255,249,257,251,244,236,208,207,253,269,359,8,0,359,22
13 SIGTHETA °,ALPINE,46,8,21,15,32,46,30,31,23,30,34,33,28,30,31,28,29,28,25,39,22,38,34,43,30,46,00
,CHULA VISTA,19,16,17,18,22,24,43,41,32,26,23,23,23,25,21,26,26,23,22,26,17,22,26,36,25,43,06
,DOWNTOWN SES,30,13,13,20,24,32,59,38,23,23,22,22,23,24,23,24,29,25,21,24,21,19,26,32,25,59,06
,EL CAJON LES,15,28,39,51,43,48,62,63,45,33,25,32,31,25,27,32,27,29,24,22,19,22,41,54,35,63,07
,KEARNY MESA,12,25,29,24,12,18,52,28,26,28,23,21,21,20,20,17,14,22,14,10,9,21,12,23,21,52,06
,OTAY MESA DVN,17,21,46,68,34,28,22,37,24,34,23,19,20,17,23,15,14,11,14,10,10,31,10,26,24,68,03
,PENDLETON,14,15,20,17,18,11,20,40,18,21,21,18,16,15,20,17,24,27,24,19,16,19,20,9,19,40,07
14 VWSP MPH,ALPINE,.7,2.5,1.3,1.9,1.6,.4,1.4,1.7,3.4,4.4,4.3,4.9,6.1,6.5,6.2,6.0,4.7,3.2,1.5,.7,.8,.8,.4,1.2,.0,6.5,13
,CHULA VISTA,.5,.5,.6,.5,.8,.7,.2,1.6,3.1,4.2,6.0,6.1,5.9,5.8,6.0,5.5,4.9,4.2,2.6,2.0,2.3,1.6,1.0,.4,.0,6.1,11
,DOWNTOWN SES,1.1,1.9,2.2,1.3,1.1,.8,.7,2.4,4.1,4.6,5.9,6.6,5.9,5.9,6.2,6.5,4.7,3.9,3.4,1.7,2.8,3.1,1.7,1.0,.0,6.6,11
,EL CAJON LES,1.0,.4,.4,.4,.2,.2,.5,.4,1.4,3.4,5.6,5.4,5.7,7.4,6.1,4.8,4.3,3.2,2.9,2.1,2.8,2.0,.8,1.0,.0,7.4,13
,KEARNY MESA,2.1,1.9,1.7,1.7,2.4,1.3,.1,2.3,4.2,5.1,7.4,8.4,7.4,8.3,8.9,8.9,8.4,5.5,4.6,3.0,3.7,3.1,3.6,1.0,.0,8.9,14
,OTAY MESA DVN,.8,1.8,.5,.4,.9,1.1,2.3,1.3,3.0,3.5,6.5,6.5,6.4,8.0,6.5,7.5,6.4,6.0,4.3,3.7,3.3,2.0,2.3,2.0,.0,8.0,13
,PENDLETON,3.9,3.3,2.1,1.8,2.1,3.3,2.3,1.5,3.4,4.6,4.1,4.8,5.7,5.6,4.7,4.6,3.5,2.8,2.3,3.0,3.3,2.6,2.3,2.8,.0,5.7,12
15 SWSP MPH,ALPINE,1.4,2.5,1.8,2.0,1.7,.7,1.5,2.5,3.7,5.0,5.1,5.8,6.9,7.4,7.1,7.0,5.4,3.8,1.8,.7,1.0,1.1,.5,1.5,3.2,7.4,13
,CHULA VISTA,.6,.5,.7,.5,.9,.8,.9,2.0,3.6,4.6,6.5,6.6,6.4,6.4,6.4,6.0,5.4,4.6,2.8,2.2,2.4,1.7,1.4,.6,3.1,6.6,11
,DOWNTOWN SES,1.2,1.9,2.3,1.6,1.2,1.0,1.1,3.0,4.5,5.0,6.3,7.1,6.3,6.5,6.8,7.1,5.4,4.4,3.7,1.9,3.0,3.3,1.9,1.2,3.7,7.1,11
,EL CAJON LES,1.1,.5,.7,.4,.3,.4,.9,.9,1.9,3.9,6.1,6.3,6.6,8.0,6.8,5.6,5.2,4.1,3.2,2.3,2.9,2.1,1.1,1.2,3.0,8.0,13
,KEARNY MESA,2.2,2.4,2.0,1.8,2.5,1.4,1.1,2.9,4.6,5.7,8.1,9.0,8.0,8.8,9.5,9.5,8.7,5.9,4.7,3.2,3.8,3.7,3.9,1.5,4.8,9.5,14
,OTAY MESA DVN,.9,1.9,.6,.7,1.1,1.2,2.4,1.7,3.2,3.9,7.1,7.5,6.8,8.3,6.9,7.8,6.5,6.1,4.6,3.7,3.4,2.3,2.3,2.2,3.9,8.3,13
,PENDLETON,4.0,3.4,2.2,1.9,2.3,3.5,2.5,1.9,3.5,4.9,4.4,5.0,5.8,5.7,5.0,4.8,3.8,3.1,2.6,3.1,3.4,2.7,2.6,2.9,3.5,5.8,12
16 AMBTEMP °F,ALPINE,73.6,75.3,77.2,77.9,78.3,77.5,80.3,85.1,87.2,88.2,88.8,89.8,90.7,90.4,89.2,87.8,85.7,82.4,78.8,77.0,76.3,75.1,75.5,73.4,81.7,90.7,12
,CARMEL MT RCH,61.5,62.5,62.2,62.0,62.5,63.1,66.6,71.9,76.4,81.5,87.0,90.2,90.7,92.0,90.8,89.3,86.8,84.8,81.0,76.1,73.4,73.0,70.0,67.7,76.0,92.0,13
,CHULA VISTA,65.7,65.3,64.9,64.6,64.2,63.8,66.7,70.2,73.2,75.4,75.2,76.7,76.9,76.3,77.0,76.5,75.4,74.0,72.4,71.1,70.6,70.1,69.8,69.5,71.1,77.0,14
,DOWNTOWN SES,64.4,64.1,63.6,63.5,63.4,63.7,69.0,70.7,70.8,73.4,77.8,75.2,76.6,77.8,76.3,76.1,76.3,76.6,73.4,70.2,69.5,69.4,69.3,69.3,70.9,77.8,10
,EL CAJON LES,65.8,65.5,64.8,63.9,64.1,64.4,67.4,73.8,80.3,85.9,87.8,87.2,88.7,89.6,89.4,87.9,85.0,82.3,79.3,77.3,75.3,73.7,72.8,71.1,76.8,89.6,13
,KEARNY MESA,61.7,63.3,60.9,60.1,60.6,61.3,62.9,70.0,76.6,81.0,83.9,83.4,84.1,84.2,85.0,84.2,81.8,79.9,77.3,75.0,73.5,71.8,69.7,69.2,73.4,85.0,14
,OTAY MESA DVN,62.3,63.1,63.6,62.8,62.3,63.0,65.0,70.4,76.6,81.9,85.8,85.8,86.7,84.8,85.7,83.1,80.1,77.4,74.0,71.4,70.1,68.9,68.2,67.9,73.4,86.7,12
