Current Date:,8/25/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/24/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.038,.042,C,C,.029,.023,.025,.019,.029,.041,.043,.056,.067,.072,.071,.066,.058,.047,.039,.032,.027,.022,.026,.018,.040,.072,13
,CHULA VISTA,.015,.015,C,C,.017,.018,.018,.018,.022,.029,.036,.037,.038,.038,.036,.035,.035,.031,.026,.022,.022,.020,.018,.019,.025,.038,12
,DOWNTOWN SES,.025,.027,C,C,.030,.028,.026,.022,.024,.031,.036,.036,.034,.034,.034,.034,.032,.029,.029,.030,.029,.030,.030,.036,.030,.036,10
,EL CAJON LES,.011,.008,.009,.013,.014,.015,.014,.015,.018,.024,.035,M,.057,.057,.052,.047,.043,.037,.033,.028,.027,.025,.023,.022,.027,.057,12
,KEARNY MESA,.018,.027,C,C,.026,.027,.026,.025,.029,.032,.038,.042,.044,.043,.042,.041,.039,.036,.032,.032,.030,.024,.026,.032,.032,.044,12
,OTAY MESA DVN,.016,.015,C,C,.018,.017,.016,.015,.020,.029,.039,.047,.049,.046,.044,.046,.042,.036,.031,.025,.022,.022,.019,.020,.028,.049,12
,PENDLETON,.031,.032,C,C,.028,.033,.032,.019,.027,.034,.034,.036,.037,.041,.045,.037,.037,.036,.039,.044,.040,.031,.031,.031,.034,.045,14
03 NO2 PPB,ALPINE,4.4,2.8,C,C,7.1,10.6,10.8,11.6,7.3,5.3,5.2,4.0,2.9,2.7,2.6,2.5,2.4,3.9,4.3,8.0,8.9,12.0,7.6,11.0,6.2,12.0,21
,CARMEL MT RCH,9.5,5.6,C,C,12.3,13.9,11.3,13.4,15.4,13.9,12.8,13.2,11.3,11.9,12.6,12.1,11.1,11.1,8.3,9.0,12.7,12.3,10.4,8.1,11.4,15.4,08
,CHULA VISTA,8.5,8.2,C,C,4.9,6.0,6.2,6.1,5.8,5.6,3.1,2.6,3.0,2.7,3.1,3.2,3.3,5.2,5.3,7.6,4.7,5.5,6.2,5.8,5.1,8.5,00
,DOWNTOWN SES,4.3,2.7,C,C,2.5,4.1,5.4,7.8,8.4,5.9,5.1,5.9,5.1,4.7,4.7,4.7,5.1,5.3,5.8,4.1,4.6,4.7,5.3,3.5,4.9,8.4,08
,EL CAJON LES,10.1,9.7,8.8,6.1,5.6,4.8,5.5,5.8,6.4,6.7,4.8,M,2.8,2.2,2.5,2.5,2.9,3.7,4.9,5.4,4.9,5.4,4.9,4.8,5.2,10.1,00
,KEARNY MESA,5.1,1.5,C,C,2.4,2.6,4.1,5.6,4.7,4.4,3.9,3.4,2.1,2.4,2.6,2.2,1.9,2.3,2.4,2.3,3.4,3.8,4.0,2.7,3.1,5.6,07
,OTAY MESA DVN,5.0,4.8,C,C,4.2,5.1,4.6,5.1,4.3,3.7,5.0,3.1,2.5,2.7,3.1,2.4,2.6,3.0,3.3,3.4,5.5,6.8,7.2,6.0,4.2,7.2,22
,PENDLETON,1.2,.9,C,C,2.7,1.4,2.5,23.3,12.8,3.9,4.5,4.7,3.4,6.1,4.6,3.3,.8,1.4,.7,.9,1.1,2.6,1.8,1.1,3.8,23.3,07
04 NO PPB,ALPINE,.0,.0,C,C,.2,.8,2.8,10.0,4.4,1.6,1.3,.6,.2,.1,.1,.1,.1,.1,.0,.0,.0,.1,.0,.0,1.0,10.0,07
,OTAY MESA DVN,.1,.1,C,C,.0,.4,.3,1.0,1.4,1.2,1.3,.5,.5,.7,.5,.4,.3,.2,.0,.0,.0,.0,.1,.2,.4,1.4,08
,PENDLETON,.1,.1,C,C,.3,.2,.4,51.5,25.6,2.1,2.3,2.7,1.9,4.5,3.1,2.0,.2,.3,.2,.1,.1,.1,.1,.1,4.4,51.5,07
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,.5,.7,.4,.5,.6,.5,.5,.5,.5,.6,.6,.4,.6,.6,.5,.5,.5,.4,.3,.3,.5,.7,05
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CARMEL MT RCH,25,25,26,26,26,26,25,25,25,26,26,26,26,26,26,25,26,26,26,26,26,25,26,26,26,26,02
,CHULA VISTA,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,00
,EL CAJON LES,26,26,27,26,26,26,27,27,M,M,M,M,M,M,M,25,25,25,25,25,25,26,26,26,26,27,02
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,27,28,25,23,23,24,23,23,24,24,24,24,25,25,28,12
,PENDLETON,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,02
11 PM2.5 µg/M3,ALPINE,8.4,8.0,8.0,7.4,6.3,6.7,6.9,7.4,9.4,9.9,11.6,12.4,11.1,11.6,12.6,11.1,9.5,8.5,8.1,9.4,10.0,9.8,8.8,9.9,9.2,12.6,14
,CARMEL MT RCH,9.3,7.3,8.6,10.2,11.3,12.2,12.5,14.3,17.3,15.8,14.5,15.6,14.1,12.0,11.2,9.7,9.4,8.9,7.7,7.0,7.3,7.5,7.5,7.2,10.7,17.3,08
,CHULA VISTA,13.5,12.5,12.0,11.8,10.1,11.0,11.7,11.3,12.6,15.8,14.8,13.3,14.5,13.6,11.8,11.4,11.3,9.6,8.8,8.2,8.2,7.5,7.7,8.4,11.3,15.8,09
,DOWNTOWN SES,14.6,10.8,10.5,11.4,11.4,11.8,11.7,12.8,13.7,13.9,13.4,13.1,12.3,11.3,10.1,10.2,9.4,8.3,8.3,8.2,7.6,8.4,10.0,8.7,10.9,14.6,00
,EL CAJON LES,12.8,12.9,13.3,12.1,12.5,11.0,12.5,15.1,15.1,14.6,12.7,12.5,13.0,12.5,10.3,8.5,8.1,8.3,7.8,7.8,7.9,7.6,7.6,8.3,11.0,15.1,07
,KEARNY MESA,6.2,6.8,8.5,9.0,9.5,9.9,10.9,12.6,13.4,13.0,15.4,14.9,13.1,11.9,10.8,10.2,9.5,8.1,7.0,6.8,7.0,7.3,8.1,7.7,9.9,15.4,10
,OTAY MESA DVN,8.2,8.1,10.7,15.5,16.9,17.4,17.8,18.2,17.3,14.5,13.2,14.8,13.6,13.2,11.0,10.4,9.9,9.7,8.3,7.5,8.5,8.9,9.7,10.5,12.2,18.2,07
,PENDLETON,13.8,14.5,13.1,17.9,17.6,12.8,12.4,15.6,13.0,12.1,12.8,11.0,9.7,9.6,10.8,9.4,7.9,7.5,8.4,9.9,10.0,9.9,16.2,9.4,11.8,17.9,03
12 VWDR °,ALPINE,18,97,67,228,116,104,131,228,256,252,251,276,263,262,248,272,301,250,300,271,137,81,256,359,0,359,23
,CHULA VISTA,265,275,303,8,341,356,24,345,275,263,267,270,277,274,271,260,270,283,286,306,320,295,319,335,0,356,05
,DOWNTOWN SES,328,324,353,337,4,20,35,11,262,286,293,288,280,283,285,280,288,304,316,333,333,320,335,340,0,353,02
,EL CAJON LES,209,178,208,261,249,216,203,332,M,M,M,M,M,M,250,254,252,271,297,284,318,289,252,278,0,332,07
,KEARNY MESA,299,302,297,262,283,296,330,333,285,301,320,299,300,295,289,300,292,303,294,313,322,304,298,321,0,333,07
,OTAY MESA DVN,348,298,346,289,283,285,266,252,290,311,302,297,297,288,290,290,293,291,300,306,280,261,289,344,0,348,00
,PENDLETON,294,311,4,292,321,327,311,271,271,263,265,270,286,274,265,260,246,245,301,314,317,314,284,256,0,327,05
13 SIGTHETA °,ALPINE,50,36,19,78,48,56,37,42,24,29,33,35,34,35,32,33,29,27,57,17,38,19,35,43,37,78,03
,CHULA VISTA,44,23,57,40,32,42,39,63,48,22,23,19,24,23,20,24,20,19,19,18,22,16,22,24,29,63,07
,DOWNTOWN SES,19,29,22,27,21,28,46,54,41,21,25,23,18,19,17,21,21,23,21,20,26,21,21,22,25,54,07
,EL CAJON LES,31,28,21,24,28,17,32,54,M,M,M,M,M,M,25,32,22,29,21,22,16,18,18,23,26,54,07
,KEARNY MESA,10,14,19,14,37,18,21,38,31,30,26,20,17,16,16,17,14,12,9,10,9,8,9,10,18,38,07
,OTAY MESA DVN,15,18,27,49,32,17,31,25,21,31,18,16,13,15,14,14,14,12,12,22,16,7,19,25,20,49,03
,PENDLETON,18,19,20,32,18,20,31,15,15,14,14,15,15,15,15,15,13,12,15,14,11,13,14,12,16,32,03
14 VWSP MPH,ALPINE,.0,.1,.3,.2,.1,.2,.6,1.1,3.2,3.6,3.8,4.1,4.5,4.5,5.5,4.0,3.5,3.7,1.0,.5,.0,1.0,.3,.0,.0,5.5,14
,CHULA VISTA,.8,2.4,1.5,1.3,1.2,1.3,1.5,.9,2.5,6.1,7.0,7.8,8.0,8.0,7.7,6.2,6.8,6.1,4.8,3.9,2.4,1.7,1.0,1.6,.0,8.0,12
,DOWNTOWN SES,3.9,2.5,2.9,2.1,2.7,2.8,1.7,1.6,3.2,6.8,6.7,7.8,9.3,9.1,7.9,7.5,7.4,5.5,5.8,5.0,3.0,3.0,3.5,3.8,.0,9.3,12
,EL CAJON LES,.5,1.6,1.7,1.8,2.1,2.8,1.6,.8,M,M,M,M,M,M,6.6,4.9,5.7,4.4,3.8,3.1,3.1,1.3,2.1,1.4,.0,6.6,14
,KEARNY MESA,4.5,3.8,2.8,2.3,1.9,2.1,2.1,2.1,4.4,5.1,5.5,8.0,8.3,9.6,9.0,8.2,8.6,6.9,6.8,5.9,4.4,3.8,4.3,5.0,.0,9.6,13
,OTAY MESA DVN,1.6,2.0,1.6,.9,1.7,2.6,1.5,1.2,3.0,4.2,7.2,8.5,8.7,11.3,10.2,8.7,8.1,7.6,5.9,2.6,1.6,1.4,1.4,1.9,.0,11.3,13
,PENDLETON,2.2,3.1,1.5,.8,1.9,2.7,2.0,2.7,3.1,4.2,4.6,5.7,5.0,5.8,5.8,5.8,5.6,5.3,3.5,3.2,4.4,3.4,2.0,3.4,.0,5.8,13
15 SWSP MPH,ALPINE,.1,.2,.3,.5,.3,.3,.7,1.5,3.5,4.0,4.3,4.8,5.2,5.4,6.3,4.9,3.9,4.4,1.2,.5,.0,1.0,.4,.0,2.2,6.3,14
,CHULA VISTA,1.2,2.8,1.9,1.6,1.4,1.6,1.9,1.9,3.1,6.6,7.6,8.2,8.6,8.7,8.2,6.8,7.3,6.4,5.1,4.2,2.6,1.7,1.1,1.7,4.3,8.7,13
,DOWNTOWN SES,4.1,3.1,3.1,2.4,2.9,3.1,2.2,2.2,4.0,7.3,7.3,8.4,9.8,9.5,8.3,8.0,7.9,6.0,6.3,5.4,3.3,3.2,3.7,4.1,5.2,9.8,12
,EL CAJON LES,.7,1.8,1.9,2.1,2.3,2.9,1.8,1.4,2.0,2.5,2.9,4.1,5.3,5.5,7.3,5.7,6.2,5.0,4.3,3.9,3.3,1.5,2.3,2.0,3.3,7.3,14
,KEARNY MESA,4.7,4.0,3.1,2.4,2.5,2.2,2.6,2.6,5.1,5.8,6.3,8.4,8.7,10.0,9.4,8.7,8.8,7.1,6.9,6.1,4.4,3.9,4.4,5.1,5.6,10.0,13
,OTAY MESA DVN,1.6,2.4,2.1,1.2,2.2,2.9,1.8,1.4,3.3,4.8,7.6,8.8,9.0,11.7,10.5,9.0,8.3,7.8,6.0,2.8,1.7,1.4,1.5,2.1,4.7,11.7,13
,PENDLETON,2.3,3.3,1.7,1.2,2.0,2.9,2.2,2.8,3.3,4.3,4.7,5.9,5.2,6.1,6.1,5.9,5.8,5.4,4.1,3.3,4.5,3.4,2.3,3.4,3.8,6.1,13
16 AMBTEMP °F,ALPINE,69.5,69.2,69.5,67.2,66.5,65.5,68.2,72.8,73.6,75.4,78.2,80.0,81.7,83.1,81.8,79.9,78.7,75.6,71.5,69.5,68.3,68.2,67.1,65.9,72.8,83.1,13
,CARMEL MT RCH,64.5,63.3,63.3,63.8,64.5,65.1,65.3,66.6,68.3,71.1,74.3,76.8,78.6,79.5,78.5,77.7,76.8,73.0,68.1,66.1,65.6,65.1,64.2,63.4,69.3,79.5,13
