Current Date:,8/24/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/23/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.024,.029,C,C,.039,.033,.034,.035,.039,.046,.056,.065,.077,.072,.071,.069,.066,.060,.051,.048,.037,.027,.030,.035,.047,.077,12
,CHULA VISTA,.017,.015,C,C,.002,.000,.004,.014,.018,.027,.032,.035,.034,.032,.031,.033,.035,.031,.028,.023,.022,.019,.019,.020,.022,.035,11
,DOWNTOWN SES,.019,.016,C,C,.010,.004,.008,.014,.021,.028,.032,.034,.033,.031,.029,.032,.032,.030,.024,.026,.027,.016,.020,.020,.023,.034,11
,EL CAJON LES,.014,.009,C,C,C,.003,.008,.013,.026,.039,.051,.059,.055,.058,.056,.052,.051,.051,.046,.037,.021,.016,.014,.012,.032,.059,11
,KEARNY MESA,.022,.017,C,C,.005,.003,.007,P,.031,.037,.043,.044,.047,.044,.043,.044,.051,.047,.035,.026,.021,.019,.015,.013,.029,.051,16
,OTAY MESA DVN,.011,.005,C,C,.003,.003,.004,.008,M,M,.037,.044,.044,.042,.040,.040,.040,.038,.030,.026,.024,.023,.018,.020,.025,.044,11
,PENDLETON,.007,.009,C,C,.003,.005,.007,.011,.018,.026,.030,.033,.040,.039,.048,.046,.041,.041,.035,.030,.034,.032,.029,.030,.027,.048,14
03 NO2 PPB,ALPINE,4.1,2.4,C,C,4.8,7.2,7.5,6.7,5.1,4.0,3.2,2.6,3.0,2.5,2.6,2.5,2.7,3.5,3.8,6.4,9.8,13.3,10.0,7.2,5.2,13.3,21
,CARMEL MT RCH,8.0,8.4,C,C,8.7,7.5,11.5,17.8,14.0,16.5,14.3,12.1,12.5,10.5,10.8,11.4,12.9,12.7,11.1,13.5,13.7,13.6,11.7,12.1,12.0,17.8,07
,CHULA VISTA,5.7,5.7,C,C,11.3,14.0,10.7,7.3,10.3,6.0,3.9,3.0,2.8,2.7,3.6,3.7,3.5,4.6,4.5,6.2,5.5,5.5,4.2,3.3,5.8,14.0,05
,DOWNTOWN SES,5.2,7.0,C,C,9.7,15.5,13.7,12.3,9.1,7.3,6.6,6.1,5.1,7.1,6.8,6.7,7.0,8.3,12.9,10.0,8.9,18.4,11.5,8.5,9.2,18.4,21
,EL CAJON LES,7.5,6.5,C,C,C,8.0,6.4,6.5,9.5,6.9,5.2,3.2,2.7,2.5,2.1,2.2,2.7,3.4,6.8,9.9,9.6,9.7,9.9,10.1,6.2,10.1,23
,KEARNY MESA,3.3,4.0,C,C,15.1,11.3,9.4,P,5.5,4.7,3.5,2.6,2.3,2.5,2.0,2.7,3.0,2.7,3.4,4.3,5.5,6.6,7.9,6.4,5.1,15.1,04
,OTAY MESA DVN,4.9,15.3,C,C,11.7,12.9,18.8,19.9,M,M,6.1,3.1,2.5,2.4,2.6,3.1,3.2,2.2,3.8,3.7,3.5,4.8,4.6,4.9,6.7,19.9,07
,PENDLETON,9.6,6.9,C,C,10.9,9.0,6.6,7.2,5.9,3.3,2.4,1.6,2.5,5.0,2.1,1.0,1.0,1.4,.8,10.0,1.2,1.0,1.6,1.2,4.1,10.9,04
04 NO PPB,ALPINE,.0,.0,C,C,.4,.9,1.3,1.9,1.4,.9,.3,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.3,1.9,07
,OTAY MESA DVN,.6,4.7,C,C,6.9,9.1,40.7,30.1,M,M,2.0,.6,.4,.4,.6,.7,.5,.1,.0,.2,.0,.0,.1,.0,4.8,40.7,06
,PENDLETON,1.3,.6,C,C,3.9,3.3,5.4,7.2,5.9,2.0,1.1,.6,1.9,4.0,1.4,.2,.2,.2,.1,11.9,.2,.1,.1,.1,2.3,11.9,19
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.2,.2,.5,.7,.5,.5,.6,.5,.5,.5,.6,.5,.5,.5,.5,.6,.5,.5,.4,.4,.5,.7,07
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,24,24,24,24,24,25,25,25,25,24,25,25,25,25,25,25,25,00
,CARMEL MT RCH,25,25,26,26,26,25,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,02
,CHULA VISTA,27,26,27,27,27,26,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,DOWNTOWN SES,25,26,26,26,26,26,26,26,26,25,24,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,01
,EL CAJON LES,26,26,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,KEARNY MESA,25,25,25,25,25,25,25,P,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,00
,PENDLETON,25,25,26,26,26,26,25,25,25,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,5.5,5.3,5.4,5.5,5.5,5.7,5.7,5.3,6.0,7.0,7.6,7.8,9.3,8.1,8.0,8.2,7.8,7.2,7.1,8.0,8.6,8.4,8.3,8.7,7.0,9.3,12
,CARMEL MT RCH,5.3,5.4,5.6,5.9,6.3,6.3,7.6,8.9,9.2,10.2,11.0,10.2,10.1,9.8,8.8,8.3,9.4,10.7,11.2,10.9,10.7,9.3,9.0,8.6,8.6,11.2,18
,CHULA VISTA,5.9,5.6,5.5,5.6,5.8,6.2,7.4,9.0,13.2,11.1,M,M,12.9,12.1,11.1,11.5,13.7,14.7,13.4,12.7,13.1,13.6,11.9,11.8,10.3,14.7,17
,DOWNTOWN SES,6.2,7.0,6.3,6.9,7.1,8.0,8.7,9.5,10.3,9.4,9.7,9.7,10.3,10.2,9.3,9.9,10.9,12.9,13.4,12.8,13.0,15.1,13.7,14.9,10.2,15.1,21
,EL CAJON LES,6.0,6.2,6.1,6.3,6.5,6.7,7.9,8.6,8.9,9.2,8.7,8.5,7.9,8.2,7.8,7.0,6.2,6.5,9.5,11.1,12.2,12.8,13.1,12.6,8.5,13.1,22
,KEARNY MESA,5.7,5.9,6.3,6.5,7.2,7.3,7.4,P,9.1,10.2,9.0,9.5,10.0,9.8,8.9,8.0,9.5,11.4,11.4,10.6,11.0,11.0,10.9,10.2,8.9,11.4,17
,OTAY MESA DVN,7.1,13.3,17.3,14.2,14.2,13.4,25.2,25.8,13.7,10.9,10.5,10.5,9.7,10.2,10.8,9.4,9.4,9.9,11.6,12.8,13.4,13.9,14.6,10.5,13.0,25.8,07
,PENDLETON,8.0,7.3,7.4,7.5,7.6,8.0,8.6,11.7,11.9,10.6,10.7,9.5,10.0,10.0,10.4,10.5,11.4,10.4,10.0,11.7,14.3,13.5,15.7,15.2,10.4,15.7,22
12 VWDR °,ALPINE,88,71,68,92,332,22,193,256,268,282,270,259,251,258,253,258,243,259,317,300,180,77,112,339,0,339,23
,CHULA VISTA,336,354,352,25,122,108,345,282,266,263,267,268,257,267,265,265,247,267,259,252,235,230,243,217,0,354,01
,DOWNTOWN SES,340,340,349,349,353,12,86,313,288,286,284,292,278,286,284,278,283,296,314,332,334,318,337,343,0,353,04
,EL CAJON LES,97,59,347,26,147,117,121,271,307,303,238,251,251,250,255,243,253,264,245,240,188,176,165,171,0,347,02
,KEARNY MESA,346,343,10,5,12,348,115,P,310,308,299,294,297,297,302,301,296,297,291,283,284,280,278,289,0,348,05
,OTAY MESA DVN,29,156,100,155,34,95,163,261,317,297,297,293,293,292,293,295,297,298,299,321,277,283,335,348,0,348,23
,PENDLETON,6,55,43,57,59,45,360,254,247,250,247,260,276,270,258,247,239,241,254,260,260,259,228,299,0,360,06
13 SIGTHETA °,ALPINE,33,25,37,43,32,55,54,39,34,29,33,35,35,31,35,31,30,27,25,35,43,29,31,30,35,55,05
,CHULA VISTA,17,15,21,14,21,23,58,44,26,23,20,22,23,22,21,26,21,20,22,18,18,17,17,19,23,58,06
,DOWNTOWN SES,21,21,34,20,21,16,42,45,22,19,18,21,19,19,26,18,16,23,24,19,21,22,18,14,22,45,07
,EL CAJON LES,57,18,23,42,57,24,53,61,52,56,41,34,32,30,23,22,24,25,20,24,18,21,20,26,33,61,07
,KEARNY MESA,10,14,7,14,8,20,42,P,28,24,17,19,16,15,15,13,13,11,8,8,8,8,6,8,14,42,06
,OTAY MESA DVN,42,15,30,25,29,44,31,43,23,13,11,14,13,13,12,12,10,12,12,25,20,18,30,12,21,44,05
,PENDLETON,26,14,12,18,21,19,29,11,13,12,11,14,15,15,15,12,18,17,18,14,13,16,23,24,17,29,06
14 VWSP MPH,ALPINE,.3,.3,.2,.0,.5,.8,.4,1.4,2.3,3.3,3.9,4.5,4.8,4.9,4.3,4.4,4.1,3.2,1.7,.3,.0,.2,.2,.4,.0,4.9,13
,CHULA VISTA,2.7,1.4,.8,.6,.2,.1,.1,1.2,3.9,5.6,7.6,7.2,7.4,7.6,6.8,5.2,5.6,5.3,3.6,2.7,2.0,1.6,1.7,1.4,.0,7.6,10
,DOWNTOWN SES,1.9,1.8,1.4,1.7,1.2,1.5,.2,1.9,4.3,6.7,7.7,7.5,8.2,7.9,6.7,6.2,6.5,5.3,3.7,3.3,2.7,2.5,2.9,2.9,.0,8.2,12
,EL CAJON LES,.6,.8,.7,.2,.2,.7,.4,.6,1.4,1.9,3.4,4.9,5.6,5.6,6.8,6.2,5.3,4.8,4.0,2.5,2.1,1.6,1.9,1.4,.0,6.8,14
,KEARNY MESA,3.4,3.1,3.5,2.5,2.4,1.7,.3,P,4.5,5.6,8.5,8.9,9.4,8.9,9.6,8.8,8.0,8.0,6.0,4.5,3.4,3.3,3.2,2.7,.0,9.6,14
,OTAY MESA DVN,1.1,1.8,.3,.2,.5,.6,.7,1.1,4.7,7.8,9.2,9.7,9.7,10.6,10.0,8.0,8.2,7.3,5.3,2.4,.8,1.9,1.1,1.8,.0,10.6,13
,PENDLETON,1.5,1.7,2.3,1.6,1.3,1.6,1.1,2.1,3.0,4.6,5.4,5.9,6.0,6.5,4.9,5.6,4.7,4.0,2.7,2.5,1.9,1.5,.9,1.8,.0,6.5,13
15 SWSP MPH,ALPINE,.3,.3,.3,.0,.6,.9,.7,1.7,2.9,3.7,4.5,5.3,5.7,5.7,5.2,5.4,4.6,3.6,2.0,.4,.1,.3,.2,.5,2.3,5.7,12
,CHULA VISTA,2.8,1.4,.8,.6,.2,.2,.4,1.8,4.3,6.1,8.0,7.7,8.0,8.1,7.2,5.8,5.9,5.6,3.9,2.9,2.1,1.7,1.8,1.5,3.7,8.1,13
,DOWNTOWN SES,2.0,1.9,1.5,1.8,1.4,1.8,.8,2.7,4.7,7.1,8.2,8.0,8.6,8.4,7.3,6.5,6.8,5.7,4.0,3.6,2.9,2.7,3.1,3.0,4.4,8.6,12
,EL CAJON LES,.9,.9,.8,.4,.4,.8,.6,1.2,2.2,2.7,4.6,5.7,6.4,6.4,7.4,6.7,5.8,5.2,4.2,2.8,2.3,1.8,2.0,1.5,3.1,7.4,14
,KEARNY MESA,3.6,3.3,3.5,2.6,2.5,2.2,.9,P,5.0,6.1,8.9,9.4,9.9,9.3,10.0,9.0,8.3,8.2,6.1,4.5,3.4,3.4,3.2,2.7,5.5,10.0,14
,OTAY MESA DVN,1.3,2.0,.3,.3,.5,.8,1.0,1.5,5.2,8.0,9.4,10.0,10.0,10.8,10.2,8.2,8.3,7.5,5.5,2.6,1.2,2.1,1.3,1.9,4.6,10.8,13
,PENDLETON,1.6,1.9,2.8,1.7,1.4,1.7,1.6,2.2,3.1,4.7,5.5,6.1,6.3,6.7,5.1,5.7,4.9,4.1,2.9,2.6,1.9,1.5,1.1,2.1,3.3,6.7,13
16 AMBTEMP °F,ALPINE,67.1,67.9,69.2,69.4,69.7,67.9,70.7,73.5,75.1,78.0,81.5,83.5,84.3,84.1,84.0,82.9,81.4,78.3,74.0,71.6,70.9,70.4,69.5,69.2,74.8,84.3,12
,CARMEL MT RCH,65.1,64.7,64.2,64.3,63.9,65.0,67.3,71.1,74.5,77.4,79.8,80.1,81.3,81.3,80.7,80.1,78.7,74.8,70.1,68.7,67.6,67.5,66.9,66.3,71.7,81.3,12
,CHULA VISTA,68.6,67.8,67.0,66.4,65.4,65.6,68.3,71.8,73.9,76.1,75.6,76.2,76.3,74.9,75.9,76.2,75.5,72.4,70.2,69.5,69.1,68.5,67.7,67.4,71.1,76.3,12
,DOWNTOWN SES,67.4,66.8,66.0,65.8,65.4,65.9,70.9,74.5,77.2,77.2,77.3,77.0,77.0,77.2,78.3,78.9,77.7,73.8,70.0,69.1,68.7,68.3,67.1,66.3,71.8,78.9,15
,EL CAJON LES,67.9,67.2,66.7,66.0,65.1,64.7,68.1,72.1,76.9,81.2,84.6,86.1,86.9,86.9,86.5,86.0,85.1,82.4,77.6,74.9,72.0,70.0,68.8,67.8,75.5,86.9,12
