11 PM2.5 µg/M3,ALPINE,9.4,7.0,7.8,7.2,7.4,7.1,6.8,6.2,5.8,4.4,4.8,7.4,9.6,8.7,4.1,6.5,5.9,5.8,7.1,7.4,7.8,8.0,7.5,5.8,6.8,9.6,12
,CARMEL MT RCH,6.8,6.8,5.9,5.8,5.9,6.5,9.4,10.0,11.2,11.9,10.1,9.6,8.5,8.0,9.8,9.8,9.0,8.2,7.2,7.7,7.9,8.3,8.2,8.2,8.3,11.9,09
,CHULA VISTA,8.8,8.5,8.6,8.0,8.1,9.0,11.2,12.2,15.4,14.1,10.9,10.8,M,M,12.4,11.5,11.7,12.1,11.7,10.3,9.6,8.9,9.0,9.4,10.5,15.4,08
,DOWNTOWN SES,8.0,7.1,7.6,8.5,9.6,11.2,11.6,12.0,11.9,M,M,M,8.7,8.9,10.0,9.3,9.0,9.3,10.0,10.4,11.0,11.2,11.7,10.6,9.8,12.0,07
,EL CAJON LES,9.5,9.2,8.9,9.3,8.3,8.6,9.4,9.6,M,M,M,8.6,8.7,6.5,6.6,6.8,7.0,6.8,6.0,7.2,8.4,9.0,9.5,9.6,8.2,9.6,07
,KEARNY MESA,7.0,7.4,8.3,8.8,8.1,8.7,12.0,12.7,12.4,11.6,9.2,8.8,8.5,8.2,9.3,8.7,8.1,8.7,7.8,7.9,8.2,8.3,8.8,9.0,9.0,12.7,07
,OTAY MESA DVN,12.6,13.4,13.0,11.8,12.5,15.5,12.6,23.3,13.3,13.1,M,M,9.4,9.8,8.7,9.5,9.0,8.9,9.7,11.3,11.1,10.9,14.7,17.9,12.3,23.3,07
,PENDLETON,12.9,9.9,7.0,9.0,6.3,7.6,7.4,7.8,8.6,8.2,8.0,8.4,11.1,11.0,9.5,8.1,8.0,9.3,10.1,11.5,10.2,10.7,10.3,8.4,9.1,12.9,00
12 VWDR °,ALPINE,21,74,341,9,329,76,86,135,339,310,298,301,289,224,336,261,258,261,314,105,33,357,87,43,0,357,21
,CHULA VISTA,184,142,88,313,302,277,65,63,277,278,289,258,265,256,265,266,264,263,262,240,231,177,216,200,0,313,03
,DOWNTOWN SES,332,343,344,342,333,315,20,55,276,300,305,299,299,289,276,295,292,299,292,312,321,335,327,318,0,344,02
,EL CAJON LES,166,188,108,160,344,154,M,M,M,M,M,M,248,270,258,246,240,245,259,244,172,163,165,147,0,344,04
,KEARNY MESA,318,322,313,315,331,329,336,59,296,280,308,302,300,292,298,299,312,290,288,300,304,286,282,304,0,336,06
,OTAY MESA DVN,305,357,1,282,337,348,235,137,302,295,290,289,290,295,290,297,290,298,303,272,288,5,136,6,0,357,01
,PENDLETON,284,264,321,297,259,351,144,57,259,279,293,M,285,273,267,236,241,263,285,308,235,246,260,270,0,351,05
13 SIGTHETA °,ALPINE,34,18,62,18,33,41,46,31,45,32,26,24,28,34,50,26,28,34,32,44,50,26,20,28,34,62,02
,CHULA VISTA,38,20,29,26,29,41,49,26,32,24,26,20,20,21,21,20,21,21,23,18,19,29,21,24,26,49,06
,DOWNTOWN SES,19,22,17,22,34,65,51,34,27,31,25,24,23,24,17,24,26,23,19,23,21,15,39,19,27,65,05
,EL CAJON LES,28,19,25,39,35,43,M,M,M,M,M,M,29,35,21,21,22,23,20,38,15,17,40,41,28,43,05
,KEARNY MESA,12,21,21,18,23,42,23,21,55,19,14,16,15,16,22,14,11,11,10,10,11,10,44,10,20,55,08
,OTAY MESA DVN,13,32,23,59,24,24,46,52,24,13,14,13,12,13,12,12,12,9,14,11,15,26,39,37,23,59,03
,PENDLETON,16,32,33,22,40,22,30,50,33,16,15,M,P,15,13,19,16,14,17,21,23,21,21,15,23,50,07
14 VWSP MPH,ALPINE,.8,1.6,.8,1.0,.7,1.0,.9,2.3,1.2,2.6,4.8,5.4,5.2,4.5,1.2,5.5,4.7,2.7,1.5,.6,.2,.8,2.3,.9,.0,5.5,15
,CHULA VISTA,.9,.7,.4,1.1,1.3,.7,1.2,4.4,5.4,6.3,6.4,6.9,7.1,7.1,7.5,6.7,6.6,5.0,4.0,3.2,2.4,1.3,1.9,1.1,.0,7.5,14
,DOWNTOWN SES,3.4,2.9,3.3,2.5,2.6,1.1,2.1,4.7,5.5,6.7,6.3,7.6,7.2,6.8,8.0,6.6,5.7,5.1,4.4,3.7,3.3,3.9,1.0,3.1,.0,8.0,14
,EL CAJON LES,1.3,2.0,1.5,.5,1.1,.6,M,M,M,M,M,M,5.5,4.5,6.9,7.2,6.0,4.9,4.3,1.7,3.1,3.2,1.6,1.3,.0,7.2,15
,KEARNY MESA,3.1,2.1,2.3,2.9,3.7,1.5,2.6,5.2,2.2,10.1,10.3,10.7,10.7,9.9,5.8,10.3,11.7,8.3,6.2,5.2,4.5,3.5,1.6,3.6,.0,11.7,16
,OTAY MESA DVN,2.6,1.7,1.7,.5,2.1,1.2,.8,.9,4.5,8.8,9.7,9.9,10.0,8.3,10.1,9.2,8.1,8.3,5.0,3.1,2.4,1.0,1.3,1.3,.0,10.1,14
,PENDLETON,1.9,1.7,1.7,2.7,1.1,5.1,4.1,2.9,3.6,4.9,5.3,M,6.1,7.5,8.0,6.1,4.6,5.5,3.0,1.8,2.0,1.3,2.2,2.3,.0,8.0,14
15 SWSP MPH,ALPINE,1.1,1.9,1.2,1.4,.8,1.5,1.7,2.6,2.2,3.1,5.3,5.9,5.9,6.6,5.5,6.1,5.3,3.1,1.9,1.3,1.1,1.6,2.4,1.6,3.0,6.6,13
,CHULA VISTA,1.1,1.0,1.1,1.2,1.4,1.1,1.6,4.8,6.0,6.8,7.0,7.4,7.6,7.7,8.0,7.2,7.0,5.3,4.3,3.4,2.5,1.8,2.2,1.3,4.1,8.0,14
,DOWNTOWN SES,3.6,3.1,3.5,2.7,3.1,1.8,2.7,5.3,6.3,7.6,7.1,8.3,7.8,7.5,8.4,7.1,6.3,5.5,4.7,4.1,3.6,4.0,1.2,3.3,4.9,8.4,14
,EL CAJON LES,1.5,2.2,1.7,1.2,1.4,1.2,M,M,M,M,M,M,6.2,5.9,7.6,7.7,6.4,5.4,4.6,2.3,3.2,3.3,1.9,1.6,3.6,7.7,15
,KEARNY MESA,3.2,2.3,2.7,3.0,4.2,2.2,4.0,5.5,3.3,10.6,10.6,11.1,11.1,10.4,6.3,10.6,11.9,8.5,6.3,5.3,4.6,3.6,1.8,3.8,6.1,11.9,16
,OTAY MESA DVN,2.8,1.8,2.0,1.1,2.4,1.8,2.1,2.6,4.9,9.1,10.0,10.2,10.2,8.6,10.3,9.4,8.3,8.5,5.3,3.1,2.8,1.6,1.9,2.0,5.1,10.3,14
,PENDLETON,2.0,1.9,2.0,3.1,1.6,7.1,6.7,3.9,3.8,5.2,5.5,M,6.3,7.8,8.2,6.4,4.8,5.7,3.1,2.0,2.1,1.4,2.3,2.4,4.1,8.2,14
16 AMBTEMP °F,ALPINE,75.4,76.3,74.2,75.6,74.4,74.3,75.9,81.0,84.7,90.7,93.8,93.9,92.6,95.0,97.0,93.4,90.8,87.6,82.4,81.3,79.0,78.0,77.9,79.4,83.5,97.0,14
,CARMEL MT RCH,66.2,65.7,65.1,65.2,65.2,66.2,68.6,71.2,79.2,84.1,84.1,86.2,86.9,87.6,84.8,83.5,82.5,81.1,76.4,71.6,70.2,70.0,68.8,67.7,74.9,87.6,13
,CHULA VISTA,69.0,69.0,68.3,68.0,67.7,68.0,69.6,74.7,77.5,77.2,80.7,81.1,81.0,82.5,79.7,78.7,77.6,75.3,73.1,71.1,70.5,69.8,69.4,68.7,73.7,82.5,13
,DOWNTOWN SES,68.2,67.4,67.3,67.2,67.3,67.6,70.9,74.3,79.6,77.9,80.4,81.3,81.8,82.7,81.2,81.9,80.7,77.8,73.7,70.8,70.3,70.1,69.2,69.5,74.1,82.7,13
,EL CAJON LES,70.2,69.7,69.4,68.9,69.5,68.8,71.3,74.9,81.6,88.1,91.7,91.5,93.6,96.8,94.9,93.1,91.0,88.4,83.6,79.9,76.8,74.1,72.3,71.8,80.5,96.8,13
,KEARNY MESA,67.3,67.3,67.2,67.1,66.8,66.8,68.3,75.1,82.2,82.9,82.3,83.3,82.5,81.9,81.2,83.8,82.8,77.6,73.1,70.3,69.2,68.2,68.2,67.2,74.3,83.8,15
,OTAY MESA DVN,65.9,65.6,66.6,64.7,64.7,64.7,67.0,73.4,82.4,81.3,82.5,84.2,84.7,85.0,83.0,80.4,79.2,75.7,71.7,68.5,68.0,67.5,69.1,68.8,73.5,85.0,13
,PENDLETON,67.9,67.4,67.4,67.0,66.6,66.9,67.7,70.2,70.3,70.8,71.0,M,71.5,71.1,71.7,72.5,71.5,70.6,69.5,68.9,68.8,68.7,68.3,66.8,69.3,72.5,15
17 RELHUM %,ALPINE,61,52,60,55,57,56,53,43,39,28,27,31,36,31,23,28,29,32,42,44,47,48,47,43,42,61,00
,EL CAJON LES,82,83,84,86,82,84,79,71,57,46,43,43,38,31,31,32,36,37,40,53,64,71,76,77,59,86,03
,KEARNY MESA,99,99,99,99,100,100,97,78,62,61,60,58,60,57,58,50,50,66,76,87,91,94,95,95,79,100,04
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,747,747,747,746,746,746,745,745,745,744,744,745,745,745,746,746,746,746,746,747,00
,KEARNY MESA,749,749,749,749,749,749,749,749,748,748,748,748,747,747,747,746,746,746,747,747,747,747,747,747,748,749,00
19 SOLAR W/M2,EL CAJON LES,-1,0,-1,0,0,29,181,392,590,758,870,935,932,868,506,545,343,138,8,-3,-3,-3,-2,-1,295,935,11
,KEARNY MESA,1,1,1,1,1,22,150,414,648,804,920,979,973,782,646,529,395,177,22,1,1,1,1,1,311,979,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,2,10,21,32,42,48,52,50,45,30,27,16,6,1,0,0,0,0,0,16,52,11
25 NOY,EL CAJON LES,11.53,9.80,8.11,8.22,8.06,10.23,M,M,M,M,M,M,14.27,11.16,9.82,9.45,9.09,8.18,7.89,10.65,10.76,11.73,12.30,11.53,10.15,14.27,12
26 NOY-NO,EL CAJON LES,11.30,9.57,7.88,7.96,7.70,9.11,M,M,M,M,M,M,13.40,9.98,8.79,8.19,7.95,7.35,7.14,10.11,10.43,11.41,12.01,11.32,9.53,13.40,12
27 NO Trace,EL CAJON LES,.22,.22,.22,.26,.35,1.12,M,M,M,M,M,M,.87,1.17,1.03,1.26,1.13,.83,.75,.54,.33,.32,.28,.20,.61,1.26,15
28 SO2 Tr PPB,EL CAJON LES,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,.0,.0,.0,.0,.1,.1,.1,.0,.0,.0,.0,.0,.1,12
29 CO Tr PPB,EL CAJON LES,297.7,269.0,244.1,245.1,236.3,286.5,349.3,469.6,361.2,377.7,362.1,251.7,244.4,190.8,196.4,218.6,235.5,232.3,209.1,274.1,271.1,270.2,261.6,282.2,276.5,469.6,07
BCarbon ug/m3,10TH AVE MARINE TERM,.26,.20,.26,.18,.29,.51,<,<,.82,.22,.33,<,<,.47,.45,.62,.51,.38,.32,.34,<,.61,.57,.14,.39,.82,08
,BOSTON AVE,.18,.13,.15,.18,.34,.61,.58,.67,.59,.47,.57,.48,.47,.40,.36,.47,.38,.36,.48,.42,.56,.72,.51,.43,.44,.72,21
,CHICANO PARK,.07,.08,.06,.09,.11,<,.23,<,.22,.13,<,<,.15,<,<,<,<,<,<,<,<,<,<,<,.13,.23,06
,DOWNTOWN SES,<,.08,.11,<,.15,.24,.36,.39,.64,.40,<,.43,<,.41,.33,.33,<,.37,.59,<,.66,.61,.48,.36,.39,.66,20
,OCEANVIEW BLVD,.13,.16,.13,.22,.29,.35,.34,<,.64,.42,.46,.40,<,.35,.37,.35,.41,.39,.43,.57,.60,.62,.55,.53,.40,.64,08
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,24.0,19.4,19.1,18.9,26.5,20.3,22.6,24.8,22.9,16.7,18.8,28.7,45.3,27.6,17.4,24.8,22.2,18.9,21.8,26.5,28.4,29.4,26.1,17.2,23.6,45.3,12
,CARMEL MT RCH,13.4,12.8,10.4,10.3,10.7,12.4,19.5,21.3,25.6,29.2,23.4,24.0,24.1,21.1,23.9,21.0,22.1,18.8,16.3,16.7,18.5,17.8,16.9,15.9,18.5,29.2,09
,CHULA VISTA,17.0,16.5,16.7,15.2,15.2,17.0,21.9,24.5,33.3,30.0,27.2,27.8,M,M,31.5,24.1,25.6,27.9,25.8,22.1,20.0,17.5,20.2,19.6,22.5,33.3,08
,DOWNTOWN SES,23.2,15.1,16.5,15.8,16.9,18.5,22.7,24.8,32.0,M,M,M,32.7,28.6,28.9,21.8,23.2,21.9,22.0,21.4,22.7,29.5,38.9,30.5,24.1,38.9,22
,EL CAJON LES,16.6,17.3,16.1,17.7,17.7,19.0,21.7,22.8,M,M,M,34.6,29.8,23.8,24.0,28.4,21.9,21.7,14.5,17.9,20.7,21.8,20.0,20.1,21.3,34.6,11
,KEARNY MESA,13.9,14.9,15.5,16.8,15.8,16.4,24.0,30.7,27.0,39.6,25.0,23.7,22.5,21.3,22.6,20.6,19.1,18.3,15.0,16.6,18.7,17.5,18.1,18.0,20.4,39.6,09
,OTAY MESA DVN,25.2,30.3,28.2,23.2,27.8,76.1,33.3,100.6,44.7,47.4,M,M,34.5,37.7,38.0,33.6,29.9,25.9,25.4,36.7,32.2,26.1,54.6,83.5,40.6,100.6,07
,PENDLETON,31.5,23.7,14.4,19.9,11.4,15.6,19.3,16.9,22.2,25.2,23.1,22.5,27.8,25.9,22.3,20.5,17.9,24.1,28.9,29.9,21.9,23.9,21.7,16.8,21.9,31.5,00
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
