Current Date:,10/19/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
10/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,,,,,.045,.045,.045,.047,.047,.048,.047,.047,.046,.046,.046,.045,.045,.045,.045,.045,.046,.045,.045,.045,0.045,0.048,09
,CHULA VISTA,,,,,,,,,,,,,,,.021,.019,.016,.013,.011,.009,.007,.011,.013,.013,0.013,0.021,14
,EL CAJON LES,,,,.017,.021,.025,.032,.038,.044,.048,.05,.049,.044,.039,.034,.028,.023,.018,.013,.01,.01,,,,0.03,0.05,10
,KEARNY MESA,.018,.019,.021,.024,.027,.031,.037,.041,.045,.048,.049,.05,.051,.049,.046,.044,.042,.039,.036,.035,.032,.029,.024,.02,0.035,0.051,12
,OTAY MESA DVN,.024,.024,.028,.03,.032,.034,.036,.04,.045,.047,.048,.048,.047,.044,.039,.033,.029,.027,.024,.022,.02,.019,.022,.025,0.032,0.048,10
,PENDLETON,.017,.016,.019,.022,.024,.027,.03,.032,.034,.04,.046,.048,.048,.049,.047,.046,.045,.04,.033,.03,.028,.024,.022,.019,0.032,0.049,13
