Current Date:,10/3/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
10/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.02,.019,.02,.021,.023,.026,.029,.032,.034,.035,.035,.035,.034,.032,.03,.029,.027,.026,.024,.024,.023,.021,.019,.018,0.026,0.035,09
,CHULA VISTA,.013,.014,.016,.018,.02,.021,.022,.023,.025,.026,.027,.025,.024,.022,.021,.02,.017,.015,.013,.012,.011,.008,.006,.004,0.017,0.027,10
,EL CAJON LES,,,,.024,.026,.028,.03,.031,.033,.034,.034,.033,.031,.028,.026,.023,.021,.019,.018,.017,.017,,,,0.026,0.034,09
,KEARNY MESA,.021,.021,.022,.022,.023,.024,.026,.028,.029,.03,.031,.031,.029,.026,.022,.018,.015,.012,.009,.007,.004,.004,.004,.005,0.019,0.031,10
,OTAY MESA DVN,.018,.017,.018,.02,.022,.024,.026,.028,.031,.032,.033,.032,.029,.027,.025,.022,.02,.019,.016,.015,.014,.011,.009,.008,0.021,0.033,10
,PENDLETON,.018,.019,.021,.022,.023,.024,.026,.029,.03,.031,.031,.03,.03,.028,.027,.025,.022,.02,.017,.016,.015,.012,.009,.006,0.022,0.031,09
