Current Date:,10/10/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
10/9/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.026,,,,,,,,,,.048,.045,.042,.037,.033,.03,.028,.026,.025,.025,.025,.026,.026,0.031,0.048,11
,CHULA VISTA,.021,.024,.027,.029,.029,.029,.031,.033,.034,.035,.035,.034,.033,.032,.031,.03,.03,.029,.028,.028,.028,.026,.022,.018,0.029,0.035,09
,EL CAJON LES,,,,.031,.034,.037,.041,.044,.046,.047,.047,.045,.041,.037,.033,.031,.028,.027,.027,.026,.026,,,,0.036,0.047,09
,KEARNY MESA,.019,.022,.026,.03,.033,.037,.039,.04,.041,.041,.04,.037,.033,.028,.025,.023,.021,.019,.019,.019,.019,.017,.016,.016,0.027,0.041,08
,OTAY MESA DVN,.021,,,,.034,.038,.042,.045,.047,.045,.043,.042,.039,.035,.032,.03,.029,.029,.028,.028,.028,.028,.028,.026,0.034,0.047,08
,PENDLETON,.014,.017,.022,.024,.027,.031,.034,.037,.039,.039,.039,.038,.037,.036,.033,.03,.028,.026,.024,.023,.02,.018,.017,.017,0.027,0.039,08
