Current Date:,8/7/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/6/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.032,.037,C,C,.051,.052,.037,.025,.024,.036,.049,.062,.076,.081,.070,.060,.057,.054,.045,.035,.027,.024,.028,.039,.045,.081,13
,CHULA VISTA,.023,.020,C,C,.021,.020,.016,.020,.029,.030,.035,.037,.034,.035,.033,.033,.033,.030,.029,.028,.028,.025,.023,.024,.027,.037,11
,DOWNTOWN SES,.029,.031,C,C,.025,.025,.031,.028,.036,.035,.035,.035,.034,.035,.035,.032,.029,.031,.030,.030,.030,.031,.031,.030,.031,.036,08
,EL CAJON LES,.021,.022,C,C,C,.016,.018,.021,.021,.026,M,.050,.053,.048,.044,.043,.040,.034,.029,.025,.024,.024,.022,.022,.030,.053,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.026,C,C,.021,.019,.021,.025,.026,.034,.037,.041,.044,.043,.041,.037,.031,.028,.027,.024,.023,.026,.027,.027,.029,.044,12
,OTAY MESA DVN,.020,.019,C,C,.013,.004,.006,.009,.016,.028,.041,.049,.047,.041,.039,.035,.035,.032,.027,.025,.023,.021,.019,.019,.025,.049,11
,PENDLETON,.033,.032,C,C,.026,.025,.024,.026,.026,.034,.039,.037,.035,.034,.037,.031,.031,.030,.029,P,.027,.027,.028,.027,.030,.039,10
02 NOX PPM,ALPINE,.009,.006,C,C,.003,.003,.012,.018,.012,.009,.008,.008,.008,.006,.005,.005,.005,.005,.005,.006,.011,.012,.011,.005,.008,.018,07
,CARMEL MT RCH,.013,.013,C,C,.019,.032,.019,.011,.031,.042,.031,.036,.030,.028,.026,.024,.020,.018,.016,.018,.021,.018,.016,.015,.023,.042,09
,CHULA VISTA,.009,.009,C,C,.007,.008,.012,.019,.011,.013,.007,.003,.002,.003,.002,.002,.001,.001,.001,.001,.002,.006,.008,.006,.006,.019,07
,DOWNTOWN SES,.005,.004,C,C,.008,.008,.005,.007,.003,.003,.004,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.003,.003,.008,04
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.006,.008,.009,.010,.010,.006,.004,.006,.005,.005,.004,.003,.003,.003,.003,.005,.006,.004,.004,.003,.005,.010,07
,OTAY MESA DVN,.004,.004,C,C,.007,.020,.022,.024,.024,.022,.012,.008,.006,.006,.006,.005,.004,.003,.003,.003,.003,.004,.004,.004,.009,.024,07
,PENDLETON,.001,.001,C,C,.002,.003,.004,.005,.006,.005,.004,.004,.002,.003,.002,.002,.000,.000,.000,P,.000,.001,.001,.001,.002,.006,08
03 NO2 PPM,ALPINE,.009,.006,C,C,.002,.003,.009,.012,.008,.007,.006,.007,.008,.006,.004,.004,.004,.005,.005,.006,.011,.012,.010,.005,.007,.012,07
,CARMEL MT RCH,.008,.009,C,C,.010,.013,.010,.007,.015,.021,.018,.020,.017,.017,.014,.013,.010,.009,.008,.009,.012,.009,.009,.009,.012,.021,09
,CHULA VISTA,.009,.009,C,C,.007,.007,.011,.015,.009,.010,.005,.003,.002,.002,.002,.001,.001,.001,.001,.001,.002,.006,.008,.006,.005,.015,07
,DOWNTOWN SES,.005,.004,C,C,.007,.008,.005,.006,.002,.003,.003,.002,.001,.001,.001,.001,.002,.002,.002,.002,.002,.002,.002,.002,.003,.008,05
,EL CAJON LES,.005,.005,C,C,C,.006,.006,.008,.011,.011,M,.008,.005,.004,.003,.004,.004,.004,.004,.005,.005,.004,.005,.005,.006,.011,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.006,.008,.008,.009,.009,.006,.004,.005,.004,.004,.003,.003,.003,.003,.003,.005,.006,.004,.004,.003,.005,.009,07
,OTAY MESA DVN,.004,.004,C,C,.006,.017,.016,.017,.016,.015,.009,.007,.005,.005,.005,.004,.003,.003,.003,.003,.003,.003,.004,.004,.007,.017,05
,PENDLETON,.002,.002,C,C,.002,.003,.004,.004,.004,.004,.003,.003,.002,.002,.002,.001,.001,.001,.001,P,.001,.001,.001,.001,.002,.004,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.003,.006,.004,.002,.001,.001,.001,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.006,07
,CARMEL MT RCH,.005,.004,C,C,.009,.019,.009,.004,.016,.021,.014,.016,.013,.011,.012,.011,.009,.009,.008,.009,.010,.009,.007,.005,.010,.021,09
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.004,.002,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.001,06
,OTAY MESA DVN,.000,.000,C,C,.001,.003,.006,.007,.008,.007,.003,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.002,.008,08
,PENDLETON,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,P,.000,.000,.000,.000,.000,.001,07
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.8,.4,.3,.5,.6,.5,.6,.6,.7,.6,.7,.8,.6,.5,.5,.5,.5,.5,.5,.5,.8,05
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,25,00
