Current Date:,8/26/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/25/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.061,.062,C,C,.064,.071,.062,.070,.071,.069,.072,.071,.088,.082,<,<,.072,.078,.076,.065,.066,.068,.071,.069,.070,.088,12
,CHULA VISTA,.035,.036,C,C,.029,.025,.028,.033,.039,.040,.050,.059,.062,.059,.055,.053,.049,.046,.040,.038,.041,.039,.034,.033,.041,.062,12
,DOWNTOWN SES,.042,.039,C,C,.037,.030,.033,.036,.038,.039,.049,.056,P,P,.050,.049,.049,.045,.044,.048,.047,.043,.037,.034,.042,.056,11
,EL CAJON LES,.036,.035,.032,.032,.028,.020,.017,.027,.035,.054,.067,.085,.083,.080,.084,.077,.072,.065,.060,.043,.035,.031,.027,.035,.048,.085,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.037,.038,C,C,.022,.026,.034,.035,.040,.046,.052,.060,.061,.063,.062,.061,.056,.050,.044,.042,.043,.041,.041,.041,.045,.063,13
,OTAY MESA DVN,.026,.025,C,C,.019,.006,.012,.021,.032,.047,.052,.063,.067,.066,.062,.059,.053,.045,.039,.033,.027,.033,.028,.025,.038,.067,12
,PENDLETON,.026,.024,C,C,.014,.012,.012,.022,.027,.042,.048,.056,.056,.051,.051,.053,.051,.048,.047,.042,.043,.042,.040,.035,.038,.056,11
02 NOX PPM,ALPINE,.003,.002,C,C,.004,.007,.010,.003,.006,.006,.004,.002,.004,.004,<,<,.003,.004,.005,.010,.007,.004,.004,.002,.005,.010,06
,CARMEL MT RCH,.012,.009,C,C,.022,.036,.041,.029,.033,.023,.025,.022,.021,.023,.022,.018,.018,.019,.018,.017,.017,.019,.014,.016,.022,.041,06
,CHULA VISTA,.005,.004,C,C,.007,.010,.012,.011,.010,.013,.007,.005,.005,.005,.004,.005,.003,.006,.008,.009,.006,.007,.007,.007,.007,.013,09
,DOWNTOWN SES,.003,.003,C,C,.005,.010,.010,.008,.009,.012,.011,.008,P,P,.006,.006,.006,.006,.007,.004,.004,.004,.008,.010,.007,.012,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.009,.009,.006,.008,.009,.008,.008,.006,.004,.004,.004,.004,.003,.004,.004,.004,.003,.003,.003,.003,.005,.009,04
,OTAY MESA DVN,.004,.004,C,C,.004,.038,.022,.014,.008,.008,.009,.007,.006,.006,.005,.005,.004,.004,.005,.007,.008,.005,.005,.005,.008,.038,05
,PENDLETON,.009,.008,C,C,.012,.013,.019,.014,.014,.007,.007,.004,.005,.008,.003,.002,.001,.001,.002,.005,.002,.002,.002,.004,.007,.019,06
03 NO2 PPM,ALPINE,.003,.002,C,C,.003,.005,.008,.003,.005,.005,.004,.002,.004,.004,<,<,.002,.003,.005,.009,.006,.004,.003,.002,.004,.009,19
,CARMEL MT RCH,.008,.007,C,C,.016,.021,.019,.016,.018,.014,.015,.014,.013,.014,.015,.012,.012,.013,.012,.012,.012,.014,.011,.013,.014,.021,05
,CHULA VISTA,.005,.004,C,C,.007,.010,.010,.009,.008,.010,.006,.005,.004,.004,.004,.004,.003,.005,.008,.009,.006,.007,.007,.007,.006,.010,05
,DOWNTOWN SES,.003,.003,C,C,.004,.009,.009,.007,.007,.009,.009,.007,P,P,.005,.005,.005,.006,.007,.004,.004,.004,.008,.010,.006,.010,23
,EL CAJON LES,.009,.006,.008,.007,.008,.012,.016,.012,.012,.009,.010,.011,.010,.009,.009,.008,.009,.009,.010,.015,.014,.013,.014,.009,.010,.016,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.008,.009,.006,.006,.007,.007,.007,.005,.003,.003,.003,.003,.003,.004,.004,.005,.003,.003,.003,.003,.005,.009,05
,OTAY MESA DVN,.004,.004,C,C,.004,.017,.013,.010,.006,.006,.008,.006,.006,.005,.004,.004,.004,.004,.005,.007,.008,.005,.005,.005,.006,.017,05
,PENDLETON,.009,.008,C,C,.010,.012,.013,.009,.009,.005,.005,.004,.004,.004,.002,.002,.001,.001,.002,.005,.002,.002,.002,.004,.005,.013,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.000,.001,.001,.000,.000,.000,.000,<,<,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.003,.002,C,C,.006,.015,.022,.013,.015,.009,.010,.009,.007,.008,.008,.006,.006,.006,.005,.006,.005,.005,.003,.003,.008,.022,06
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.002,.002,.003,.001,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,09
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,.002,.002,.003,.002,.001,P,P,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,OTAY MESA DVN,.000,.000,C,C,.000,.020,.009,.004,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.020,05
,PENDLETON,.000,.000,C,C,.002,.001,.006,.005,.005,.002,.001,.001,.001,.004,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,06
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.8,.7,.6,.6,.6,.6,.6,.7,.7,.8,.8,.8,.8,.7,.6,.7,.6,.6,.5,.6,.8,05
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,24,23,23,23,24,<,<,23,23,24,24,24,24,24,24,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,CHULA VISTA,24,24,25,24,24,24,25,25,25,25,25,24,25,25,25,25,25,25,25,24,25,25,24,24,25,25,02
,DOWNTOWN SES,23,23,23,23,23,24,24,23,23,23,22,22,P,P,22,23,23,23,23,23,23,24,24,24,23,24,05
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,24,24,24,23,23,23,23,23,23,24,24,25,25,25,24,25,00
,PENDLETON,25,24,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,15.4,17.9,17.1,25.0,19.5,31.9,32.4,32.4,28.5,26.9,22.3,21.8,19.4,17.6,,18.8,17.7,24.4,26.9,26.4,27.6,24.1,23.0,19.5,23.3,32.4,06
,DOWNTOWN SES,8.0,9.2,12.1,7.9,6.8,7.9,12.8,12.6,13.7,11.5,16.7,14.0,,11.1,10.9,12.6,10.3,8.1,12.9,12.7,12.1,11.0,11.2,12.9,11.2,16.7,10
,EL CAJON LES,9.7,8.3,7.8,10.5,8.5,10.0,11.1,16.9,15.2,M,20.0,26.7,24.7,14.6,19.6,18.5,24.8,16.5,16.9,15.3,17.2,13.4,10.0,11.8,15.1,26.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,16.0,24.9,15.9,26.0,21.7,51.9,37.2,26.1,19.9,19.5,23.8,22.4,22.0,16.9,19.5,20.8,20.8,18.3,19.8,19.5,18.1,17.3,15.5,21.2,22.2,51.9,05
,PENDLETON,8.0,11.6,8.2,10.0,12.2,9.8,15.0,12.7,17.6,9.8,14.2,12.7,13.0,12.3,12.4,10.6,10.2,8.6,11.4,13.6,12.5,11.6,9.1,11.7,11.6,17.6,08
12 VWDR °,ALPINE,18,358,69,137,57,65,320,285,288,257,289,307,297,296,<,<,276,314,330,183,82,54,6,56,0,358,01
,CHULA VISTA,350,342,346,346,4,340,347,345,324,277,267,262,278,270,273,275,260,282,268,276,285,300,322,335,0,350,00
,DOWNTOWN SES,345,352,343,342,356,358,340,318,313,279,277,296,P,P,300,283,277,305,313,318,321,322,341,340,0,358,05
,EL CAJON LES,340,345,318,355,36,309,318,340,283,328,261,256,256,264,240,243,248,249,311,263,262,262,289,336,0,355,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,332,334,328,339,1,343,332,331,326,324,307,300,304,312,305,315,293,298,300,308,324,327,336,335,0,343,05
,OTAY MESA DVN,4,4,358,5,31,149,340,323,319,306,297,296,297,296,295,295,301,305,302,279,278,342,349,345,0,358,02
,PENDLETON,333,47,43,5,30,34,39,260,275,276,286,278,280,277,277,280,289,301,296,301,314,305,297,1,0,333,00
13 SIGTHETA °,ALPINE,30,26,25,45,43,20,47,37,28,30,32,28,26,27,<,<,27,28,18,44,47,47,22,14,31,47,06
,CHULA VISTA,18,15,16,16,19,20,21,25,35,32,20,20,24,23,20,20,21,21,21,19,22,18,32,31,22,35,08
,DOWNTOWN SES,25,21,18,16,19,20,23,31,33,18,16,21,P,P,24,18,21,24,19,20,24,23,34,17,22,34,22
,EL CAJON LES,20,14,21,16,28,30,44,50,49,55,39,23,24,23,22,21,21,22,22,20,15,15,20,18,26,55,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,9,6,7,9,11,15,25,25,25,20,16,15,15,13,15,16,11,7,10,8,11,10,7,13,25,07
,OTAY MESA DVN,25,22,17,15,22,16,38,22,21,22,17,14,13,13,12,12,11,10,12,10,12,21,24,48,19,48,23
,PENDLETON,18,14,22,27,8,9,18,28,17,17,16,17,16,16,16,16,16,15,16,13,12,13,17,18,16,28,07
14 VWSP MPH,ALPINE,1.1,1.1,.8,.1,.5,1.2,.7,1.6,2.8,3.4,4.4,5.4,6.4,6.2,<,<,5.1,3.6,1.8,.6,1.4,.7,.6,1.3,.0,6.4,12
,CHULA VISTA,2.3,2.5,2.8,2.0,1.9,1.3,3.0,3.0,2.8,4.4,6.7,8.0,7.0,7.4,7.9,6.6,6.2,4.5,3.4,3.8,2.6,1.8,.7,1.9,.0,8.0,11
,DOWNTOWN SES,3.1,2.9,3.6,3.1,2.6,2.2,3.7,3.2,3.2,6.7,8.6,8.6,P,P,7.7,6.7,7.3,5.8,5.7,5.9,3.8,3.0,2.2,3.9,.0,8.6,10
,EL CAJON LES,1.8,2.4,1.3,1.3,1.1,.5,.5,1.0,1.4,1.3,2.5,5.7,6.3,6.6,6.3,6.2,5.1,3.9,2.0,2.4,2.9,2.0,1.0,2.1,.0,6.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.9,4.8,3.7,3.3,3.3,3.9,4.5,3.7,4.8,4.8,7.3,10.6,9.9,8.9,11.0,9.7,8.0,7.0,7.4,6.5,6.7,4.6,5.6,5.0,.0,11.0,14
,OTAY MESA DVN,.8,.2,.0,.0,.0,.0,1.4,2.5,3.4,5.3,7.2,8.5,8.4,8.8,10.1,9.1,8.7,7.1,4.7,3.2,2.5,2.3,.2,.0,.0,10.1,14
,PENDLETON,2.3,2.1,1.6,2.2,3.0,3.2,1.6,2.5,3.7,4.8,5.2,6.1,5.8,6.1,5.9,5.3,4.7,5.7,4.3,4.1,5.0,3.0,2.0,1.1,.0,6.1,11
15 SWSP MPH,ALPINE,1.3,1.2,.9,.8,.9,1.6,1.0,1.8,3.1,4.1,4.9,6.0,7.0,7.1,<,<,5.8,4.0,2.0,1.0,1.7,.9,1.0,1.6,2.7,7.1,13
,CHULA VISTA,2.4,2.6,2.9,2.1,2.0,1.4,3.1,3.3,3.5,5.0,7.1,8.5,7.7,8.0,8.4,7.1,6.7,4.8,3.7,4.0,2.8,1.9,.8,2.0,4.2,8.5,11
,DOWNTOWN SES,3.3,3.1,3.7,3.2,2.8,2.3,3.9,3.6,4.0,7.0,9.0,9.4,P,P,8.4,7.3,7.7,6.2,6.0,6.2,4.1,3.2,2.4,4.0,5.0,9.4,11
,EL CAJON LES,1.9,2.5,1.4,1.4,1.2,.6,1.1,1.5,2.1,2.3,3.4,6.1,6.8,7.1,6.8,6.7,5.5,4.2,2.5,2.6,3.0,2.1,1.1,2.2,3.2,7.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.9,4.8,3.7,3.3,3.4,4.1,4.7,4.0,5.2,5.3,7.7,11.0,10.2,9.3,11.3,10.2,8.3,7.2,7.5,6.6,6.7,4.7,5.7,5.0,6.5,11.3,14
,OTAY MESA DVN,.9,.2,.0,.0,.0,.0,1.4,2.8,3.9,5.7,7.6,8.8,8.7,9.0,10.3,9.3,8.9,7.2,4.9,3.3,2.5,2.4,.2,.0,4.1,10.3,14
,PENDLETON,2.5,2.3,1.8,2.2,3.0,3.5,1.8,2.8,3.9,5.0,5.4,6.5,6.1,6.4,6.1,5.5,5.0,5.9,4.5,4.3,5.1,3.0,2.2,1.4,4.0,6.5,11
16 AMBTEMP °F,ALPINE,74.9,74.6,74.4,75.9,75.0,77.2,79.5,83.5,85.9,88.0,90.1,92.6,92.2,92.5,<,<,88.9,85.0,81.1,79.7,78.9,78.7,78.3,78.2,82.1,92.6,11
,CARMEL MT RCH,64.0,63.5,63.1,63.3,63.4,64.3,65.7,69.5,73.9,79.3,84.0,83.8,84.1,85.7,85.2,82.4,82.1,79.3,74.7,71.4,69.8,69.8,69.3,68.5,73.3,85.7,13
,CHULA VISTA,67.6,67.1,66.6,66.2,65.8,65.6,67.5,70.3,74.1,77.1,77.8,77.9,79.6,80.9,79.4,79.1,77.1,76.3,74.6,73.0,71.9,71.7,71.6,71.1,72.9,80.9,13
,DOWNTOWN SES,67.2,66.8,66.5,66.4,66.0,66.1,67.3,69.3,72.8,74.3,75.5,75.5,P,P,73.6,73.6,72.7,71.8,70.5,69.0,68.4,68.2,68.4,68.1,69.9,75.5,10
,EL CAJON LES,67.3,66.7,65.9,65.6,65.0,64.7,67.0,70.3,75.2,81.9,88.8,91.7,92.1,91.7,92.1,90.2,88.8,86.0,83.6,80.4,76.8,74.3,73.4,72.8,78.0,92.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,65.3,65.0,64.4,64.2,63.4,64.4,66.0,70.0,74.2,79.1,81.7,80.7,80.1,81.4,80.7,79.9,79.4,75.9,72.6,70.4,69.5,69.3,69.0,68.8,72.3,81.7,10
,OTAY MESA DVN,65.5,65.3,64.5,63.9,63.8,64.5,65.2,68.5,74.1,79.4,83.4,83.2,83.2,83.6,82.0,81.0,79.3,76.4,73.8,71.0,68.6,68.8,68.5,68.4,72.7,83.6,13
,PENDLETON,65.5,64.8,64.0,63.2,63.4,63.5,65.4,67.7,68.8,70.6,71.6,72.3,73.3,73.8,73.8,73.4,71.4,70.1,69.4,69.1,68.6,68.4,68.3,68.1,68.7,73.8,13
17 RELHUM %,ALPINE,43,45,47,24,35,20,17,15,13,17,18,12,21,21,<,<,19,24,27,29,32,32,30,29,26,47,02
,EL CAJON LES,84,84,85,85,86,87,81,74,62,44,36,31,33,33,30,33,29,37,39,52,63,71,73,72,59,87,05
,KEARNY MESA,94,94,94,95,95,95,94,81,69,58,53,56,58,55,57,56,60,70,79,85,87,85,82,81,76,95,03
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,748,748,748,748,748,748,747,747,747,746,746,746,746,746,746,747,747,747,747,747,748,00
,KEARNY MESA,748,748,749,749,748,749,749,749,749,749,749,749,748,748,748,747,747,747,747,747,748,748,748,748,748,749,02
19 SOLAR W/M2,EL CAJON LES,-4,-5,-5,-5,-4,18,161,355,551,724,837,889,880,805,670,496,290,89,-4,-7,-7,-6,-6,-5,279,889,11
,KEARNY MESA,0,0,0,0,0,16,156,387,598,771,893,946,933,862,734,559,349,130,5,0,0,0,0,0,306,946,11
25 NOY,EL CAJON LES,6.93,4.86,6.89,5.20,5.89,10.26,17.26,11.88,11.38,8.66,9.08,8.78,8.69,7.26,6.83,6.32,5.99,6.06,7.14,10.98,10.42,9.90,10.60,6.39,8.48,17.26,06
26 NOY-NO,EL CAJON LES,6.92,4.85,6.88,5.19,5.88,9.54,13.36,9.03,8.84,7.37,8.08,8.15,8.07,6.58,6.37,5.87,5.58,5.68,7.09,10.78,10.28,9.83,10.44,6.37,7.79,13.36,06
27 NO Trace,EL CAJON LES,.00,.01,.01,.01,.01,.72,3.89,2.84,2.53,1.29,.99,.63,.61,.67,.45,.44,.40,.37,.05,.20,.13,.06,.16,.02,.68,3.89,06
28 SO2 Tr PPB,EL CAJON LES,.1,.1,.1,.0,.0,.0,.1,.1,.2,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.0,.2,08
29 CO Tr PPB,EL CAJON LES,265.0,246.5,243.1,252.6,276.7,366.0,465.7,416.5,404.2,372.7,429.4,450.7,406.9,364.1,366.0,357.2,368.7,341.5,368.4,452.1,450.6,443.5,431.0,338.0,369.8,465.7,06
BCarbon ug/m3,10TH AVE MARINE TERM,.30,.30,.31,.33,.33,.37,.60,.72,.63,1.37,.90,.57,.57,.54,.51,.61,.64,.50,.67,.66,.83,.67,.59,.52,.59,1.37,09
,ALPINE,.63,.51,.54,.66,.61,1.21,.97,.88,.86,.89,.73,.59,.73,.62,.59,.60,.57,.74,.93,.91,.84,.77,.77,.69,.74,1.21,05
,CHICANO PARK,.40,.41,.41,.44,.52,.85,.74,.74,1.06,.89,.94,.76,.76,.79,.76,.68,.73,.71,.86,.93,.69,.57,.61,.69,.71,1.06,08
,DOWNTOWN SES,.48,.37,.43,.41,.40,.50,.58,.60,.72,1.00,.93,.75,.72,.67,.57,.58,.56,.63,.69,.69,.55,.49,.74,.68,.61,1.00,09
,OCEANVIEW BLVD,.37,.31,.32,.41,.46,.66,.61,.57,.72,.86,.83,.71,.62,.66,.60,.63,.60,.53,.54,.58,.48,.47,.46,.64,.57,.86,09
,SAN YSIDRO,.29,.39,.42,.43,.36,.36,.54,1.48,.62,.75,.65,.48,.42,.42,.42,.43,.46,.52,.82,.52,.52,.41,.49,.51,.53,1.48,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
