,CHULA VISTA,.000,.000,C,C,.000,.001,.003,M,M,.002,.001,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
,DOWNTOWN SES,.000,.000,C,C,.001,.002,.005,.008,.009,.009,.004,.002,.001,.001,.001,.002,.001,.001,.000,.000,.000,.000,.001,.000,.002,.009,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.010,.012,.011,.006,.004,.003,.002,.000,.001,.002,.001,.001,.000,.000,.001,.000,.000,.001,.000,.001,.003,.012,05
,OTAY MESA DVN,.000,.000,C,C,.001,.006,.009,.023,.010,.002,.001,.001,.001,<,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.003,.023,07
,PENDLETON,.000,.000,C,C,.001,.005,.013,.003,.000,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.013,06
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.7,.4,.3,.4,.6,C,C,.5,.6,.5,.5,.7,.6,.6,.6,.6,.7,.6,.5,.5,.7,05
10 INTMP °C,ALPINE,24,25,24,24,25,25,25,24,24,24,24,23,24,23,24,23,24,23,24,24,24,24,24,24,24,25,01
,CARMEL MT RCH,25,25,26,26,26,25,26,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,CHULA VISTA,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,01
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,23,23,24,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,04
,OTAY MESA DVN,24,25,25,25,24,25,25,25,25,24,24,24,23,<,23,23,23,23,23,24,24,24,24,24,24,25,01
,PENDLETON,24,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,01
11 PM2.5 µg/M3,ALPINE,8.6,8.1,5.7,9.0,10.0,11.7,9.2,5.7,2.8,4.9,7.1,6.3,8.5,9.7,9.5,9.5,9.4,5.7,7.6,9.4,11.3,8.7,5.9,8.3,8.0,11.7,05
,DOWNTOWN SES,16.9,9.8,9.5,11.9,14.2,11.5,12.8,13.3,16.4,13.7,13.3,12.8,9.9,8.8,6.4,6.8,6.6,8.0,9.3,5.7,7.2,5.6,8.8,6.5,10.2,16.9,00
,EL CAJON LES,14.5,9.9,10.4,11.9,13.2,12.5,13.4,10.6,10.6,13.1,9.4,9.7,7.9,7.7,9.8,7.7,9.1,5.7,3.3,7.6,8.7,8.4,6.9,8.3,9.5,14.5,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.9,19.8,38.1,54.9,18.6,17.3,36.5,49.9,31.9,20.9,15.7,17.5,15.1,,,,,,,,,,,,27.0,54.9,03
,PENDLETON,15.8,18.9,14.4,10.0,9.1,16.4,25.5,13.6,M,10.3,11.0,11.3,13.9,10.9,8.8,8.6,7.9,9.7,9.5,6.7,9.8,12.5,9.3,6.7,11.7,25.5,06
12 VWDR °,ALPINE,31,86,346,360,30,78,139,203,241,233,299,278,273,275,274,284,261,277,266,256,156,99,50,61,0,360,03
,CHULA VISTA,224,178,153,185,163,150,162,245,252,258,252,249,254,252,247,248,249,242,245,223,242,256,255,348,0,348,23
,DOWNTOWN SES,344,301,348,66,133,158,M,M,M,270,273,275,275,278,278,285,278,264,267,195,195,205,216,185,0,348,02
,EL CAJON LES,135,118,102,99,158,100,81,336,297,278,272,248,232,213,245,254,273,246,251,181,172,145,151,134,0,336,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,274,289,332,8,131,95,138,175,186,207,235,229,269,273,276,285,287,291,275,289,199,134,167,101,0,332,02
,OTAY MESA DVN,349,102,106,127,348,187,6,167,289,307,299,302,305,<,300,293,297,300,333,338,141,59,357,357,0,357,22
,PENDLETON,331,350,358,216,33,122,248,248,252,271,284,274,282,272,254,243,240,238,219,213,171,175,174,134,0,358,02
13 SIGTHETA °,ALPINE,38,14,41,28,36,21,19,46,52,37,40,33,37,30,31,29,33,28,26,26,14,17,39,33,31,52,08
,CHULA VISTA,29,21,16,23,18,17,63,51,47,26,22,22,20,19,21,23,18,23,18,25,21,19,19,23,25,63,06
,DOWNTOWN SES,15,54,29,69,28,58,28,M,M,21,26,13,21,20,24,18,20,23,27,22,20,24,19,39,28,69,03
,EL CAJON LES,30,30,33,41,32,25,56,50,56,58,42,35,25,21,24,25,23,25,22,19,34,28,35,45,34,58,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,33,44,16,8,36,15,25,63,36,49,30,18,19,18,18,19,16,13,9,9,34,13,16,42,25,63,07
,OTAY MESA DVN,19,39,25,56,22,80,49,55,23,28,22,12,17,<,15,16,13,12,16,27,39,25,20,19,28,80,05
,PENDLETON,10,18,14,45,18,64,19,12,12,15,16,17,18,18,16,16,14,16,13,14,9,12,7,39,19,64,05
14 VWSP MPH,ALPINE,.6,1.6,.6,2.5,1.0,1.2,1.1,1.2,2.3,3.8,4.3,5.3,5.3,6.8,6.4,5.7,4.8,4.4,2.9,1.4,1.7,1.3,.7,.6,.0,6.8,13
,CHULA VISTA,.7,1.0,.9,.9,1.1,1.5,.2,1.0,2.0,3.8,5.0,7.2,7.1,7.4,6.3,5.2,6.6,4.1,3.1,1.3,1.8,2.1,2.1,1.1,.0,7.4,13
,DOWNTOWN SES,.0,.0,.0,.0,.0,.0,M,M,M,4.3,4.4,7.2,6.2,6.8,6.1,6.0,5.8,3.9,2.8,3.1,2.9,2.2,2.9,1.0,.0,7.2,11
,EL CAJON LES,.9,1.0,1.1,.6,.9,1.5,.4,.5,1.5,2.4,4.0,5.4,7.3,7.6,6.8,6.0,6.0,5.1,4.3,3.4,2.7,1.7,.8,.7,.0,7.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,.9,1.2,1.8,3.3,1.8,1.9,1.5,.7,2.9,3.3,5.2,8.4,8.9,8.6,8.2,7.8,8.2,7.0,6.1,3.1,.9,2.2,1.8,.8,.0,8.9,12
,OTAY MESA DVN,2.4,.3,1.3,.4,2.6,.3,.3,1.4,3.6,4.2,6.8,9.9,8.4,<,8.0,6.4,8.1,7.0,4.4,1.4,1.4,.8,2.4,3.1,.0,9.9,11
,PENDLETON,4.0,1.7,1.9,.2,1.7,.1,.9,2.8,4.2,4.0,3.9,4.7,4.6,4.8,4.9,4.4,3.9,3.5,4.4,2.2,2.6,2.2,1.7,.1,.0,4.9,14
15 SWSP MPH,ALPINE,1.4,1.6,.9,2.7,1.4,1.3,1.2,2.0,3.2,4.5,5.2,6.3,6.6,7.6,7.4,6.4,5.6,4.9,3.3,1.5,1.9,1.4,1.0,.8,3.3,7.6,13
,CHULA VISTA,.8,1.1,1.0,1.0,1.1,1.6,.7,1.5,2.5,4.3,5.4,7.8,7.6,7.8,6.7,5.6,6.9,4.5,3.3,1.4,2.0,2.2,2.3,1.2,3.3,7.8,11
,DOWNTOWN SES,.0,.0,.0,.0,.0,.0,M,M,M,4.6,5.0,7.4,6.6,7.2,6.7,6.4,6.2,4.5,3.1,3.4,3.1,2.4,3.1,1.5,3.4,7.4,11
,EL CAJON LES,1.1,1.4,1.5,1.3,1.3,1.6,.7,1.3,2.3,3.4,4.8,6.5,8.1,8.1,7.4,6.6,6.6,5.6,4.8,3.8,3.0,2.0,1.3,1.1,3.6,8.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.0,1.4,2.2,3.3,1.9,2.0,1.7,1.8,3.4,4.2,6.0,8.8,9.5,9.0,8.7,8.3,8.5,7.3,6.2,3.2,1.6,2.3,2.0,1.6,4.4,9.5,12
,OTAY MESA DVN,2.8,.6,1.5,.4,2.9,.6,1.2,2.0,4.0,4.7,7.3,10.1,8.8,<,8.3,6.6,8.4,7.2,4.7,1.6,1.7,1.7,2.6,3.7,4.1,10.1,11
,PENDLETON,4.3,1.9,2.0,1.2,1.8,.7,.9,2.9,4.3,4.1,4.1,4.9,4.8,5.1,5.2,4.6,4.0,3.7,4.6,2.3,2.6,2.3,1.7,.8,3.1,5.2,14
16 AMBTEMP °F,ALPINE,75.4,75.5,74.7,73.2,73.6,74.2,77.0,80.7,83.1,86.0,87.5,89.8,90.7,90.7,89.6,87.3,85.8,83.8,78.2,75.0,74.1,73.8,74.0,73.5,80.3,90.7,12
,CARMEL MT RCH,71.9,71.9,71.0,70.8,70.7,71.4,74.1,79.4,84.6,87.2,90.0,90.7,92.5,90.2,89.7,87.6,84.3,82.3,80.1,77.4,75.2,73.5,72.6,72.0,79.6,92.5,12
,CHULA VISTA,71.5,71.1,70.7,70.0,69.6,69.4,71.3,75.6,79.2,81.7,82.9,81.8,80.2,80.3,80.5,81.3,79.7,77.1,74.7,73.8,73.7,72.4,71.7,71.5,75.5,82.9,10
,DOWNTOWN SES,71.7,71.6,71.1,71.4,71.3,71.4,72.5,M,M,79.5,81.9,80.5,79.7,79.3,79.4,79.4,78.5,77.7,75.3,72.7,71.3,71.0,70.9,70.9,75.0,81.9,10
,EL CAJON LES,74.1,72.8,72.0,72.2,71.2,70.9,73.9,78.8,84.9,89.6,92.3,94.7,94.5,93.5,92.7,91.2,90.2,87.0,82.4,78.2,76.5,75.9,74.9,73.6,81.6,94.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,71.9,71.0,69.6,69.7,69.5,70.1,74.2,79.0,83.0,87.2,90.0,91.5,89.4,88.5,86.8,85.7,84.8,82.4,79.3,76.1,75.3,73.7,72.6,71.2,78.9,91.5,11
,OTAY MESA DVN,71.1,71.8,71.9,71.5,69.5,68.6,72.6,77.8,83.4,87.2,89.2,88.4,86.0,<,84.1,85.4,82.3,78.7,76.6,75.0,75.7,75.9,73.7,71.2,77.7,89.2,10
,PENDLETON,68.2,68.7,68.6,68.5,68.2,68.3,70.3,71.7,73.4,73.4,73.6,74.2,74.2,75.1,76.1,76.6,76.0,75.2,72.8,71.5,71.1,70.6,70.7,70.7,72.0,76.6,15
17 RELHUM %,ALPINE,55,52,52,59,56,55,51,44,41,37,35,31,32,30,29,33,33,33,51,58,60,61,60,55,46,61,21
,EL CAJON LES,68,73,75,72,75,76,70,58,47,41,37,31,28,29,32,31,29,38,43,54,55,55,58,62,52,76,05
,KEARNY MESA,78,80,83,76,75,77,76,63,54,47,44,38,44,44,46,46,45,38,35,44,55,64,72,76,58,83,02
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,749,749,749,749,749,749,748,748,748,748,747,748,748,748,749,749,750,750,750,749,750,21
,KEARNY MESA,749,749,749,749,749,750,750,750,750,750,750,750,749,749,749,749,749,749,749,750,750,751,751,751,750,751,21
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-4,-4,27,171,378,567,733,834,904,874,831,695,526,321,128,7,-7,-6,-6,-5,-6,289,904,11
,KEARNY MESA,0,0,0,0,0,32,196,409,607,776,876,984,940,883,767,589,382,168,20,0,0,0,0,0,318,984,11
25 NOY,EL CAJON LES,8.62,8.82,8.63,7.59,9.37,C,C,10.77,9.11,13.96,8.52,8.73,7.54,6.90,6.88,5.95,5.29,6.11,6.74,8.15,6.71,6.09,6.96,6.67,7.91,13.96,09
26 NOY-NO,EL CAJON LES,8.58,8.80,8.61,7.56,9.17,C,C,8.36,7.62,11.71,7.73,7.88,6.80,6.28,6.22,5.25,4.89,5.24,6.28,7.88,6.55,5.99,6.90,6.64,7.31,11.71,09
27 NO Trace,EL CAJON LES,.04,.01,.01,.02,.20,C,C,2.40,1.48,2.24,.79,.85,.74,.61,.65,.70,.39,.87,.46,.27,.15,.10,.05,.02,.59,2.40,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.0,.1,.1,.2,.2,.2,.2,.3,.2,.2,.2,.2,.1,.1,.1,.1,.1,.1,.1,.1,.3,12
29 CO Tr PPB,EL CAJON LES,M,C,C,C,C,C,M,M,M,M,C,C,M,M,M,M,C,C,M,M,M,M,C,C,,M,M
BCarbon ug/m3,10TH AVE MARINE TERM,.77,.25,.25,.33,.53,.91,.56,.67,.97,1.50,.92,.72,.58,.56,.67,.76,.65,.38,.60,.45,.38,.22,.18,.41,.59,1.50,09
,ALPINE,.18,.15,.14,.19,.15,.18,.25,.18,.21,.18,.25,.25,.38,.42,.35,.31,.27,.24,.37,.32,.31,.30,.31,.26,.26,.42,13
,CHICANO PARK,.75,.80,.50,.57,.74,.72,1.07,1.09,1.60,1.67,1.02,.60,.58,.41,.39,.49,.40,.57,.50,.92,.35,.23,.36,1.06,.72,1.67,09
,DOWNTOWN SES,.85,.81,.48,.63,.61,.97,.78,1.17,1.42,1.39,1.01,.68,.47,.37,.37,.51,.33,.33,.33,.96,.45,.41,1.13,1.07,.73,1.42,08
,OCEANVIEW BLVD,.63,1.34,.83,.55,.48,.53,.55,1.07,1.46,1.25,.90,.70,.65,.44,.50,.51,.36,.44,.34,.20,.22,.22,.22,.36,.61,1.46,08
,SAN YSIDRO,.37,.25,.31,.33,.31,.33,.52,1.74,1.63,.88,.87,.44,.25,.21,.22,.32,.18,.18,.27,.27,.26,.26,.21,.28,.45,1.74,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
