Current Date:,3/3/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/2/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.045,.046,C,C,.043,.043,.044,.031,.042,.045,.047,.050,.051,.053,.055,.055,.052,.049,.043,.039,.031,.043,.039,.039,.044,.055,14
,CHULA VISTA,.033,.027,C,C,.022,.017,.017,.019,.023,.034,.044,.048,.050,.050,.051,.051,.051,.047,.042,.031,.012,.007,.014,.023,.032,.051,14
,DOWNTOWN SES,.040,.026,C,C,.010,.009,.007,.013,.022,.029,.038,.045,.048,.047,.048,.048,.046,.043,.040,.040,.035,.010,.005,.008,.029,.048,12
,EL CAJON LES,<,C,C,C,C,<,<,P,P,.034,.043,.044,C,C,C,.047,.046,.043,.037,.030,.021,.013,.015,.008,.031,.047,15
,KEARNY MESA,.026,.026,C,C,.022,.019,.008,.024,.033,.037,.043,.043,.046,.049,.052,.052,.050,.044,.037,.029,.015,.011,.021,.024,.032,.052,14
,OTAY MESA DVN,.039,.040,C,C,.031,.029,.016,.015,.021,.036,.040,.046,.048,.051,.052,.051,.050,.049,.044,.040,.031,.030,.033,.027,.037,.052,14
,PENDLETON,.039,.026,C,C,.021,.019,.020,.021,.028,.032,.036,.044,.048,.050,.051,.055,.053,.051,.049,.027,.011,.023,.022,.022,.034,.055,15
03 NO2 PPB,ALPINE,1.9,1.6,C,C,1.4,2.0,2.2,11.0,4.3,2.6,1.8,1.8,1.4,1.2,1.3,1.9,4.9,6.2,8.4,9.5,12.2,4.1,4.1,3.8,4.0,12.2,20
,CARMEL MT RCH,22.8,22.7,C,C,23.3,27.0,28.2,14.8,7.6,11.0,13.9,16.7,11.4,8.4,14.4,11.8,14.0,14.3,17.7,20.5,28.6,15.9,14.6,27.5,17.5,28.6,20
,CHULA VISTA,9.3,11.0,C,C,10.9,12.8,16.6,16.8,17.8,13.4,5.6,2.7,3.3,2.6,2.0,2.1,1.9,2.8,5.0,9.4,26.1,29.0,19.3,10.6,10.5,29.0,21
,DOWNTOWN SES,3.8,11.1,C,C,18.2,19.8,23.3,19.7,15.5,12.0,9.1,3.6,3.2,3.8,3.3,3.2,3.3,4.4,6.4,6.3,9.7,26.8,33.5,26.4,12.1,33.5,22
,EL CAJON LES,<,C,C,C,C,<,<,P,P,5.1,3.0,3.1,C,C,C,5.8,5.4,6.7,8.3,9.4,12.9,16.3,10.1,14.3,8.3,16.3,21
,KEARNY MESA,11.0,6.9,C,C,7.5,9.9,20.2,8.5,4.7,4.4,3.5,4.0,3.7,2.9,2.2,2.4,2.9,4.8,8.5,13.2,19.5,23.0,11.4,6.9,8.2,23.0,21
,OTAY MESA DVN,3.2,2.2,C,C,9.5,10.6,22.1,24.5,23.7,9.8,9.4,4.9,3.4,2.1,2.2,2.9,3.3,2.8,3.2,4.8,9.5,11.2,8.0,11.6,8.4,24.5,07
,PENDLETON,3.4,4.8,C,C,5.0,6.8,7.3,7.3,5.3,7.5,5.5,2.4,2.1,1.7,1.2,1.3,.8,.8,1.0,18.6,32.2,15.2,12.3,7.1,6.8,32.2,20
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.1,3.6,1.5,.9,.6,.5,.4,.3,.3,.3,.6,.2,.0,1.4,.9,.1,.0,.0,.5,3.6,07
,OTAY MESA DVN,.0,.0,C,C,1.0,4.9,8.4,20.4,32.4,4.5,3.8,1.6,.9,.6,.4,.6,.4,.0,.0,.6,3.5,2.7,1.0,1.6,4.0,32.4,08
,PENDLETON,-.3,-.1,C,C,.0,.4,1.3,3.2,2.3,3.5,2.5,.4,.2,.0,-.1,-.1,-.2,-.3,-.3,.0,4.4,1.9,2.6,1.0,1.0,4.4,20
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,.4,.8,1.0,.4,.3,.3,.4,.5,.4,.3,.5,.5,C,.5,.6,.5,.6,.4,.4,.8,.5,1.0,06
10 INTMP °C,ALPINE,24,24,24,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,25,25,26,19
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,10
,CHULA VISTA,25,25,25,25,25,25,25,26,25,24,25,25,26,26,25,26,27,27,27,27,27,26,26,26,26,27,16
,DOWNTOWN SES,26,26,26,26,26,26,25,25,25,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,EL CAJON LES,27,26,27,27,27,27,27,26,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,27,27,27,00
,KEARNY MESA,24,23,22,22,24,23,24,23,23,23,24,25,25,25,25,25,25,25,24,25,25,24,24,24,24,25,11
,OTAY MESA DVN,27,27,27,27,26,26,25,25,26,26,26,26,27,26,26,26,25,25,25,26,26,26,26,26,26,27,00
,PENDLETON,25,25,25,26,25,25,25,25,25,25,26,26,25,26,26,26,26,26,27,27,27,27,27,26,26,27,18
11 PM2.5 µg/M3,ALPINE,2.6,2.0,2.2,2.6,2.6,2.8,3.1,3.7,3.2,2.4,2.6,3.1,3.2,3.2,3.1,3.4,5.9,6.1,6.7,9.6,9.1,7.1,7.5,8.7,4.4,9.6,19
,DOWNTOWN SES,3.8,5.7,5.3,5.3,5.3,5.1,4.7,5.7,5.4,5.3,5.9,5.0,5.6,5.4,5.1,4.9,4.6,4.3,4.8,5.4,6.8,8.5,12.0,13.7,5.9,13.7,23
,EL CAJON LES,<,<,<,<,<,<,<,P,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,P,P
,OTAY MESA DVN,4.3,3.9,3.7,3.8,3.7,5.3,7.2,7.7,12.8,7.0,7.7,6.4,6.3,5.7,5.5,6.3,6.8,6.3,5.8,5.6,5.3,6.1,6.8,7.9,6.1,12.8,08
,PENDLETON,2.3,3.6,4.0,3.7,3.6,3.4,3.1,3.3,4.3,5.1,5.8,4.5,4.1,4.3,4.3,4.5,4.6,4.3,4.2,3.9,5.6,4.7,5.4,4.8,4.2,5.8,10
12 VWDR °,ALPINE,331,306,82,95,86,95,88,107,177,250,247,257,294,320,249,248,234,258,239,64,140,348,65,6,0,348,21
,CHULA VISTA,6,50,62,121,90,93,96,96,127,154,259,265,275,258,252,252,241,260,248,136,117,91,94,88,0,275,12
,DOWNTOWN SES,344,81,58,101,45,43,62,60,117,179,223,213,204,226,235,236,222,235,225,225,233,66,59,38,0,344,00
,EL CAJON LES,101,114,74,103,139,143,67,48,61,280,279,285,293,351,234,245,219,215,207,137,124,96,77,54,0,351,13
,KEARNY MESA,21,55,69,68,63,75,89,77,100,174,275,301,275,271,233,247,245,249,257,4,50,40,53,56,0,301,11
,OTAY MESA DVN,351,14,18,39,82,117,117,145,168,163,239,294,292,282,269,286,287,302,325,37,45,48,59,91,0,351,00
,PENDLETON,9,44,46,47,61,54,48,46,68,176,193,204,211,232,232,235,238,230,243,88,65,40,46,40,0,243,18
13 SIGTHETA °,ALPINE,20,58,34,24,21,17,20,37,43,33,34,36,51,60,48,33,P,23,28,37,46,25,15,30,34,60,13
,CHULA VISTA,12,11,22,57,26,37,17,17,20,57,51,31,40,28,22,22,21,21,26,14,9,14,17,29,26,57,03
,DOWNTOWN SES,18,22,55,54,41,42,51,21,27,39,30,22,21,24,21,22,22,22,22,16,28,22,13,15,28,55,02
,EL CAJON LES,25,63,54,61,66,37,75,27,P,49,40,66,42,58,57,22,22,17,28,18,16,51,51,41,43,75,06
,KEARNY MESA,14,39,21,19,9,37,12,12,23,44,54,50,56,48,20,16,14,9,8,25,4,9,7,6,23,56,12
,OTAY MESA DVN,27,21,16,28,21,37,37,26,15,26,P,46,49,36,29,16,<,13,22,18,12,9,6,15,24,49,12
,PENDLETON,23,12,17,14,13,14,13,14,15,29,19,18,16,15,17,15,15,13,17,36,11,8,10,9,16,36,19
14 VWSP MPH,ALPINE,1.7,1.1,1.6,1.8,2.5,2.1,2.6,1.7,1.8,3.4,4.2,4.5,2.7,2.2,3.2,4.4,4.6,3.3,.7,.6,.3,.4,1.1,1.4,.0,4.6,16
,CHULA VISTA,3.0,2.8,2.5,1.1,2.6,2.6,5.0,4.7,3.6,2.3,2.9,4.5,3.8,5.8,6.8,6.3,5.7,3.7,1.5,.9,1.5,.7,2.4,2.4,.0,6.8,14
,DOWNTOWN SES,4.7,2.4,1.9,1.2,2.1,2.5,2.1,3.8,2.8,2.4,4.2,5.7,6.4,6.4,7.3,5.9,5.3,4.0,2.4,1.8,1.1,.5,2.5,2.6,.0,7.3,14
,EL CAJON LES,2.6,.4,1.2,.5,.9,1.0,.2,1.9,1.6,1.7,2.8,.9,3.1,2.0,3.5,6.5,5.5,4.1,1.9,1.5,1.8,1.6,.9,.2,.0,6.5,15
,KEARNY MESA,4.3,2.2,3.9,3.7,4.4,3.6,3.2,4.4,4.4,2.3,2.2,2.6,3.3,5.7,8.0,8.3,7.0,5.1,4.1,.8,3.0,3.1,3.6,4.0,.0,8.3,15
,OTAY MESA DVN,2.6,5.4,5.2,2.5,2.0,2.8,2.4,1.6,5.1,5.6,3.3,3.4,3.2,3.9,5.4,8.2,6.1,5.0,2.1,2.0,1.7,2.5,3.0,1.6,.0,8.2,15
,PENDLETON,5.3,5.8,5.3,6.2,6.9,5.9,6.0,5.9,4.6,2.6,4.7,5.7,5.8,6.3,6.9,6.8,5.8,4.4,2.5,.4,1.9,5.2,5.2,6.5,.0,6.9,04
15 SWSP MPH,ALPINE,1.8,1.7,1.9,2.0,2.6,2.2,2.8,2.1,2.3,4.0,5.0,5.5,3.6,3.7,4.2,5.2,5.2,3.8,.9,.8,.5,.6,1.4,1.8,2.7,5.5,11
,CHULA VISTA,3.3,2.9,2.9,1.7,2.9,2.9,5.2,4.9,3.9,3.0,3.8,5.1,4.7,6.4,7.4,6.8,6.0,4.0,1.6,.9,1.5,.7,2.4,2.6,3.6,7.4,14
,DOWNTOWN SES,5.1,3.3,2.7,1.6,2.8,3.2,2.6,4.0,3.4,3.3,4.7,6.2,6.8,7.0,7.7,6.3,6.0,4.5,2.6,1.9,1.2,.6,2.5,2.7,3.9,7.7,14
,EL CAJON LES,2.8,2.5,3.1,2.0,2.3,2.2,1.9,2.1,1.9,2.5,4.3,3.3,4.6,4.1,5.1,7.2,6.0,4.3,2.1,1.7,1.8,1.8,1.4,.9,3.0,7.2,15
,KEARNY MESA,4.5,2.9,4.4,3.9,4.5,4.3,3.3,4.5,4.9,3.3,3.5,4.1,4.6,6.5,8.5,8.6,7.2,5.2,4.2,1.8,3.0,3.2,3.7,4.1,4.5,8.6,15
,OTAY MESA DVN,2.9,5.8,5.4,2.9,2.4,3.7,2.9,2.0,5.3,6.0,4.3,4.3,4.8,4.7,6.2,8.5,6.3,5.1,2.6,2.1,1.7,2.5,3.1,1.9,4.1,8.5,15
,PENDLETON,5.7,6.4,5.6,6.6,7.1,6.1,6.2,6.0,4.8,3.2,5.0,5.9,6.0,6.6,7.2,7.0,6.0,4.5,2.6,1.1,2.0,5.3,5.3,6.6,5.4,7.2,14
16 AMBTEMP °F,ALPINE,37.5,37.6,35.9,35.4,35.8,35.9,37.4,39.0,44.8,47.7,49.3,49.8,51.1,52.8,54.4,55.1,52.7,49.0,46.0,44.3,42.9,42.5,41.5,41.5,44.2,55.1,15
,CARMEL MT RCH,41.0,38.6,37.8,37.3,36.7,37.2,38.0,42.1,47.0,51.6,53.2,56.0,57.3,59.0,60.0,58.5,56.8,53.4,51.1,49.4,47.9,46.8,45.1,43.9,47.7,60.0,14
,CHULA VISTA,47.5,44.7,44.1,41.5,41.6,40.7,42.1,45.9,51.8,55.3,57.4,58.1,58.6,59.7,59.3,58.4,57.6,55.3,53.6,52.0,50.7,49.2,48.0,47.7,50.9,59.7,13
,DOWNTOWN SES,49.8,45.6,43.9,41.2,40.3,40.3,40.7,45.1,50.7,54.6,56.2,56.8,57.6,57.5,57.7,57.2,56.6,55.1,53.9,53.3,52.7,50.8,49.8,48.4,50.7,57.7,14
,EL CAJON LES,39.3,38.3,37.3,36.0,35.4,34.3,35.2,40.4,46.3,52.4,55.9,57.4,59.8,60.9,62.1,60.7,58.2,55.1,52.3,49.9,47.8,46.2,45.1,43.6,47.9,62.1,14
,KEARNY MESA,42.9,41.0,39.7,38.4,38.4,38.0,38.0,45.1,50.5,53.4,54.9,57.1,58.5,59.3,58.0,57.5,56.6,54.4,52.1,50.4,48.0,47.1,45.9,45.2,48.8,59.3,13
,OTAY MESA DVN,44.7,44.6,44.4,44.4,42.4,41.1,40.2,44.1,48.3,51.5,54.3,55.7,57.3,58.3,59.0,57.0,55.6,53.2,50.4,49.4,48.4,47.9,47.4,46.6,49.4,59.0,14
,PENDLETON,48.1,41.7,39.2,39.3,38.4,37.8,38.7,42.6,48.6,52.6,54.4,56.6,57.8,59.0,59.8,59.1,58.1,56.1,54.1,53.2,51.3,48.2,46.7,45.0,49.4,59.8,14
17 RELHUM %,ALPINE,56,54,60,60,59,60,56,60,46,40,40,41,38,39,38,39,56,68,77,82,85,87,89,88,59,89,22
,EL CAJON LES,84,84,85,87,87,90,85,68,56,46,39,37,34,33,36,46,52,59,67,74,82,86,86,90,66,90,05
,KEARNY MESA,58,66,71,77,77,78,80,64,51,46,44,43,44,45,52,54,57,64,70,75,82,84,88,90,65,90,23
18 PRES mmHg,EL CAJON LES,749,749,749,749,749,750,751,751,752,752,752,752,751,751,750,750,751,751,751,752,752,752,752,751,751,752,08
,KEARNY MESA,750,750,750,750,750,751,752,752,752,753,753,753,753,752,752,752,752,752,752,753,753,753,753,753,752,753,09
19 SOLAR W/M2,EL CAJON LES,-6,-6,-6,-6,-6,-6,13,165,382,604,734,802,799,725,591,408,196,24,-8,-8,-7,-6,-6,-6,224,802,11
,KEARNY MESA,1,1,1,1,1,1,36,215,419,593,712,775,773,708,588,424,222,44,1,1,1,1,1,1,230,775,11
