04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.0,.0,.0,.1,.2,.1,.1,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,10
,OTAY MESA DVN,-.1,-.1,C,C,.0,.0,.0,.0,.3,.7,.4,.1,.2,.1,.1,1.3,.2,.0,.0,.0,.0,.1,.0,1.0,.1,1.3,15
,PENDLETON,-.3,-.3,C,C,-.3,-.3,-.3,-.2,-.1,.6,.0,M,M,M,M,-.1,-.1,-.3,-.3,-.3,-.3,-.3,-.2,.0,-.1,.6,09
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.2,.2,.2,.3,.3,.3,.3,.2,.3,.3,.3,.3,.3,.3,.3,.3,.2,.3,.3,.4,.3,.4,23
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,24,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,00
,CHULA VISTA,24,25,25,24,24,25,24,25,23,25,24,25,24,24,24,24,24,25,25,25,25,24,24,25,24,25,01
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,00
,KEARNY MESA,24,24,24,25,25,25,24,24,24,24,24,23,23,23,23,23,22,24,23,22,24,23,22,22,24,25,03
,OTAY MESA DVN,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,02
,PENDLETON,27,27,27,27,27,27,27,26,27,26,26,25,25,24,24,24,24,24,25,25,25,25,25,25,26,27,00
11 PM2.5 µg/M3,ALPINE,4.4,1.6,2.1,3.6,2.6,4.2,1.3,1.6,1.0,3.5,3.7,1.3,2.4,4.1,4.2,4.6,4.4,2.5,3.6,4.3,4.1,4.6,3.7,3.3,3.1,4.6,15
,DOWNTOWN SES,6.0,5.5,5.4,6.2,6.9,7.2,7.8,7.0,6.0,6.0,5.5,3.9,3.8,5.2,4.6,6.2,6.1,4.8,4.8,5.6,4.9,5.7,4.6,4.0,5.5,7.8,06
,EL CAJON LES,7.5,3.8,3.9,4.3,5.6,5.8,4.5,4.8,5.2,5.3,4.5,2.9,3.3,4.3,3.4,5.3,5.3,3.9,4.4,4.5,<,<,<,<,4.6,7.5,00
,OTAY MESA DVN,8.6,6.4,4.1,5.4,5.7,6.3,6.1,6.8,5.7,5.3,5.2,3.6,2.9,3.6,4.4,5.5,6.6,5.0,4.7,5.0,5.5,5.3,5.4,5.0,5.3,8.6,00
,PENDLETON,5.0,6.9,6.9,7.8,8.3,11.1,8.8,9.8,8.5,7.3,5.3,5.7,9.3,11.9,13.2,12.2,8.1,10.3,10.3,9.3,7.4,6.5,6.2,3.7,8.3,13.2,14
12 VWDR °,ALPINE,195,221,221,214,235,219,229,264,252,254,262,292,281,278,279,281,290,302,295,312,305,304,305,292,0,312,19
,CHULA VISTA,197,209,216,210,217,214,223,259,242,232,273,297,285,281,283,281,291,322,299,298,298,296,321,337,0,337,23
,DOWNTOWN SES,215,222,222,234,228,226,237,250,243,243,279,289,278,283,277,284,297,314,298,295,300,301,324,323,0,324,22
,EL CAJON LES,185,216,210,218,225,215,227,242,218,233,257,276,258,272,273,275,287,293,282,280,278,283,108,109,0,293,17
,KEARNY MESA,213,227,226,226,225,220,235,243,237,242,281,284,273,278,274,278,303,306,294,294,293,307,304,335,0,335,23
,OTAY MESA DVN,148,190,184,197,217,209,226,240,240,233,257,298,302,286,290,287,292,330,324,305,313,326,1,21,0,330,17
,PENDLETON,225,233,229,230,226,233,248,261,255,288,261,255,269,263,271,298,278,291,298,302,316,317,359,24,0,359,22
13 SIGTHETA °,ALPINE,20,25,26,22,29,25,26,26,31,31,27,24,25,24,22,24,25,24,25,27,29,31,25,19,26,31,08
,CHULA VISTA,19,21,20,18,20,21,20,22,17,20,22,17,18,18,19,18,18,P,16,16,16,16,19,19,19,22,07
,DOWNTOWN SES,19,22,20,17,18,20,19,21,21,21,23,23,22,20,23,22,22,25,23,24,23,25,22,23,22,25,17
,EL CAJON LES,19,33,19,20,19,18,21,21,19,22,21,19,22,20,P,18,18,18,18,19,18,36,30,50,23,50,23
,KEARNY MESA,13,11,14,13,12,13,12,10,12,11,13,10,11,11,11,11,13,<,9,10,9,10,10,11,11,14,02
,OTAY MESA DVN,13,14,14,12,11,12,11,11,11,10,14,13,14,11,11,11,12,15,15,10,12,14,20,13,13,20,22
,PENDLETON,11,11,12,11,11,11,9,13,11,16,15,13,15,14,14,15,16,<,14,14,10,11,30,20,14,30,22
14 VWSP MPH,ALPINE,8.8,7.8,8.6,10.4,9.5,10.4,12.8,11.3,7.8,9.9,10.6,10.0,7.9,10.6,12.7,13.4,11.8,6.9,5.2,3.2,3.0,2.7,2.8,3.2,.0,13.4,15
,CHULA VISTA,5.9,7.3,7.2,9.1,8.4,9.2,11.4,10.0,8.5,9.2,10.6,12.3,10.4,14.2,15.4,17.5,17.4,9.1,14.2,11.9,10.9,10.2,4.8,3.4,.0,17.5,15
,DOWNTOWN SES,7.9,7.7,8.3,10.6,10.2,10.1,13.0,7.3,7.7,9.9,9.6,9.9,8.9,14.6,13.4,13.8,12.7,8.9,9.9,8.9,8.4,6.8,5.2,6.7,.0,14.6,13
,EL CAJON LES,7.5,6.8,5.9,7.7,9.1,7.6,11.7,9.0,7.4,9.1,10.7,10.4,6.6,13.6,14.9,16.3,14.5,4.9,7.4,8.6,8.1,2.2,1.7,1.6,.0,16.3,15
,KEARNY MESA,10.7,11.8,9.0,12.0,12.6,13.6,17.3,13.7,13.2,17.1,17.1,16.1,19.0,24.3,24.5,25.8,19.6,13.2,17.5,16.2,15.6,10.9,7.7,6.0,.0,25.8,15
,OTAY MESA DVN,6.9,7.7,7.5,9.7,11.6,11.5,13.2,14.4,8.7,12.0,13.3,14.6,11.3,16.0,19.8,20.8,21.5,12.5,6.5,10.7,7.3,4.4,3.4,4.4,.0,21.5,16
,PENDLETON,17.8,16.3,14.6,19.4,21.1,22.9,24.1,15.5,17.9,10.5,14.5,20.6,18.2,23.1,21.5,18.6,11.2,13.5,13.2,14.7,16.8,12.2,2.9,4.9,.0,24.1,06
15 SWSP MPH,ALPINE,9.4,8.6,9.7,11.2,11.0,11.2,14.0,12.9,8.9,11.4,12.4,10.9,8.5,11.5,13.5,14.4,13.0,7.5,5.7,3.5,3.5,3.0,3.1,3.4,9.3,14.4,15
,CHULA VISTA,6.3,7.8,7.6,9.5,8.8,9.8,12.1,10.7,8.9,9.8,12.7,13.0,11.0,14.9,16.3,18.3,18.2,9.8,14.8,12.4,11.3,10.6,5.4,3.7,11.0,18.3,15
,DOWNTOWN SES,8.5,8.3,8.9,11.1,10.9,10.8,13.6,7.9,8.3,10.6,10.8,10.6,9.5,15.5,14.4,14.8,14.6,9.9,10.8,9.7,9.1,7.5,5.5,7.2,10.4,15.5,13
,EL CAJON LES,8.1,7.5,6.2,8.2,9.6,8.0,12.5,9.7,7.8,9.8,11.9,10.9,7.1,14.4,15.7,17.2,15.4,5.2,7.8,9.0,8.5,2.5,1.9,2.4,9.1,17.2,15
,KEARNY MESA,11.0,12.2,9.3,12.4,12.9,14.0,17.8,14.0,13.6,17.4,17.7,16.5,19.3,24.7,24.9,26.3,21.1,13.6,17.7,16.5,15.8,11.1,7.9,7.4,15.6,26.3,15
,OTAY MESA DVN,7.1,8.0,7.8,9.9,11.8,11.9,13.5,15.1,8.8,12.2,15.1,15.1,11.8,16.4,20.3,21.2,22.0,13.5,6.8,10.9,7.8,4.6,3.8,4.6,11.7,22.0,16
,PENDLETON,18.2,16.7,14.9,19.8,21.5,23.4,24.5,16.1,18.3,11.1,15.1,21.0,18.9,23.7,22.2,19.9,11.9,14.0,13.6,15.3,17.1,12.4,3.3,5.3,16.6,24.5,06
16 AMBTEMP °F,ALPINE,42.9,43.4,43.5,44.0,44.3,44.1,44.8,43.9,43.4,43.9,43.6,40.1,39.2,40.8,41.3,41.1,39.5,38.3,38.1,38.4,39.0,38.5,38.1,37.8,41.3,44.8,06
,CARMEL MT RCH,48.6,49.2,48.7,49.0,49.8,50.0,49.8,49.4,49.3,50.8,47.7,46.3,48.7,49.1,48.7,49.3,47.1,46.7,47.3,47.4,47.3,46.2,44.7,42.6,48.1,50.8,09
,CHULA VISTA,52.5,52.6,53.1,53.6,53.7,53.3,53.5,51.9,52.7,53.8,52.2,49.3,49.6,52.0,51.6,52.6,52.1,50.4,50.4,50.7,50.8,51.3,50.7,48.9,51.8,53.8,09
,DOWNTOWN SES,53.0,53.2,53.7,53.5,54.0,53.5,53.6,51.6,52.9,54.8,51.8,48.6,50.4,52.4,51.8,52.8,52.2,50.6,50.8,51.0,51.2,51.5,50.8,50.6,52.1,54.8,09
,EL CAJON LES,49.5,50.1,50.4,50.9,51.1,51.0,51.1,50.0,50.1,52.6,51.8,47.3,47.8,50.8,50.6,50.7,47.7,44.8,46.9,48.0,48.1,47.2,42.3,39.9,48.8,52.6,09
,KEARNY MESA,52.3,52.8,52.6,53.0,53.4,53.6,52.9,51.7,52.8,54.7,50.9,48.9,M,M,50.9,51.4,48.4,48.3,49.2,49.7,49.3,49.2,47.9,46.7,50.9,54.7,09
,OTAY MESA DVN,49.2,49.4,49.9,50.6,50.5,50.4,50.7,50.1,49.2,50.6,50.3,46.8,46.0,48.0,48.0,48.6,48.3,45.3,44.0,46.3,46.2,46.0,46.2,45.7,48.2,50.7,06
,PENDLETON,52.8,52.9,52.9,54.6,54.2,52.9,52.9,52.5,53.2,48.7,51.8,52.5,54.8,53.6,54.1,51.7,51.9,52.7,52.2,52.3,51.0,49.3,47.8,48.1,52.1,54.8,12
17 RELHUM %,ALPINE,95,96,97,96,97,97,97,97,97,97,95,96,96,82,70,69,70,65,71,74,71,75,63,57,84,97,02
,EL CAJON LES,95,99,98,97,95,94,99,97,98,88,84,93,88,62,51,52,59,67,57,55,56,61,79,88,80,99,01
,KEARNY MESA,100,100,100,100,96,98,100,100,100,92,98,95,M,M,54,53,56,54,51,53,56,53,51,54,78,100,00
18 PRES mmHg,EL CAJON LES,748,747,746,746,745,745,744,745,745,744,744,744,744,744,744,743,744,744,745,745,746,747,747,748,745,748,00
,KEARNY MESA,749,748,747,747,746,746,746,746,746,745,745,746,745,745,745,744,745,745,746,747,747,748,748,749,746,749,00
19 SOLAR W/M2,EL CAJON LES,-3,-3,-3,-3,-3,-3,1,23,108,259,241,114,246,368,343,249,117,9,-3,-4,-5,-7,-7,-6,85,368,13
,KEARNY MESA,1,1,1,1,1,1,5,31,158,336,212,181,602,479,373,383,119,37,1,2,1,1,1,1,122,602,12
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,0,2,9,18,17,10,19,25,21,16,6,2,0,0,0,0,0,0,6,25,13
25 NOY,EL CAJON LES,5.56,1.56,1.11,.98,1.18,C,C,2.77,3.87,3.15,2.38,2.41,4.15,2.40,2.26,2.41,2.50,<,4.42,3.16,2.95,6.44,15.39,<,3.55,15.39,22
26 NOY-NO,EL CAJON LES,5.14,1.28,.81,.69,.88,C,C,2.01,2.95,2.32,1.69,1.80,3.06,1.63,1.57,1.76,1.96,<,3.81,2.75,2.56,5.87,14.84,<,2.96,14.84,22
27 NO Trace,EL CAJON LES,.41,.28,.30,.28,.29,C,C,.75,.92,.83,.68,.61,1.08,.76,.69,.64,.54,<,.61,.40,.38,.57,.54,<,.57,1.08,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,<,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,215.1,152.5,C,C,C,139.1,144.1,165.0,194.1,164.2,112.4,155.0,200.2,151.3,142.6,136.5,141.7,C,175.6,157.4,157.5,187.1,390.7,C,172.7,390.7,22
BCarbon ug/m3,10TH AVE MARINE TERM,.03,.02,.04,.11,.03,.03,.04,.06,.09,.05,.07,.05,.14,.09,.12,.11,.09,.07,.17,.06,.08,.08,.20,.11,.08,.20,22
,BOSTON AVE,.10,.09,.05,.04,.06,.11,.07,.07,.10,.13,.18,.25,.28,.21,.26,.23,.20,.29,.23,.20,.26,.25,.37,.24,.18,.37,22
,CHICANO PARK,.06,.05,.04,.08,.49,.08,.14,.12,.14,.13,.13,.09,.15,.11,.13,.14,.12,.16,.11,.10,.15,.12,.22,.12,.13,.49,04
,DOWNTOWN SES,.07,.07,.04,.07,.05,.06,.05,.07,.08,.08,.07,.12,.06,.04,.06,.05,.08,.13,.14,.17,.13,.17,.13,.10,.09,.17,19
,OCEANVIEW BLVD,.03,.02,.04,.03,.05,.07,.08,.15,.18,.11,.08,.14,.11,.08,.09,.11,.10,.15,.15,.20,.14,.15,.15,.13,.11,.20,19
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,9.4,3.2,4.4,8.2,5.5,9.6,2.7,3.7,2.0,7.7,8.4,3.2,4.8,10.1,11.9,14.0,13.3,7.6,9.1,11.0,12.2,11.8,10.8,9.7,8.0,14.0,15
,DOWNTOWN SES,14.5,13.2,13.0,14.4,17.4,16.9,18.9,16.7,14.8,15.1,15.3,9.7,10.1,16.6,14.9,20.2,19.0,15.0,15.2,18.4,14.0,17.2,14.3,13.0,15.3,20.2,15
,EL CAJON LES,16.2,7.9,9.6,10.4,13.2,13.4,9.9,10.6,12.1,13.0,12.1,6.7,7.9,13.0,12.5,15.8,15.2,10.6,12.3,12.1,<,<,<,<,11.7,16.2,00
,OTAY MESA DVN,17.4,12.6,9.4,12.6,12.8,14.4,14.3,15.3,13.5,12.6,12.4,8.6,6.8,10.4,13.0,21.5,21.7,15.0,12.6,13.8,16.0,15.1,16.9,14.8,13.8,21.7,16
,PENDLETON,11.7,16.6,16.6,19.3,19.6,25.9,21.7,25.4,24.9,19.9,17.3,21.0,59.3,68.4,92.1,78.5,53.1,69.2,60.5,46.3,39.4,32.2,28.1,15.0,36.7,92.1,14
RAINFALL,EL CAJON LES,.08,.15,.05,.11,.01,.12,.27,.14,.01,.00,.08,.09,.01,.00,.00,.00,.04,.00,.00,.00,.00,.00,.00,.00,.04,.27,06
