Current Date:,3/31/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/30/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.047,C,C,.047,.046,.047,.046,.049,.048,.049,.049,.049,.049,.049,.049,.047,.050,.048,.045,.042,.044,.042,.040,.046,.050,17
,CHULA VISTA,.038,.038,C,C,.043,.045,.046,.048,.048,M,M,M,M,M,.050,.051,.052,.052,.051,.043,.030,.021,.015,.024,.040,.052,16
,DOWNTOWN SES,.046,.046,C,C,.040,.039,.041,.044,.043,.046,.044,.045,.046,.046,.046,.048,.048,.049,.047,.037,.019,.029,.018,.005,.039,.049,17
,EL CAJON LES,.024,.036,C,C,C,.037,.035,.036,.042,M,.045,.046,.047,.048,.047,.046,.048,.048,.041,.034,.028,.023,.025,.018,.037,.048,13
,KEARNY MESA,.025,.043,C,C,.034,.021,.020,.043,.048,.048,.049,.048,.048,.049,.049,.050,.051,.049,.045,.032,.022,.012,.019,.022,.037,.051,16
,OTAY MESA DVN,.033,.034,C,C,.039,.032,.030,.038,M,M,.048,.048,.046,.049,.048,.051,.048,.047,.047,.045,.038,.032,.035,.031,.040,.051,15
,PENDLETON,.048,.039,C,C,.044,M,.027,.032,.041,.043,.049,.049,.051,.049,.051,.051,.050,.051,.051,.042,.032,.029,.021,.023,.041,.051,12
03 NO2 PPB,ALPINE,2.0,.9,C,C,.6,2.0,2.0,2.5,1.8,2.2,1.9,1.0,1.0,.7,1.1,1.4,2.4,1.2,2.0,2.9,3.4,1.7,3.0,3.0,1.8,3.4,20
,CARMEL MT RCH,5.1,11.8,C,C,19.0,18.5,18.3,13.7,17.0,13.5,10.8,10.4,10.2,10.0,10.8,14.3,8.2,10.4,14.0,25.2,16.1,12.7,9.6,12.8,13.2,25.2,19
,CHULA VISTA,3.6,4.0,C,C,2.6,2.1,2.3,2.0,2.0,M,M,M,M,M,1.3,1.5,1.5,1.8,2.1,6.2,12.7,16.5,17.8,10.4,5.3,17.8,22
,DOWNTOWN SES,2.2,2.1,C,C,5.3,6.1,5.2,3.9,5.9,3.2,4.2,2.1,1.7,2.3,2.7,3.2,3.3,2.6,4.2,11.2,19.9,15.1,21.7,28.2,7.1,28.2,23
,EL CAJON LES,5.6,2.8,C,C,C,5.2,5.8,6.1,5.7,4.1,3.1,1.7,1.0,1.0,1.5,2.1,1.9,2.1,4.0,5.7,7.8,8.7,5.1,6.8,4.1,8.7,21
,KEARNY MESA,10.0,2.5,C,C,9.6,17.7,20.4,4.9,2.9,2.0,1.4,1.1,1.4,1.3,1.6,1.3,1.2,2.0,3.7,10.0,15.5,18.4,9.1,7.9,6.6,20.4,06
,OTAY MESA DVN,11.5,11.0,C,C,5.1,14.1,16.5,9.7,M,M,2.3,3.0,5.1,2.7,4.4,3.8,4.9,4.5,3.1,3.0,4.4,5.4,7.0,8.8,6.5,16.5,06
,PENDLETON,.9,5.5,C,C,2.0,M,8.2,5.4,4.0,3.8,1.2,.8,.9,1.7,1.3,.7,.6,.6,.7,5.3,10.6,14.3,9.9,5.8,4.0,14.3,21
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.1,.2,.2,.6,.4,.3,.2,.2,.2,.2,.2,.0,.0,.2,.0,.0,.0,.1,.1,.6,09
,OTAY MESA DVN,.0,.0,C,C,.0,.3,1.5,2.1,M,M,.2,.2,1.3,.3,.6,.4,.3,.0,.0,.0,.1,.0,.0,.1,.3,2.1,07
,PENDLETON,-.3,-.3,C,C,-.3,M,1.7,.8,1.4,.7,.0,-.1,.0,.5,.0,-.2,-.2,-.2,-.2,-.2,-.1,.0,.0,.0,.1,1.7,06
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.4,.4,.5,.3,.4,.3,.3,.3,.4,.4,.4,.5,.4,.5,.5,.6,.5,.4,.3,.3,.4,.6,19
10 INTMP °C,ALPINE,25,25,25,25,25,25,24,25,25,25,26,25,25,25,25,25,25,25,25,26,26,25,25,25,25,26,10
,CARMEL MT RCH,24,24,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,25,26,13
,CHULA VISTA,25,24,27,26,26,25,25,24,24,25,25,26,26,27,27,27,27,27,27,27,27,26,26,26,26,27,02
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,25,25,26,25,25,26,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,00
,KEARNY MESA,23,23,23,23,23,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,06
,OTAY MESA DVN,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,PENDLETON,27,27,26,27,26,26,M,M,27,26,26,26,26,26,26,27,27,27,27,27,28,27,27,27,27,28,20
11 PM2.5 µg/M3,ALPINE,6.0,4.7,2.9,2.5,2.5,3.2,3.2,3.5,3.6,3.9,4.4,4.1,4.2,4.2,4.8,4.8,4.4,3.5,4.1,4.9,5.8,4.6,4.5,4.4,4.1,6.0,00
,DOWNTOWN SES,6.3,5.9,5.5,5.2,6.2,5.6,6.1,6.1,5.1,5.3,6.4,5.6,6.2,6.5,6.3,4.8,4.7,4.9,5.4,6.1,8.4,7.1,7.9,12.9,6.2,12.9,23
,EL CAJON LES,6.8,5.8,4.2,4.0,4.0,4.3,4.3,4.9,4.5,4.3,5.0,5.3,5.1,5.3,5.6,5.4,4.5,4.8,5.7,11.1,11.3,8.4,7.4,6.4,5.7,11.3,20
,OTAY MESA DVN,11.2,11.4,6.1,5.2,5.9,7.4,7.5,6.8,6.1,5.6,5.5,4.7,5.2,6.5,5.5,5.1,5.3,5.2,5.0,4.5,4.4,4.8,6.4,8.0,6.2,11.4,01
,PENDLETON,6.8,4.5,3.8,3.9,4.8,6.1,4.3,4.1,3.5,2.5,4.0,4.8,5.1,5.6,4.5,4.9,4.9,4.8,4.7,5.9,4.5,3.6,4.2,4.5,4.5,6.8,00
12 VWDR °,ALPINE,203,209,251,228,244,248,230,257,258,280,247,230,227,210,208,204,263,207,245,165,133,100,153,86,0,280,09
,CHULA VISTA,173,222,168,241,275,259,247,247,238,236,239,216,226,214,214,230,227,257,248,315,98,102,37,86,0,315,19
,DOWNTOWN SES,231,240,251,255,305,268,257,240,266,245,220,207,203,210,210,227,231,252,285,39,54,351,30,36,0,351,21
