Current Date:,3/11/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/10/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,.047,C,C,.046,.047,.040,.028,.036,.039,.043,.043,.047,.048,.046,.043,.034,.031,.028,.033,.032,.032,.032,.031,.038,.048,13
,CHULA VISTA,.005,.013,C,C,.001,.003,.003,.007,.020,.026,.036,.047,.047,.048,.044,.035,.029,.019,.007,.005,.006,.003,.003,.004,.018,.048,13
,DOWNTOWN SES,.008,.008,C,C,.002,.004,.002,.012,.019,.027,.026,.030,.035,.041,.039,.039,.034,.029,.016,.009,.007,.007,.011,.017,.019,.041,13
,EL CAJON LES,.014,.016,C,C,C,.004,.005,.011,.015,.024,.034,.043,.047,.048,.041,.037,.030,.026,.022,.021,.017,.017,.017,.015,.024,.048,13
,KEARNY MESA,.019,.023,C,C,.009,.007,.011,.012,M,M,M,M,M,.037,.035,.028,.028,.025,.022,.021,.019,.017,.016,.014,.020,.037,13
,OTAY MESA DVN,.022,.013,.004,.006,.018,.018,.011,.009,.012,.018,.029,C,C,C,C,C,.023,.016,.027,.026,.022,.023,.022,.026,.018,.029,10
,PENDLETON,.025,.026,C,C,.026,.021,.022,.020,.029,.033,.042,.043,.041,.043,M,M,M,.016,.018,.018,.023,.022,.018,.017,.026,.043,11
03 NO2 PPB,ALPINE,2.3,2.0,C,C,3.2,1.5,6.4,14.9,10.1,7.0,4.1,5.2,4.4,4.5,5.3,5.1,9.7,8.5,8.1,5.1,6.0,4.8,3.3,2.7,5.6,14.9,07
,CARMEL MT RCH,15.8,21.5,C,C,29.7,21.9,14.9,15.1,21.6,15.4,24.4,13.8,7.1,16.8,17.5,8.8,9.1,6.9,6.6,7.4,10.6,7.3,6.6,7.8,13.9,29.7,04
,CHULA VISTA,24.8,15.0,C,C,23.2,25.3,26.0,27.2,20.4,19.8,17.9,7.0,5.2,3.9,4.3,3.9,6.0,12.7,28.2,28.2,26.1,30.4,30.7,27.7,18.8,30.7,22
,DOWNTOWN SES,27.7,24.5,C,C,23.6,24.4,24.6,20.7,18.9,19.0,22.5,20.2,16.1,7.9,5.6,4.2,6.7,8.8,17.5,21.4,22.9,23.1,20.7,14.1,17.9,27.7,00
,EL CAJON LES,12.0,8.2,C,C,C,15.7,14.6,13.8,15.0,14.9,13.9,9.7,6.1,2.9,2.7,3.9,5.7,10.0,11.2,9.2,10.0,8.3,7.2,6.8,9.6,15.7,05
,KEARNY MESA,11.8,7.9,C,C,18.5,14.8,16.2,18.3,M,M,M,M,M,7.2,5.2,8.7,9.7,11.2,10.4,8.9,12.1,12.7,12.9,13.8,11.7,18.5,04
,OTAY MESA DVN,12.0,19.8,30.1,26.9,13.7,13.4,20.1,20.1,24.9,28.5,31.0,C,C,C,C,C,20.1,21.0,6.4,6.6,10.9,8.5,9.6,5.9,17.3,31.0,10
,PENDLETON,7.8,6.1,C,C,7.3,8.2,8.5,9.2,6.8,7.6,3.8,2.8,4.5,2.5,M,M,M,21.7,14.2,13.3,8.5,9.6,11.8,11.6,8.7,21.7,17
04 NO PPB,ALPINE,.0,.0,C,C,.1,.3,.4,1.9,1.8,1.9,.7,.8,.8,.7,.6,.5,.6,.5,.2,.2,.2,.2,.1,.0,.5,1.9,07
,OTAY MESA DVN,.0,4.6,13.0,4.9,1.7,1.6,5.2,19.4,20.9,22.6,13.5,C,C,C,C,C,1.8,1.2,.4,.0,.2,.0,.0,.3,5.8,22.6,09
,PENDLETON,-.1,-.2,C,C,-.1,.1,.1,1.4,1.1,1.8,.5,.1,.3,.0,M,M,M,.4,.0,.0,-.2,-.1,.2,-.1,.2,1.8,09
06 CO PPM,CARMEL MT RCH,.4,.5,C,C,.6,.5,.5,.4,.7,.4,.6,.3,.3,.5,.5,.3,.3,.2,.3,.3,.3,.3,.3,.3,.4,.7,08
10 INTMP °C,ALPINE,26,25,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,24,24,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,11
,CHULA VISTA,26,26,26,26,26,26,25,26,25,26,26,25,24,26,26,27,26,25,25,25,25,25,25,24,26,27,15
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,00
,KEARNY MESA,24,24,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,02
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,27,00
,PENDLETON,27,27,27,27,27,27,27,27,27,27,27,26,27,27,26,24,M,27,27,27,27,27,27,27,27,27,00
11 PM2.5 µg/M3,ALPINE,4.4,4.8,4.0,2.3,3.1,1.5,1.5,2.1,2.6,3.4,3.9,7.4,9.4,11.5,11.1,9.5,9.3,6.2,3.7,1.4,4.3,3.8,2.5,2.2,4.8,11.5,13
,DOWNTOWN SES,10.5,12.2,12.6,13.6,14.2,16.2,15.1,<,<,M,15.7,14.3,9.5,4.8,3.5,3.4,3.5,3.5,6.5,9.3,11.8,12.1,10.4,7.3,10.0,16.2,05
,EL CAJON LES,10.7,9.3,9.9,7.9,9.7,10.2,9.5,9.3,11.1,16.9,20.3,16.5,9.7,6.6,4.5,3.5,5.3,15.0,18.3,11.2,11.7,9.0,8.2,7.7,10.5,20.3,10
,OTAY MESA DVN,17.3,24.4,49.2,48.6,23.2,22.7,34.7,50.8,46.7,43.1,42.3,37.0,20.9,16.4,10.8,14.0,10.8,9.3,3.7,2.7,4.1,5.6,8.5,2.2,22.8,50.8,07
,PENDLETON,9.3,9.2,10.2,9.2,10.3,10.3,9.7,8.8,8.7,9.0,6.4,3.3,5.1,4.5,3.9,2.7,3.6,6.8,6.3,5.1,4.2,4.4,5.0,6.9,6.7,10.3,04
12 VWDR °,ALPINE,340,80,46,76,36,106,116,114,137,210,271,279,211,189,229,174,148,121,104,214,177,165,144,131,0,340,00
,CHULA VISTA,52,60,106,84,47,82,103,119,140,242,261,258,215,203,253,206,197,154,119,114,144,136,143,139,0,261,10
,DOWNTOWN SES,75,39,37,55,22,30,102,119,40,268,254,192,175,179,204,174,161,171,92,108,139,131,165,178,0,268,09
,EL CAJON LES,123,37,120,211,251,21,144,72,327,278,310,222,231,199,182,186,167,109,96,123,100,76,117,70,0,327,08
,KEARNY MESA,77,45,76,60,39,54,88,144,35,98,278,155,154,181,188,145,151,119,121,128,141,115,143,144,0,278,10
,OTAY MESA DVN,17,110,109,115,40,13,119,91,151,200,279,284,276,265,229,202,142,145,123,119,130,120,134,129,0,284,11
,PENDLETON,68,57,64,55,64,68,74,37,73,118,167,143,128,177,168,162,M,119,97,124,135,135,143,142,0,177,13
13 SIGTHETA °,ALPINE,45,14,27,21,42,17,13,46,19,35,28,50,40,34,47,24,22,48,30,52,39,58,37,18,34,58,21
,CHULA VISTA,20,35,21,46,43,27,18,52,65,45,29,42,35,34,22,22,29,28,13,16,16,16,12,15,29,65,08
,DOWNTOWN SES,47,27,38,47,48,37,20,59,53,38,36,25,20,23,22,18,21,20,19,18,26,32,20,17,30,59,07
,EL CAJON LES,31,39,47,51,37,48,39,22,34,48,39,37,45,28,25,42,42,47,25,23,43,36,30,24,37,51,03
,KEARNY MESA,13,13,10,23,13,29,15,51,31,40,41,48,40,20,16,12,16,16,11,11,11,13,11,10,21,51,07
,OTAY MESA DVN,26,22,29,14,19,33,23,35,20,29,P,18,25,33,24,29,18,13,10,13,13,13,11,11,21,35,07
,PENDLETON,11,8,11,11,10,10,12,11,14,17,34,29,21,14,14,34,M,19,13,13,15,13,13,14,16,34,10
14 VWSP MPH,ALPINE,1.2,1.6,1.3,1.6,.2,1.4,2.7,1.0,1.6,1.5,2.9,1.5,3.2,2.7,2.5,4.3,4.0,1.4,1.2,.3,1.2,.4,1.2,1.5,.0,4.3,15
,CHULA VISTA,1.4,.9,1.7,1.2,.2,1.1,1.9,.8,.4,1.8,3.4,2.7,1.4,2.1,4.3,4.3,1.8,1.6,3.5,2.6,2.6,2.8,2.7,2.0,.0,4.3,14
,DOWNTOWN SES,.7,1.0,.6,.5,.5,.4,1.8,1.3,1.1,1.8,2.9,3.4,3.5,3.6,3.9,4.3,3.5,2.1,2.3,2.9,1.7,1.5,2.3,3.7,.0,4.3,15
,EL CAJON LES,1.2,.4,.9,.2,.8,.2,.7,.3,1.7,1.1,2.1,2.6,1.4,4.8,5.8,3.6,2.2,1.0,1.9,1.3,1.1,1.6,1.4,1.3,.0,5.8,14
,KEARNY MESA,2.8,1.3,1.6,.6,1.1,1.7,2.0,1.7,2.3,.1,2.4,1.8,4.3,6.1,6.1,6.3,6.3,3.7,3.1,4.1,4.8,3.7,4.6,3.6,.0,6.3,15
,OTAY MESA DVN,1.6,1.7,1.5,2.4,1.9,1.7,1.9,.7,3.2,2.7,4.7,5.1,3.2,2.8,4.5,4.4,4.7,5.4,4.5,3.4,4.0,4.1,4.7,5.1,.0,5.4,17
,PENDLETON,4.3,4.4,4.7,4.1,3.8,4.2,4.6,3.8,5.5,4.3,2.6,4.2,4.4,4.3,4.8,2.7,M,2.4,3.4,4.0,3.7,6.4,5.1,6.1,.0,6.4,21
15 SWSP MPH,ALPINE,1.4,1.7,1.8,1.8,1.0,1.5,2.7,2.1,1.7,2.1,3.4,2.4,3.9,3.5,3.9,4.8,4.5,2.3,1.5,.4,1.4,1.0,1.5,1.6,2.2,4.8,15
,CHULA VISTA,1.4,1.0,1.8,1.6,.3,1.4,1.9,1.2,1.5,3.2,4.0,3.1,2.3,3.0,4.6,4.8,2.3,1.9,3.6,2.7,2.8,2.9,2.8,2.1,2.4,4.8,15
,DOWNTOWN SES,1.0,1.2,.7,.9,.9,1.2,1.9,1.7,2.0,3.2,3.4,3.8,3.7,3.9,4.3,4.4,3.7,2.3,2.6,3.1,1.9,1.9,2.5,3.8,2.5,4.4,15
,EL CAJON LES,1.4,.9,1.1,.9,1.4,1.2,1.4,2.1,2.3,2.0,2.8,3.3,3.9,5.4,6.4,4.3,3.0,2.1,2.1,1.8,1.2,1.8,1.8,1.5,2.3,6.4,14
,KEARNY MESA,2.9,1.5,1.7,.6,1.4,2.5,2.0,1.8,2.8,3.0,2.8,3.2,5.2,6.8,6.4,6.5,6.5,3.8,3.2,4.2,4.9,3.9,4.8,3.7,3.6,6.8,13
,OTAY MESA DVN,2.2,1.9,1.6,2.4,2.5,2.0,2.9,2.5,3.4,3.5,5.0,5.4,3.5,3.1,5.1,5.2,5.1,5.7,4.6,3.5,4.1,4.2,4.8,5.2,3.7,5.7,17
,PENDLETON,4.4,4.6,4.8,4.2,3.9,4.3,4.8,4.0,5.8,5.6,3.2,4.8,5.7,4.5,4.9,3.1,M,2.7,3.6,4.1,3.9,6.6,5.2,6.2,4.6,6.6,21
16 AMBTEMP °F,ALPINE,51.4,51.4,52.2,53.0,51.6,54.3,54.1,54.1,56.3,58.2,57.6,56.0,56.4,58.0,57.0,55.2,51.9,52.0,52.3,52.8,52.7,52.8,53.0,53.3,54.1,58.2,09
,CARMEL MT RCH,49.2,48.8,49.1,48.8,49.4,50.5,49.8,52.0,54.2,58.0,59.7,60.6,60.7,61.7,60.1,55.9,55.4,54.8,54.3,54.5,54.7,54.8,55.1,55.3,54.5,61.7,13
,CHULA VISTA,50.7,50.7,50.1,50.6,49.5,51.0,52.6,55.0,57.9,61.4,62.0,62.1,63.0,65.0,64.4,61.4,58.3,58.1,57.2,57.7,58.3,58.7,59.0,59.1,57.2,65.0,13
,DOWNTOWN SES,52.2,51.7,51.5,50.6,51.2,52.5,52.6,54.1,56.6,59.5,61.0,61.3,61.6,62.1,60.3,55.8,55.1,56.1,56.6,57.1,57.4,57.7,58.2,58.4,56.3,62.1,13
,EL CAJON LES,49.3,49.2,48.4,47.9,47.8,49.0,49.7,52.1,55.0,58.5,62.4,63.4,64.6,65.1,64.0,61.1,56.4,55.8,56.0,56.2,56.6,56.9,57.1,57.4,55.8,65.1,13
,KEARNY MESA,48.8,49.1,48.9,49.8,49.4,50.4,52.0,53.9,55.8,59.0,60.3,62.3,62.2,62.8,60.6,57.2,55.5,55.5,56.0,56.8,56.8,57.2,57.6,57.9,55.7,62.8,13
,OTAY MESA DVN,50.3,49.8,49.9,49.5,49.1,49.7,51.4,52.2,55.2,60.3,62.8,61.0,62.2,63.2,63.2,60.4,57.6,55.2,56.1,57.0,57.3,57.4,57.2,57.4,56.1,63.2,13
,PENDLETON,51.0,50.7,49.8,50.3,51.4,51.2,51.7,53.1,55.5,58.0,59.3,57.2,55.7,54.5,53.9,54.4,M,56.1,57.2,57.5,57.4,57.7,57.9,58.0,54.8,59.3,10
17 RELHUM %,ALPINE,47,50,42,27,37,21,23,31,27,29,36,52,55,58,63,73,93,97,97,97,97,98,98,98,60,98,21
,EL CAJON LES,86,83,87,85,88,86,84,74,67,61,52,42,36,30,45,63,94,100,100,100,100,100,100,100,78,100,17
,KEARNY MESA,93,93,94,91,91,93,90,84,78,66,61,54,55,60,75,96,100,100,100,100,100,100,100,100,86,100,16
18 PRES mmHg,EL CAJON LES,752,752,752,751,751,751,751,752,752,751,752,751,751,750,750,750,750,751,751,751,751,751,751,751,751,752,00
,KEARNY MESA,753,753,753,752,752,753,752,753,753,753,753,753,752,751,751,752,752,752,752,752,752,752,752,752,752,753,00
19 SOLAR W/M2,EL CAJON LES,-6,-5,-5,-5,-4,-2,34,81,151,397,380,249,407,293,237,115,27,1,-3,-3,-3,-3,-3,-3,97,407,12
,KEARNY MESA,1,1,1,1,1,2,31,71,202,388,271,264,338,344,162,53,26,7,1,1,1,1,1,1,90,388,09
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,2,6,11,24,25,18,27,21,17,9,3,0,0,0,0,0,0,0,7,27,12
25 NOY,EL CAJON LES,13.37,10.26,11.95,10.20,14.21,C,C,17.28,22.24,23.86,20.76,14.56,9.58,4.88,4.12,5.19,6.51,10.15,11.48,9.55,10.35,8.66,7.47,7.00,11.52,23.86,09
26 NOY-NO,EL CAJON LES,12.78,9.93,11.54,9.77,13.05,C,C,13.26,15.77,16.71,16.48,12.59,7.94,3.86,3.14,4.14,5.73,9.66,11.06,9.13,9.92,8.23,7.02,6.59,9.92,16.71,09
27 NO Trace,EL CAJON LES,.58,.33,.41,.43,1.16,C,C,4.01,6.46,7.15,4.27,1.96,1.64,1.02,.97,1.04,.78,.48,.41,.42,.42,.43,.45,.40,1.60,7.15,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.3,.3,.3,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.3,09
29 CO Tr PPB,EL CAJON LES,400.3,353.1,C,C,C,382.7,447.1,418.8,489.4,488.7,459.6,359.0,261.6,183.4,172.3,202.7,229.4,321.2,342.1,321.9,344.3,321.2,311.6,307.6,338.9,489.4,08
BCarbon ug/m3,10TH AVE MARINE TERM,1.33,1.47,1.35,1.18,1.45,1.43,1.41,2.10,2.09,1.76,1.69,1.59,.94,.43,.33,.17,.24,.17,.71,.87,1.12,.95,.55,.09,1.06,2.10,07
,BOSTON AVE,1.17,1.16,1.04,1.27,1.39,1.80,1.73,2.49,1.39,1.20,2.02,1.63,1.07,.61,.48,.62,.36,.58,.63,1.05,1.14,1.04,.99,.86,1.16,2.49,07
,CHICANO PARK,.84,.80,.97,1.21,1.16,1.42,1.66,1.59,1.11,1.05,1.66,1.19,.90,.39,.22,.17,.27,.32,.52,.88,1.13,1.00,.77,.46,.90,1.66,06
,DOWNTOWN SES,.73,.78,.79,.80,.90,1.05,1.29,1.10,.99,.96,1.16,1.14,.73,.37,.24,.15,.24,.25,.36,.71,.94,.86,.72,.45,.74,1.29,06
,OCEANVIEW BLVD,1.12,1.05,1.01,1.04,1.08,1.26,1.22,1.41,1.15,1.21,1.43,1.33,.58,.54,.48,.36,.30,.32,.32,.93,.93,.99,.86,.70,.90,1.43,10
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,12.1,13.2,10.6,5.6,7.9,4.3,4.0,8.0,10.3,13.9,13.7,19.8,25.2,24.1,23.4,20.4,19.2,9.8,6.2,2.2,6.5,5.1,3.2,2.9,11.3,25.2,12
,DOWNTOWN SES,20.5,21.9,22.4,23.9,30.0,41.1,39.1,<,<,M,39.1,32.1,20.4,13.0,11.4,7.4,6.6,6.0,8.9,12.7,16.2,15.5,13.5,10.2,19.6,41.1,05
,EL CAJON LES,20.6,18.1,17.8,16.1,21.2,19.7,18.4,19.5,29.4,42.5,45.8,39.2,26.3,13.7,10.6,12.0,10.1,20.4,22.5,14.3,14.6,12.2,11.6,11.1,20.3,45.8,10
,OTAY MESA DVN,56.2,81.3,126.2,262.2,56.9,95.7,118.7,140.9,202.0,247.4,127.8,71.5,54.0,49.9,48.0,44.7,36.8,17.2,6.1,3.8,6.7,8.3,10.8,2.9,78.1,262.2,03
,PENDLETON,17.5,17.8,17.7,16.9,17.9,18.2,18.5,17.2,16.8,20.4,16.8,7.1,11.4,11.1,9.0,4.9,6.2,10.0,9.2,8.5,7.1,7.6,8.3,10.1,12.7,20.4,09
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.08,.18,.10,.04,.04,.01,.01,.03,.02,.18,17
