,CARMEL MT RCH,.001,.002,C,C,.002,.002,.013,.014,.012,.002,.004,M,.008,.009,.012,.008,.007,.006,.006,.003,.004,.004,.002,.003,.006,.014,07
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,.001,.000,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,PENDLETON,,,,,,,C,C,C,C,C,C,.001,.002,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,13
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.3,.5,.5,.4,.2,.3,C,.4,.5,.6,.5,.5,.5,.4,.3,.3,.3,.2,.2,.4,.6,14
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,24,24,23,22,23,23,23,23,24,24,24,24,24,25,25,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,25,25,25,25,25,26,27,26,26,26,25,25,25,25,25,26,26,25,24,24,24,25,27,09
,DOWNTOWN SES,25,26,26,26,26,26,26,25,26,25,25,25,24,25,25,25,25,25,25,26,25,26,26,25,25,26,01
,EL CAJON LES,24,25,25,25,24,25,25,24,26,25,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,26,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,27,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,00
,PENDLETON,,,,,,,P,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,07
11 PM2.5 µg/M3,ALPINE,7.4,10.6,10.0,13.0,7.6,5.7,10.4,10.1,6.1,7.6,6.9,11.8,9.6,14.7,17.8,16.4,12.4,10.7,9.7,15.5,9.4,7.6,12.2,8.7,10.4,17.8,14
,DOWNTOWN SES,13.7,11.2,7.2,10.9,11.2,14.9,13.1,12.6,12.3,8.9,15.2,12.0,10.9,8.4,14.7,12.2,12.4,14.1,13.1,15.6,14.8,10.2,13.2,8.5,12.1,15.6,19
,EL CAJON LES,17.7,16.8,21.0,18.5,16.2,16.4,18.2,18.1,18.5,18.7,19.1,16.1,14.1,16.8,13.4,11.8,13.1,13.9,12.1,10.5,14.8,12.6,12.7,13.4,15.6,21.0,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,14.7,15.9,12.2,17.8,14.1,15.1,13.7,17.8,16.9,16.9,17.0,16.9,10.6,13.6,13.0,9.0,11.0,12.8,13.5,11.1,11.3,14.9,11.5,11.3,13.8,17.8,03
,PENDLETON,,,,,,,16.0,7.1,11.3,7.9,13.4,14.5,11.6,16.3,12.0,17.2,13.2,12.9,14.9,17.2,13.4,12.8,9.7,14.0,13.0,17.2,15
12 VWDR °,ALPINE,325,145,183,141,341,335,293,319,334,267,234,244,289,294,275,256,263,259,262,256,277,309,263,252,0,341,04
,CHULA VISTA,195,204,193,199,226,210,217,205,8,333,249,246,256,252,260,249,243,242,242,231,230,217,187,198,0,333,09
,DOWNTOWN SES,184,186,182,184,187,192,217,217,234,237,209,227,238,216,209,209,209,212,218,217,221,208,192,193,0,238,12
,EL CAJON LES,176,198,177,135,205,145,244,294,18,352,326,260,251,248,234,225,224,222,239,221,209,201,187,209,0,352,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,161,169,163,160,195,223,212,111,85,151,237,247,251,233,227,225,237,240,249,234,229,206,167,185,0,251,12
,OTAY MESA DVN,257,158,198,215,259,279,296,333,314,264,286,284,268,285,272,288,300,300,300,298,297,292,277,213,0,333,07
,PENDLETON,,,,,,,P,37,80,65,236,241,251,246,244,247,230,211,234,233,238,183,179,194,0,251,12
13 SIGTHETA °,ALPINE,52,44,58,34,32,59,37,56,41,37,42,35,33,26,32,30,32,30,23,23,23,27,23,24,36,59,05
,CHULA VISTA,22,23,20,20,17,19,21,29,49,62,22,22,25,25,24,22,21,22,20,22,30,38,21,23,26,62,09
,DOWNTOWN SES,18,14,14,15,17,18,20,32,27,34,24,21,21,26,24,23,21,21,21,20,22,44,19,23,22,44,21
,EL CAJON LES,39,24,38,62,29,47,41,46,58,60,45,41,26,27,30,21,24,20,20,21,20,19,23,25,34,62,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,19,15,18,27,32,21,26,45,61,60,34,23,22,29,24,19,17,18,13,12,14,18,16,16,25,61,08
,OTAY MESA DVN,26,44,16,26,17,21,19,40,43,36,48,23,19,21,20,19,13,14,12,14,13,14,11,18,23,48,10
,PENDLETON,,,,,,,P,26,34,41,32,16,14,<,16,16,20,26,19,18,19,22,20,23,23,41,09
14 VWSP MPH,ALPINE,.6,.9,.5,1.1,1.9,.9,2.0,1.1,1.9,3.2,3.5,4.8,5.2,6.0,5.0,5.4,4.6,3.4,2.6,2.6,2.6,2.4,2.0,2.3,.0,6.0,13
,CHULA VISTA,2.9,3.3,3.6,2.7,2.3,3.1,3.8,2.0,1.7,.7,7.4,8.6,7.6,6.8,7.6,6.9,6.1,4.5,4.7,3.7,3.1,2.5,3.3,2.5,.0,8.6,11
,DOWNTOWN SES,5.2,5.8,6.4,4.9,4.7,4.8,5.5,3.6,3.6,3.6,7.0,8.2,7.7,6.7,6.9,6.5,6.1,5.2,4.6,4.5,4.0,2.4,3.7,3.6,.0,8.2,11
,EL CAJON LES,2.2,2.4,1.8,1.2,1.8,.8,1.2,.8,1.6,2.1,2.6,4.7,7.7,6.1,5.9,6.4,5.8,4.8,4.9,3.9,3.8,3.9,3.3,3.0,.0,7.7,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.7,4.5,4.2,2.8,1.7,2.4,3.0,1.7,1.7,1.9,4.3,9.9,8.3,6.4,8.1,8.4,7.4,5.3,6.3,5.9,5.8,3.7,4.8,5.0,.0,9.9,11
,OTAY MESA DVN,1.5,.2,3.7,1.9,2.0,1.7,3.6,1.6,3.5,3.4,3.6,9.6,8.8,8.7,7.5,8.5,9.0,6.5,6.5,4.5,5.1,5.2,3.9,4.4,.0,9.6,11
,PENDLETON,,,,,,,P,2.9,2.4,1.9,4.5,9.0,9.0,7.9,8.0,7.6,5.5,4.5,4.9,5.1,5.0,3.8,4.1,2.8,.0,9.0,11
15 SWSP MPH,ALPINE,1.5,1.6,1.5,2.0,2.3,1.3,2.4,1.5,2.6,3.9,4.3,5.7,6.0,6.8,5.8,6.1,5.3,3.8,2.9,2.9,2.8,2.6,2.2,2.6,3.4,6.8,13
,CHULA VISTA,3.2,3.5,3.8,2.9,2.4,3.3,4.1,2.3,2.7,2.9,7.9,9.2,8.2,7.4,8.3,7.4,6.6,4.8,5.0,4.1,3.6,2.9,3.5,2.8,4.7,9.2,11
,DOWNTOWN SES,5.5,6.0,6.6,5.0,4.9,5.1,5.9,4.1,4.1,4.3,7.6,8.9,8.3,7.6,7.6,7.1,6.6,5.5,4.9,4.8,4.4,3.4,4.0,4.0,5.7,8.9,11
,EL CAJON LES,2.5,2.6,2.2,2.1,2.0,1.6,1.8,1.6,2.3,3.1,3.6,6.1,8.5,6.8,6.8,6.9,6.2,5.2,5.2,4.2,4.1,4.2,3.9,3.3,4.0,8.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.9,4.9,4.5,3.0,2.0,2.7,3.6,2.7,3.2,3.5,5.1,10.5,8.9,7.4,8.8,8.9,7.9,5.7,6.5,6.0,6.0,4.3,5.0,5.3,5.5,10.5,11
,OTAY MESA DVN,1.8,1.0,3.9,2.0,2.2,1.7,3.8,2.2,4.3,4.3,4.8,10.3,9.3,9.3,8.0,9.0,9.2,6.7,6.7,4.7,5.3,5.4,4.0,4.6,5.2,10.3,11
,PENDLETON,,,,,,,P,3.2,2.9,2.4,4.9,9.3,9.3,8.1,8.3,7.9,5.8,5.0,5.2,5.4,5.2,4.2,4.5,3.4,5.6,9.3,11
16 AMBTEMP °F,ALPINE,50.9,50.8,50.8,50.4,50.0,49.9,49.8,50.1,51.8,56.4,61.0,64.5,65.9,65.6,65.3,64.2,61.8,58.0,54.2,52.3,51.3,50.8,50.3,50.0,55.3,65.9,12
,CARMEL MT RCH,56.1,55.8,55.6,55.8,55.9,55.9,56.8,57.1,58.0,61.1,65.0,67.6,67.2,67.9,68.2,65.3,62.4,59.6,57.4,56.8,56.6,56.0,55.2,54.6,59.5,68.2,14
,CHULA VISTA,58.3,58.1,57.5,57.3,57.3,57.1,57.5,58.5,60.0,63.1,63.7,63.4,63.6,63.4,62.9,62.3,60.3,59.2,58.0,58.2,58.1,57.8,57.6,57.7,59.6,63.7,10
,DOWNTOWN SES,58.1,58.0,57.7,57.7,57.5,57.5,57.4,57.8,58.9,60.6,62.6,62.4,61.6,62.5,62.5,60.7,59.5,58.6,57.7,57.9,57.6,57.6,58.0,57.9,59.1,62.6,10
,EL CAJON LES,57.2,57.2,57.1,57.0,56.9,57.1,57.4,58.1,59.7,62.6,66.4,69.6,68.2,68.5,68.9,67.6,65.5,61.9,58.7,57.7,57.6,57.3,56.9,56.7,60.9,69.6,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.7,57.6,57.5,57.4,57.3,57.3,57.6,58.3,60.3,62.9,65.8,66.4,65.5,64.9,64.9,63.3,61.5,59.9,58.8,58.4,58.2,57.7,57.4,57.5,60.2,66.4,11
,OTAY MESA DVN,56.5,56.6,55.6,55.0,54.6,55.1,56.0,57.0,59.7,63.5,66.0,66.7,66.2,65.7,65.8,64.0,61.0,58.9,56.3,55.9,56.2,55.9,55.3,55.2,59.1,66.7,11
,PENDLETON,,,,,,,P,59.3,59.8,61.0,62.8,63.6,64.0,64.1,64.2,63.7,63.1,61.2,60.1,59.8,59.6,59.3,59.3,59.4,61.4,64.2,14
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,100,97,84,71,63,51,54,55,57,65,79,90,95,98,100,100,100,86,100,00
,EL CAJON LES,78,77,77,78,77,77,75,72,68,62,54,48,52,51,52,55,60,67,73,76,76,77,79,79,68,79,22
,KEARNY MESA,79,79,78,77,77,76,76,73,68,63,56,57,60,61,63,67,71,75,79,79,79,81,81,78,72,81,21
18 PRES mmHg,EL CAJON LES,745,744,744,744,744,744,745,745,745,745,745,745,745,745,745,745,745,745,746,746,746,747,747,747,745,747,21
,KEARNY MESA,746,745,745,745,745,745,746,746,746,746,746,747,747,747,746,746,746,747,747,747,748,748,748,748,746,748,20
19 SOLAR W/M2,EL CAJON LES,1,1,1,1,1,6,37,103,289,730,978,1035,1023,932,783,575,330,100,2,1,1,1,1,1,289,1035,11
,KEARNY MESA,0,1,0,1,1,8,52,145,455,793,935,986,964,893,766,569,307,94,3,1,1,1,1,1,291,986,11
25 NOY,EL CAJON LES,4.47,4.32,4.29,4.15,4.24,C,C,6.96,6.73,6.75,7.49,7.30,6.87,6.08,5.39,4.90,5.11,4.45,4.92,5.18,4.11,3.59,3.18,2.96,5.15,7.49,10
26 NOY-NO,EL CAJON LES,4.47,4.31,4.31,4.17,4.24,C,C,6.44,6.04,5.74,6.34,6.39,5.91,4.88,4.66,4.25,4.25,4.03,4.69,4.68,3.91,3.54,3.17,2.94,4.69,6.44,07
27 NO Trace,EL CAJON LES,.00,.00,-.01,-.01,.00,C,C,.51,.68,1.01,1.15,.91,.95,1.20,.73,.64,.86,.41,.23,.49,.20,.04,.01,.02,.45,1.20,13
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.1,.1,.2,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,203.4,205.2,C,C,C,214.3,239.6,249.3,236.9,239.3,260.8,250.2,217.1,214.0,206.1,199.8,199.9,185.2,189.4,184.3,174.0,169.5,172.0,172.9,208.7,260.8,10
BCarbon ug/m3,10TH AVE MARINE TERM,.27,.27,.12,.16,.16,.18,.18,.25,.42,.40,.54,.23,.21,.19,.18,.16,.19,.15,.25,.23,.21,.16,.15,.25,.23,.54,10
,ALPINE,.25,.26,.27,.28,.29,.28,.32,.37,.24,.23,.32,.41,.40,.49,.41,.32,.27,.24,.22,.21,.20,.20,.18,.18,.28,.49,13
,CHICANO PARK,.20,.28,.13,.21,.29,.39,.46,.36,.49,.50,.49,.28,.26,.28,.23,.35,.29,.24,.26,.28,.22,.22,.15,.15,.29,.50,09
,DOWNTOWN SES,.25,.34,.15,.20,.21,.30,.36,.35,.41,.50,.45,.28,.19,.20,.18,.19,.16,.15,.17,.21,.20,.19,.13,.12,.25,.50,09
,OCEANVIEW BLVD,.22,.35,.15,.26,.28,.35,.49,.46,.57,.53,.44,.28,.20,.23,.22,.20,.20,.21,.25,.24,.20,.37,.17,.14,.29,.57,08
,SAN YSIDRO,.307,.596,.347,.316,.493,.403,.411,.683,.745,.715,.298,.182,.184,.169,.177,.181,.188,.209,.470,.427,.346,.329,.211,.265,.361,.745,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
