Current Date:,4/29/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/28/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.042,C,C,.039,.038,.035,.037,M,M,M,M,M,.058,.059,.065,.061,.060,.055,.052,.046,.051,.050,.054,.049,.065,15
,CHULA VISTA,.021,.023,C,C,.021,.010,.022,.030,.033,.037,.048,.053,.053,.054,.054,.049,.044,.044,.039,.034,.022,.004,.006,.006,.032,.054,13
,DOWNTOWN SES,.018,.022,C,C,.007,.006,.014,.032,.044,.047,.051,.051,.053,.057,.059,.051,.047,.041,.041,.031,.027,.013,.004,.004,.032,.059,14
,EL CAJON LES,.027,.022,C,C,C,.011,.011,.018,.035,.042,.048,.053,.059,.058,.061,.062,.059,.053,.047,.033,.028,.033,.024,.027,.038,.062,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.026,.024,C,C,.009,.008,.022,.037,.043,.046,.048,.053,.054,.058,.061,.060,.054,.052,.049,.036,.024,.036,.039,.029,.039,.061,14
,OTAY MESA DVN,.028,.032,C,C,.021,.015,.013,.032,.042,.045,.047,.050,.055,.056,.057,.056,.053,.045,.041,.034,.030,.008,.006,.018,.035,.057,14
,PENDLETON,.025,.021,C,C,.013,.013,.016,.029,.037,.034,.040,.045,.048,.050,.049,.045,.045,.050,.049,.049,.035,.023,.028,.024,.034,.050,13
02 NOX PPM,ALPINE,.001,.001,C,C,.004,.007,.007,.004,M,M,M,M,M,.003,.003,.003,.003,.002,.003,.002,.006,.002,.002,.001,.003,.007,05
,CARMEL MT RCH,.030,.022,C,C,.030,.060,.078,.040,.032,.020,.023,.025,.018,.022,.020,.019,.018,.018,.026,.028,.023,.033,.038,.026,.030,.078,06
,CHULA VISTA,.010,.010,C,C,.009,.022,.015,.010,.014,.017,.006,.004,.004,.004,.003,.002,.002,.003,.005,.007,.012,.031,.023,.024,.011,.031,21
,DOWNTOWN SES,.014,.011,C,C,.020,.029,.025,.020,.007,.008,.005,.005,.005,.004,.004,.004,.004,.007,.005,.013,.015,.024,.031,.034,.013,.034,23
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.017,.020,.016,.010,.004,.004,.005,.004,.005,.004,.004,.004,.003,.004,.005,.012,.018,.012,.008,.013,.008,.020,05
,OTAY MESA DVN,.007,.004,C,C,.009,.020,.029,.005,.003,.004,.005,.006,.004,.003,.003,.004,.004,.005,.004,.009,.010,.036,.048,.024,.011,.048,22
,PENDLETON,.005,.005,C,C,.009,.014,.018,.009,.008,.011,.009,.005,.005,.004,.007,.004,.003,.002,.001,.002,.012,.021,.013,.010,.008,.021,21
03 NO2 PPM,ALPINE,.001,.001,C,C,.003,.005,.005,.003,M,M,M,M,M,.002,.002,.002,.003,.002,.002,.002,.005,.002,.002,.001,.003,.005,05
,CARMEL MT RCH,.021,.017,C,C,.018,.023,.027,.019,.017,.012,.013,.014,.011,.012,.012,.012,.011,.012,.018,.022,.020,.030,.033,.024,.018,.033,22
,CHULA VISTA,.010,.010,C,C,.009,.017,.012,.008,.010,.012,.005,.003,.003,.003,.003,.002,.002,.003,.005,.007,.012,.029,.022,.023,.010,.029,21
,DOWNTOWN SES,.014,.011,C,C,.018,.020,.016,.014,.006,.006,.005,.004,.004,.004,.004,.004,.003,.006,.005,.013,.015,.023,.028,.029,.011,.029,23
