Current Date:,4/23/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/22/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.036,C,C,.042,.041,.041,.041,M,M,M,M,M,M,.038,.039,.038,.038,.039,.039,.038,.037,.037,.037,.038,.042,04
,CHULA VISTA,.039,.041,C,C,.043,.039,.042,.042,.043,.044,.045,.045,.046,.046,.045,.046,.045,.044,.044,.044,.044,.042,.041,.045,.043,.046,12
,DOWNTOWN SES,.045,.046,C,C,.044,.042,.041,.042,.043,.044,.045,.045,.045,.046,.046,.045,.044,.045,.045,.044,.044,.044,.044,.047,.044,.047,23
,EL CAJON LES,.034,.036,C,C,C,.036,.036,.037,.040,.040,.042,.040,.040,.041,.042,.042,.042,.041,.036,.034,.034,.036,.039,.041,.038,.042,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.036,.039,C,C,.040,.039,.037,.038,.038,.041,.041,.038,.039,.043,.044,.045,.044,.044,.044,.041,.042,.041,.041,.043,.040,.045,15
,OTAY MESA DVN,.035,.035,P,.035,.032,.032,C,C,.029,.031,.025,.032,.042,.042,.042,.042,.042,.043,.041,.040,.038,.033,.036,.037,.036,.043,17
,PENDLETON,.042,.043,C,C,.043,.043,.041,.041,.041,.042,.041,P,P,.045,.045,.044,.044,.043,.044,.044,.045,.045,.045,.045,.043,.045,13
02 NOX PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,.006,.005,.005,.005,.004,.003,.002,.002,.002,.002,.004,.006,14
,CARMEL MT RCH,.008,.005,C,C,.021,.036,.036,.030,.031,.034,.035,.027,.021,.029,.028,.022,.017,.018,.017,.011,.014,.012,.008,.006,.021,.036,05
,CHULA VISTA,.002,.001,C,C,.001,.004,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.003,.003,.003,.001,.002,.004,05
,DOWNTOWN SES,.000,.000,C,C,.001,.002,.003,.002,.002,.001,.001,.002,.002,.002,.002,.002,.002,.002,.004,.005,.003,.003,.003,.001,.002,.005,19
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.001,C,C,.002,.004,.005,.004,.005,.003,.003,.005,.006,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.001,.003,.006,12
,OTAY MESA DVN,.003,.005,P,.003,.003,.004,C,C,.013,.009,.028,.012,.002,.002,.002,.002,.002,.002,.002,.001,.002,.004,.003,.003,.005,.028,10
,PENDLETON,.000,.000,C,C,.000,.002,.005,.005,.004,.003,.006,P,P,.002,.002,.001,.001,.002,.001,.001,.001,.000,.000,.000,.002,.006,10
03 NO2 PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,.005,.005,.005,.004,.003,.003,.002,.002,.002,.002,.003,.005,14
,CARMEL MT RCH,.005,.004,C,C,.014,.021,.019,.017,.015,.017,.016,.013,.010,.015,.014,.012,.010,.011,.011,.008,.009,.008,.005,.004,.012,.021,05
,CHULA VISTA,.002,.001,C,C,.001,.004,.002,.002,.002,.001,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.003,.003,.003,.001,.002,.004,05
,DOWNTOWN SES,.001,.000,C,C,.001,.002,.003,.002,.002,.001,.001,.002,.002,.002,.002,.002,.002,.002,.005,.005,.003,.003,.003,.001,.002,.005,18
,EL CAJON LES,.002,.002,C,C,C,.003,.005,.005,.004,.004,.004,.005,.005,.005,.005,.005,.005,.004,.005,.005,.005,.005,.003,.002,.004,.005,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.001,C,C,.003,.004,.005,.004,.004,.003,.003,.004,.006,.003,.002,.002,.002,.002,.003,.002,.002,.002,.002,.001,.003,.006,12
,OTAY MESA DVN,.003,.004,P,.003,.003,.004,C,C,.011,.008,.020,.010,.002,.002,.002,.002,.002,.002,.002,.001,.002,.003,.003,.003,.004,.020,10
,PENDLETON,.000,.000,C,C,.000,.001,.003,.003,.002,.002,.004,P,P,.001,.002,.001,.001,.002,.001,.001,.001,.000,.001,.000,.001,.004,10
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,14
,CARMEL MT RCH,.002,.001,C,C,.007,.015,.016,.013,.015,.017,.019,.014,.011,.014,.014,.010,.007,.007,.006,.004,.005,.004,.002,.002,.009,.019,10
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,11
,OTAY MESA DVN,.000,.001,P,.000,.000,.000,C,C,.002,.001,.008,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.008,10
,PENDLETON,.000,.000,C,C,.000,.001,.002,.002,.001,.001,.002,P,P,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.6,.5,.5,.4,.4,.4,.4,.4,.6,.6,.5,.5,.6,.4,.4,.4,.3,.3,.2,.4,.6,05
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,25,24,24,25,25,25,25,25,25,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,25,25,25,24,24,24,25,26,26,26,26,26,26,25,25,26,25,25,25,25,25,26,25,26,09
,DOWNTOWN SES,26,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,00
,EL CAJON LES,25,24,25,25,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,25,24,24,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,25,25,26,25,25,26,26,00
,OTAY MESA DVN,26,26,P,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,24,P,P,24,24,24,24,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,-2.0,1.4,3.5,2.1,-.1,1.3,2.5,1.8,1.3,1.1,3.0,3.0,-.9,-1.9,1.7,5.0,5.7,2.7,.0,1.4,4.3,3.1,2.6,6.0,2.0,6.0,23
,DOWNTOWN SES,1.1,2.6,2.4,4.2,2.7,-.3,1.0,1.2,1.5,.6,-1.9,1.3,3.1,3.9,3.9,3.3,4.9,6.9,5.7,4.2,2.9,3.7,4.3,2.4,2.7,6.9,17
,EL CAJON LES,7.4,4.1,1.1,1.9,-.1,1.2,4.7,4.2,1.6,.2,3.2,4.3,3.1,3.4,5.6,4.7,4.6,5.1,7.0,8.8,6.8,6.7,4.8,6.2,4.1,8.8,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,2.8,1.5,M,9.1,4.6,.6,1.9,5.9,9.8,4.9,9.6,7.3,2.6,-.6,2.4,2.8,2.6,2.6,3.5,3.3,8.5,9.3,7.6,5.6,4.7,9.8,08
,PENDLETON,7.3,6.1,4.4,5.7,4.9,4.5,3.7,4.3,5.7,4.3,4.0,,5.0,2.9,3.2,4.1,6.4,7.4,6.5,9.3,7.3,6.7,8.6,9.2,5.7,9.3,19
12 VWDR °,ALPINE,217,210,229,243,244,237,226,236,236,239,281,301,285,250,268,278,271,252,242,251,294,268,280,263,0,301,11
,CHULA VISTA,162,173,204,212,224,202,237,271,0,0,0,0,0,M,0,0,M,M,M,M,M,M,M,M,0,271,07
,DOWNTOWN SES,239,232,233,228,232,237,232,230,230,236,242,234,254,226,219,241,262,268,291,294,318,324,315,285,0,324,21
,EL CAJON LES,151,151,171,179,187,202,217,219,215,244,245,267,234,246,255,226,216,234,166,148,215,307,287,266,0,307,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,199,226,152,219,227,213,224,235,244,269,241,274,274,264,237,247,287,284,303,295,298,299,295,296,0,303,18
,OTAY MESA DVN,193,153,P,221,253,242,228,236,229,179,125,273,282,277,281,292,292,293,290,309,293,262,253,257,0,309,19
,PENDLETON,239,259,357,48,238,240,245,234,246,257,250,P,P,251,260,267,270,269,269,267,266,270,268,290,0,357,02
13 SIGTHETA °,ALPINE,24,26,25,27,26,26,27,30,24,27,28,28,27,29,26,27,29,30,22,23,22,27,27,27,26,30,07
,CHULA VISTA,14,21,22,19,24,25,21,34,0,0,0,0,0,M,0,0,M,M,M,M,M,M,M,M,12,34,07
,DOWNTOWN SES,21,19,18,19,18,17,21,20,26,27,33,22,28,24,22,24,26,25,29,30,24,22,21,22,23,33,10
,EL CAJON LES,29,30,18,27,21,20,23,22,23,29,40,36,24,21,23,21,21,24,14,25,31,40,18,17,25,40,10
