Current Date:,3/9/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/8/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.033,.026,C,C,.029,.031,.027,.024,.032,.037,.036,.037,.038,.042,.045,.043,.040,.036,.026,.028,.026,.024,.031,.035,.033,.045,14
,CHULA VISTA,.022,.027,C,C,.012,.014,.010,.014,.024,.035,.038,M,M,M,.045,.044,.041,.037,.034,.035,.029,.024,.019,.006,.026,.045,14
,DOWNTOWN SES,.013,.009,C,C,.008,.004,.004,.013,.026,.035,.035,.036,.043,.043,.043,.043,.040,.036,.037,.034,.032,.024,.022,.021,.027,.043,12
,EL CAJON LES,.025,.024,C,C,C,.013,.011,.017,.020,M,M,M,M,M,M,M,.044,.040,.036,.034,.032,.026,.017,.014,.025,.044,16
,KEARNY MESA,.016,.014,C,C,.015,.011,.010,.018,.034,.039,.042,.043,.044,.045,.044,.045,.044,.040,.036,.033,.031,.025,.028,.021,.030,.045,13
,OTAY MESA DVN,.026,.024,C,C,.027,.029,.017,.027,.036,.039,.040,.041,.044,.045,.046,.046,.045,.037,.031,.033,.027,.026,.015,.019,.032,.046,14
,PENDLETON,.021,.022,C,C,.013,.012,.012,.014,.019,.032,.034,.036,.038,.041,.042,.043,.044,.044,.043,.046,.039,.026,.027,.023,.030,.046,19
03 NO2 PPB,ALPINE,.7,3.0,C,C,.7,1.4,3.2,4.8,3.2,.4,1.1,1.3,1.0,.8,1.2,2.0,1.4,2.7,10.3,7.2,7.7,7.4,2.7,1.0,2.9,10.3,18
,CARMEL MT RCH,5.7,6.4,C,C,17.4,12.1,15.5,8.9,9.7,13.9,9.7,11.2,10.7,10.8,10.6,11.5,10.7,12.3,10.7,14.9,13.1,16.4,7.4,12.9,11.4,17.4,04
,CHULA VISTA,7.2,5.7,C,C,9.2,7.4,12.7,10.0,5.2,3.7,3.6,M,M,M,3.0,4.1,5.1,7.1,9.0,6.5,9.9,11.4,11.6,19.1,7.9,19.1,23
,DOWNTOWN SES,18.0,16.4,C,C,12.0,15.3,17.2,10.6,6.3,3.6,7.2,7.0,3.5,5.4,4.8,4.3,4.7,8.5,6.3,7.6,8.2,12.3,12.7,12.5,9.2,18.0,00
,EL CAJON LES,2.3,1.8,C,C,C,2.7,4.3,2.9,4.1,M,M,M,M,M,M,M,2.1,4.2,6.4,5.9,5.6,7.0,5.9,5.8,4.3,7.0,21
,KEARNY MESA,5.5,7.1,C,C,8.6,10.7,9.9,4.5,1.8,1.5,2.6,2.5,2.2,2.2,1.9,1.8,1.8,3.3,3.0,4.1,5.2,6.9,4.2,5.5,4.4,10.7,05
,OTAY MESA DVN,5.0,7.2,C,C,2.3,4.1,14.4,5.7,1.1,.8,.8,1.0,2.0,4.5,3.1,3.1,3.0,4.3,6.0,4.3,5.3,6.2,16.2,9.4,4.9,16.2,22
,PENDLETON,6.7,4.6,C,C,4.1,7.9,6.9,10.9,5.4,2.4,4.7,6.8,6.3,1.6,1.2,1.3,1.5,1.7,1.4,2.0,7.0,7.5,4.6,7.0,4.7,10.9,07
,SAN YSIDRO,11.1,10.8,C,C,20.9,19.1,20.1,24.4,24.5,11.2,4.2,M,M,M,M,M,M,8.1,9.8,10.2,11.4,20.3,13.2,27.0,15.3,27.0,23
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.4,.2,.6,.4,.4,.4,.3,.4,.5,.5,.5,.5,.4,.6,.5,.5,.6,.5,.3,.5,.4,.6,06
,SAN YSIDRO,.3,.3,C,C,.5,.7,.7,.8,.8,.3,.2,C,M,M,M,M,C,.3,.3,.3,.3,.5,.4,.6,.5,.8,07
07 H2S PPB,SAN YSIDRO,.0,.0,.0,.0,.0,.0,.0,1.3,2.7,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.3,.0,.0,.0,.0,.1,2.7,08
10 INTMP °C,ALPINE,23,23,23,23,23,23,23,23,23,24,24,24,25,25,25,25,25,25,25,25,25,24,24,24,24,25,12
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,25,25,24,25,25,25,25,00
,CHULA VISTA,23,23,23,25,24,25,24,25,25,25,26,26,26,27,26,26,26,26,26,25,25,24,24,25,25,27,13
,DOWNTOWN SES,23,23,24,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,25,26,03
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,00
,KEARNY MESA,25,25,25,25,25,24,24,24,24,25,26,25,25,25,25,25,25,25,25,25,26,26,25,25,25,26,10
,OTAY MESA DVN,23,24,24,24,24,25,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,23,25,05
,PENDLETON,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,25,24,24,24,25,15
,SAN YSIDRO,23,23,22,23,23,23,23,23,22,23,23,23,24,25,23,24,24,23,24,24,23,23,22,23,23,25,13
11 PM2.5 µg/M3,ALPINE,3.6,4.2,4.2,3.9,3.1,3.8,4.4,3.9,3.6,3.0,3.0,M,3.8,3.7,4.0,5.5,5.1,3.1,4.1,5.4,5.5,5.3,5.2,3.8,4.1,5.5,15
,CARMEL MT RCH,5.1,5.0,4.9,4.9,4.8,4.6,4.6,4.4,4.8,4.9,4.7,5.0,6.2,6.3,5.8,5.9,6.0,5.8,6.1,6.4,6.5,6.3,6.5,6.4,5.4,6.5,20
,CHULA VISTA,8.2,7.9,7.4,6.3,6.2,6.2,5.8,5.6,6.3,6.2,6.0,8.7,9.1,8.2,8.0,7.4,7.3,6.9,7.1,6.9,6.9,7.2,8.2,8.0,7.1,9.1,12
,DOWNTOWN SES,10.1,11.0,7.9,7.6,7.3,7.2,7.1,6.5,6.6,6.2,7.0,9.6,7.0,7.1,6.8,7.4,6.9,7.8,8.0,7.5,8.3,10.3,10.2,9.9,7.9,11.0,01
,EL CAJON LES,5.4,5.5,5.7,5.7,5.7,4.5,4.1,3.7,4.6,5.5,5.0,4.9,5.9,6.4,7.3,5.7,5.6,5.6,6.0,6.9,7.3,7.8,7.7,7.2,5.8,7.8,21
,KEARNY MESA,6.0,6.5,6.0,6.0,5.6,5.4,4.8,4.7,6.0,6.0,6.1,6.0,7.2,6.8,5.7,5.7,5.6,6.4,6.3,6.8,6.7,6.4,6.3,6.1,6.0,7.2,12
,OTAY MESA DVN,8.4,10.4,9.6,8.0,6.8,7.3,7.0,6.2,6.3,5.5,4.9,5.0,5.7,9.0,7.8,8.3,8.5,7.8,8.5,8.8,8.8,15.5,42.3,19.3,9.8,42.3,22
,PENDLETON,5.9,5.5,5.1,5.2,4.6,4.5,4.7,4.2,3.8,4.3,5.5,6.3,6.6,6.0,6.0,6.2,6.4,6.4,6.5,7.7,8.3,6.5,6.5,7.3,5.8,8.3,20
,SAN YSIDRO,8.5,10.1,9.6,10.3,14.6,19.9,16.6,17.4,16.7,9.7,6.3,7.9,9.6,8.8,M,M,8.1,7.3,7.3,8.1,7.4,8.2,8.5,15.4,10.7,19.9,05
12 VWDR °,ALPINE,121,90,42,91,97,66,52,156,325,310,264,257,261,296,318,304,31,22,271,64,94,111,94,114,0,325,08
,CHULA VISTA,78,83,62,101,118,98,68,61,17,31,354,275,282,281,282,292,289,291,302,315,356,54,131,42,0,356,20
,DOWNTOWN SES,14,82,54,49,36,59,51,61,60,18,231,225,267,295,286,300,299,306,322,333,4,26,36,66,0,333,19
,EL CAJON LES,121,106,99,209,146,73,80,62,17,276,308,273,239,254,303,307,299,307,315,301,309,38,107,83,0,315,18
,KEARNY MESA,76,68,73,90,74,60,69,70,63,17,338,299,301,307,297,302,308,297,306,307,353,43,45,65,0,353,20
,OTAY MESA DVN,110,64,38,54,87,83,44,43,273,313,302,296,294,292,272,276,273,241,308,303,18,82,117,27,0,313,09
,PENDLETON,69,64,51,67,53,60,64,55,44,49,242,251,269,283,269,274,302,285,288,308,335,35,58,72,0,335,20
13 SIGTHETA °,ALPINE,33,26,13,39,28,41,32,36,38,36,49,38,34,35,35,25,31,46,81,36,50,16,21,55,36,81,18
,CHULA VISTA,45,26,25,20,21,13,27,20,48,49,54,27,20,19,20,19,17,19,16,18,26,34,39,23,27,54,10
,DOWNTOWN SES,62,32,13,10,36,65,13,17,58,60,42,21,24,26,23,23,25,22,23,20,32,28,40,21,31,65,05
,EL CAJON LES,40,31,27,37,48,22,15,17,56,74,46,54,57,53,24,24,19,18,20,19,53,27,21,37,35,74,09
,KEARNY MESA,18,7,9,7,7,5,8,11,27,47,38,37,22,18,14,12,13,8,8,11,10,9,25,10,16,47,09
,OTAY MESA DVN,30,12,14,16,8,7,42,48,35,26,25,28,19,15,13,14,12,13,22,29,18,23,10,49,22,49,23
,PENDLETON,10,9,10,9,10,9,9,10,11,48,12,9,14,17,15,15,15,15,16,13,15,10,11,29,14,48,09
14 VWSP MPH,ALPINE,3.1,2.0,4.5,2.9,4.2,3.3,3.8,3.5,3.1,5.7,4.8,5.6,7.2,6.8,5.9,6.6,4.1,3.4,1.0,4.0,1.9,5.0,5.2,3.1,.0,7.2,12
,CHULA VISTA,.8,1.8,1.1,1.8,2.1,3.6,2.8,2.9,1.3,1.6,1.7,6.1,7.2,7.7,8.9,9.2,7.1,5.7,3.8,3.8,1.7,2.5,1.2,1.8,.0,9.2,15
,DOWNTOWN SES,.5,2.1,2.7,2.7,1.6,.7,3.7,4.1,2.9,1.0,3.7,6.8,6.4,6.6,8.9,7.5,5.5,5.6,4.5,4.0,2.6,2.2,1.6,2.7,.0,8.9,14
,EL CAJON LES,.5,1.5,1.6,.5,.1,2.8,3.2,3.1,1.2,1.2,3.1,.9,2.7,3.5,7.5,6.0,6.9,5.0,3.7,4.1,2.1,1.2,2.8,1.8,.0,7.5,14
,KEARNY MESA,2.2,3.4,3.1,2.8,3.0,4.6,3.9,4.7,4.1,1.6,4.0,5.2,7.8,9.0,11.8,10.5,7.6,8.1,7.9,4.4,3.4,6.5,5.2,4.6,.0,11.8,14
