,OTAY MESA DVN,.0,C,C,-.5,-.2,.0,-.1,.0,.6,.8,.9,.8,.8,1.2,1.1,1.6,1.8,2.3,2.8,3.8,3.7,.1,.0,-.2,.9,3.8,19
,PENDLETON,3.0,C,C,2.1,2.1,2.4,2.1,2.4,3.9,3.1,2.0,1.5,1.1,1.3,1.6,2.3,2.2,2.4,2.7,2.9,2.9,3.3,2.7,2.6,2.3,3.9,08
,SAN YSIDRO,6.6,C,C,8.0,10.2,17.8,19.1,13.2,15.8,4.5,3.5,3.4,4.8,4.8,4.5,4.8,7.0,6.4,11.0,14.3,13.4,15.7,18.8,12.9,10.0,19.1,06
06 CO PPM,CARMEL MT RCH,.2,C,C,.1,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.3,.2,.2,.2,.3,.6,.5,.2,.2,.2,.6,20
,SAN YSIDRO,.2,C,C,.2,.2,.4,.4,.3,.4,.2,.2,.2,.2,.2,.2,.2,.3,.2,.3,.4,.3,.4,.4,.3,.3,.4,05
07 H2S PPB,SAN YSIDRO,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
10 INTMP °C,ALPINE,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,23,23,23,23,23,24,12
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12
,CHULA VISTA,25,26,26,26,26,26,26,26,26,26,27,27,28,28,28,27,26,25,25,24,24,24,24,23,26,28,12
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,00
,KEARNY MESA,22,22,22,22,22,P,21,22,22,22,23,23,24,24,25,25,25,25,25,25,25,25,25,25,24,25,14
,OTAY MESA DVN,24,24,23,24,24,24,24,24,23,24,24,23,23,24,24,23,23,23,24,24,23,23,23,23,24,24,00
,PENDLETON,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,24,24,23,23,23,23,23,24,25,13
,SAN YSIDRO,23,23,23,23,23,23,23,23,23,23,22,22,22,23,23,23,23,22,22,22,22,22,22,23,23,23,00
11 PM2.5 µg/M3,ALPINE,1.7,1.7,2.4,2.1,2.6,2.6,2.6,2.7,2.7,2.7,2.1,2.2,1.2,2.0,2.6,2.9,3.1,3.5,3.6,2.6,2.5,2.1,1.4,1.0,2.3,3.6,18
,CARMEL MT RCH,2.7,2.3,2.0,2.3,2.6,2.8,2.9,3.0,3.1,2.8,2.4,4.0,3.7,3.3,3.3,4.1,4.0,4.3,4.7,4.3,3.1,3.5,3.4,2.8,3.2,4.7,18
,CHULA VISTA,2.7,2.7,3.0,3.2,3.8,3.4,3.5,3.8,3.8,3.3,3.4,2.9,3.5,4.0,4.7,4.8,5.0,5.2,4.4,4.5,4.3,4.4,4.2,3.2,3.8,5.2,17
,DOWNTOWN SES,2.9,2.6,3.5,3.3,3.2,3.5,3.3,3.3,3.1,3.5,3.9,4.5,3.9,5.6,5.7,5.9,7.4,5.8,5.7,4.2,4.8,6.0,5.5,4.3,4.3,7.4,16
,EL CAJON LES,1.9,2.0,3.6,3.7,3.3,3.0,2.9,3.0,2.8,3.0,2.6,2.9,2.5,2.9,4.2,4.4,4.6,4.6,5.1,7.2,6.2,4.4,2.7,3.0,3.6,7.2,19
,KEARNY MESA,2.8,2.6,2.9,2.7,2.7,P,3.2,3.2,2.9,2.8,3.1,4.2,3.8,3.3,4.2,4.9,4.5,4.9,5.0,5.3,4.4,4.0,3.8,3.0,3.6,5.3,19
,OTAY MESA DVN,2.2,2.7,2.8,3.4,3.1,3.0,3.2,3.3,3.4,2.7,2.8,1.8,2.7,3.8,4.1,4.6,4.8,4.6,3.5,4.1,4.5,1.8,1.3,1.8,3.1,4.8,16
,PENDLETON,3.0,2.9,2.7,2.5,2.3,2.5,2.5,2.6,3.0,4.1,5.0,5.9,6.3,7.2,5.4,1.1,1.4,1.6,1.6,1.7,1.8,2.3,2.2,2.1,3.0,7.2,13
,SAN YSIDRO,4.0,4.8,5.5,5.2,4.7,4.9,5.0,4.2,5.3,3.4,3.6,3.0,3.7,4.5,5.0,5.0,5.9,4.8,4.7,6.2,5.0,6.6,9.7,8.3,5.1,9.7,22
12 VWDR °,ALPINE,158,148,146,150,153,144,157,165,181,187,188,196,186,192,186,188,173,207,167,137,133,138,132,127,0,207,17
,CHULA VISTA,127,123,117,128,130,134,135,136,145,176,178,178,174,175,180,182,183,188,165,149,138,114,56,43,0,188,17
,DOWNTOWN SES,96,92,44,61,105,116,141,140,149,144,172,175,169,175,172,177,177,186,158,156,132,92,65,40,0,186,17
,EL CAJON LES,142,149,110,316,119,139,146,143,142,198,175,180,173,179,200,189,199,206,208,133,91,92,74,22,0,316,03
,KEARNY MESA,105,116,105,94,99,P,142,146,158,157,165,182,177,185,193,196,185,186,171,150,47,43,49,54,0,196,15
,OTAY MESA DVN,105,106,110,122,117,123,122,123,129,150,151,148,151,175,172,176,176,170,147,137,116,101,98,102,0,176,15
,PENDLETON,68,83,98,73,72,65,45,72,90,142,165,175,179,178,138,22,15,34,52,50,48,51,55,51,0,179,12
13 SIGTHETA °,ALPINE,13,10,11,11,12,12,12,11,15,15,13,18,15,13,14,13,17,49,23,12,11,12,11,15,15,49,17
,CHULA VISTA,12,13,14,14,11,11,12,13,24,25,16,14,15,13,16,15,16,18,14,14,13,20,17,15,15,25,09
,DOWNTOWN SES,15,19,16,28,15,19,19,19,20,29,13,13,13,13,14,12,13,15,18,17,17,14,14,13,17,29,09
,EL CAJON LES,12,16,43,51,50,9,12,14,15,50,27,18,19,17,17,16,18,19,29,43,31,20,15,17,24,51,03
,KEARNY MESA,7,10,12,10,11,P,9,10,11,13,20,14,13,14,13,12,12,14,10,22,19,7,8,19,13,22,19
,OTAY MESA DVN,9,10,9,11,10,11,10,10,12,12,14,16,14,10,11,11,10,12,11,10,11,10,9,9,11,16,11
,PENDLETON,11,9,10,9,9,11,10,14,15,23,10,11,11,9,29,19,18,11,11,9,10,8,9,11,12,29,14
14 VWSP MPH,ALPINE,10.4,9.5,8.8,9.6,10.1,9.5,12.3,14.0,13.2,12.6,15.1,13.7,16.3,14.0,11.2,14.1,10.3,3.2,5.9,7.6,6.7,6.9,7.1,6.1,.0,16.3,12
,CHULA VISTA,7.4,6.5,5.5,6.4,6.8,7.4,7.1,6.8,5.8,7.8,12.5,12.7,12.2,12.1,11.3,10.4,7.2,4.7,4.8,3.1,2.3,2.3,2.2,2.3,.0,12.7,11
,DOWNTOWN SES,5.6,4.0,3.4,3.5,4.3,3.3,5.8,7.7,7.0,3.9,12.5,13.5,12.6,13.0,12.7,13.8,10.1,8.3,5.6,4.9,2.9,2.6,2.6,4.0,.0,13.8,15
,EL CAJON LES,6.4,4.8,.8,.9,1.0,5.7,7.7,9.0,7.9,1.7,6.7,10.1,10.6,11.0,9.1,11.1,7.8,6.7,3.0,1.4,1.4,1.8,2.0,2.0,.0,11.1,15
,KEARNY MESA,4.5,4.7,5.4,7.6,5.0,P,6.0,10.1,12.0,9.7,10.7,15.2,15.2,14.5,14.8,14.1,12.7,11.7,6.7,2.7,1.7,4.7,5.8,4.7,.0,15.2,11
,OTAY MESA DVN,9.1,9.5,11.0,10.8,10.9,10.7,12.1,9.9,10.3,14.2,13.2,14.6,13.5,15.2,14.7,11.5,11.9,10.7,10.0,9.2,6.9,7.6,5.8,6.3,.0,15.2,13
,PENDLETON,5.6,6.0,7.6,7.8,7.3,7.0,7.9,6.3,6.2,6.6,12.6,11.7,12.9,13.8,4.0,8.3,9.3,11.0,8.7,8.0,8.1,7.9,7.5,7.2,.0,13.8,13
15 SWSP MPH,ALPINE,10.7,9.7,8.9,9.8,10.4,9.7,12.6,14.3,13.7,13.0,15.6,14.4,16.8,14.4,11.9,14.4,10.8,6.7,8.2,7.7,6.8,7.1,7.2,6.3,10.9,16.8,12
,CHULA VISTA,7.6,6.7,5.7,6.6,7.0,7.5,7.3,7.0,6.5,8.3,13.1,13.0,12.5,12.4,11.7,10.7,7.5,4.9,4.9,3.1,2.4,2.7,2.2,2.5,7.2,13.1,10
,DOWNTOWN SES,5.8,4.3,3.6,4.1,4.5,3.5,6.1,8.1,7.4,4.5,12.9,13.9,13.0,13.3,13.1,14.1,10.4,8.7,5.9,5.2,3.2,2.7,2.7,4.3,7.3,14.1,15
,EL CAJON LES,6.5,5.2,2.6,2.0,1.3,5.8,7.9,9.3,8.2,4.4,7.4,10.7,11.2,11.8,9.5,11.6,8.2,7.1,3.3,1.7,1.8,2.5,2.2,2.1,6.0,11.8,13
,KEARNY MESA,4.7,5.1,5.6,7.8,5.2,P,6.1,10.3,12.3,10.1,11.5,15.7,15.6,15.1,15.2,14.4,13.1,12.0,6.8,3.2,3.2,4.8,5.9,4.9,9.1,15.7,11
,OTAY MESA DVN,9.3,9.6,11.1,11.1,11.1,10.9,12.3,10.1,10.6,14.8,13.7,15.3,13.9,15.5,15.0,11.8,12.1,10.9,10.3,9.4,7.3,7.7,5.8,6.4,11.1,15.5,13
,PENDLETON,5.8,6.1,7.8,7.9,7.5,7.3,8.1,6.5,6.5,8.4,12.8,11.9,13.1,14.0,8.2,9.0,9.7,11.3,8.9,8.1,8.2,8.0,7.6,7.3,8.8,14.0,13
16 AMBTEMP °F,ALPINE,45.0,44.2,44.9,45.3,45.6,45.7,47.0,48.9,51.0,51.9,53.2,53.2,54.0,54.1,51.7,52.2,52.0,50.7,47.9,46.9,47.3,47.0,46.7,46.6,48.9,54.1,13
,CARMEL MT RCH,49.5,49.5,49.2,48.7,48.9,49.5,50.4,52.4,55.1,56.5,58.0,59.4,60.0,60.2,60.3,60.8,58.7,56.4,54.0,53.2,52.5,51.8,51.1,50.7,54.0,60.8,15
,CHULA VISTA,52.0,52.9,52.5,52.7,52.8,53.4,54.4,55.4,54.5,59.8,62.8,62.3,61.3,61.0,62.2,60.6,58.7,57.6,56.9,55.9,55.6,55.9,55.6,54.8,56.7,62.8,10
,DOWNTOWN SES,51.8,51.7,51.4,51.5,52.0,51.9,54.3,56.6,57.1,56.5,61.4,62.4,61.7,63.2,63.4,61.3,58.8,56.4,56.5,56.4,56.4,56.2,56.1,55.1,56.7,63.4,14
,EL CAJON LES,50.9,50.2,49.9,49.5,48.9,49.6,52.0,55.3,55.8,54.7,59.4,60.0,60.1,61.3,60.5,61.5,60.0,58.0,56.0,54.9,55.5,54.5,53.9,53.1,55.2,61.5,15
,KEARNY MESA,50.8,50.6,50.3,50.1,50.2,P,51.9,55.1,57.0,56.2,60.1,62.1,60.9,62.3,62.5,60.6,59.1,57.6,55.7,55.4,55.4,53.8,52.4,51.8,55.7,62.5,14
,OTAY MESA DVN,50.8,52.1,52.2,52.8,52.2,52.4,53.4,53.0,55.5,57.6,59.3,59.3,58.7,59.3,59.1,58.3,57.2,56.5,55.9,55.3,54.7,54.4,53.5,53.6,55.3,59.3,10
,PENDLETON,52.6,52.6,51.5,51.5,51.9,52.2,51.6,53.3,54.4,57.7,59.1,61.0,61.2,60.9,58.8,56.6,54.6,52.9,53.2,52.6,52.2,52.4,52.5,52.1,54.6,61.2,12
,SAN YSIDRO,51.5,51.6,51.5,51.5,51.7,52.0,53.6,54.4,55.4,59.9,62.5,62.7,61.4,61.1,61.5,60.1,59.6,58.9,58.0,57.4,57.1,56.7,55.5,53.9,56.6,62.7,11
17 RELHUM %,ALPINE,85,87,86,86,86,88,84,80,75,74,71,72,65,64,74,78,77,80,87,89,86,89,87,85,81,89,19
,EL CAJON LES,82,85,93,98,99,97,88,80,81,90,79,69,66,61,68,60,69,76,81,86,81,82,84,87,81,99,04
,KEARNY MESA,87,84,92,93,93,P,90,83,76,82,72,63,65,60,61,67,71,77,87,87,84,89,93,90,80,93,03
18 PRES mmHg,EL CAJON LES,744,744,744,743,743,744,744,744,744,745,745,744,744,744,743,743,743,743,743,743,744,744,744,744,744,745,09
,KEARNY MESA,745,744,744,744,744,P,744,745,745,746,745,745,745,744,744,744,744,744,744,744,744,745,745,745,744,746,09
19 SOLAR W/M2,EL CAJON LES,-1,-1,0,0,-2,12,73,254,234,268,683,332,392,369,381,370,259,57,-2,-2,0,-1,-1,-2,153,683,10
,KEARNY MESA,0,-1,-1,-1,-1,P,71,171,291,442,646,688,388,722,670,256,245,109,0,-1,-1,-1,-1,-1,204,722,13
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,5,15,16,18,41,24,26,26,24,22,14,4,0,0,0,0,0,0,10,41,10
25 NOY,EL CAJON LES,1.07,1.31,2.66,6.24,C,C,.98,.89,1.09,2.61,2.08,1.80,1.70,1.65,1.97,1.92,2.46,2.62,3.54,6.24,5.03,3.24,2.11,3.73,2.58,6.24,03
26 NOY-NO,EL CAJON LES,1.03,1.25,2.61,6.21,C,C,.91,.77,.94,2.27,1.63,1.47,1.39,1.36,1.63,1.46,1.89,2.40,3.43,6.13,5.03,3.23,2.09,3.73,2.40,6.21,03
27 NO Trace,EL CAJON LES,.04,.06,.04,.02,C,C,.06,.11,.15,.33,.44,.33,.30,.28,.34,.45,.57,.22,.10,.11,.00,.01,.01,.00,.18,.57,16
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,147.6,C,C,C,196.4,148.4,148.4,149.0,151.4,169.8,167.7,158.8,160.7,161.3,170.7,170.7,178.8,197.4,214.0,296.3,255.9,197.7,165.0,198.0,181.1,296.3,19
BCarbon ug/m3,10TH AVE MARINE TERM,.36,<,<,2.57,.89,<,.99,<,<,.56,.07,.07,.06,.07,.08,<,.83,.49,.37,.30,.68,<,<,<,.56,2.57,03
,BOSTON AVE,.22,.10,.17,.25,.25,.19,.18,.27,.21,.11,.04,.05,.09,.05,.05,.05,.08,.08,.12,.13,.31,.44,.45,.29,.17,.45,22
,CHICANO PARK,.22,.13,.10,<,.26,.32,.18,<,.18,.12,.09,.08,.07,.08,<,.06,.06,<,.09,<,<,<,.48,.26,.16,.48,22
,DOWNTOWN SES,.14,.05,.08,.09,.16,.17,.12,.19,<,<,.04,.04,.04,.04,.04,.03,.04,.04,<,.10,.17,.42,.38,.20,.12,.42,21
,OCEANVIEW BLVD,.14,<,.06,.13,.15,<,.18,.20,.16,.11,.06,<,<,.06,.06,.05,.13,.05,.12,.18,.47,.44,.32,<,.16,.47,20
,SAN YSIDRO,.31,.45,<,.94,.66,.63,.62,.46,.46,.12,<,.12,.17,.25,<,.14,.24,<,<,.50,.41,.86,.94,.80,.48,.94,03
PM10 STD,ALPINE,3.5,3.5,5.2,4.9,6.0,6.0,6.2,6.5,6.4,6.4,5.7,5.7,3.7,6.1,6.5,6.9,7.5,8.4,8.8,5.5,5.0,5.1,3.3,2.6,5.6,8.8,18
,CARMEL MT RCH,5.9,5.2,5.2,4.9,6.2,6.6,6.8,7.2,7.7,6.6,6.1,11.1,11.0,8.5,9.1,13.2,11.7,11.1,12.9,12.2,7.3,8.6,8.1,5.9,8.2,13.2,15
,CHULA VISTA,5.3,6.2,6.9,7.3,8.5,7.9,7.9,8.7,8.3,7.8,8.4,7.3,10.4,10.4,12.8,14.3,14.2,13.3,11.3,11.9,10.6,10.6,9.7,7.3,9.4,14.3,15
,DOWNTOWN SES,6.1,5.6,7.4,7.2,7.1,7.4,7.5,7.5,7.5,8.1,10.8,14.8,12.6,20.6,19.5,21.0,26.0,17.8,16.6,11.3,13.2,13.8,11.4,9.7,12.1,26.0,16
,EL CAJON LES,3.9,4.4,7.3,7.6,6.5,6.7,6.7,7.0,7.2,6.9,6.4,8.0,7.2,8.1,12.1,12.4,12.9,12.2,12.8,15.1,13.2,10.1,6.7,6.9,8.6,15.1,19
,KEARNY MESA,6.1,5.8,6.7,6.2,6.0,P,7.5,8.1,7.2,6.3,8.9,12.9,11.3,9.9,13.6,15.6,13.5,14.9,13.4,14.2,11.6,9.7,8.8,7.2,9.8,15.6,15
,OTAY MESA DVN,4.9,6.1,6.0,8.1,6.8,6.7,7.2,7.8,8.5,7.0,7.7,6.2,8.0,13.4,14.7,15.9,16.2,12.7,11.3,14.4,13.5,4.7,3.0,4.5,8.9,16.2,16
,PENDLETON,6.1,6.0,6.2,5.9,5.0,5.8,5.7,5.9,6.5,12.5,20.2,27.6,29.0,37.6,26.4,3.3,3.8,4.6,5.0,4.7,5.0,5.6,4.6,5.3,10.3,37.6,13
,SAN YSIDRO,7.8,9.1,10.6,10.2,9.7,10.3,10.8,10.0,12.0,8.2,11.0,9.1,12.9,13.9,15.7,14.5,16.4,14.2,17.2,19.6,15.7,17.5,24.3,19.6,13.3,24.3,22
RAINFALL,EL CAJON LES,.00,.00,.04,.04,.00,.00,.00,.00,.03,.05,.00,.01,.00,.00,.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.05,09
