Current Date:,9/21/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/20/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.016,.015,C,C,.027,.026,.029,.029,.035,.038,.041,.050,.056,.067,.070,.068,.063,.058,.047,.035,.033,.028,.028,.037,.040,.070,14
,CHULA VISTA,.023,.018,C,C,.002,.003,.008,M,M,M,M,M,M,M,M,.038,.037,.036,.033,.033,.027,.013,.011,.003,.020,.038,15
,DOWNTOWN SES,.028,.023,.018,.011,.002,.002,.007,.015,.024,.028,.038,.044,.049,.053,.043,.040,.037,.033,.032,.033,.029,.028,.025,.017,.027,.053,13
,EL CAJON LES,.024,.021,C,C,C,.010,.013,.019,.026,M,M,.051,.055,.058,.063,.060,.053,.044,.041,.034,.032,.031,.023,.017,.035,.063,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.018,C,C,.002,.001,.009,.022,.025,.031,.038,.048,.050,.053,.055,.046,.042,.038,.032,.029,.026,.022,.011,.010,.028,.055,14
,OTAY MESA DVN,.015,.017,C,C,.009,.011,.013,.014,.021,.027,.038,.048,.049,.049,.051,.043,.039,.034,.031,.028,.025,.022,.017,.015,.028,.051,14
,PENDLETON,.019,.016,C,C,.008,.008,.010,.018,.026,.031,.036,.040,.040,.038,.037,.037,.036,.038,.039,.037,.037,.022,.021,.019,.027,.040,11
02 NOX PPM,ALPINE,.004,.003,C,C,.003,.006,.005,.010,.005,.003,.004,.003,.002,.005,.005,.004,.004,.005,.005,.007,.007,.009,.009,.005,.005,.010,07
,CARMEL MT RCH,.015,.005,C,C,.031,.014,.025,.011,.024,.021,.033,.027,.024,.026,.022,.019,.019,.018,.016,.016,.018,.015,.021,.025,.020,.033,10
,CHULA VISTA,.007,.007,C,C,.023,.022,.018,.043,M,M,M,M,M,.004,.003,.003,.004,.004,.004,.004,.008,.020,.017,.021,.012,.043,07
,DOWNTOWN SES,.003,.006,.009,.015,.027,.036,.034,.021,.014,.019,.014,.010,.006,.007,.004,.005,.007,.008,.009,.007,.010,.009,.010,.016,.013,.036,05
,EL CAJON LES,.003,.003,C,C,C,.005,.005,.005,.005,M,M,.005,.008,.008,.006,.005,.004,.005,.004,.006,.007,.006,.006,.007,.005,.008,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.008,C,C,.029,.032,.018,.006,.006,.007,.012,.011,.007,.007,.004,.003,.004,.004,.005,.006,.006,.008,.013,.018,.010,.032,05
,OTAY MESA DVN,.012,.009,C,C,.021,.011,.011,.023,.015,.031,.028,.012,.006,.004,.004,.004,.003,.004,.004,.004,.004,.006,.005,.007,.010,.031,09
,PENDLETON,.006,.007,C,C,.012,.013,.012,.008,.006,.005,.004,.002,.001,.001,.000,.000,.000,.000,.001,.001,.001,.009,.008,.006,.005,.013,05
03 NO2 PPM,ALPINE,.004,.003,C,C,.002,.004,.004,.007,.004,.002,.003,.003,.002,.005,.005,.004,.004,.005,.006,.007,.007,.009,.009,.005,.005,.009,21
,CARMEL MT RCH,.011,.005,C,C,.020,.012,.014,.006,.011,.011,.016,.016,.013,.014,.012,.011,.011,.011,.010,.010,.011,.010,.014,.020,.012,.020,04
,CHULA VISTA,.007,.007,C,C,.018,.016,.012,.008,M,M,M,M,M,.004,.003,.002,.003,.003,.004,.004,.007,.019,.017,.021,.009,.021,23
,DOWNTOWN SES,.003,.005,.009,.014,.021,.022,.019,.013,.009,.013,.011,.008,.005,.005,.003,.004,.006,.007,.009,.007,.009,.009,.010,.015,.010,.022,05
,EL CAJON LES,.003,.003,C,C,C,.004,.004,.003,.003,M,M,.004,.007,.006,.005,.004,.004,.004,.004,.005,.006,.006,.006,.007,.005,.007,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.008,C,C,.019,.021,.012,.004,.005,.005,.009,.009,.006,.006,.004,.003,.004,.004,.005,.006,.006,.008,.013,.015,.008,.021,05
,OTAY MESA DVN,.011,.008,C,C,.010,.008,.008,.012,.010,.021,.020,.009,.004,.003,.003,.003,.002,.003,.003,.003,.004,.004,.005,.007,.007,.021,09
,PENDLETON,.006,.006,C,C,.011,.010,.008,.005,.004,.003,.003,.002,.001,.000,.000,.000,.000,.000,.001,.001,.001,.009,.007,.006,.004,.011,04
04 NO PPM,ALPINE,.000,.000,C,C,.001,.002,.001,.003,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
,CARMEL MT RCH,.003,.000,C,C,.011,.003,.011,.004,.013,.009,.016,.011,.011,.012,.010,.008,.008,.007,.006,.006,.006,.005,.006,.005,.008,.016,10
,CHULA VISTA,.000,.000,C,C,.005,.006,.005,.036,M,M,M,M,M,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.001,.003,.036,07
,DOWNTOWN SES,.000,.000,.000,.001,.006,.013,.015,.008,.004,.006,.004,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.003,.015,06
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.001,.002,M,M,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.000,.001,.002,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.009,.012,.006,.001,.002,.002,.003,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.002,.012,05
,OTAY MESA DVN,.001,.001,C,C,.010,.002,.003,.011,.006,.011,.007,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.011,07
,PENDLETON,.000,.000,C,C,.002,.003,.003,.003,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,05
06 CO PPM,CARMEL MT RCH,.2,.1,C,C,C,.2,.4,.3,.4,.3,.4,.4,.5,.5,.4,.5,.6,.5,.5,.5,.5,.5,.6,.5,.4,.6,16
10 INTMP °C,ALPINE,25,25,26,26,27,26,26,25,24,24,24,23,23,24,24,24,24,24,24,25,24,25,25,25,25,27,04
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,M,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,00
,DOWNTOWN SES,25,25,25,25,25,25,25,25,24,24,23,23,23,23,23,23,23,24,24,24,24,24,25,25,24,25,00
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,28,27,27,27,M,M,25,25,25,25,25,24,25,26,26,27,27,27,26,28,06
,PENDLETON,26,26,26,26,26,26,26,25,25,25,24,24,24,24,25,25,25,25,25,25,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,4.4,5.2,4.3,2.5,4.0,3.4,1.7,-1.5,-3.3,-1.9,-.6,1.5,3.7,10.2,11.2,13.5,8.7,6.5,7.9,9.8,7.2,7.3,10.5,9.8,5.2,13.5,15
,DOWNTOWN SES,6.7,6.0,7.6,10.0,10.2,9.4,10.4,15.8,13.2,18.2,18.1,11.4,11.7,8.5,9.2,7.2,7.8,5.5,6.7,8.1,9.2,8.1,8.1,10.1,9.8,18.2,09
,EL CAJON LES,11.5,9.1,6.1,8.7,7.7,4.6,6.6,6.9,5.5,7.2,6.2,9.8,9.5,10.9,11.9,10.6,8.9,7.7,7.9,5.9,5.8,7.2,8.6,10.1,8.1,11.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,17.0,8.4,15.5,29.0,26.9,14.4,13.5,23.4,18.8,23.8,21.6,M,M,11.2,11.5,8.3,9.1,7.3,7.0,4.8,5.8,8.9,9.7,12.8,14.0,29.0,03
,PENDLETON,2.5,4.4,4.9,4.9,5.2,5.2,6.9,10.4,12.1,7.7,9.9,8.5,8.1,6.1,7.8,7.8,8.2,9.1,8.1,7.2,10.0,8.0,7.1,8.2,7.4,12.1,08
12 VWDR °,ALPINE,128,4,345,27,342,3,103,139,233,277,277,247,243,253,266,274,277,274,278,205,340,47,96,36,196,345,02
,CHULA VISTA,162,119,102,110,78,53,64,63,138,225,260,253,255,265,263,258,260,268,270,264,305,4,84,70,175,305,20
,DOWNTOWN SES,115,99,113,81,46,36,56,77,180,221,247,265,249,259,254,266,274,282,293,332,339,347,351,349,214,351,22
,EL CAJON LES,199,123,112,98,100,93,99,88,268,309,265,227,229,252,251,256,268,275,267,256,307,300,118,97,202,309,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,154,112,119,68,78,51,68,92,183,199,240,274,267,277,284,286,302,287,291,297,317,339,73,16,195,339,21
,OTAY MESA DVN,157,206,50,56,64,36,37,155,165,189,M,M,298,296,293,293,295,290,301,353,18,27,105,119,173,353,19
,PENDLETON,67,83,90,73,50,64,62,115,216,228,243,244,253,266,267,279,278,278,273,263,270,9,29,41,168,279,15
13 SIGTHETA °,ALPINE,37,30,34,35,12,31,17,26,30,36,40,35,34,32,30,27,25,25,18,28,17,35,15,23,28,40,10
,CHULA VISTA,35,36,24,15,27,20,19,33,59,61,33,24,22,26,26,19,21,22,20,20,22,14,51,22,28,61,09
,DOWNTOWN SES,17,16,25,24,31,11,17,37,61,32,26,24,24,30,27,24,20,23,24,20,20,15,15,14,24,61,08
