Current Date:,9/20/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/19/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.046,C,C,.041,.043,.039,.042,.041,.046,.053,.054,.058,.049,.037,.035,.032,.027,.025,.024,.024,.024,.024,.024,.037,.058,12
,CHULA VISTA,.010,.004,C,C,.005,.006,M,M,M,M,M,M,M,M,M,M,M,.030,.031,.030,.029,.029,.029,.028,.021,.031,18
,DOWNTOWN SES,.022,.024,.026,.019,.021,.015,.015,.023,.035,.038,.040,.037,.032,.031,.028,.028,.029,.026,.029,.030,.031,.030,.029,.031,.027,.040,10
,EL CAJON LES,.012,.010,C,C,C,.019,.021,.023,.027,.037,.049,.054,.048,.037,.034,.030,.027,.027,.026,.028,.030,.029,.027,.026,.029,.054,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.012,C,C,.014,.006,.016,.026,.033,.038,.042,.041,.037,.035,.031,.028,.028,.026,.027,.026,.025,.025,.021,.024,.026,.042,10
,OTAY MESA DVN,.012,.009,C,C,.010,.009,.010,.012,.023,.031,M,.045,.035,.032,.028,.024,.026,.026,.024,.025,.025,.023,.019,.018,.022,.045,11
,PENDLETON,.013,.013,C,C,.011,.011,.013,.019,.025,.034,.040,.041,.035,.029,.028,.028,.028,.029,.029,.030,.028,.027,.021,.021,.025,.041,11
02 NOX PPM,ALPINE,.003,.002,C,C,.004,.003,.006,.006,.005,.004,.002,.003,.003,.002,.001,.002,.003,.004,.004,.004,.003,.002,.003,.002,.003,.006,06
,CARMEL MT RCH,.018,.008,C,C,.007,.009,.011,.011,.028,.022,.030,.030,.024,.023,.022,.018,.017,.018,.019,.014,.018,.015,.015,.017,.018,.030,10
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.001,.002,.002,.002,.002,.002,.004,.002,.004,23
,DOWNTOWN SES,.006,.006,.005,.007,.008,.015,.016,.012,.006,.005,.004,.004,.003,.003,.003,.004,.003,.006,.003,.003,.002,.003,.003,.002,.006,.016,06
,EL CAJON LES,.006,.006,C,C,C,.005,.005,.007,.008,.008,.004,.004,.003,.002,.003,.004,.004,.004,.004,.003,.002,.002,.002,.002,.004,.008,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.008,C,C,.012,.021,.016,.009,.007,.006,.007,.005,.003,.003,.002,.002,.002,.003,.003,.004,.005,.005,.008,.005,.007,.021,05
,OTAY MESA DVN,.012,.015,C,C,.015,.015,.023,.040,.028,.027,M,.008,.005,.005,.003,.002,.002,.003,.005,.004,.004,.006,.009,.010,.011,.040,07
,PENDLETON,.007,.007,C,C,.008,.010,.010,.007,.008,.004,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.002,.003,.010,.007,.004,.010,05
03 NO2 PPM,ALPINE,.003,.002,C,C,.004,.002,.004,.005,.004,.003,.002,.003,.003,.002,.001,.002,.003,.003,.004,.004,.003,.002,.003,.002,.003,.005,07
,CARMEL MT RCH,.013,.006,C,C,.006,.008,.008,.008,.015,.012,.017,.017,.014,.011,.010,.007,.008,.008,.009,.007,.010,.009,.009,.012,.010,.017,10
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.001,.001,.002,.002,.002,.002,.004,.002,.004,23
,DOWNTOWN SES,.006,.006,.005,.007,.008,.013,.013,.009,.005,.004,.003,.003,.002,.002,.002,.003,.002,.006,.003,.002,.002,.002,.003,.002,.005,.013,05
,EL CAJON LES,.006,.006,C,C,C,.005,.004,.005,.006,.006,.003,.003,.003,.002,.002,.002,.003,.003,.003,.002,.002,.002,.002,.002,.003,.006,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.008,C,C,.012,.016,.012,.007,.005,.005,.006,.004,.003,.002,.002,.002,.002,.003,.003,.004,.005,.005,.008,.005,.006,.016,05
,OTAY MESA DVN,.011,.014,C,C,.012,.013,.015,.022,.017,.019,M,.006,.003,.003,.002,.001,.001,.002,.004,.003,.004,.005,.008,.009,.008,.022,07
,PENDLETON,.007,.006,C,C,.007,.009,.008,.005,.006,.003,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.002,.003,.008,.007,.004,.009,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,CARMEL MT RCH,.005,.001,C,C,.001,.001,.003,.003,.013,.010,.012,.013,.010,.011,.012,.010,.009,.010,.010,.006,.008,.006,.006,.004,.007,.013,08
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,17
,DOWNTOWN SES,.000,.000,.000,.000,.000,.001,.003,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,06
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.002,.002,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.003,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.005,.004,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,05
,OTAY MESA DVN,.001,.002,C,C,.002,.002,.009,.018,.010,.008,M,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.018,07
,PENDLETON,.000,.000,C,C,.001,.002,.002,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.001,.002,05
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.2,.2,.2,.3,.2,.4,.4,.4,.5,.4,.3,.4,.5,.4,.4,.4,.4,.4,.4,.3,.5,13
10 INTMP °C,ALPINE,26,26,26,26,27,26,26,25,24,23,24,24,24,23,23,24,24,24,24,24,25,25,24,25,25,27,04
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,26,25,26,00
,CHULA VISTA,24,23,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,00
,DOWNTOWN SES,25,25,25,25,25,25,25,25,24,24,24,23,23,23,23,23,24,24,24,25,25,25,25,25,24,25,00
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,26,27,27,27,27,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,25,25,25,25,24,25,25,25,25,25,25,25,25,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,5.7,3.6,2.9,1.7,2.1,4.7,2.8,-.3,-.3,3.7,6.2,7.7,9.6,6.0,1.5,2.1,5.5,5.0,6.1,6.2,8.6,5.7,1.2,4.4,4.2,9.6,12
,DOWNTOWN SES,7.1,8.0,9.4,10.0,9.0,11.6,19.1,18.7,6.4,8.9,11.4,7.7,7.2,4.8,4.4,3.9,5.5,7.2,7.4,6.0,3.9,5.1,6.6,5.0,8.0,19.1,06
,EL CAJON LES,5.1,6.5,5.9,10.9,10.2,10.7,10.0,15.5,15.4,8.9,14.2,11.3,M,M,M,4.5,3.3,4.8,7.5,6.6,5.0,8.5,8.9,6.0,8.5,15.5,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,20.1,15.5,13.6,35.9,17.4,18.8,26.2,42.3,26.5,23.2,16.6,14.8,10.7,9.2,5.7,4.9,8.5,6.8,12.0,7.6,7.3,7.7,9.6,17.3,15.7,42.3,07
