Current Date:,9/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,25,26,00
,CHULA VISTA,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,25,03
,DOWNTOWN SES,25,24,24,24,24,24,25,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,00
,EL CAJON LES,25,25,25,25,25,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,24,24,24,23,24,23,23,23,25,25,26,26,26,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,25,25,18,-10,24,24,24,25,25,25,25,25,25,25,25,25,23,26,00
11 PM2.5 µg/M3,ALPINE,4.6,7.4,6.7,7.0,5.0,6.6,6.8,5.5,7.0,4.5,5.9,9.5,7.0,8.3,9.3,9.1,9.7,8.7,8.5,6.9,11.8,13.1,8.2,9.7,7.7,13.1,21
,DOWNTOWN SES,12.3,9.4,7.0,10.1,9.3,8.1,15.2,12.0,9.1,9.6,M,M,9.8,9.1,8.3,7.2,6.2,6.6,5.4,9.0,6.9,7.5,9.2,8.8,8.9,15.2,06
,EL CAJON LES,12.7,10.9,13.9,11.9,16.5,18.2,15.1,14.3,12.4,12.7,16.7,13.8,11.7,9.8,8.7,9.1,9.1,10.9,8.1,4.5,6.3,6.9,5.4,5.0,11.0,18.2,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,16.7,22.4,12.6,17.6,23.0,12.5,14.8,17.0,10.6,15.3,14.3,M,19.3,16.8,14.3,10.5,7.8,10.5,6.6,9.1,7.2,10.8,16.3,8.6,13.6,23.0,04
,PENDLETON,6.9,10.7,10.3,10.9,14.4,10.7,11.0,13.5,10.2,8.8,M,8.3,11.6,8.8,9.2,6.3,7.5,8.0,8.1,9.8,11.1,13.0,9.6,10.1,9.9,14.4,04
12 VWDR °,ALPINE,223,138,76,102,345,322,289,280,256,261,230,253,256,267,291,283,261,288,323,233,193,78,106,26,224,345,04
,CHULA VISTA,143,186,207,187,162,185,201,169,197,237,272,249,260,256,265,260,267,270,277,302,318,319,21,51,219,319,21
,DOWNTOWN SES,111,154,194,186,168,149,124,117,78,177,225,220,241,267,276,289,279,289,319,317,322,321,342,6,215,342,22
,EL CAJON LES,177,157,178,169,129,122,100,100,66,272,294,257,236,256,254,272,274,313,311,288,304,301,295,74,217,313,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,91,127,129,133,147,138,126,107,125,131,182,258,257,269,282,295,296,291,299,312,319,319,326,57,209,326,22
