Current Date:,9/25/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/24/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.049,C,C,.045,.043,.040,.044,.050,.050,.054,.056,.056,.051,.050,.063,.064,.064,.058,.057,.056,.056,.057,.055,.053,.064,16
,CHULA VISTA,.007,.011,C,C,.011,.011,.006,.015,.026,.034,<,.048,M,.053,.057,.069,.049,.038,.037,.038,.037,.031,.024,.014,.030,.069,15
,DOWNTOWN SES,.008,.009,C,C,.010,.003,.005,M,.026,M,M,M,M,.050,.059,.061,.045,.037,.034,.033,.035,.030,.027,.025,.029,.061,15
,EL CAJON LES,.019,.015,C,C,C,.009,.012,.015,.024,.039,.049,.056,.060,.062,.062,.061,.070,.070,.050,.032,.027,.023,.024,.027,.038,.070,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.004,C,C,.003,.001,.009,.024,.036,.040,.043,M,M,M,.059,.071,.068,.049,.034,.031,.015,.012,.009,.008,.027,.071,15
,OTAY MESA DVN,.019,.022,C,C,.024,.007,.008,.020,M,M,.045,.047,.055,.054,.052,.056,.061,.043,.035,.028,.027,.025,.016,.017,.033,.061,16
,PENDLETON,.018,.017,C,C,.016,.008,.012,.014,.027,.033,.042,.049,.048,.057,.048,.040,.038,.039,.041,.038,.033,.020,.021,.016,.030,.057,13
02 NOX PPM,ALPINE,.002,.001,C,C,.003,.005,.007,.005,.002,.005,.001,.001,.001,.001,.002,.002,.004,.005,.006,.006,.005,.004,.002,.001,.003,.007,06
,CARMEL MT RCH,.015,.035,C,C,.064,.029,.018,.047,.053,.037,.027,.027,.027,.024,.024,.019,.021,.024,.022,.020,.013,.013,.021,.024,.027,.064,04
,CHULA VISTA,.015,.012,C,C,.010,.012,.031,.019,.013,.012,<,M,M,.005,.007,.008,.005,.004,.003,.003,.004,.005,.007,.012,.010,.031,06
,DOWNTOWN SES,.018,.015,C,C,.016,.033,.047,M,.022,M,M,M,M,.010,.010,.012,.009,.008,.011,.011,.008,.010,.009,.012,.015,.047,06
,EL CAJON LES,.004,.005,C,C,C,.014,.015,.026,.021,.013,.009,.006,.004,.005,.005,.007,.006,.004,.010,.009,.008,.008,.008,.006,.009,.026,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.017,C,C,.026,.037,.024,.017,.010,.007,.006,M,M,M,.007,.006,.004,.005,.007,.006,.018,.019,.021,.022,.014,.037,05
,OTAY MESA DVN,.011,.008,C,C,.007,.026,.036,.019,M,M,.007,.011,.008,.006,.005,.006,.007,.006,.005,.006,.005,.007,.019,.016,.011,.036,06
,PENDLETON,.006,.005,C,C,.007,.015,.011,.014,.012,.007,.004,.004,.012,.007,.006,.004,.001,.001,.001,.001,.002,.012,.009,.013,.007,.015,05
03 NO2 PPM,ALPINE,.002,.002,C,C,.003,.004,.005,.004,.002,.003,.001,.000,.001,.001,.002,.002,.004,.005,.006,.006,.005,.005,.002,.001,.003,.006,18
,CARMEL MT RCH,.012,.021,C,C,.023,.018,.012,.022,.026,.019,.015,.017,.017,.015,.017,.014,.017,.021,.017,.016,.012,.012,.018,.022,.017,.026,08
,CHULA VISTA,.015,.011,C,C,.009,.011,.016,.011,.009,.009,<,M,M,.004,.006,.008,.005,.004,.003,.003,.004,.005,.007,.012,.008,.016,06
,DOWNTOWN SES,.017,.014,C,C,.015,.021,.021,M,.015,M,M,M,M,.008,.009,.010,.008,.008,.011,.011,.008,.010,.009,.011,.012,.021,05
,EL CAJON LES,.004,.005,C,C,C,.012,.012,.016,.014,.009,.008,.005,.004,.004,.004,.006,.005,.004,.009,.009,.008,.007,.008,.006,.008,.016,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.016,C,C,.019,.021,.015,.012,.008,.006,.005,M,M,M,.006,.006,.004,.005,.007,.006,.017,.019,.020,.022,.012,.022,23
,OTAY MESA DVN,.009,.008,C,C,.006,.018,.023,.012,M,M,.005,.008,.006,.005,.004,.005,.006,.005,.004,.005,.004,.006,.018,.015,.009,.023,06
,PENDLETON,.006,.005,C,C,.007,.011,.008,.008,.006,.004,.003,.003,.009,.005,.004,.002,.001,.001,.001,.001,.002,.011,.009,.011,.005,.011,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.002,.002,.001,.000,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,05
,CARMEL MT RCH,.003,.015,C,C,.041,.011,.006,.025,.027,.018,.012,.010,.010,.009,.008,.005,.004,.004,.005,.004,.001,.001,.003,.002,.010,.041,04
,CHULA VISTA,.001,.000,C,C,.001,.001,.014,.007,.004,.003,<,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.014,06
,DOWNTOWN SES,.001,.001,C,C,.001,.012,.025,M,.008,M,M,M,M,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.003,.025,06
,EL CAJON LES,.000,.000,C,C,C,.001,.003,.011,.008,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.011,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.002,C,C,.006,.016,.008,.005,.002,.001,.001,M,M,M,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.002,.016,05
,OTAY MESA DVN,.002,.001,C,C,.001,.008,.014,.006,M,M,.002,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.014,06
,PENDLETON,.000,.000,C,C,.001,.004,.003,.006,.006,.003,.001,.001,.003,.001,.002,.002,.000,.000,.000,.000,.000,.001,.000,.002,.002,.006,07
06 CO PPM,CARMEL MT RCH,.3,.5,C,C,C,.5,.3,.7,.7,.5,.5,.5,.5,.6,.5,.5,.6,.7,.5,.5,.3,.4,.6,.6,.5,.7,07
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,CHULA VISTA,24,24,24,24,24,23,23,24,24,24,23,24,23,23,23,23,24,24,23,24,24,24,24,24,24,24,00
