Current Date:,9/4/2019,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
9/3/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.028,.031,,.036,.039,.045,.048,.05,.051,.051,.049,.046,.041,.036,.032,.028,.026,.024,.024,.023,.023,.027,.031,.035,0.035,0.051,08
,CHULA VISTA,.006,.006,.008,.012,.015,.019,.023,.027,.03,.032,.033,.032,.029,.028,.026,.025,.022,.021,.019,.018,.017,.014,.011,.008,0.02,0.033,10
,DOWNTOWN SES,.008,.009,.012,.016,.016,.02,.024,.027,.029,.031,.032,.029,.028,.027,.025,.024,.023,.022,.02,.019,.018,.018,.016,.014,0.021,0.032,10
,EL CAJON LES,,,,.02,.025,.028,.034,.038,.041,.042,.041,.038,.034,.03,.026,.022,.019,.017,.015,.014,.012,,,,0.027,0.042,09
,KEARNY MESA,.011,,,,.019,.024,.029,.033,.034,.033,.033,.032,.03,.028,.026,.025,.024,.023,.02,.018,.017,.015,.012,.01,0.023,0.034,08
,OTAY MESA DVN,.007,.007,.011,.014,.018,.024,.029,.032,.034,.036,.035,.033,.031,.027,.023,.02,.018,.016,.014,.013,.011,.009,.007,.007,0.019,0.036,09
,PENDLETON,.01,.011,.013,.016,.016,.017,.023,.028,.03,.033,.035,.035,.035,.034,.032,.03,.029,.026,.024,.022,.021,.018,.014,.012,0.023,0.035,10
