Current Date:,9/6/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/5/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.034,C,C,.038,.039,.034,.041,.050,.059,.070,.088,.066,.042,.039,.033,.026,.021,.016,.013,.010,.009,.011,.011,.035,.088,11
,CHULA VISTA,.014,.012,C,C,.003,.002,.005,.011,.021,.029,.032,.033,.035,.034,.033,.033,.032,.034,.030,.028,.023,.018,.024,.026,.023,.035,12
,DOWNTOWN SES,.022,.021,C,C,.010,.005,.006,.009,.014,M,.036,.035,.035,.034,.033,.029,.033,.030,.032,.027,.025,.022,.028,.023,.024,.036,10
,EL CAJON LES,.009,.005,C,C,C,.003,.006,.013,.026,.053,M,M,.072,.070,.057,.042,.035,.029,.025,.025,.026,.024,.021,.019,.029,.072,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.003,C,C,.002,.001,.004,.015,.023,.031,.043,.048,.044,.041,.039,.034,.032,.029,.029,.026,.019,.017,.014,.009,.023,.048,11
,OTAY MESA DVN,.003,.003,C,C,.002,.002,.005,.009,M,M,M,M,.053,.047,.042,.036,.034,.031,.029,.022,.020,.021,.019,.015,.021,.053,12
,PENDLETON,.014,.018,C,C,.003,.005,.007,.008,.022,.023,.028,.030,.030,.028,.032,.033,.037,.035,.032,.029,.026,.024,.019,.024,.023,.037,16
02 NOX PPM,ALPINE,.007,.006,C,C,.006,.007,.011,.008,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.008,.011,06
,CARMEL MT RCH,.019,.024,C,C,.043,.023,.039,.026,.022,.045,.040,.034,.032,.037,.029,.023,.029,.023,.020,.020,.019,.015,.014,.021,.027,.045,09
,CHULA VISTA,.004,.006,C,C,.012,.017,.025,.024,.014,.005,.003,.002,.004,.002,.002,.003,.003,.002,.002,.002,.005,.008,.003,.002,.007,.025,06
,DOWNTOWN SES,.007,.006,C,C,.014,.019,.027,.039,.026,M,.006,.005,.005,.004,.005,.010,.005,.006,.003,.006,.006,.008,.003,.007,.010,.039,07
,EL CAJON LES,.020,.019,C,C,C,.022,.024,.023,.022,.016,M,M,.006,.006,.006,.007,.008,.008,.009,.007,.006,.005,.007,.006,.012,.024,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
