Current Date:,9/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,KEARNY MESA,.000,.001,C,C,.000,.000,.001,.002,.003,P,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,OTAY MESA DVN,.001,.001,C,C,.002,.001,.008,.024,.013,.005,.003,.002,.002,.002,.002,.002,.002,.001,.002,.001,.001,.001,.001,.001,.004,.024,07
,PENDLETON,.000,.000,C,C,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.001,04
06 CO PPM,CARMEL MT RCH,.5,.5,C,C,C,.2,.3,.6,.6,.5,.4,C,M,.5,.5,.4,.5,.4,.4,.4,.4,.4,.3,.2,.4,.6,07
10 INTMP °C,ALPINE,24,24,24,24,24,25,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,24,25,05
,CARMEL MT RCH,25,25,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,CHULA VISTA,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,23,24,23,24,24,24,24,24,24,00
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,00
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,25,25,24,24,24,24,24,P,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,02
,OTAY MESA DVN,26,27,27,27,27,27,27,27,26,26,26,24,24,24,24,24,24,26,27,28,28,28,28,29,26,29,23
,PENDLETON,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,25,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,3.0,3.1,1.2,3.6,5.4,3.1,.7,-.2,3.3,8.6,14.5,13.4,9.8,11.4,10.2,11.0,10.9,8.9,11.0,9.0,7.3,9.1,6.5,5.4,7.0,14.5,10
,DOWNTOWN SES,10.1,8.6,8.2,6.5,10.2,12.7,17.4,15.1,10.1,9.7,8.6,8.2,7.8,10.6,8.6,8.6,9.0,10.3,11.5,9.5,7.9,4.7,9.7,6.9,9.6,17.4,06
,EL CAJON LES,14.5,14.6,15.4,11.8,14.5,15.2,14.1,17.8,15.5,19.7,12.7,13.3,13.1,10.4,11.2,10.6,12.6,12.7,12.8,9.1,9.4,7.7,6.1,6.7,12.5,19.7,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,22.7,28.8,20.0,12.6,16.5,17.6,30.7,41.1,30.4,27.0,14.3,14.1,13.1,14.5,16.6,10.8,11.7,9.5,16.3,11.4,8.4,6.8,5.7,8.0,17.0,41.1,07
,PENDLETON,11.6,8.5,10.1,10.3,9.3,18.0,10.3,16.1,16.2,13.2,13.7,10.2,9.0,7.6,11.7,14.7,13.1,11.9,12.1,8.0,10.1,10.7,8.0,11.1,11.4,18.0,05
12 VWDR °,ALPINE,61,92,6,356,79,83,104,145,286,278,298,295,278,269,266,239,251,241,276,329,24,147,198,328,205,356,03
,CHULA VISTA,181,256,234,20,73,90,91,244,242,243,234,241,246,243,245,230,222,196,230,269,230,146,196,173,199,269,19
,DOWNTOWN SES,177,191,190,198,183,160,165,211,197,196,200,211,197,194,194,194,191,185,194,199,200,183,200,178,191,211,07
,EL CAJON LES,126,230,146,122,85,140,128,247,276,266,262,279,258,238,225,239,234,236,280,326,299,240,250,244,224,326,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,109,161,171,155,160,161,162,184,224,P,203,214,221,199,194,208,191,190,209,204,193,175,194,176,185,224,08
,OTAY MESA DVN,347,12,356,352,342,272,160,169,311,316,323,297,270,247,238,227,210,195,164,339,316,334,224,96,255,356,02
,PENDLETON,60,68,81,84,94,104,145,159,188,163,170,191,213,216,189,191,192,184,180,168,137,87,130,127,147,216,13
13 SIGTHETA °,ALPINE,64,34,63,37,14,18,40,37,20,33,32,30,27,34,32,35,27,28,29,31,46,33,48,41,35,64,00
,CHULA VISTA,27,32,42,23,24,27,36,27,29,21,20,20,22,22,20,21,22,21,23,23,21,41,44,38,27,44,22
,DOWNTOWN SES,20,16,16,20,19,19,21,23,20,21,22,26,19,20,18,18,18,16,19,22,21,20,20,15,20,26,11
,EL CAJON LES,44,26,48,21,51,27,49,62,34,23,21,31,25,24,24,20,21,27,23,18,20,23,24,33,30,62,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,15,17,26,16,20,19,19,33,25,20,21,24,22,24,24,17,14,13,15,17,38,20,16,15,20,38,20
,OTAY MESA DVN,38,31,11,10,25,45,25,51,25,26,24,25,26,33,30,19,17,13,21,11,13,18,18,34,25,51,07
,PENDLETON,18,14,12,12,15,15,19,17,22,16,18,22,22,17,19,19,18,16,14,14,21,13,32,53,19,53,23
