Current Date:,6/21/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,.000,C,C,.000,.000,.000,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,PENDLETON,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
06 CO PPM,CARMEL MT RCH,.3,C,C,.2,.3,.4,.4,.4,.4,.4,.4,.5,.5,.5,.5,.5,.5,.5,.5,.4,.4,,,,.4,.5,11
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,26,25,26,23
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,25,26,26,,,,26,26,00
,CHULA VISTA,24,25,25,24,25,24,24,25,24,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,01
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,23,23,22,23,22,22,22,22,22,22,23,23,23,23,23,23,23,00
,EL CAJON LES,24,25,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,24,24,24,24,24,24,24,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,PENDLETON,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,10.7,10.3,9.0,7.2,8.6,8.7,6.5,6.7,7.8,8.1,7.0,9.6,12.8,11.0,7.2,9.0,9.1,9.1,7.7,6.4,11.8,16.1,10.0,10.4,9.2,16.1,21
,DOWNTOWN SES,4.6,4.8,8.8,7.6,7.5,5.6,10.1,12.4,6.5,1.6,7.0,8.4,6.6,7.2,7.0,5.9,6.0,9.7,9.4,9.2,10.0,6.7,12.4,10.6,7.7,12.4,07
,EL CAJON LES,6.7,8.7,15.4,9.0,10.0,8.1,10.2,9.7,12.3,12.3,11.8,12.0,9.9,7.0,9.5,8.1,5.6,7.9,10.0,12.7,11.2,10.9,9.3,13.3,10.0,15.4,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,12.7,10.7,11.1,11.1,11.0,12.6,14.3,15.0,22.1,15.2,14.3,11.4,11.3,12.6,9.9,9.4,9.7,6.5,31.8,35.8,15.6,12.2,14.2,13.1,14.3,35.8,19
