Current Date:,6/11/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/10/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.027,.031,C,C,.041,.037,.038,.039,.046,.049,.052,.055,.061,.061,.056,.054,.054,.055,.056,.053,.049,.035,.040,.045,.047,.061,12
,CHULA VISTA,.022,.023,C,C,.014,.011,.026,.035,.038,.038,.043,.048,.046,.044,.042,.048,.047,.050,.046,.037,.036,.025,.012,.005,.033,.050,17
,DOWNTOWN SES,.032,.027,C,C,.009,.010,.022,.030,.029,.037,.045,.045,.043,.044,.044,.053,.051,.052,.044,.039,.034,.032,.031,.031,.035,.053,15
,EL CAJON LES,.025,.022,C,C,C,.017,.024,M,.035,.044,.050,.054,.055,.040,.051,.051,.053,.055,.055,.051,.047,.040,.033,.029,.041,.055,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.019,C,C,.011,.011,.030,.035,.035,.039,.046,.049,.048,.048,.045,.051,.054,.055,.046,.035,.033,.024,.017,.017,.034,.055,17
,OTAY MESA DVN,.023,.026,C,C,.015,.015,.018,.025,.032,.044,.045,.046,.051,.049,.046,.046,.049,.045,.046,.041,.035,.033,.037,.028,.036,.051,12
,PENDLETON,.025,.024,C,C,.019,.015,.021,.031,.032,.036,.035,.038,.039,.043,.044,.044,.047,.047,.044,.043,.043,.037,.015,.026,.034,.047,16
02 NOX PPM,ALPINE,.005,.003,C,C,.002,.005,.005,.006,.003,.002,.001,.002,.002,.002,.002,.002,.002,.002,.002,.003,.005,.013,.007,.004,.004,.013,21
,CARMEL MT RCH,.016,.016,C,C,.026,.018,.035,.016,.038,M,M,M,.018,.017,.019,.017,.014,.015,.017,.018,.020,.027,.038,.032,.022,.038,08
,CHULA VISTA,.009,.006,C,C,.009,.017,.008,.003,.004,.007,.005,.003,.003,.002,.002,.003,.003,.004,.006,.007,.006,.013,.023,.030,.008,.030,23
,DOWNTOWN SES,.003,.005,C,C,.019,.027,.017,.010,.018,.011,.005,.006,.003,.004,.004,.004,.004,.004,.003,.005,.008,.009,.010,.008,.009,.027,05
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.007,C,C,.016,.019,.007,.005,.010,.010,.004,.003,.002,.002,.003,.003,.003,.003,.004,.006,.007,.014,.018,.018,.008,.019,05
,OTAY MESA DVN,.002,.002,C,C,.007,.009,.012,.012,.011,.004,.004,.006,.004,.003,.003,.003,.003,.003,.004,.006,.006,.008,.004,.009,.006,.012,06
,PENDLETON,.006,.003,C,C,.005,.009,.008,.006,.012,.008,.010,.004,.003,.002,.003,.003,.001,.001,.000,.000,.000,.004,.028,.010,.006,.028,22
03 NO2 PPM,ALPINE,.004,.002,C,C,.001,.004,.003,.004,.002,.002,.001,.001,.002,.002,.002,.001,.001,.002,.002,.003,.005,.012,.007,.004,.003,.012,21
,CARMEL MT RCH,.013,.014,C,C,.017,.011,.016,.008,.018,M,M,M,.009,.008,.009,.009,.008,.009,.011,.013,.014,.021,.033,.029,.014,.033,22
,CHULA VISTA,.009,.006,C,C,.009,.013,.006,.003,.003,.005,.004,.003,.002,.002,.002,.003,.002,.004,.006,.007,.006,.013,.023,.028,.007,.028,23
,DOWNTOWN SES,.003,.005,C,C,.017,.018,.011,.007,.012,.008,.004,.005,.003,.003,.003,.003,.003,.003,.003,.005,.008,.009,.010,.008,.007,.018,05
,EL CAJON LES,.005,.003,C,C,C,.004,.003,M,.004,.003,.003,.003,.002,.002,.002,.002,.002,.002,.003,.003,.004,.006,.008,.007,.004,.008,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.007,C,C,.015,.014,.005,.004,.007,.007,.004,.003,.002,.002,.002,.003,.003,.003,.003,.006,.007,.014,.018,.018,.007,.018,22
,OTAY MESA DVN,.002,.002,C,C,.006,.006,.007,.008,.008,.003,.003,.005,.003,.002,.002,.002,.002,.002,.004,.006,.005,.007,.004,.009,.004,.009,23
,PENDLETON,.006,.003,C,C,.005,.007,.005,.004,.006,.005,.006,.003,.002,.001,.002,.002,.001,.001,.000,.000,.000,.004,.025,.010,.004,.025,22
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,CARMEL MT RCH,.003,.003,C,C,.009,.006,.019,.008,.020,M,M,M,.009,.010,.010,.008,.006,.005,.006,.005,.006,.006,.005,.004,.008,.020,08
,CHULA VISTA,.000,.000,C,C,.000,.004,.002,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.001,.004,05
,DOWNTOWN SES,.000,.000,C,C,.002,.009,.006,.003,.006,.003,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.009,05
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.005,.002,.001,.003,.003,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,05
,OTAY MESA DVN,.000,.000,C,C,.001,.002,.005,.003,.003,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.005,06
,PENDLETON,.000,.000,C,C,.000,.002,.003,.002,.006,.003,.004,.001,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.004,.000,.001,.006,08
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.6,.5,.3,.4,M,C,C,M,M,.4,.4,.4,.5,.5,.5,.6,.6,.7,.7,.5,.7,22
10 INTMP °C,ALPINE,27,27,27,28,27,28,26,25,24,24,24,24,24,24,24,24,24,24,24,25,25,26,27,26,25,28,03
,CARMEL MT RCH,26,26,27,27,27,26,26,26,26,26,26,25,26,25,25,25,25,26,26,26,26,26,26,26,26,27,02
,CHULA VISTA,25,24,25,25,24,24,25,25,25,25,25,25,24,25,25,25,25,25,25,24,25,25,25,25,25,25,00
,DOWNTOWN SES,23,23,24,24,24,24,24,24,23,23,23,22,23,23,23,23,23,23,23,23,23,23,24,23,23,24,02
,EL CAJON LES,24,25,25,25,24,25,25,25,24,24,24,24,23,24,23,23,23,23,24,24,24,24,24,24,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,25,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,00
,OTAY MESA DVN,25,26,26,26,26,26,26,26,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,26,01
,PENDLETON,25,25,25,25,25,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,24,25,00
