Current Date:,6/3/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/2/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.057,.059,C,C,.053,.054,.053,.040,.034,.039,.048,.061,.070,.076,.073,.069,.065,.053,.042,.036,.033,.029,.028,.025,.049,.076,13
,CHULA VISTA,.017,.016,C,C,.025,.023,.025,.027,M,.044,.047,.051,.052,.049,.047,.045,.044,.042,.041,.041,.042,.042,.043,.038,.038,.052,12
,DOWNTOWN SES,.032,.033,C,C,.030,.031,.031,.033,.034,M,M,M,.050,.048,.046,.044,.039,.041,.041,.040,.041,.042,.044,.044,.039,.050,12
,EL CAJON LES,C,C,C,C,C,.017,.019,.024,.029,.034,.040,.052,.065,.063,.058,.050,.044,.041,.039,.037,.037,.037,.036,.036,.039,.065,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,C,C,C,.046,.040,P,.041,.039,.037,.035,.035,.035,.038,.046,15
,OTAY MESA DVN,.020,.020,C,C,.012,.014,.015,.016,.024,.035,.041,.050,.055,.054,.052,.045,.043,.041,.039,.038,.037,.034,.032,.031,.034,.055,12
,PENDLETON,.036,.035,C,C,.030,.027,.028,.032,.039,.039,.043,.045,.044,.044,.044,.045,.041,.043,.044,.041,.040,.040,.040,.039,.039,.045,11
02 NOX PPM,ALPINE,.003,.002,C,C,.006,.005,.004,.012,.011,.011,.009,.007,.007,.006,.005,.005,.005,.006,.007,.007,.006,.007,.006,.004,.006,.012,07
,CARMEL MT RCH,.010,.008,C,C,.020,.032,.038,.030,.027,.023,.028,.019,.023,.021,.023,.023,.017,.020,.017,.016,.014,.010,.007,.005,.020,.038,06
,CHULA VISTA,.014,.014,C,C,.006,.008,.009,.009,M,.003,.005,.004,.003,.002,.002,.002,.002,.001,.001,.001,.001,.002,.002,.004,.005,.014,00
,DOWNTOWN SES,.005,.004,C,C,.005,.006,.008,.008,.010,.008,.007,M,.005,.005,.003,.003,.005,.001,.001,.002,.002,.002,.001,.002,.004,.010,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,C,C,C,.005,.004,P,.002,.003,.003,.004,.004,.004,.004,.005,15
,OTAY MESA DVN,.006,.006,C,C,.007,.006,.011,.015,.015,.009,.008,.006,.005,.004,.004,.003,.003,.003,.002,.002,.002,.003,.004,.004,.006,.015,07
,PENDLETON,.003,.002,C,C,.004,.006,.009,.008,.005,.010,.004,.004,.008,.010,.009,.001,.000,.001,.001,.000,.000,.000,.000,.001,.004,.010,09
03 NO2 PPM,ALPINE,.002,.002,C,C,.005,.004,.004,.009,.008,.008,.007,.006,.006,.005,.004,.004,.005,.005,.006,.006,.006,.007,.006,.004,.005,.009,07
,CARMEL MT RCH,.007,.006,C,C,.011,.015,.017,.014,.013,.012,.015,.010,.013,.012,.013,.013,.010,.012,.010,.010,.010,.007,.006,.005,.011,.017,06
,CHULA VISTA,.014,.014,C,C,.005,.007,.008,.008,M,.003,.004,.004,.002,.002,.002,.001,.002,.001,.001,.001,.001,.002,.002,.004,.004,.014,00
,DOWNTOWN SES,.006,.004,C,C,.005,.005,.008,.008,.009,.007,.006,M,.004,.004,.003,.003,.004,.001,.001,.002,.002,.003,.002,.002,.004,.009,08
,EL CAJON LES,C,C,C,C,C,.007,.009,.007,.007,.007,.009,.008,.004,.004,.004,.005,.005,.004,.004,.004,.003,.003,.003,.002,.005,.009,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,C,C,C,.004,.004,P,.002,.003,.003,.004,.004,.004,.004,.004,15
,OTAY MESA DVN,.006,.006,C,C,.006,.005,.009,.011,.011,.007,.007,.005,.004,.003,.003,.002,.003,.003,.002,.002,.002,.003,.004,.004,.005,.011,07
,PENDLETON,.003,.002,C,C,.004,.006,.007,.006,.003,.006,.003,.004,.004,.006,.005,.001,.000,.001,.001,.000,.000,.001,.001,.001,.003,.007,06
04 NO PPM,ALPINE,.000,.000,C,C,.001,.000,.001,.003,.003,.003,.002,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,07
,CARMEL MT RCH,.003,.003,C,C,.010,.017,.021,.016,.013,.011,.013,.009,.010,.009,.010,.010,.007,.008,.006,.006,.004,.002,.001,.001,.009,.021,06
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.001,M,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,C,C,C,.001,.001,P,.000,.000,.000,.000,.000,.000,.000,.001,15
,OTAY MESA DVN,.000,.000,C,C,.001,.001,.002,.003,.004,.002,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,08
,PENDLETON,.000,.000,C,C,.000,.001,.002,.002,.002,.004,.001,.001,.004,.005,.004,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,13
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.6,.6,.5,.4,.4,.5,.5,.5,.6,.5,.5,.6,.5,.5,.5,.4,.3,.3,.2,.4,.6,05
10 INTMP °C,ALPINE,25,25,25,26,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,26,26,25,26,03
,CARMEL MT RCH,26,26,26,27,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,03
,CHULA VISTA,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,24,25,25,24,24,25,25,25,25,26,05
,DOWNTOWN SES,24,24,23,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,24,00
,EL CAJON LES,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,25,25,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,25,25,25,25,25,P,25,25,26,26,26,26,25,26,20
,OTAY MESA DVN,26,26,26,26,26,26,26,26,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,8.3,9.7,10.8,12.9,9.7,8.6,9.7,9.3,8.8,12.8,11.9,12.0,10.2,10.1,7.2,5.3,10.8,7.5,4.1,5.5,5.7,4.0,7.0,5.9,8.6,12.9,03
,EL CAJON LES,6.9,5.2,6.7,4.5,3.0,8.8,8.5,19.2,12.6,12.0,14.2,14.0,14.0,8.5,4.0,4.8,6.3,6.4,5.6,6.6,4.8,7.9,19.0,4.3,8.6,19.2,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.7,9.4,8.3,17.6,14.1,8.8,19.7,15.4,20.3,13.9,10.5,12.5,15.3,13.2,14.4,8.6,7.5,7.9,7.8,11.3,9.4,7.1,12.6,11.7,12.0,20.3,08
,PENDLETON,5.3,5.1,7.1,7.6,10.1,8.6,14.8,9.9,10.2,11.6,14.5,18.4,10.7,10.5,8.5,5.3,4.2,4.9,4.2,2.3,4.5,4.6,3.3,5.4,7.9,18.4,11
12 VWDR °,ALPINE,11,4,87,63,313,309,294,268,291,276,290,293,294,284,254,267,306,312,318,321,341,251,316,280,0,341,20
,CHULA VISTA,356,341,2,355,327,302,104,179,219,255,285,267,264,255,252,246,239,234,218,235,238,242,212,192,0,356,00
,DOWNTOWN SES,333,323,337,350,17,11,266,247,252,274,266,274,282,284,268,251,238,220,230,214,226,195,226,194,0,350,03
