Current Date:,6/25/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/24/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.018,.018,C,C,.013,.007,.014,.020,.025,.032,.040,.050,.053,.053,.055,.052,.047,.040,.034,.030,.028,.025,.020,.016,.031,.055,14
,CHULA VISTA,.023,.022,C,C,.019,.020,.023,.034,.033,.030,.033,.034,.033,.029,.028,.025,.027,.026,.024,.021,.022,.022,.019,.015,.025,.034,07
,DOWNTOWN SES,.023,.022,C,C,.021,.021,.022,.025,.026,.027,.030,.032,.033,.031,.029,.027,.028,.027,.023,.024,.026,.024,.026,.027,.026,.033,12
,EL CAJON LES,.021,C,C,C,C,.016,.018,.019,<,.030,.037,.041,.043,.047,.043,.040,.035,.033,.028,.027,.027,.028,.025,.025,.030,.047,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.024,C,C,.019,.018,.022,.025,.025,.028,.031,.035,.039,.034,.032,.030,.030,.029,.026,.028,.028,.025,.023,.023,.027,.039,12
,OTAY MESA DVN,.021,.020,.018,.016,.015,.014,.017,.019,C,C,C,.034,.037,.034,.031,.029,.026,.027,.024,.021,.017,.018,.018,.017,.022,.037,12
,PENDLETON,.021,.015,C,C,.011,.009,.014,.019,.021,.024,.028,.029,.031,.029,.028,.028,.026,.024,.023,.021,.021,.022,.015,.010,.021,.031,12
02 NOX PPM,ALPINE,.005,.005,C,C,.006,.021,.011,.006,.007,.006,.004,.003,.003,.003,.003,.003,.003,.003,.003,.003,.004,.005,.007,.008,.006,.021,05
,CARMEL MT RCH,.010,.004,C,C,.020,.025,.026,.024,.027,.021,.022,.019,.018,.019,.018,.015,.016,.013,.016,.014,.014,.012,.011,.008,.017,.027,08
,CHULA VISTA,.002,.002,C,C,.004,.005,.003,.000,-.001,-.001,-.001,.000,.000,.001,.001,M,M,M,M,M,M,M,M,M,.001,.005,05
,DOWNTOWN SES,.002,.002,C,C,.004,.004,.005,.004,.005,.004,.005,.006,.004,.003,.002,.003,.002,.002,.003,.002,.002,.004,.005,.003,.003,.006,11
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.004,.007,.005,.004,.004,.004,.004,.004,.004,.003,.002,.002,.003,.003,.003,.003,.003,.004,.003,.002,.003,.007,05
,OTAY MESA DVN,.002,.002,.003,.003,.003,.005,.004,.004,C,C,C,.003,.003,.003,.003,.003,.002,.002,.002,.002,.004,.003,.003,.004,.003,.005,05
,PENDLETON,.001,.005,C,C,.008,.014,.010,.008,.007,.006,.005,.003,.002,.004,.001,.001,.001,.002,.003,.001,.001,.001,.007,.008,.005,.014,05
03 NO2 PPM,ALPINE,.005,.004,C,C,.005,.012,.006,.004,.005,.004,.003,.003,.002,.002,.003,.002,.002,.002,.003,.003,.003,.005,.006,.008,.004,.012,05
,CARMEL MT RCH,.005,.003,C,C,.007,.009,.009,.008,.010,.008,.009,.009,.008,.008,.007,.006,.007,.006,.007,.007,.008,.006,.005,.004,.007,.010,08
,CHULA VISTA,.002,.002,C,C,.004,.004,.003,.000,.000,.000,.000,.000,.000,.000,.000,M,M,M,M,M,M,M,M,M,.001,.004,04
,DOWNTOWN SES,.002,.002,C,C,.004,.004,.004,.003,.003,.003,.004,.004,.003,.002,.001,.002,.002,.002,.003,.002,.002,.004,.005,.003,.003,.005,22
,EL CAJON LES,<,C,C,C,C,<,<,<,<,M,M,M,M,M,M,M,.004,.005,.005,.006,.006,.007,.006,.006,.006,.007,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.003,.006,.005,.003,.003,.003,.003,.003,.003,.002,.002,.002,.002,.002,.002,.003,.003,.004,.003,.002,.003,.006,05
,OTAY MESA DVN,.002,.002,.003,.002,.003,.004,.003,.004,C,C,C,.003,.002,.002,.002,.002,.002,.001,.001,.002,.004,.003,.003,.003,.003,.004,05
,PENDLETON,.001,.005,C,C,.007,.009,.007,.004,.004,.004,.003,.002,.002,.002,.001,.001,.001,.001,.002,.001,.001,.001,.006,.008,.003,.009,05
04 NO PPM,ALPINE,.000,.000,C,C,.001,.009,.005,.002,.003,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.009,05
,CARMEL MT RCH,.004,.001,C,C,.013,.016,.017,.015,.017,.013,.012,.010,.009,.010,.011,.009,.009,.007,.008,.007,.007,.006,.005,.004,.010,.017,06
,CHULA VISTA,.000,.000,C,C,.000,.001,.001,.000,.000,.000,.001,.000,.000,.001,.001,M,M,M,M,M,M,M,M,M,.000,.001,05
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.002,.001,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.001,05
,OTAY MESA DVN,.000,.000,.000,.000,.000,.001,.001,.001,C,C,C,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.001,05
,PENDLETON,.000,.000,C,C,.000,.005,.003,.003,.003,.002,.002,.001,.001,.002,.000,.001,.000,.001,.001,.000,.000,.000,.001,.000,.001,.005,05
06 CO PPM,CARMEL MT RCH,.2,.1,C,C,C,.5,.5,.4,.4,.4,.4,.5,.5,.5,.4,.3,.4,.5,.5,.5,.4,.4,.3,.2,.4,.5,05
10 INTMP °C,ALPINE,26,25,26,26,26,26,26,24,24,24,23,24,24,24,24,24,24,24,24,25,25,26,26,26,25,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,25,25,25,24,25,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,25,02
,DOWNTOWN SES,24,24,24,24,24,24,24,23,23,23,23,22,22,22,23,22,23,23,23,23,23,23,23,24,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,23,24,23,23,23,23,23,23,23,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,22
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,PENDLETON,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,5.9,4.6,3.4,5.9,6.9,5.8,5.0,3.2,3.1,5.5,6.0,12.0,8.1,8.0,7.1,5.1,7.6,5.1,4.8,5.9,4.0,3.0,5.7,3.0,5.6,12.0,11
,DOWNTOWN SES,3.2,2.0,.1,1.0,3.2,2.7,2.1,7.4,5.4,2.2,6.4,5.1,5.0,4.3,1.3,-1.2,1.0,2.0,1.4,2.7,3.9,.7,.2,2.3,2.6,7.4,07
,EL CAJON LES,3.0,4.5,3.0,2.6,3.3,5.4,7.6,6.5,4.9,6.6,4.7,7.9,6.5,3.5,3.2,5.5,4.9,6.4,4.2,2.7,3.1,1.8,.3,4.7,4.4,7.9,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
