Current Date:,7/11/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
7/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.02,.019,.021,.022,.024,.026,.028,.031,.033,.036,.037,.038,.037,.035,.033,.03,.026,.023,.021,.019,.017,.019,.021,.025,0.026,0.038,11
,CHULA VISTA,.014,.014,.014,.014,.015,.014,.015,.017,.018,.02,.021,.021,.022,.022,.021,.02,.02,.019,.017,.017,.016,.014,.011,.01,0.016,0.022,12
,EL CAJON LES,,,,.013,.014,.017,.02,.023,.026,.028,.029,.03,.029,.028,.026,.023,.021,.018,.017,.016,.015,,,,0.021,0.03,11
,KEARNY MESA,.009,.009,.009,.01,.012,.016,.019,.021,.024,.026,.026,.026,.025,.024,.023,.021,.019,.017,.015,.015,.014,.011,.008,.008,0.016,0.026,09
,OTAY MESA DVN,.008,.009,.01,.01,.012,.014,.017,.02,.024,.026,.027,.028,.028,.027,.024,.022,.019,.017,.015,.014,.013,.011,.009,.009,0.017,0.028,11
,PENDLETON,.015,.015,.016,.016,.017,.019,.021,.022,.023,.023,.024,.024,.024,.023,.023,.023,.023,.022,.02,.019,.019,.017,.014,.012,0.019,0.024,10
