Current Date:,7/4/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
7/3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.020,.021,C,C,.026,.027,.030,.034,M,M,.052,.060,.068,.069,.069,.069,.065,.057,.044,.034,.029,.026,.022,.019,.042,.069,13
,CHULA VISTA,.034,.035,C,C,.037,.035,.035,.036,.038,.040,.040,.042,.040,.042,.041,.039,.038,.035,.032,.030,.030,.029,.028,.027,.035,.042,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.031,.032,C,C,C,.029,.028,.032,.039,.046,,M,M,.056,.057,.054,.048,.037,.033,.030,.030,.029,.028,.026,.036,.057,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.038,.037,C,C,.035,.034,.035,.036,.040,.043,.045,.043,.043,M,M,.038,.037,.032,.031,.029,.027,.026,.024,.024,.034,.045,10
,OTAY MESA DVN,.032,.030,C,C,.034,.033,.034,.033,.036,.039,.048,.050,.052,.049,.049,.046,.046,.040,.035,.032,.030,.027,.026,.024,.037,.052,12
,PENDLETON,.037,.039,C,C,.037,.038,.040,.041,.041,.041,.041,.041,.041,.038,.039,.039,.038,.035,.033,.033,.033,.033,.034,.033,.037,.041,07
02 NOX PPM,ALPINE,.006,.004,C,C,.003,.003,.004,.004,M,M,.003,.003,.004,.004,.004,.004,.004,.005,.006,.006,.007,.006,.006,.008,.005,.008,23
,CARMEL MT RCH,.007,.005,C,C,C,.031,.004,.009,.015,M,.029,.030,.030,.028,.025,.022,.017,.019,.015,.017,.018,.016,.013,.013,.018,.031,05
,CHULA VISTA,.001,.001,C,C,.002,.003,.003,.003,.003,.003,.003,.003,.002,.002,.003,.005,.003,.003,.002,.002,.001,.001,.001,.002,.002,.005,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.001,.005,.002,.003,M,M,.003,.004,.003,.004,.004,.004,.004,.003,.002,.002,.002,.003,.005,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.004,.005,.004,.005,.005,.005,.004,.005,.004,M,M,.004,.003,.007,.006,.002,.003,.003,.003,.003,.004,.007,17
,OTAY MESA DVN,.001,.001,C,C,.001,.003,.003,.004,.004,.013,.005,.003,.002,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.003,.013,09
,PENDLETON,.001,.001,C,C,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.001,00
03 NO2 PPM,ALPINE,.006,.004,C,C,.003,.003,.003,.003,M,M,.003,.003,.004,.004,.004,.004,.004,.005,.006,.006,.007,.006,.006,.008,.005,.008,23
,CARMEL MT RCH,.005,.004,C,C,C,.017,.004,.006,.009,M,.015,.017,.017,.016,.014,.012,.008,.010,.009,.009,.010,.009,.008,.008,.010,.017,05
,CHULA VISTA,.001,.001,C,C,.002,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.004,.002,.002,.002,.002,.001,.001,.002,.002,.002,.004,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.000,C,C,C,.001,.001,.001,.003,.001,.002,M,M,.002,.003,.002,.003,.003,.004,.003,.002,.002,.002,.002,.002,.004,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.004,.005,.004,.004,.004,.004,.003,.003,.003,M,M,.003,.002,.006,.005,.002,.003,.003,.003,.003,.003,.006,17
,OTAY MESA DVN,.001,.001,C,C,.001,.003,.003,.003,.003,.010,.004,.002,.002,.002,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.002,.010,09
,PENDLETON,.001,.001,C,C,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.001,00
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.002,.001,C,C,C,.014,.001,.003,.006,M,.013,.013,.013,.012,.011,.010,.008,.010,.007,.007,.008,.007,.005,.005,.008,.014,05
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.002,.001,.001,M,M,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.002,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,M,M,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,07
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.001,.001,.004,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,09
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
06 CO PPM,CARMEL MT RCH,.2,.1,C,C,C,.5,.2,.2,.3,M,.4,.4,.4,.5,.4,.3,.4,.5,.4,.4,.4,.4,.3,.3,.4,.5,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,26,26,25,26,25,26,24,24,24,23,23,23,23,24,24,24,24,24,24,24,25,25,26,24,26,01
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,26,26,26,26,26,26,26,26,26,26,25,1,M,25,26,25,25,25,26,25,25,26,25,26,25,26,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,26,26,26,27,26,26,26,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,PENDLETON,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,9.5,9.5,8.4,9.5,11.6,7.9,9.8,6.4,3.9,5.1,6.6,14.5,9.5,11.3,8.6,8.3,8.1,10.7,8.2,6.8,8.3,7.4,9.2,12.3,8.8,14.5,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.8,2.6,2.9,2.2,3.0,1.1,.0,1.7,3.1,3.8,8.4,7.7,6.3,4.0,3.3,3.7,3.2,1.7,-.6,.6,1.6,1.8,2.5,3.2,2.9,8.4,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,10.8,6.6,2.1,1.7,5.0,6.9,6.6,8.8,5.5,13.4,16.6,15.7,7.4,4.2,5.1,5.2,8.2,6.0,3.5,1.8,2.2,3.8,3.6,2.8,6.3,16.6,10
,PENDLETON,3.7,2.7,8.1,5.2,.8,3.0,3.7,3.9,5.6,10.8,6.8,4.2,4.4,5.7,6.7,5.1,4.8,5.8,3.7,5.6,5.6,3.0,30.9,5.2,6.0,30.9,22
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,138,264,249,315,300,326,356,267,256,249,266,253,245,250,256,256,288,280,297,284,328,336,318,123,271,356,06
,CHULA VISTA,209,212,232,224,284,272,259,240,263,257,263,M,M,264,258,267,252,258,254,254,265,232,210,201,247,284,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,147,144,120,207,240,109,114,100,229,272,277,264,252,257,262,258,235,207,202,202,195,196,187,144,201,277,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,295,197,243,266,287,270,166,170,168,213,242,262,266,277,266,269,268,265,277,282,291,293,297,358,258,358,23
,OTAY MESA DVN,258,274,276,300,286,298,281,262,300,276,287,286,280,286,281,291,288,286,284,289,291,281,6,357,275,357,23
,PENDLETON,219,198,181,201,215,218,193,202,220,232,245,252,257,255,250,247,251,250,252,226,206,189,162,161,220,257,12
13 SIGTHETA °,ALPINE,24,47,63,56,46,39,51,51,38,44,47,36,35,30,32,33,32,28,26,23,19,34,69,39,39,69,22
,CHULA VISTA,33,39,22,24,21,26,25,46,44,27,24,M,M,24,23,23,22,23,21,21,23,23,21,19,26,46,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,38,25,40,32,31,28,17,45,60,49,45,28,27,25,23,25,25,18,17,17,18,18,18,15,29,60,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,47,46,31,15,19,18,36,48,48,33,27,20,20,24,22,20,19,16,12,9,8,11,31,24,25,48,07
,OTAY MESA DVN,16,21,23,13,13,19,20,60,45,50,24,19,19,18,19,16,16,14,11,10,15,29,22,20,22,60,07
,PENDLETON,23,15,17,20,18,20,25,18,17,18,13,13,12,13,14,13,14,14,16,16,22,22,23,22,17,25,06
14 VWSP MPH,ALPINE,.9,.2,.3,.6,1.2,1.2,.9,1.5,2.8,3.4,3.4,4.7,5.1,6.2,5.3,5.2,4.3,3.9,3.5,1.8,1.6,.9,.1,.5,2.5,6.2,13
,CHULA VISTA,2.1,1.8,2.8,2.1,2.5,2.1,2.7,2.8,3.1,5.3,6.7,M,M,7.0,7.0,6.0,6.2,5.1,4.7,3.7,2.5,1.5,1.6,1.6,3.7,7.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,3.2,1.0,1.8,1.7,3.0,4.4,2.1,.1,3.0,3.6,6.4,6.4,7.1,7.0,6.4,5.6,7.0,6.4,4.7,3.3,2.9,2.4,1.7,3.9,7.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
