Current Date:,7/18/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
7/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.017,.013,.009,.006,.008,.013,.014,.020,.028,M,.046,.054,.065,.071,.063,.053,.047,.044,.035,.030,.026,.022,.018,.017,.031,.071,13
,CHULA VISTA,.026,.027,C,C,.025,.024,.024,.025,.027,M,M,.036,.037,.035,.033,.033,.031,.029,.030,.033,.029,.028,.030,.028,.029,.037,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.023,C,C,C,.018,.018,.020,.024,.031,.044,.052,.052,.050,.045,.041,.039,.033,.028,.028,.027,.027,.027,.026,.032,.052,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.020,C,C,.021,.021,.021,.023,.024,.028,.034,M,.040,.038,.035,.037,.038,.033,.030,.029,.027,.026,.023,.022,.028,.040,12
,OTAY MESA DVN,.023,.022,C,C,.021,.020,.020,.022,M,.030,.035,.042,.044,.044,.040,.035,.032,.030,.028,.027,.026,.028,.026,.023,.029,.044,12
,PENDLETON,.028,.027,C,C,.025,.030,.028,.028,.029,.029,.031,.033,.035,.033,.033,.032,.031,.033,.034,.035,.035,.036,.038,.033,.031,.038,22
02 NOX PPM,ALPINE,.006,.008,.009,.012,.010,.007,.008,.007,.007,M,.005,.004,.004,.004,.004,.004,.004,.005,.006,.006,.006,.007,.008,.008,.006,.012,03
,CARMEL MT RCH,.009,.009,C,C,C,.031,.032,.030,.034,M,.021,.023,.021,.021,.023,.020,.016,.018,.019,.021,.018,.015,.013,.011,.020,.034,08
,CHULA VISTA,.001,.001,C,C,.002,.003,.004,.004,.003,M,M,.003,.003,.002,.002,.002,.001,.002,.002,.002,.002,.002,.002,.002,.002,.004,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.002,.003,.005,.005,.006,.005,.005,.004,.003,.002,.002,.003,.004,.004,.003,.003,.002,.001,.001,.003,.006,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.006,C,C,.005,.006,.006,.006,.008,.010,.007,M,.004,.003,.003,.003,.003,.003,.003,.003,.004,.006,.007,.007,.005,.010,09
,OTAY MESA DVN,.001,.001,C,C,.002,.003,.004,.002,M,.004,.004,.003,.002,.002,.002,.002,.001,.001,.001,.001,.002,.002,.002,.003,.002,.004,06
,PENDLETON,.001,.002,C,C,.003,.001,.007,.004,.004,.006,.002,.002,.002,.004,.001,.001,.002,.000,.000,.000,.001,.001,.001,.003,.002,.007,06
03 NO2 PPM,ALPINE,.006,.008,.009,.011,.009,.005,.005,.005,.005,M,.004,.004,.004,.004,.004,.003,.004,.005,.006,.006,.006,.007,.008,.008,.006,.011,03
,CARMEL MT RCH,.006,.005,C,C,C,.012,.012,.012,.013,M,.010,.011,.010,.010,.010,.010,.009,.008,.010,.012,.011,.009,.008,.007,.010,.013,08
,CHULA VISTA,.001,.001,C,C,.002,.003,.003,.003,.002,M,M,.002,.002,.001,.001,.001,.001,.002,.002,.001,.002,.002,.002,.001,.002,.003,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.002,.003,.003,.003,.003,.004,.004,.003,.002,.002,.001,.002,.003,.003,.002,.003,.002,.001,.001,.002,.004,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.006,C,C,.005,.005,.005,.005,.006,.007,.005,M,.003,.003,.003,.003,.002,.003,.003,.003,.004,.006,.008,.007,.005,.008,22
,OTAY MESA DVN,.001,.001,C,C,.002,.002,.004,.002,M,.003,.003,.002,.002,.002,.001,.001,.001,.001,.001,.001,.002,.002,.002,.003,.002,.004,06
,PENDLETON,.001,.002,C,C,.003,.001,.002,.003,.002,.003,.001,.001,.001,.002,.001,.001,.001,.000,.000,.000,.001,.001,.001,.003,.001,.003,04
04 NO PPM,ALPINE,.000,.000,.000,.001,.001,.001,.002,.002,.002,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,CARMEL MT RCH,.004,.004,C,C,C,.019,.020,.018,.021,M,.012,.012,.011,.011,.013,.010,.007,.009,.009,.009,.008,.006,.005,.004,.011,.021,08
,CHULA VISTA,.000,.000,C,C,.001,.000,.001,.001,.001,M,M,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.001,04
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.002,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.002,.003,.002,M,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,09
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.001,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,PENDLETON,.000,.000,C,C,.000,.000,.004,.002,.001,.003,.000,.001,.001,.002,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,06
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.5,.5,.5,.4,M,C,.4,.4,.4,.5,.4,.5,.4,.4,.4,.3,.3,.3,.3,.4,.5,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,M,24,23,23,23,23,24,24,24,24,24,24,25,25,25,24,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,24,24,25,25,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,27,27,27,27,27,27,27,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,00
,PENDLETON,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
