Current Date:,12/9/2020,6:38 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/8/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.039,C,C,.039,.039,.038,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.039,.040,00
,CARMEL MT RCH,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,25,26,00
,CHULA VISTA,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,24,24,24,24,23,25,25,00
,DOWNTOWN SES,25,25,24,25,25,24,25,25,24,24,24,23,23,22,22,23,23,24,24,24,24,24,24,24,24,25,00
,EL CAJON LES,27,27,28,28,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,28,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,26,26,25,25,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,25,25,25,26,26,26,26,27,27,26,27,22
,PENDLETON,27,27,26,27,26,26,26,26,26,26,25,25,25,24,24,25,25,25,25,26,26,26,26,26,26,27,00
11 PM2.5 µg/M3,ALPINE,-.4,1.1,1.3,2.2,2.2,-.1,-3.0,-.4,.2,-.6,-.9,-1.9,2.4,2.6,-.6,-2.2,-2.7,.8,1.7,5.5,8.1,7.8,8.6,4.7,1.5,8.6,22
,DOWNTOWN SES,14.1,10.3,11.2,9.5,4.5,4.4,5.8,8.8,8.2,10.5,8.7,6.4,3.5,4.7,5.7,6.6,10.0,13.6,11.0,14.6,12.2,10.9,15.5,18.9,9.5,18.9,23
,EL CAJON LES,19.2,14.3,9.0,2.6,-1.4,2.1,2.2,-.9,M,M,M,1.4,.0,.0,.0,.2,.0,1.2,19.6,27.2,21.8,17.2,15.9,14.7,7.9,27.2,19
,ESCONDIDO,19.2,14.3,9.0,2.6,-1.4,2.1,2.2,-.9,985.0,,,,,,,,,,,,,,,,114.6,985.0,08
,OTAY MESA DVN,37.2,26.9,21.2,15.3,36.1,12.0,54.7,36.5,60.7,35.4,34.9,43.0,56.8,58.5,43.2,25.5,33.2,20.9,20.5,27.1,21.0,21.3,19.6,23.0,32.6,60.7,08
,PENDLETON,5.1,4.2,5.6,3.0,-.3,2.1,1.5,2.0,.9,5.6,9.0,7.1,2.2,-1.2,-.5,4.1,5.4,13.4,17.8,7.9,19.3,13.3,14.9,10.7,6.3,19.3,20
12 VWDR °,ALPINE,87,88,92,88,83,75,89,79,82,95,83,62,66,100,105,110,114,126,145,304,139,123,101,91,0,304,19
,CHULA VISTA,6,73,104,96,113,110,115,97,89,101,96,87,84,84,94,259,239,221,292,2,35,51,91,110,0,292,18
,DOWNTOWN SES,338,55,351,352,64,344,327,345,344,337,323,314,13,347,322,268,206,190,225,341,68,34,31,42,0,352,03
,EL CAJON LES,230,227,76,83,80,80,97,89,102,58,35,299,60,55,65,73,85,147,250,105,117,125,127,95,0,299,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,53,73,77,79,83,79,94,38,52,102,132,152,96,89,86,86,87,188,146,109,75,53,37,47,0,188,17
,OTAY MESA DVN,98,94,95,108,84,88,89,79,83,91,99,97,109,110,98,96,102,110,86,342,348,333,360,115,0,360,22
,PENDLETON,55,50,63,73,62,114,71,46,28,100,148,122,88,55,57,311,352,69,136,129,131,100,59,61,0,352,16
13 SIGTHETA °,ALPINE,37,23,18,21,24,29,29,33,28,25,30,35,32,42,33,25,30,33,71,52,42,31,38,24,33,71,18
,CHULA VISTA,61,15,14,16,16,19,17,16,16,16,16,18,18,17,32,21,25,24,24,15,23,26,47,24,22,61,00
,DOWNTOWN SES,46,41,51,44,18,40,17,42,31,12,21,34,29,46,30,29,38,23,21,57,14,9,45,50,33,57,19
,EL CAJON LES,62,59,43,20,16,15,19,16,28,15,26,43,19,19,16,15,16,28,57,35,53,43,39,39,31,62,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,37,9,8,25,10,9,35,47,38,25,19,35,14,16,10,10,9,21,10,12,6,8,7,9,18,47,07
,OTAY MESA DVN,15,15,14,17,10,10,9,10,10,11,11,11,16,12,12,12,11,19,12,11,13,36,57,16,15,57,22
,PENDLETON,20,12,13,23,18,33,16,26,13,55,47,40,15,16,20,21,18,38,45,17,10,16,11,8,23,55,09
14 VWSP MPH,ALPINE,6.4,5.5,4.9,6.2,7.1,6.1,3.9,4.5,7.5,7.0,6.9,5.8,5.3,6.0,6.3,8.3,6.2,4.7,1.1,1.1,1.4,1.6,1.3,1.0,.0,8.3,15
,CHULA VISTA,1.3,4.3,7.5,8.1,9.6,6.8,7.6,11.0,9.1,8.2,9.2,8.3,7.7,7.4,4.1,3.4,4.5,4.5,3.1,2.6,1.8,2.1,.5,1.5,.0,11.0,07
,DOWNTOWN SES,2.0,1.1,1.6,1.8,2.9,1.7,2.4,1.6,2.1,2.9,2.5,1.9,2.5,2.0,3.5,2.4,3.6,3.3,2.2,1.0,2.0,3.6,1.2,.7,.0,3.6,16
,EL CAJON LES,.6,.7,4.0,7.5,12.3,13.1,6.1,4.9,2.1,4.7,1.0,.8,7.4,7.3,9.8,8.4,5.7,1.0,1.3,1.8,1.3,.5,.4,.1,.0,13.1,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.3,10.7,12.5,7.8,13.9,15.2,4.8,1.6,1.8,7.2,5.7,3.5,11.2,11.9,13.4,9.7,7.0,4.7,3.7,2.2,2.7,3.6,4.3,3.0,.0,15.2,05
,OTAY MESA DVN,11.6,11.9,13.4,12.1,21.8,21.0,22.7,23.6,22.9,18.3,16.0,16.8,13.1,15.4,14.5,13.0,9.7,6.5,4.2,6.3,5.4,3.1,1.6,1.9,.0,23.6,07
,PENDLETON,5.6,6.8,6.3,4.7,8.6,4.0,5.7,4.3,6.7,.4,1.2,2.5,10.2,9.5,5.5,3.4,2.3,2.0,2.1,4.1,4.0,3.2,4.1,5.2,.0,10.2,12
15 SWSP MPH,ALPINE,7.7,6.0,5.2,6.7,7.8,6.9,4.5,5.4,8.4,7.6,7.8,6.8,6.1,7.4,7.1,9.1,7.0,5.6,3.3,2.6,2.2,1.9,1.8,1.1,5.7,9.1,15
,CHULA VISTA,2.7,4.7,7.8,8.3,10.0,7.2,7.9,11.5,9.5,8.5,9.5,8.7,8.0,7.7,5.5,3.7,4.9,5.0,3.3,2.7,2.1,2.3,.8,1.7,6.0,11.5,07
,DOWNTOWN SES,2.6,1.6,2.0,2.0,3.1,3.0,2.5,1.8,2.3,3.0,2.7,2.2,2.9,3.8,4.2,2.8,4.8,3.7,2.5,1.3,2.2,3.7,1.4,1.0,2.6,4.8,16
,EL CAJON LES,1.7,1.1,5.2,7.9,12.7,13.5,6.6,5.1,2.4,5.0,2.0,2.6,7.7,7.8,10.3,8.7,6.0,3.8,2.2,2.0,1.4,1.1,.7,.7,4.9,13.5,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.9,10.8,12.6,8.1,14.1,15.4,6.3,2.3,2.6,8.5,6.8,4.8,11.6,12.6,13.6,9.9,7.1,5.3,3.8,2.4,2.7,3.6,4.4,3.1,7.4,15.4,05
,OTAY MESA DVN,12.0,12.3,13.8,13.1,22.2,21.4,23.0,24.0,23.3,18.6,16.3,17.1,13.6,15.8,14.8,13.3,9.9,6.8,5.6,6.4,5.6,3.5,2.0,2.1,13.2,24.0,07
,PENDLETON,5.8,7.0,6.5,5.2,9.3,4.9,6.0,4.9,6.8,2.0,1.7,3.6,10.6,9.9,7.9,4.0,2.5,3.0,2.7,4.3,4.1,3.6,4.2,5.3,5.2,10.6,12
