Current Date:,12/10/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/9/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.036,.036,.033,.036,.038,.040,.041,.037,.041,23
10 INTMP °C,ALPINE,28,27,28,27,27,28,27,27,27,27,26,25,25,26,26,27,27,27,27,27,27,28,28,28,27,28,00
,CARMEL MT RCH,26,26,27,26,27,27,27,27,26,25,25,25,25,25,26,25,25,25,26,26,27,27,27,26,26,27,02
,CHULA VISTA,23,24,23,24,24,24,24,23,26,25,24,24,25,25,24,24,25,25,23,23,23,23,24,24,24,26,08
,DOWNTOWN SES,25,25,25,25,25,25,25,25,24,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,24,25,00
,EL CAJON LES,26,26,26,26,26,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,27,26,27,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,25,26,25,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,25,26,25,25,25,26,26,27,27,27,27,27,26,27,00
,PENDLETON,26,26,26,26,27,27,26,26,26,25,24,24,24,24,24,24,25,25,25,25,25,26,26,26,25,27,04
11 PM2.5 µg/M3,ALPINE,6.9,5.1,11.2,6.8,3.1,8.6,5.2,.5,9.7,5.3,-2.6,-5.7,-2.9,12.7,12.7,8.9,9.8,12.1,13.5,12.3,15.8,19.7,11.6,8.4,7.8,19.7,21
,DOWNTOWN SES,17.4,12.0,13.3,15.1,12.2,11.0,7.4,19.2,6.9,10.6,16.3,19.2,20.5,16.1,6.4,8.9,6.9,7.6,15.2,10.2,20.8,20.3,26.1,17.8,14.0,26.1,22
,EL CAJON LES,13.9,14.6,14.6,13.6,12.1,11.7,12.6,14.0,17.2,15.4,10.7,8.5,20.7,12.6,9.8,12.4,7.9,10.7,13.7,18.6,21.4,27.7,22.5,16.6,14.7,27.7,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.3,15.2,21.1,8.8,19.2,26.7,41.6,41.0,72.5,17.1,20.0,26.1,12.9,10.0,10.4,7.9,7.8,21.3,29.2,20.4,17.2,22.2,16.6,15.8,21.2,72.5,08
,PENDLETON,10.4,8.5,5.6,6.3,6.6,7.2,4.4,3.1,4.8,4.6,9.3,9.2,10.8,8.2,12.4,12.9,11.9,18.3,14.0,14.0,11.8,15.1,11.0,11.3,9.6,18.3,17
12 VWDR °,ALPINE,70,358,97,96,72,37,96,94,103,131,220,277,242,244,282,301,312,342,353,90,87,87,79,97,0,358,01
,CHULA VISTA,71,67,71,82,54,93,68,73,63,270,235,238,222,244,267,267,250,161,40,49,114,87,143,81,0,270,09
,DOWNTOWN SES,41,39,5,331,36,40,37,46,51,208,217,214,202,205,232,207,208,168,344,339,90,36,335,67,0,344,18
,EL CAJON LES,165,265,254,242,259,241,248,134,278,316,268,270,229,226,226,240,231,215,122,83,113,123,203,119,0,316,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,47,51,57,56,57,64,54,63,58,71,217,267,245,228,226,246,263,301,339,28,46,73,67,84,0,339,18
,OTAY MESA DVN,44,95,127,98,193,345,118,68,149,211,209,225,220,260,309,304,314,36,31,28,104,97,18,73,0,345,05
,PENDLETON,55,46,58,62,61,59,48,54,50,53,244,M,268,255,209,162,148,61,34,36,62,62,59,62,0,268,12
13 SIGTHETA °,ALPINE,29,24,13,15,44,20,25,16,16,26,68,30,29,28,36,28,27,28,53,13,30,13,13,24,27,68,10
,CHULA VISTA,32,26,30,53,53,47,50,36,16,30,39,19,20,20,25,23,19,37,12,18,11,22,27,20,29,53,03
,DOWNTOWN SES,19,16,32,51,13,21,24,38,18,36,23,19,18,21,34,19,18,27,14,12,27,45,43,27,26,51,03
,EL CAJON LES,61,58,46,59,51,31,34,49,55,48,29,29,21,24,26,36,22,49,24,16,41,46,63,33,40,63,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,10,10,8,13,7,9,9,10,20,39,16,15,14,24,37,15,7,25,24,7,7,9,8,15,39,10
,OTAY MESA DVN,40,44,22,18,59,60,45,48,56,33,20,17,15,26,17,14,13,15,13,13,18,24,29,26,29,60,05
,PENDLETON,8,13,9,8,11,8,8,8,11,49,22,M,14,10,17,13,12,17,7,7,9,13,8,8,13,49,09
14 VWSP MPH,ALPINE,1.3,1.2,1.6,1.4,.8,1.3,1.2,1.8,1.9,2.3,.4,3.6,5.8,5.2,3.3,2.7,1.8,1.2,.7,.4,1.2,2.1,2.0,.2,.0,5.8,12
,CHULA VISTA,2.2,2.2,.9,.6,.6,1.4,1.3,1.3,2.9,1.4,1.8,7.2,8.0,7.1,4.8,2.6,1.4,.3,.9,1.3,1.6,1.1,.5,2.2,.0,8.0,12
,DOWNTOWN SES,2.7,3.6,1.3,1.0,3.0,2.8,3.6,2.6,4.6,.1,2.8,6.0,6.1,4.9,3.2,3.6,2.1,.7,1.3,2.4,1.5,.8,.7,2.6,.0,6.1,12
,EL CAJON LES,.3,.2,.4,.4,.5,.2,.7,.5,.3,.6,2.1,3.5,7.3,5.6,4.0,1.4,2.0,.9,1.1,.6,1.8,.2,.2,.2,.0,7.3,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.4,4.6,3.8,4.0,2.9,5.1,5.5,3.8,5.9,6.1,3.8,8.0,8.8,8.2,6.3,3.3,3.4,3.0,1.8,1.5,2.2,3.0,2.2,3.3,.0,8.8,12
,OTAY MESA DVN,1.3,.8,2.1,2.1,.3,.5,.9,1.8,1.4,2.8,5.2,8.0,8.2,4.8,7.2,6.0,3.6,2.2,2.7,3.5,3.2,2.1,2.3,1.4,.0,8.2,12
,PENDLETON,5.3,6.8,6.7,6.6,7.4,7.9,7.1,6.8,6.9,4.1,2.7,M,4.3,5.4,4.3,4.7,3.4,1.6,2.2,2.7,4.7,5.3,5.6,6.2,.0,7.9,05
15 SWSP MPH,ALPINE,1.6,1.4,1.7,1.5,1.1,1.3,1.3,1.9,2.0,2.6,1.9,4.7,6.7,5.8,4.2,3.0,2.0,1.4,1.2,.4,1.6,2.2,2.0,.3,2.2,6.7,12
,CHULA VISTA,2.5,2.4,1.0,1.2,1.4,1.6,1.8,1.9,3.0,3.2,2.2,7.6,8.6,7.5,5.3,2.9,1.6,.3,.9,1.7,1.7,1.2,1.0,2.4,2.7,8.6,12
,DOWNTOWN SES,2.8,3.7,1.7,1.3,3.2,3.0,3.7,3.0,4.9,3.4,3.0,6.4,6.4,5.2,4.1,3.8,2.3,.8,1.4,2.5,2.0,1.3,1.0,2.8,3.1,6.4,11
,EL CAJON LES,.6,.4,.5,.5,.7,.9,.9,1.0,.5,.9,2.4,4.4,7.8,6.1,4.4,2.3,2.1,1.0,1.2,.7,1.8,.5,.8,.4,1.8,7.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.4,4.7,3.8,4.1,3.0,5.2,5.6,3.8,6.0,6.4,4.8,8.5,9.7,8.6,6.8,4.1,3.7,3.0,1.9,1.6,2.2,3.0,2.3,3.4,4.6,9.7,12
,OTAY MESA DVN,2.0,1.7,2.4,2.2,1.1,1.4,2.8,2.2,2.0,3.6,5.5,8.4,8.5,5.4,7.6,6.3,4.1,2.3,2.8,3.7,3.6,2.8,2.6,1.8,3.6,8.5,12
,PENDLETON,5.4,7.0,6.8,6.7,7.6,8.0,7.2,6.9,7.1,5.6,3.5,3.9,4.4,5.6,4.6,4.8,3.5,2.2,2.2,2.8,4.9,5.5,5.7,6.3,5.3,8.0,05
16 AMBTEMP °F,ALPINE,58.6,58.9,57.5,57.8,58.4,58.1,56.9,57.6,58.9,62.7,67.0,69.5,68.5,62.3,60.3,58.7,57.3,56.1,55.1,53.5,51.1,51.4,51.7,51.3,58.3,69.5,11
,CARMEL MT RCH,56.9,55.7,53.9,52.9,54.0,54.2,53.6,54.9,59.1,66.7,71.0,71.0,68.7,65.3,64.9,65.1,63.4,61.4,59.9,56.7,55.2,53.2,51.0,50.6,59.1,71.0,10
,CHULA VISTA,56.8,56.0,53.6,53.6,51.0,51.9,53.3,54.9,62.2,68.4,71.6,69.1,66.0,65.1,65.2,64.0,62.3,60.8,58.8,56.6,54.8,54.2,52.0,51.7,58.9,71.6,10
,DOWNTOWN SES,57.4,57.7,54.2,53.8,54.9,55.1,57.4,57.4,63.8,67.6,68.8,66.4,63.4,64.1,66.0,64.8,62.2,61.1,60.2,58.8,56.9,55.6,53.9,54.1,59.8,68.8,10
,EL CAJON LES,50.2,48.7,47.0,45.7,45.3,44.4,45.0,46.5,51.2,60.4,68.1,73.7,68.8,65.2,66.4,66.7,64.8,61.4,58.0,55.2,52.3,50.9,49.1,47.3,55.5,73.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.8,56.2,54.7,54.0,54.3,54.3,56.0,57.6,64.9,70.9,73.5,73.0,68.9,66.8,66.3,66.3,64.4,61.6,58.9,56.0,54.7,52.5,52.6,50.3,60.3,73.5,10
,OTAY MESA DVN,60.0,58.6,58.6,59.5,59.8,57.4,56.6,59.8,62.3,70.5,72.7,71.9,68.5,68.2,66.6,64.2,61.9,60.8,60.9,58.8,58.2,57.2,54.5,53.6,61.7,72.7,10
,PENDLETON,57.4,56.8,55.7,53.8,51.9,51.6,52.8,53.7,56.2,64.3,64.8,65.6,62.4,62.3,63.3,62.7,62.2,61.1,59.4,57.4,55.0,53.7,52.6,50.3,57.8,65.6,11
17 RELHUM %,ALPINE,20,18,19,18,17,17,18,18,19,18,13,12,15,31,35,42,47,50,52,56,59,60,61,57,32,61,22
,EL CAJON LES,55,57,60,64,66,67,67,63,51,34,23,15,33,46,46,43,46,51,62,69,79,81,83,84,56,84,23
