,PENDLETON,.019,.013,C,C,.009,.012,.015,.019,.019,.015,M,M,M,M,.008,.008,.016,.048,.040,.028,.026,.040,.035,.016,.021,.048,17
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.001,.002,.003,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.002,.003,07
,CARMEL MT RCH,.033,.026,C,C,.033,.034,.034,.036,.035,.032,.034,.023,.026,M,.018,.020,.033,.040,.047,.038,.044,.039,.023,.036,.033,.047,18
,CHULA VISTA,.030,.027,C,C,.017,.018,.025,.028,.023,.026,.023,.023,.017,.014,.016,.014,.013,.023,.045,.038,.042,.040,.037,.037,.026,.045,18
,DOWNTOWN SES,.036,.034,C,C,.018,.017,.021,.029,.027,.030,.038,.021,.018,.015,.014,.018,.041,.049,.046,.048,.048,.044,.042,.041,.032,.049,17
,EL CAJON LES,.026,.026,C,C,C,.021,.022,.025,.030,.025,.020,.010,.017,.011,.009,.010,.019,.033,.032,.035,.033,.034,.031,.029,.024,.035,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.010,C,C,.010,.009,.013,.013,.012,.017,.024,.019,.010,.008,.009,.010,.019,.024,.039,.028,.030,.029,.019,.010,.017,.039,18
,OTAY MESA DVN,.013,.014,C,C,.013,.015,.022,.024,.032,.036,.035,.024,.018,.015,.015,.015,.015,.025,.031,.032,.040,.025,.043,.022,.024,.043,22
,PENDLETON,.017,.013,C,C,.008,.011,.013,.014,.012,.010,M,M,M,M,.006,.007,.015,.038,.036,.028,.024,.033,.030,.016,.018,.038,17
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.000,.001,06
,CARMEL MT RCH,.019,.007,C,C,.018,.037,.043,.064,.057,.040,.039,.023,.024,M,.013,.014,.019,.016,.017,.013,.027,.014,.003,.015,.025,.064,07
,CHULA VISTA,.006,.004,C,C,.000,.001,.045,.040,.020,.017,.012,.013,.007,.004,.003,.002,.000,.000,.008,.003,.021,.019,.012,.014,.011,.045,06
,DOWNTOWN SES,.019,.012,C,C,.001,.002,.009,.048,.034,.031,.044,.015,.007,.004,.002,.002,.004,.027,.016,.031,.032,.034,.043,.020,.020,.048,07
,EL CAJON LES,.012,.012,C,C,C,.015,.028,.047,.041,.017,.011,.003,.007,.003,.002,.001,.001,.001,.003,.012,.017,.010,.017,.021,.013,.047,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.002,.004,.008,.013,.008,.003,.001,.001,.001,.001,.000,.003,.000,.001,.001,.000,.000,.002,.013,10
,OTAY MESA DVN,.000,.000,C,C,.000,.005,.008,.016,.034,.031,.021,.008,.006,.004,.003,.002,.001,.003,.010,.008,.015,.003,.014,.001,.009,.034,08
,PENDLETON,.002,.000,C,C,.001,.001,.002,.004,.007,.004,M,M,M,M,.002,.001,.001,.010,.004,.001,.002,.007,.006,.000,.003,.010,17
06 CO PPM,CARMEL MT RCH,.6,.6,C,C,C,.9,1.3,1.0,.9,.8,.8,.5,.6,.6,.7,.8,1.1,1.2,1.1,.9,1.3,.8,.5,1.0,.9,1.3,06
10 INTMP °C,ALPINE,27,27,27,28,28,27,28,27,27,25,23,23,23,23,24,24,24,24,25,26,26,26,26,26,26,28,03
,CARMEL MT RCH,26,26,26,27,26,26,26,26,26,25,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,03
,CHULA VISTA,24,25,25,24,24,24,24,24,24,25,25,25,24,24,24,24,25,25,25,25,24,24,24,24,24,25,01
,DOWNTOWN SES,24,25,25,25,25,25,25,24,23,23,22,22,22,22,22,21,22,23,23,24,24,24,25,25,24,25,01
,EL CAJON LES,27,27,27,28,28,28,28,27,27,27,28,28,27,26,26,26,26,26,26,26,26,27,27,27,27,28,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,25,25,26,26,25,25,25,26,25,25,24,24,24,24,25,25,25,25,26,25,26,26,26,25,26,00
,OTAY MESA DVN,27,27,27,28,27,27,27,27,26,27,26,26,25,25,25,24,25,25,26,26,27,26,27,27,26,28,03
,PENDLETON,26,26,26,26,25,25,24,24,25,25,24,23,23,24,24,25,25,26,26,26,27,27,27,26,25,27,20
11 PM2.5 µg/M3,ALPINE,1.2,-1.7,-3.8,-2.2,2.4,.5,-1.7,-2.8,-2.4,-3.9,-8.3,-9.6,-3.8,.5,4.5,6.9,5.2,1.8,1.8,3.2,-.3,.6,3.1,.6,-.3,6.9,15
,DOWNTOWN SES,17.7,17.4,14.2,9.6,5.3,3.7,1.7,5.8,5.9,11.3,10.3,6.4,5.2,8.8,6.7,7.9,11.7,14.5,19.0,22.1,18.6,26.9,30.2,19.1,12.5,30.2,22
,EL CAJON LES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,ESCONDIDO,2.9,2.8,9.9,5.6,4.8,6.1,6.0,3.7,7.0,4.5,2.1,2.3,4.3,3.2,1.3,3.2,4.6,2.5,1.9,3.0,4.1,8.1,7.3,3.8,4.3,9.9,02
,OTAY MESA DVN,4.3,6.3,10.1,7.5,8.3,17.0,23.1,27.4,21.9,35.8,18.7,7.4,7.4,5.4,4.2,7.5,6.3,49.6,41.7,22.1,30.1,17.3,32.3,18.1,17.9,49.6,17
,PENDLETON,6.3,3.8,2.2,1.0,.7,1.4,2.3,1.8,-.5,3.2,4.4,5.0,5.9,5.0,4.0,10.1,10.7,12.2,7.9,5.2,3.1,11.9,9.2,8.5,5.2,12.2,17
12 VWDR °,ALPINE,81,13,11,98,84,86,94,87,231,283,290,281,295,255,308,305,347,71,17,83,72,341,292,95,0,347,16
,CHULA VISTA,83,92,82,87,80,87,69,40,76,91,254,255,275,267,274,258,227,131,109,83,30,112,90,96,0,275,12
,DOWNTOWN SES,6,38,18,10,12,53,38,136,159,242,236,270,278,296,298,273,289,340,87,356,360,20,75,62,0,360,20
,EL CAJON LES,102,117,128,131,111,145,138,256,203,298,282,305,268,267,272,298,263,105,140,122,270,122,228,256,0,305,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,9,42,59,57,69,61,58,64,74,293,216,235,268,297,317,327,322,350,48,48,66,76,62,61,0,350,17
,OTAY MESA DVN,344,360,98,123,115,118,123,106,149,150,206,290,294,296,287,297,327,68,110,115,110,347,106,104,0,360,01
,PENDLETON,71,55,48,58,59,71,38,56,34,263,268,287,285,284,285,304,310,19,25,26,43,39,37,45,0,310,16
13 SIGTHETA °,ALPINE,17,41,48,17,16,22,16,19,59,46,38,30,29,35,23,20,25,19,40,18,25,38,55,17,30,59,08
,CHULA VISTA,19,16,17,26,37,28,22,31,21,64,26,20,19,23,22,18,21,13,12,45,40,20,19,18,25,64,09
,DOWNTOWN SES,17,34,64,61,54,44,34,40,66,30,23,24,17,23,23,23,19,33,14,16,18,60,40,18,33,66,08
,EL CAJON LES,55,47,33,48,65,37,47,28,76,60,37,49,25,20,30,20,25,20,37,52,49,45,51,42,42,76,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,8,8,6,5,5,7,12,51,34,18,21,18,15,13,10,9,13,14,20,13,13,5,18,14,51,08
,OTAY MESA DVN,50,23,14,10,13,28,15,44,24,21,30,26,13,12,11,11,22,26,15,10,21,22,42,13,22,50,00
,PENDLETON,34,12,14,12,11,17,16,10,19,52,14,19,18,18,18,17,17,12,19,7,10,16,38,9,18,52,09
14 VWSP MPH,ALPINE,2.5,.7,1.2,1.9,2.2,1.6,2.2,1.6,.5,1.7,2.6,3.8,3.8,3.6,4.5,3.2,1.0,1.5,.9,1.8,1.5,.4,.3,1.7,.0,4.5,14
,CHULA VISTA,1.6,1.3,1.5,2.0,2.0,2.4,2.4,1.2,1.7,1.1,2.6,4.3,4.5,4.1,4.4,3.9,1.5,1.5,2.3,.9,.8,1.8,1.2,.9,.0,4.5,12
,DOWNTOWN SES,1.7,1.2,.6,.5,.9,2.5,2.2,.8,.5,1.8,3.4,3.8,5.0,5.6,5.2,2.5,1.4,1.2,2.3,1.2,1.6,.4,.6,1.7,.0,5.6,13
,EL CAJON LES,.4,.6,.2,.9,.9,.2,.4,.1,.1,.3,1.1,1.4,4.5,4.6,3.4,4.6,1.9,1.2,.9,.3,.5,.6,.2,.2,.0,4.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,6.0,4.0,5.1,5.6,6.2,7.0,6.3,3.7,1.2,1.3,4.6,5.9,6.1,7.3,8.7,7.9,4.9,2.6,2.1,1.2,2.3,2.4,5.2,3.0,.0,8.7,14
,OTAY MESA DVN,1.9,2.5,2.8,4.0,3.5,1.6,3.5,.6,1.5,2.4,2.7,5.0,7.6,7.6,7.5,5.8,2.3,1.6,3.1,4.1,2.0,2.1,3.1,2.8,.0,7.6,12
,PENDLETON,5.1,4.6,4.3,6.1,8.6,5.1,5.3,5.8,2.7,1.3,2.5,3.6,4.0,3.9,3.3,3.4,2.8,2.7,2.6,4.2,4.0,2.1,2.3,4.5,.0,8.6,04
15 SWSP MPH,ALPINE,2.6,.9,1.6,2.0,2.3,1.7,2.3,1.7,1.3,2.1,3.4,4.7,4.5,4.3,4.8,3.4,1.4,1.7,1.2,2.0,1.6,1.2,1.0,1.8,2.3,4.8,14
,CHULA VISTA,1.7,1.4,1.6,2.3,2.3,2.6,2.7,1.3,1.9,1.7,2.9,4.7,4.8,4.4,4.7,4.1,1.8,1.6,2.3,1.3,.9,1.9,1.2,1.0,2.4,4.8,12
,DOWNTOWN SES,1.8,1.2,1.1,1.0,1.5,2.8,2.6,1.0,1.0,2.3,3.7,4.4,5.2,6.3,5.6,2.8,1.7,1.5,2.4,1.3,1.7,.7,1.4,1.8,2.4,6.3,13
,EL CAJON LES,1.0,.8,1.1,2.0,1.2,.7,.4,.5,.4,.6,1.4,2.3,5.0,4.9,4.2,5.0,2.0,1.5,1.4,.4,.9,.8,.5,.4,1.6,5.0,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.1,4.3,5.2,5.6,6.2,7.1,6.3,3.8,1.6,3.4,4.8,6.4,6.6,7.6,8.9,8.1,5.3,2.8,2.4,1.3,2.6,2.6,5.2,3.4,4.9,8.9,14
,OTAY MESA DVN,2.7,2.9,3.0,4.0,3.6,1.9,3.6,1.1,1.7,2.6,3.7,5.5,7.8,7.8,7.6,5.9,2.4,2.1,3.2,4.2,2.8,2.5,3.2,3.0,3.7,7.8,12
,PENDLETON,5.3,4.7,4.5,6.3,8.7,5.3,5.5,5.9,3.1,2.3,2.6,3.8,4.2,4.1,3.4,3.6,2.9,2.8,2.7,4.3,4.1,2.3,2.5,4.6,4.1,8.7,04
16 AMBTEMP °F,ALPINE,62.8,63.6,62.2,61.0,62.1,61.5,62.0,64.1,68.1,71.1,74.2,74.1,74.0,75.5,73.9,72.2,68.9,66.3,65.9,64.8,66.2,64.7,62.8,63.1,66.9,75.5,13
,CARMEL MT RCH,52.4,50.9,50.6,49.4,49.1,49.0,51.7,53.0,59.2,66.6,72.2,75.3,75.1,74.8,73.1,71.8,69.3,65.9,63.2,61.7,59.7,56.9,56.5,55.6,61.0,75.3,11
,CHULA VISTA,49.8,48.3,48.8,49.1,51.3,51.8,52.0,52.7,60.6,67.7,72.0,70.8,71.7,71.7,72.3,69.8,66.4,62.8,60.0,58.8,55.4,54.3,52.5,51.4,59.3,72.3,14
,DOWNTOWN SES,52.7,51.8,50.1,50.6,48.7,50.9,52.6,52.2,61.4,66.7,68.4,70.6,71.4,71.3,71.5,71.4,69.2,65.1,62.2,59.3,58.1,55.9,54.2,55.0,60.1,71.5,14
,EL CAJON LES,44.8,43.2,42.0,40.6,39.7,38.9,38.3,41.6,50.6,61.0,70.4,77.2,79.5,79.4,80.0,77.8,71.9,63.5,58.9,56.6,53.8,51.8,49.3,47.6,56.6,80.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.0,52.5,53.0,53.3,51.5,53.0,53.8,59.3,67.4,72.7,73.9,75.1,75.5,75.5,73.0,71.7,68.5,63.7,60.8,61.5,58.5,56.1,57.0,57.4,62.3,75.5,12
,OTAY MESA DVN,56.2,56.4,55.5,53.8,54.2,52.0,51.8,55.9,61.7,69.2,74.6,77.0,76.0,75.1,74.2,71.5,67.2,63.2,62.7,62.3,61.3,59.6,58.2,59.6,62.9,77.0,11
,PENDLETON,49.5,50.7,49.4,50.1,51.3,50.8,49.6,52.4,56.1,62.9,61.8,62.6,63.1,63.3,63.0,63.2,62.6,61.2,58.5,58.4,57.2,52.5,50.7,51.5,56.4,63.3,13
17 RELHUM %,ALPINE,9,10,12,12,11,10,10,11,11,7,6,8,8,8,10,12,13,14,14,14,12,12,14,12,11,14,17
,EL CAJON LES,55,60,64,66,67,69,69,64,46,28,18,11,12,13,13,13,17,26,33,36,41,43,48,51,40,69,05
,KEARNY MESA,36,31,31,30,30,28,26,22,16,14,15,19,19,14,17,20,27,34,33,31,35,38,32,29,26,38,21
18 PRES mmHg,EL CAJON LES,752,752,752,751,751,751,751,751,751,751,751,750,749,749,749,749,749,749,750,750,750,750,750,750,750,752,00
,KEARNY MESA,753,752,752,752,752,751,752,752,752,752,752,751,751,750,750,750,750,751,751,751,751,751,751,751,751,753,00
19 SOLAR W/M2,EL CAJON LES,-1,-1,-1,0,-1,-1,6,41,312,495,603,642,612,523,372,184,20,-6,-3,-2,-2,-1,-1,-1,158,642,11
,KEARNY MESA,0,0,0,0,0,0,11,150,351,519,626,660,630,537,392,205,33,0,0,0,0,0,0,1,171,660,11
25 NOY,EL CAJON LES,38.94,40.36,39.03,35.16,37.00,C,C,73.14,74.44,M,M,M,M,M,M,M,18.87,33.58,32.76,36.37,37.07,47.15,50.65,50.72,43.01,74.44,08
26 NOY-NO,EL CAJON LES,27.47,27.24,25.23,24.19,23.36,C,C,24.76,29.07,M,M,M,M,M,M,M,17.97,32.36,30.81,30.65,29.70,35.60,32.98,30.90,28.15,35.60,21
27 NO Trace,EL CAJON LES,11.47,13.11,13.80,10.97,13.64,C,C,48.37,45.37,M,M,M,M,M,M,M,.90,1.21,1.95,5.72,7.37,11.54,17.66,19.82,14.86,48.37,07
28 SO2 Tr PPB,EL CAJON LES,.2,.1,C,C,C,.1,.2,.3,.3,.2,.1,.1,.2,.1,.1,.1,.2,.2,.2,.5,.3,.3,.3,.3,.2,.5,19
29 CO Tr PPB,EL CAJON LES,717.0,654.8,C,C,C,565.1,596.4,846.1,961.7,629.0,550.5,273.3,410.4,308.5,274.8,280.4,357.6,701.5,629.7,693.9,770.1,788.0,789.9,808.9,600.3,961.7,08
BCarbon ug/m3,10TH AVE MARINE TERM,4.71,3.77,2.87,1.77,1.09,.98,1.75,2.68,2.52,3.19,1.20,.90,1.08,1.15,1.46,.99,1.59,1.93,2.60,3.62,3.93,3.66,3.83,4.46,2.41,4.71,00
,ALPINE,.05,.08,.11,.09,.08,.25,.11,.24,.26,.09,.07,.20,.20,.18,.41,.42,.56,.53,.43,.41,.24,.26,.27,.22,.24,.56,16
,CHICANO PARK,2.25,1.47,1.42,1.02,.93,.78,1.39,1.81,1.54,2.59,2.05,1.31,1.17,1.08,.99,1.24,1.57,1.98,2.61,3.24,3.96,3.03,2.99,2.82,1.89,3.96,20
,DOWNTOWN SES,2.32,1.94,1.74,1.05,.51,.56,.88,1.67,2.31,1.86,2.53,.83,1.15,1.22,1.27,1.34,1.65,2.73,2.75,3.14,3.00,3.72,4.10,3.15,1.98,4.10,22
,OCEANVIEW BLVD,1.94,1.75,1.24,1.02,1.32,.97,1.51,2.12,1.77,1.41,2.65,1.23,1.14,.97,1.00,1.20,1.80,2.80,2.49,2.90,3.37,2.93,3.48,2.87,1.91,3.48,22
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
