,CARMEL MT RCH,.002,.003,C,C,.039,.039,.040,.039,.029,M,M,M,M,M,M,M,.027,.037,.039,.034,.037,.044,.037,.035,.032,.044,21
,CHULA VISTA,.013,.006,C,C,.011,.025,.033,.035,.031,.013,.011,.009,.007,.005,.012,.009,.015,.025,.042,.041,.042,.032,.034,.027,.022,.042,18
,DOWNTOWN SES,.024,.022,C,C,.013,.022,.030,.032,.036,.035,.029,.015,.010,.012,.012,.009,.017,.032,.042,.043,.045,.042,.041,.037,.027,.045,20
,EL CAJON LES,.026,.025,C,C,C,.026,.027,.028,M,M,M,M,M,M,M,M,M,M,M,.028,.032,.032,.031,.030,.029,.032,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.006,C,C,.009,.035,.025,.027,.025,.010,.008,.010,.009,.006,.007,.006,.013,.030,.037,.023,.024,.025,.016,.012,.017,.037,18
,OTAY MESA DVN,.007,.004,C,C,.006,.006,.011,.019,.009,.003,.003,.003,.004,.005,.005,.010,.013,.020,.032,.042,.033,.024,.010,.012,.013,.042,19
,PENDLETON,.008,.006,C,C,.011,.014,.020,.018,.015,.013,.007,.008,.007,.008,.014,.033,.047,.030,.046,.039,.039,.027,.020,.018,.020,.047,16
04 NO PPM,ALPINE,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.000,.000,C,C,.023,.021,.022,.036,.021,M,M,M,M,M,M,M,.012,.012,.003,.002,.006,.019,.008,.010,.013,.036,07
,CHULA VISTA,.000,.000,C,C,.000,.001,.010,.049,.039,.006,.004,.003,.002,.001,.003,.001,.000,.001,.004,.005,.008,.009,.005,.002,.007,.049,07
,DOWNTOWN SES,.005,.001,C,C,.000,.005,.013,.039,.057,.034,.026,.005,.003,.003,.003,.001,.000,.001,.014,.027,.028,.022,.016,.016,.015,.057,08
,EL CAJON LES,.005,.008,C,C,C,.029,.035,.048,M,M,M,M,M,M,M,M,M,M,M,.001,.006,.010,.013,.019,.017,.048,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.009,.002,.011,.016,.004,.002,.003,.003,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.002,.016,08
,OTAY MESA DVN,.001,.000,C,C,.026,.000,.002,.008,.003,.001,.001,.001,.001,.001,.001,.001,.001,.004,.009,.008,.006,.001,.001,.001,.004,.026,04
,PENDLETON,.000,.000,C,C,.000,.002,.003,.006,.010,.007,.002,.003,.002,.002,.004,.007,.005,.000,.005,.003,.008,.002,.001,.000,.003,.010,08
06 CO PPM,CARMEL MT RCH,.1,.1,C,C,C,.7,.8,.7,.5,M,C,C,M,M,M,M,.7,1.1,.8,.8,.7,1.2,.8,.9,.7,1.2,21
10 INTMP °C,ALPINE,,,,,,,,,,,,P,27,26,26,25,26,26,26,27,26,27,28,27,26,28,22
,CARMEL MT RCH,27,26,26,27,26,26,26,26,25,25,25,25,25,25,26,25,25,26,26,26,26,26,26,26,26,27,00
,CHULA VISTA,25,24,24,24,25,25,25,25,24,25,25,25,25,25,24,24,25,25,25,24,24,23,24,24,25,25,00
,DOWNTOWN SES,25,25,25,25,25,26,25,25,24,25,23,22,23,23,22,22,23,23,24,24,25,25,25,25,24,26,05
,EL CAJON LES,28,27,28,28,28,28,28,28,27,27,27,27,26,26,26,26,26,27,27,27,27,27,28,28,27,28,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,24,24,25,25,25,24,25,25,25,25,25,25,26,26,26,26,26,26,25,26,18
,OTAY MESA DVN,27,27,27,27,27,26,26,27,28,27,27,26,26,26,25,25,25,25,26,27,27,27,27,27,26,28,08
,PENDLETON,26,26,26,26,26,26,25,25,26,25,25,25,24,24,25,25,25,25,26,26,27,27,27,26,26,27,20
11 PM2.5 µg/M3,ALPINE,,,,,,,,,,,,M,44.2,21.5,13.4,8.2,2.2,1.3,-.1,-2.8,-2.9,.2,-.1,-5.0,6.6,44.2,12
,DOWNTOWN SES,8.6,9.1,4.8,8.6,9.3,6.8,7.2,3.2,3.4,9.0,12.7,8.1,3.8,2.0,4.2,4.1,7.5,16.4,18.3,31.9,39.7,32.8,39.2,31.1,13.4,39.7,20
,EL CAJON LES,16.2,17.2,13.1,10.2,8.7,11.6,8.6,14.6,9.5,16.6,3.7,2.4,1.3,1.6,3.3,4.7,2.5,3.3,19.0,23.0,28.2,23.3,25.3,25.7,12.2,28.2,20
,ESCONDIDO,16.2,17.2,13.1,10.2,8.7,11.6,8.6,14.6,9.5,16.6,3.7,2.4,1.3,1.6,3.3,4.7,2.5,3.3,19.0,23.0,28.2,23.3,25.3,25.7,12.2,28.2,20
,OTAY MESA DVN,8.3,5.7,1.6,-.2,3.3,22.3,33.5,44.4,2.2,-.9,-2.9,-.1,2.4,-.3,-.8,3.9,4.5,18.2,38.0,29.6,38.0,14.9,14.6,20.0,12.5,44.4,07
,PENDLETON,3.5,2.0,1.0,3.1,1.8,.9,3.2,2.1,-.3,.0,1.6,M,M,10.7,14.6,19.4,14.9,11.7,13.5,12.7,20.5,12.8,14.5,10.7,7.9,20.5,20
12 VWDR °,ALPINE,,,,,,,,,,,,P,294,299,263,262,227,99,78,10,103,79,96,98,0,299,13
,CHULA VISTA,90,96,47,55,76,66,65,76,8,8,316,265,282,284,276,295,302,328,86,99,93,102,23,80,0,328,17
,DOWNTOWN SES,54,37,43,26,4,59,32,10,213,231,232,276,276,279,295,296,310,335,10,19,63,354,13,17,0,354,21
,EL CAJON LES,138,167,103,172,111,210,154,108,309,144,343,240,256,254,241,242,259,190,103,134,156,134,242,256,0,343,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,60,51,50,55,8,51,65,76,129,168,208,234,288,306,305,299,308,336,56,39,92,81,83,58,0,336,17
,OTAY MESA DVN,73,77,28,84,63,43,47,57,338,327,323,M,M,297,307,289,312,24,72,128,107,65,7,44,0,338,08
,PENDLETON,81,73,53,38,59,46,25,37,50,36,285,280,270,280,308,311,311,327,73,75,67,68,65,61,0,327,17
13 SIGTHETA °,ALPINE,,,,,,,,,,,,P,32,33,30,32,22,42,47,41,20,17,23,48,32,48,23
,CHULA VISTA,28,24,36,28,26,25,28,33,28,19,27,21,26,23,24,16,17,21,29,25,17,13,37,23,25,37,22
,DOWNTOWN SES,17,21,31,40,23,53,50,54,44,33,19,22,19,25,24,24,22,32,55,50,21,15,25,32,31,55,18
,EL CAJON LES,82,49,45,45,47,44,53,39,43,67,42,38,28,24,23,20,17,44,36,36,45,49,67,37,43,82,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,6,8,24,30,28,8,12,16,20,34,23,17,15,14,10,8,19,6,22,16,34,8,6,16,34,10
,OTAY MESA DVN,25,31,30,28,16,32,37,50,30,13,14,M,M,17,13,15,14,18,15,12,53,19,23,36,25,53,20
,PENDLETON,19,9,13,27,11,18,11,48,23,22,36,17,14,16,14,15,11,11,12,8,11,6,8,9,16,48,07
14 VWSP MPH,ALPINE,,,,,,,,,,,,P,3.9,3.5,3.8,2.9,1.7,1.0,1.9,.7,1.7,2.3,1.8,1.5,.0,3.9,12
,CHULA VISTA,1.7,2.2,1.6,2.0,1.3,1.3,1.0,.9,1.4,2.7,2.9,4.5,4.5,4.7,3.9,6.2,4.4,.9,.6,1.3,3.6,4.9,1.4,1.6,.0,6.2,15
,DOWNTOWN SES,2.7,3.8,2.3,1.8,2.9,1.3,2.1,.8,.8,1.3,3.5,5.5,5.8,4.4,4.4,4.4,3.3,1.2,.4,.7,1.8,1.8,1.8,1.2,.0,5.8,12
,EL CAJON LES,.3,.4,.7,.3,1.2,.3,.3,.7,.5,.3,1.0,2.3,4.1,4.6,4.8,4.1,3.6,1.0,1.7,1.2,.5,.5,.1,.5,.0,4.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,6.2,7.5,6.8,5.0,2.9,2.8,4.5,2.3,2.3,3.7,3.1,4.4,7.6,8.6,7.2,9.1,5.7,2.4,3.4,4.4,2.4,.6,2.7,5.2,.0,9.1,15
,OTAY MESA DVN,3.1,1.8,2.7,2.7,3.6,2.6,1.5,1.0,2.4,4.7,6.6,M,M,7.6,7.2,6.1,4.2,3.6,2.3,3.7,.9,.7,1.7,1.9,.0,7.6,13
,PENDLETON,7.5,8.9,7.9,4.3,4.2,4.7,5.2,3.4,6.1,3.7,2.4,3.3,3.0,3.0,7.9,6.3,5.6,3.9,3.4,4.1,4.0,6.4,7.2,7.1,.0,8.9,01
15 SWSP MPH,ALPINE,,,,,,,,,,,,P,4.5,4.2,4.5,3.4,1.9,1.3,2.2,1.0,1.9,2.4,2.0,1.7,2.6,4.5,12
,CHULA VISTA,1.9,2.4,1.9,2.1,1.6,1.4,1.2,1.1,1.4,2.9,3.3,4.8,4.9,5.2,4.3,6.5,4.6,1.0,.7,1.4,3.7,5.0,1.9,1.7,2.8,6.5,15
,DOWNTOWN SES,2.9,4.0,2.7,2.2,3.2,1.9,2.5,1.3,1.2,1.6,3.6,6.0,6.0,4.8,5.0,4.9,3.5,1.5,.9,1.0,1.9,1.9,2.1,1.3,2.8,6.0,11
,EL CAJON LES,1.2,.9,.8,.7,1.4,.8,.7,.9,1.0,.8,1.4,3.1,4.6,5.0,5.2,4.4,3.8,1.6,1.8,1.9,1.1,1.0,.5,.6,1.9,5.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.3,7.5,6.9,5.4,3.8,3.0,4.5,2.4,2.5,4.1,3.5,5.2,8.3,9.0,7.5,9.2,5.9,2.7,3.5,4.9,2.6,1.3,2.9,5.2,4.9,9.2,15
,OTAY MESA DVN,3.6,2.4,3.5,3.8,5.0,3.2,2.0,1.4,2.5,4.9,6.8,M,M,7.9,7.5,6.7,5.0,3.9,3.1,3.8,2.0,1.8,1.9,2.6,3.9,7.9,13
,PENDLETON,8.0,9.0,8.2,4.6,4.5,5.0,5.4,4.2,6.3,4.1,3.1,3.5,3.1,3.1,8.1,6.4,5.7,4.1,3.6,4.2,4.2,6.4,7.3,7.2,5.4,9.0,01
16 AMBTEMP °F,ALPINE,,,,,,,,,,,,P,68.2,69.5,68.9,67.6,64.7,60.3,58.8,57.2,56.4,57.9,57.9,57.5,62.1,69.5,13
,CARMEL MT RCH,60.9,59.7,59.2,55.8,54.8,53.8,53.9,54.4,60.0,66.0,69.2,71.4,71.1,71.3,71.5,69.4,64.5,62.2,58.8,57.0,55.1,53.6,51.3,50.3,60.6,71.5,14
,CHULA VISTA,48.7,49.8,49.6,48.7,46.3,45.4,44.7,48.3,55.4,63.6,68.4,70.0,70.1,70.6,70.5,69.6,65.2,61.0,58.3,55.6,56.8,57.3,51.4,51.2,57.4,70.6,13
,DOWNTOWN SES,52.2,52.5,51.2,47.9,49.2,46.7,47.5,50.1,58.0,65.4,67.9,68.6,68.9,69.0,70.1,67.9,63.5,60.8,58.2,56.6,56.0,54.5,53.6,51.4,57.8,70.1,14
,EL CAJON LES,40.3,39.2,37.9,36.5,35.5,35.1,34.6,37.5,45.2,54.6,65.1,71.8,74.0,74.3,74.8,73.2,67.9,61.0,55.3,52.7,49.8,47.8,45.5,43.6,52.2,74.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,50.9,51.5,50.9,50.5,47.8,46.6,47.8,52.3,60.7,65.4,68.7,71.0,72.5,72.2,71.6,68.8,62.9,58.8,56.5,56.8,53.7,54.7,51.9,51.7,58.2,72.5,12
,OTAY MESA DVN,55.2,55.4,53.4,55.1,53.5,55.2,55.4,57.3,60.5,64.6,68.4,70.8,71.6,71.5,71.4,70.6,65.7,62.2,60.4,59.5,57.8,56.7,55.8,54.9,61.0,71.6,12
,PENDLETON,50.4,53.1,53.1,51.3,48.5,48.5,46.8,49.6,56.3,64.3,63.6,63.3,63.4,63.1,63.2,63.3,61.5,59.8,57.5,55.3,53.4,52.0,50.2,48.2,55.8,64.3,09
17 RELHUM %,ALPINE,,,,,,,,,,,,P,7,6,8,10,12,14,15,15,14,10,8,9,11,15,18
,EL CAJON LES,42,44,47,52,54,56,57,52,38,26,15,9,8,9,11,12,14,20,28,31,37,38,42,47,33,57,06
,KEARNY MESA,17,17,18,18,20,20,21,19,14,10,9,9,11,12,15,15,36,47,37,28,30,29,28,29,21,47,17
18 PRES mmHg,EL CAJON LES,755,754,754,754,754,754,754,754,754,754,754,753,752,752,752,752,752,752,753,753,753,754,754,754,753,755,00
,KEARNY MESA,755,755,755,755,755,755,755,755,755,755,755,754,754,753,753,753,753,754,754,754,754,755,755,755,754,755,00
19 SOLAR W/M2,EL CAJON LES,-1,-1,-1,-1,-1,-1,5,36,296,490,599,645,623,529,381,189,22,-6,-4,-2,-2,-1,-1,-1,158,645,11
,KEARNY MESA,0,0,0,0,0,0,9,145,348,523,631,665,629,538,393,208,34,0,0,0,0,0,0,0,172,665,11
25 NOY,EL CAJON LES,31.46,31.52,36.17,42.62,44.18,C,C,79.48,80.51,66.99,32.43,16.81,9.05,9.23,10.79,11.06,13.07,22.04,37.35,26.71,33.63,36.07,42.27,49.30,34.67,80.51,08
26 NOY-NO,EL CAJON LES,26.70,26.33,26.38,27.38,26.62,C,C,29.30,31.80,32.32,20.42,12.18,6.93,7.25,8.83,9.66,12.61,21.46,34.82,25.67,30.99,30.55,32.36,32.46,23.31,34.82,18
27 NO Trace,EL CAJON LES,4.76,5.19,9.78,15.23,17.56,C,C,50.18,48.70,34.66,12.01,4.63,2.12,1.97,1.95,1.39,.45,.57,2.52,1.03,2.63,5.52,9.91,16.83,11.34,50.18,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.2,.2,.3,M,M,M,M,M,M,M,M,M,M,M,.3,.3,.3,.3,.3,.2,.3,07
29 CO Tr PPB,EL CAJON LES,512.3,506.4,C,C,C,547.9,715.9,873.7,M,M,C,C,M,M,M,M,C,C,M,576.0,706.6,786.1,765.1,897.0,688.7,897.0,23
BCarbon ug/m3,10TH AVE MARINE TERM,2.08,2.29,.92,1.21,1.09,.74,1.14,1.50,2.36,3.74,2.18,1.01,.62,.50,.75,.75,1.03,1.29,1.59,3.55,4.70,4.83,5.79,5.86,2.15,5.86,23
,ALPINE,<,<,<,<,<,<,<,<,<,<,<,<,.12,.16,.28,.28,.32,.58,.51,.48,.40,.24,.14,.14,.30,.58,17
,CHICANO PARK,1.19,1.04,.79,.78,.60,.83,1.43,1.92,2.06,3.40,1.65,.89,.37,.64,.75,.82,.90,1.44,2.88,5.23,4.91,4.98,4.70,4.01,2.01,5.23,19
,DOWNTOWN SES,1.60,1.16,.90,1.02,.60,.61,1.00,2.17,2.40,1.93,1.81,.86,.48,.53,.69,.68,.97,1.53,2.02,3.04,4.77,4.41,4.38,4.38,1.83,4.77,20
,OCEANVIEW BLVD,2.09,1.63,1.18,1.22,1.12,.80,1.38,2.08,1.78,.72,1.95,1.13,.54,.76,.71,.94,1.08,1.71,1.72,3.12,5.29,5.25,5.20,4.08,1.98,5.29,20
,SAN YSIDRO,4.830,1.894,3.241,2.002,1.994,2.234,2.226,2.748,3.007,1.853,.373,.431,.319,.205,.476,.561,.794,<,1.492,1.993,2.955,6.489,10.446,10.865,2.758,10.865,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
