,OTAY MESA DVN,23,23,23,23,24,23,24,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,24,04
,PENDLETON,24,24,24,24,24,23,24,24,P,,,,,,,,P,24,25,25,25,25,25,25,24,25,18
,SAN YSIDRO,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,24,24,23,23,23,23,24,25,14
11 PM2.5 µg/M3,ALPINE,1.6,1.3,1.0,1.4,1.2,1.0,1.0,1.3,1.2,1.2,1.8,2.9,5.3,9.9,12.9,11.5,7.6,7.4,8.4,9.5,6.9,4.1,16.4,19.5,5.6,19.5,23
,CARMEL MT RCH,5.6,5.0,5.1,4.6,4.6,4.7,5.0,4.5,5.1,5.9,6.1,6.8,6.3,5.9,6.0,6.3,7.2,7.9,8.0,7.9,6.1,4.8,5.2,5.5,5.8,8.0,18
,CHULA VISTA,10.8,8.3,14.1,9.9,12.7,9.8,11.7,11.5,17.5,16.0,9.4,7.6,7.6,8.2,10.1,8.7,6.0,8.0,9.6,9.0,7.5,7.4,8.7,9.4,9.9,17.5,08
,DOWNTOWN SES,16.5,15.3,14.1,15.7,15.3,14.5,12.8,11.6,12.9,13.3,8.7,8.7,8.6,9.8,11.1,10.1,8.3,10.8,12.8,14.9,11.7,11.3,10.3,10.9,12.0,16.5,00
,EL CAJON LES,12.2,11.6,10.9,10.7,10.1,9.9,9.3,7.3,5.5,7.1,7.3,13.1,12.8,10.7,8.7,7.4,8.0,11.1,10.8,9.6,14.2,13.2,11.6,8.6,10.0,14.2,20
,KEARNY MESA,6.5,6.7,5.6,7.1,5.8,5.1,5.2,5.8,6.2,7.3,7.1,8.6,6.4,6.2,6.6,5.8,6.7,7.0,7.1,7.2,6.3,5.7,5.6,5.9,6.3,8.6,11
,OTAY MESA DVN,36.6,22.6,7.3,18.6,29.3,31.9,37.2,31.6,33.3,40.9,41.3,22.6,15.7,12.8,7.3,7.9,12.4,14.6,33.1,26.5,16.8,14.5,17.7,18.0,22.9,41.3,10
,PENDLETON,7.4,4.3,4.3,6.4,5.7,4.4,4.1,4.2,P,,,,,,,,P,4.9,9.1,12.2,10.1,6.3,5.4,6.5,6.3,12.2,19
,SAN YSIDRO,47.9,42.0,30.9,35.8,33.8,29.5,22.2,28.3,60.9,30.1,8.7,8.4,9.2,8.3,10.3,8.6,7.2,8.7,10.1,10.6,10.9,8.3,7.7,8.5,20.2,60.9,08
12 VWDR °,ALPINE,108,107,93,29,90,48,313,75,128,211,288,296,264,284,280,288,320,333,119,90,124,143,360,168,0,360,22
,CHULA VISTA,65,66,60,76,89,256,74,95,228,282,283,268,263,253,256,265,262,206,247,261,287,300,11,50,0,300,21
,DOWNTOWN SES,358,7,329,3,71,323,61,82,234,298,279,272,274,272,280,278,304,252,330,272,315,320,352,36,0,358,00
,EL CAJON LES,277,104,212,111,179,237,111,79,262,342,271,260,261,252,242,217,206,119,111,147,235,253,28,334,0,342,09
,KEARNY MESA,5,31,313,13,35,4,39,133,267,310,272,280,294,287,304,298,297,286,306,292,305,309,348,49,0,348,22
,OTAY MESA DVN,279,18,348,349,71,107,46,74,146,256,278,264,272,277,272,273,300,92,119,342,293,316,338,297,0,349,03
,PENDLETON,54,34,11,56,64,59,56,78,P,,,,,,,,P,267,294,311,307,294,294,73,0,311,19
13 SIGTHETA °,ALPINE,15,16,46,35,35,45,20,17,20,40,26,30,32,33,35,25,26,51,36,25,13,43,41,58,32,58,23
,CHULA VISTA,27,23,38,28,13,25,26,20,24,22,25,21,27,24,25,20,30,40,28,28,19,21,32,47,26,47,23
,DOWNTOWN SES,45,49,43,43,60,25,23,21,37,27,28,28,37,23,26,23,40,40,28,36,20,23,54,45,34,60,04
,EL CAJON LES,54,47,28,31,36,25,26,37,21,26,38,28,35,29,31,23,31,18,32,33,20,30,32,51,32,54,00
,KEARNY MESA,14,54,39,14,21,16,26,48,18,29,26,22,19,16,17,9,16,7,27,8,10,10,16,23,21,54,01
,OTAY MESA DVN,42,41,42,36,48,6,24,23,10,18,17,22,21,18,20,14,13,34,37,28,13,21,16,20,24,48,04
,PENDLETON,9,18,13,13,9,17,32,6,P,,,,,,,,P,29,24,9,14,18,21,43,18,43,23
14 VWSP MPH,ALPINE,5.3,5.3,3.7,4.7,3.3,2.1,5.5,4.5,4.5,3.5,6.5,5.8,6.6,6.0,5.1,5.6,6.1,1.2,4.4,4.5,7.1,2.2,4.0,2.9,.0,7.1,20
,CHULA VISTA,1.2,1.0,.3,1.2,2.0,.6,1.1,2.1,1.6,3.5,3.8,4.9,4.3,4.4,3.3,5.4,2.5,1.1,1.6,1.7,2.7,2.9,1.4,.5,.0,5.4,15
,DOWNTOWN SES,1.3,1.1,2.5,1.3,.3,1.4,1.4,2.3,1.7,3.7,3.7,4.8,3.8,4.7,4.2,5.3,2.5,1.9,2.3,2.6,5.2,3.6,1.6,1.2,.0,5.3,15
,EL CAJON LES,.4,.4,.5,.3,.2,.2,1.5,.6,1.4,1.9,2.2,3.0,3.6,3.6,2.8,4.0,2.1,3.3,2.7,1.9,3.3,3.0,1.7,.8,.0,4.0,15
,KEARNY MESA,3.9,1.3,2.8,3.4,3.5,2.9,1.5,1.1,4.1,3.7,3.8,5.6,5.5,6.2,5.6,8.1,3.6,4.7,2.2,4.9,6.3,3.9,3.4,1.8,.0,8.1,15
,OTAY MESA DVN,.3,.8,2.2,1.7,1.3,3.5,2.3,3.0,5.4,3.0,5.7,4.3,5.6,5.0,4.9,5.8,5.4,1.9,3.8,2.8,3.8,3.1,2.9,2.0,.0,5.8,15
,PENDLETON,5.8,4.4,3.0,3.8,5.1,3.7,2.2,4.9,P,,,,,,,,P,2.0,1.8,4.3,4.6,3.3,1.8,1.5,.0,5.8,00
15 SWSP MPH,ALPINE,5.5,5.5,5.2,5.8,4.7,4.2,5.8,5.6,5.0,5.5,7.2,7.0,7.8,7.1,6.7,6.8,6.7,4.5,5.2,5.3,7.3,7.0,5.1,5.2,5.9,7.8,12
,CHULA VISTA,1.6,1.2,1.6,1.3,2.0,1.4,1.3,2.2,2.4,3.8,4.2,5.2,4.7,4.8,3.8,5.7,2.9,1.6,2.0,1.9,2.8,3.1,1.6,1.0,2.7,5.7,15
,DOWNTOWN SES,1.7,1.5,2.8,1.8,1.1,1.6,2.1,2.5,2.1,4.2,4.1,5.3,4.4,5.1,4.6,5.6,3.0,2.5,2.6,3.0,5.6,4.0,2.0,1.5,3.1,5.6,15
,EL CAJON LES,.7,.4,.8,.3,.6,.3,2.0,1.6,1.6,2.1,2.6,3.5,4.3,4.2,3.3,4.2,2.8,3.5,3.0,2.4,3.7,3.3,2.0,1.3,2.3,4.3,12
,KEARNY MESA,4.1,1.8,3.0,4.0,3.8,3.1,3.3,1.7,4.5,4.1,4.1,6.0,6.0,6.4,5.9,8.2,3.8,4.8,2.7,5.0,6.4,4.1,3.5,2.2,4.3,8.2,15
,OTAY MESA DVN,1.3,2.1,2.9,2.2,2.0,3.5,3.3,3.9,5.5,4.6,5.9,4.7,6.0,5.2,5.3,6.0,5.7,4.9,4.7,3.6,4.0,3.5,3.3,2.4,4.0,6.0,12
,PENDLETON,6.0,4.6,3.2,4.0,5.2,4.4,2.6,4.9,P,,,,,,,,P,2.3,2.0,4.3,4.7,3.4,2.0,2.0,3.7,6.0,00
16 AMBTEMP °F,ALPINE,60.2,60.8,61.2,59.4,59.0,60.3,59.3,57.3,61.6,66.1,63.6,62.8,63.9,62.7,61.1,60.4,58.7,57.8,56.7,56.2,57.4,56.8,52.1,51.3,59.4,66.1,09
,CARMEL MT RCH,56.8,55.3,54.6,53.9,53.1,53.2,52.5,54.4,58.6,60.6,63.6,65.3,65.9,66.1,64.9,63.9,62.5,61.2,59.9,58.3,55.9,56.0,55.5,55.2,58.6,66.1,13
,CHULA VISTA,56.8,55.9,54.9,54.5,54.1,53.2,52.5,55.7,60.1,61.2,62.9,63.9,64.9,65.2,63.7,62.3,61.6,60.9,60.2,59.3,58.9,59.1,58.9,58.2,59.1,65.2,13
,DOWNTOWN SES,58.4,57.4,57.0,56.3,54.7,54.7,54.8,55.9,58.9,61.2,63.8,64.2,65.5,64.6,64.1,62.1,61.5,60.9,60.1,59.7,58.9,58.6,58.4,58.2,59.6,65.5,12
,EL CAJON LES,55.1,54.0,53.0,52.0,50.9,50.2,49.7,53.6,57.6,61.5,65.6,67.7,69.2,68.5,68.1,67.0,65.0,62.5,62.9,62.1,59.9,57.7,57.6,57.6,59.5,69.2,12
,KEARNY MESA,57.5,57.1,54.2,53.8,53.4,52.8,51.2,53.9,58.7,60.5,63.9,65.2,65.9,65.8,64.6,62.7,61.4,59.7,58.4,57.5,57.3,57.3,57.0,56.5,58.6,65.9,12
,OTAY MESA DVN,58.2,57.4,56.5,56.5,56.2,54.6,55.2,58.2,61.1,62.5,61.8,63.7,64.3,64.0,63.5,62.3,59.2,58.9,58.9,57.9,56.4,56.2,56.2,56.2,59.0,64.3,12
,PENDLETON,55.2,53.5,54.9,55.7,53.0,52.9,52.9,54.0,P,,,,,,,,P,59.7,59.3,58.4,58.8,59.3,59.1,58.2,56.3,59.7,17
,SAN YSIDRO,57.7,56.2,55.0,54.8,53.1,52.8,53.0,56.0,60.2,62.2,63.0,64.0,64.2,64.5,63.2,62.2,61.2,60.6,60.0,58.7,58.2,58.1,58.7,58.6,59.0,64.5,13
17 RELHUM %,ALPINE,34,30,27,32,31,27,27,35,33,27,39,45,47,52,60,65,62,62,68,71,58,53,93,98,49,98,23
,EL CAJON LES,83,85,87,89,91,93,93,81,69,60,51,50,52,54,50,55,70,81,75,74,85,94,93,88,75,94,21
,KEARNY MESA,72,72,81,84,82,82,87,84,77,84,68,69,59,59,69,78,82,88,92,95,98,97,97,97,81,98,20
18 PRES mmHg,EL CAJON LES,750,750,750,750,749,749,750,750,751,751,751,751,750,750,750,750,750,750,750,750,750,751,751,751,750,751,08
,KEARNY MESA,751,751,750,750,750,750,751,751,751,752,752,752,751,751,751,751,751,751,750,751,751,752,752,751,751,752,09
19 SOLAR W/M2,EL CAJON LES,-2,-2,-1,-2,-2,-2,16,116,219,373,507,464,538,292,253,158,65,4,-2,-2,-2,-2,0,-1,124,538,12
,KEARNY MESA,0,0,1,0,1,1,17,118,245,385,537,602,574,378,349,191,72,9,0,0,1,0,0,0,145,602,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,1,7,14,22,30,29,32,19,17,11,5,1,0,0,0,0,0,0,8,32,12
25 NOY,EL CAJON LES,22.27,21.96,19.50,19.71,C,C,20.08,14.57,13.90,14.76,11.29,12.31,10.64,8.28,6.64,8.40,8.21,9.91,8.87,8.71,14.84,8.10,5.95,4.58,12.43,22.27,00
26 NOY-NO,EL CAJON LES,21.11,20.75,17.88,18.25,C,C,14.44,11.06,9.71,10.25,8.75,10.41,9.29,7.54,6.20,7.72,7.84,9.83,8.85,8.65,14.68,8.02,5.95,4.56,10.98,21.11,00
27 NO Trace,EL CAJON LES,1.15,1.21,1.61,1.46,C,C,5.63,3.51,4.18,4.51,2.53,1.90,1.34,.74,.44,.67,.36,.08,.01,.05,.16,.08,.00,.01,1.43,5.63,06
28 SO2 Tr PPB,EL CAJON LES,.1,C,C,C,.1,.1,.1,.1,.1,.1,.1,.2,.3,.2,.2,.1,.1,.1,.1,.1,.1,.0,.0,.0,.1,.3,12
29 CO Tr PPB,EL CAJON LES,621.5,C,C,C,581.8,539.4,510.0,400.6,368.4,386.2,361.4,413.2,364.8,305.1,274.0,272.9,274.6,298.3,300.2,329.0,416.7,271.6,222.9,191.2,366.8,621.5,00
BCarbon ug/m3,10TH AVE MARINE TERM,2.55,<,1.99,<,1.05,1.09,1.06,<,1.64,.94,.33,1.33,.44,.36,.33,.24,.37,.36,.39,<,.32,.43,.39,<,.82,2.55,00
,BOSTON AVE,2.31,1.78,1.76,1.42,1.24,1.23,1.50,1.54,1.44,1.18,.61,.50,.50,.54,.54,.32,.45,.76,.73,.68,.55,.61,.44,.47,.96,2.31,00
,CHICANO PARK,2.24,1.95,1.64,1.07,1.05,<,1.22,1.79,<,<,.48,.45,<,<,<,<,.39,.44,.53,.50,.41,.42,.32,.35,.90,2.24,00
,DOWNTOWN SES,1.47,<,1.12,.79,.84,.75,.88,.87,<,.95,.47,.45,.37,.38,.43,.31,<,.48,.51,.67,.39,.40,<,.35,.64,1.47,00
,OCEANVIEW BLVD,1.72,1.92,1.61,1.25,1.23,1.21,1.33,1.00,.89,1.10,.52,.47,.46,<,.39,<,.30,<,.64,.80,.55,.43,.29,.38,.88,1.92,01
,SAN YSIDRO,6.37,5.47,4.15,4.72,4.36,3.60,2.65,4.23,7.43,1.98,.39,<,.30,.23,.26,.24,.24,<,<,.30,.78,.25,.22,<,2.41,7.43,08
PM10 STD,ALPINE,4.6,4.4,2.4,4.4,3.3,3.1,4.2,4.0,4.1,4.0,6.1,8.4,14.7,23.4,27.3,24.2,18.9,17.4,18.4,19.8,15.2,9.5,24.8,27.9,12.2,27.9,23
,CARMEL MT RCH,15.0,13.9,13.1,12.7,12.5,12.0,12.2,12.0,12.8,14.6,16.7,15.7,16.6,14.9,12.9,12.5,14.4,15.6,15.9,15.9,13.9,9.9,11.2,10.8,13.6,16.7,10
,CHULA VISTA,25.7,16.7,24.9,19.0,25.9,21.1,21.9,23.9,35.5,31.0,20.9,18.1,17.9,16.0,18.7,16.8,14.0,16.8,19.7,19.0,17.4,14.0,15.0,16.1,20.2,35.5,08
,DOWNTOWN SES,32.0,27.0,25.8,29.0,26.2,24.2,22.9,24.0,24.7,23.9,17.3,18.1,18.5,18.7,18.0,17.3,15.7,20.9,20.5,22.1,18.8,17.5,17.7,18.9,21.6,32.0,00
,EL CAJON LES,25.4,25.1,21.1,21.1,19.6,19.1,19.0,16.0,13.3,16.8,18.0,30.2,28.1,23.3,20.0,18.7,17.9,21.3,20.5,20.7,25.0,20.5,19.8,15.4,20.6,30.2,11
,KEARNY MESA,16.5,15.3,13.6,15.9,13.3,13.1,12.2,13.2,15.8,15.0,16.7,20.1,15.1,18.3,13.3,12.5,13.3,13.4,14.3,15.0,13.2,11.6,10.8,11.7,14.3,20.1,11
,OTAY MESA DVN,96.3,64.9,28.9,53.7,68.4,67.8,87.2,73.5,72.0,92.0,78.1,42.8,31.0,24.4,15.9,16.5,19.6,24.5,70.1,60.0,28.1,23.7,27.1,27.9,49.7,96.3,00
,PENDLETON,14.6,9.5,10.5,14.0,12.4,9.7,10.3,9.6,P,,,,,,,,P,13.8,28.9,42.9,34.0,18.2,15.1,16.3,17.3,42.9,19
,SAN YSIDRO,114.2,99.9,72.3,80.8,73.5,58.3,44.5,63.3,131.7,58.5,18.0,18.8,19.8,17.1,19.4,18.2,15.7,17.6,23.8,30.4,33.8,20.0,18.3,18.4,45.2,131.7,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
