Current Date:,2/14/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
2/13/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.045,.046,C,C,.048,.047,.048,.043,.043,.047,M,M,M,M,M,.057,.058,.055,.046,.042,.037,.039,.041,.043,.046,.058,16
,CHULA VISTA,.008,.014,C,C,.018,.012,.003,.007,.017,.034,.040,.042,.044,.050,.053,.053,.053,.047,.034,.024,.008,.012,.013,.021,.027,.053,14
,DOWNTOWN SES,.006,.015,C,C,.017,.011,.002,.006,.016,.034,M,M,M,M,M,.051,.051,.043,.038,.033,.032,.014,.002,.002,.021,.051,15
,EL CAJON LES,.007,.006,C,C,C,.002,.002,.003,.009,.021,.040,.051,.054,M,M,M,M,M,.040,.026,.014,.013,.014,.009,.019,.054,12
,KEARNY MESA,.023,.022,C,C,.020,.017,.005,.014,.032,.043,.046,.050,.050,.054,.058,.056,.052,.042,.036,.031,.017,.016,.019,.018,.032,.058,14
,OTAY MESA DVN,.004,.007,C,C,.011,.009,.004,.008,.015,.028,.041,.045,.050,.051,.054,.056,.054,.048,.044,.041,.036,.032,.033,.033,.032,.056,15
,PENDLETON,.019,.017,C,C,.015,.015,.013,.013,.018,.026,M,M,M,M,.052,.050,.043,.042,.043,.042,.027,.016,.020,.019,.027,.052,14
03 NO2 PPB,ALPINE,1.5,1.2,C,C,.8,.6,.8,4.5,5.6,3.2,M,M,M,M,M,3.0,4.1,5.5,8.3,8.6,7.0,4.6,2.7,2.7,3.8,8.6,19
,CARMEL MT RCH,26.2,23.0,C,C,28.9,24.0,29.3,29.0,17.4,14.8,10.2,17.6,14.1,12.4,M,11.2,10.4,12.7,17.3,15.1,17.1,15.8,15.5,8.9,17.6,29.3,06
,CHULA VISTA,22.6,15.4,C,C,8.8,15.3,25.7,23.3,16.4,6.8,5.4,6.9,9.3,6.0,4.6,4.6,5.1,5.5,7.5,12.5,25.4,21.5,18.5,10.6,12.6,25.7,06
,DOWNTOWN SES,24.1,14.4,C,C,11.0,16.1,27.7,25.5,19.9,8.8,M,M,M,5.9,M,6.4,4.9,5.5,6.1,10.1,11.7,22.9,30.2,26.9,15.4,30.2,22
,EL CAJON LES,13.1,12.9,C,C,C,14.5,14.3,15.6,15.8,13.0,6.0,3.7,3.8,M,M,M,M,M,7.7,12.4,16.2,14.6,11.9,12.6,11.7,16.2,20
,KEARNY MESA,6.3,5.9,C,C,8.6,14.2,23.4,17.8,6.7,4.2,3.9,4.2,4.6,4.0,3.5,3.3,3.6,4.6,5.8,8.1,14.1,14.3,9.0,8.8,8.1,23.4,06
,OTAY MESA DVN,37.3,33.1,C,C,19.4,21.7,28.4,27.8,26.6,18.2,10.1,8.2,4.5,4.9,4.2,3.3,2.7,3.6,4.4,3.0,3.2,4.9,4.2,4.9,12.6,37.3,00
,PENDLETON,7.6,6.9,C,C,5.8,7.9,10.4,12.3,7.3,5.4,M,M,M,M,1.4,1.2,.5,.4,.4,.4,11.7,16.6,8.8,7.3,6.2,16.6,21
,SAN YSIDRO,26.2,28.6,C,C,27.3,26.3,27.9,31.1,35.7,34.2,10.0,9.5,6.7,6.2,5.7,6.8,7.0,14.8,15.1,18.3,24.8,22.6,20.2,16.8,19.1,35.7,08
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,.5,.6,1.1,1.1,.5,.5,.2,.5,.5,M,M,.5,.4,.4,.6,.5,.5,.3,.4,.3,.5,1.1,06
,SAN YSIDRO,.6,1.0,C,C,.8,.7,1.1,1.6,1.3,1.0,.3,.3,.3,M,<,<,C,.5,.5,.5,.8,.7,.5,.4,.7,1.6,07
07 H2S PPB,SAN YSIDRO,.0,.7,3.1,.0,.0,.0,.0,3.8,4.1,2.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.4,1.6,.0,.0,.6,4.1,08
10 INTMP °C,ALPINE,24,24,24,24,24,24,24,24,23,24,24,25,25,25,25,25,25,25,25,25,24,24,23,24,24,25,11
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,24,25,19
,CHULA VISTA,25,25,25,25,25,25,25,25,24,24,25,26,26,26,26,26,26,26,25,25,24,24,24,24,25,26,11
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,24,23,23,25,26,00
,EL CAJON LES,26,26,26,26,26,26,27,27,26,27,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,27,06
,KEARNY MESA,23,23,23,23,22,22,21,21,22,22,23,24,25,25,25,25,25,25,25,25,25,24,24,24,24,25,12
,OTAY MESA DVN,24,24,25,24,25,24,25,25,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,02
,PENDLETON,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,25,25,25,25,25,25,24,24,24,25,16
,SAN YSIDRO,23,23,23,23,24,23,23,24,23,23,23,23,23,24,25,25,25,25,24,23,23,23,23,23,24,25,14
11 PM2.5 µg/M3,ALPINE,2.9,2.9,2.8,2.3,1.7,1.0,.9,1.3,2.3,4.0,5.4,4.2,4.6,5.3,5.4,5.6,6.1,5.2,5.7,6.4,8.4,7.6,6.7,7.4,4.4,8.4,20
,CARMEL MT RCH,7.2,9.8,6.5,5.3,4.4,4.1,4.9,4.7,4.0,4.8,4.9,5.2,5.9,5.7,5.6,4.6,4.1,4.3,4.4,4.7,5.0,6.8,6.6,6.3,5.4,9.8,01
,CHULA VISTA,9.0,6.0,7.4,5.8,4.6,5.6,11.9,13.0,12.0,6.1,6.3,8.0,10.3,7.9,7.5,5.8,6.2,5.0,5.1,6.5,10.2,12.5,10.2,9.9,8.0,13.0,07
,DOWNTOWN SES,12.4,9.3,7.0,6.2,4.9,4.3,5.0,5.8,5.6,6.6,7.7,9.8,6.6,6.0,7.4,6.7,5.4,5.2,5.2,5.9,6.8,8.2,11.1,12.1,7.1,12.4,00
,EL CAJON LES,9.0,7.2,6.8,6.5,5.9,5.7,7.0,8.1,7.1,5.7,4.9,6.3,7.6,7.0,5.8,5.7,5.4,4.6,5.9,8.6,13.1,12.7,11.5,11.2,7.4,13.1,20
,KEARNY MESA,6.9,6.1,5.1,4.3,4.1,3.8,3.7,4.2,4.0,6.4,6.7,6.9,7.0,6.2,6.2,4.9,4.0,4.4,4.7,5.1,5.3,5.6,5.3,6.4,5.3,7.0,12
,OTAY MESA DVN,28.9,26.5,29.3,22.3,20.3,21.3,18.4,22.1,22.5,15.0,11.2,9.0,7.8,9.7,9.0,7.0,5.4,5.6,6.4,6.5,7.1,7.6,9.6,11.6,14.1,29.3,02
,PENDLETON,8.6,8.1,6.7,6.2,5.2,4.1,3.7,3.8,3.2,3.4,4.1,M,4.8,3.9,4.3,4.6,5.0,5.3,5.1,5.2,4.9,5.8,7.1,7.2,5.2,8.6,00
,SAN YSIDRO,14.8,36.1,51.5,61.6,55.2,24.7,19.4,25.5,20.7,20.5,10.1,11.1,8.7,7.9,7.2,6.8,5.4,5.2,5.9,6.5,7.9,7.4,7.7,8.0,18.1,61.6,03
12 VWDR °,ALPINE,31,106,81,93,99,110,112,100,283,274,273,249,295,313,284,290,292,294,256,132,119,119,35,42,0,313,13
,CHULA VISTA,79,59,83,96,88,59,64,44,65,65,10,264,271,270,267,272,268,276,272,314,67,78,105,95,0,314,19
,DOWNTOWN SES,34,46,56,45,42,31,15,56,82,54,281,240,248,257,253,M,M,286,298,7,14,63,67,60,0,298,18
,EL CAJON LES,258,95,10,4,244,246,152,235,60,91,211,268,322,257,249,237,254,262,285,172,104,98,73,106,0,322,12
,KEARNY MESA,56,63,61,60,64,52,43,37,72,354,352,307,271,276,280,279,281,292,300,332,64,56,59,71,0,354,09
,OTAY MESA DVN,100,40,123,152,153,151,128,149,117,203,234,250,272,277,287,281,280,286,2,14,11,23,104,132,0,287,14
,PENDLETON,54,65,69,66,60,69,57,73,64,60,270,248,253,257,259,258,263,266,266,259,127,55,68,65,0,270,10
13 SIGTHETA °,ALPINE,25,24,18,21,18,15,16,40,26,45,42,41,40,35,29,27,23,22,26,51,21,19,17,17,27,51,19
,CHULA VISTA,47,20,48,14,30,25,15,26,21,36,62,30,22,19,20,19,18,18,18,27,17,18,13,14,25,62,10
,DOWNTOWN SES,40,27,19,20,32,57,32,25,22,53,62,22,24,23,26,M,M,22,30,27,25,31,23,46,31,62,10
,EL CAJON LES,38,20,32,56,65,42,52,45,43,66,51,53,51,36,24,22,21,19,18,19,52,18,47,22,38,66,09
,KEARNY MESA,4,5,5,5,6,41,35,14,28,36,59,55,26,14,15,14,10,8,7,22,6,7,10,6,18,59,10
,OTAY MESA DVN,46,58,21,49,18,24,22,42,46,49,54,31,24,11,14,13,11,9,24,12,14,31,17,44,29,58,01
,PENDLETON,8,10,10,12,11,11,11,10,13,17,26,9,9,10,11,9,12,14,15,14,18,14,11,10,12,26,10
14 VWSP MPH,ALPINE,1.0,1.1,1.6,1.9,2.1,2.4,2.2,.4,2.9,2.4,2.4,3.2,4.1,4.3,5.3,5.4,4.9,3.3,1.2,.3,1.5,1.6,1.6,1.7,.0,5.4,15
,CHULA VISTA,.8,1.7,1.9,5.4,3.1,1.7,2.1,3.0,3.7,2.1,1.6,4.1,6.6,8.1,6.7,6.7,6.5,3.7,1.9,1.0,.9,.9,2.9,3.9,.0,8.1,13
