Current Date:,2/22/2024,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
2/21/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.032,.034,.036,.037,.038,.039,.04,.041,.042,.042,.042,.042,.041,.039,.037,.036,.034,.033,.031,.031,.03,.029,.03,.029,0.036,0.042,08
,CHULA VISTA,.032,.032,.033,.034,.035,.036,.037,.039,.041,.042,.042,.04,.038,.034,.029,.024,.019,.016,.012,.01,.008,.008,.009,.01,0.027,0.042,09
,DOWNTOWN SES,.032,.031,.03,.032,.033,.034,.035,.038,.04,.041,.042,.041,.039,.037,.034,.032,.028,.025,.022,.02,.018,.015,.011,.008,0.029,0.042,10
,EL CAJON LES,.029,.031,.033,.035,.037,.037,.038,.039,.041,.042,.042,.042,.04,.037,.034,.029,.025,.02,.016,.012,.009,.007,.005,.004,0.028,0.042,09
,KEARNY MESA,.029,.03,.032,.033,.034,.035,.037,.039,.041,.043,.043,.043,.04,.036,.033,.029,.025,.022,.02,.018,.017,.017,.015,.015,0.03,0.043,09
,OTAY MESA DVN,.026,.028,.028,.03,.031,.033,.035,.037,.041,.042,.042,.042,.04,.037,.032,.027,.023,.022,.021,.019,.017,.016,.017,.016,0.029,0.042,09
,PENDLETON,.027,.028,.031,.032,.034,.036,.038,.041,.043,.044,.044,.045,.043,.041,.039,.035,.031,.027,.024,.02,.018,.016,.014,.013,0.031,0.045,11
