Current Date:,3/2/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
3/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.038,C,C,.040,.041,.039,.034,.038,.047,.046,.050,.053,.055,.057,.055,.051,.048,.045,.043,.038,.035,.042,.039,.044,.057,14
,CHULA VISTA,.013,.019,C,C,.013,.006,.012,.011,.015,.033,M,.041,M,.047,.047,.045,.045,.042,.035,.033,.009,.013,.008,.011,.024,.047,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.021,.019,C,C,C,.007,.014,.017,.024,.034,.048,M,M,M,M,.050,.050,.048,.044,.038,.021,.012,.012,.011,.027,.050,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.029,.024,C,C,.017,.010,.011,.018,.034,.046,.046,.048,.049,.049,.049,.049,.049,.045,.037,.029,.018,.009,.014,.020,.031,.049,12
,OTAY MESA DVN,.031,.033,C,C,.019,.014,.012,.005,.017,.037,.043,.048,.045,.048,.049,.049,.048,.047,.041,.038,.036,.036,.031,.037,.034,.049,14
,PENDLETON,.028,.026,.026,.026,.023,.017,.017,.020,.027,.037,.029,.041,.045,.044,.047,.047,.044,.042,.043,.043,.022,.019,.023,.025,.031,.047,14
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.001,.004,.010,.008,.003,.003,.002,.002,.002,.003,.003,.003,.003,.004,.005,.006,.006,.003,.003,.004,.010,07
,CARMEL MT RCH,.016,.029,C,C,C,.056,.061,.028,.037,.039,M,.023,.022,.024,.024,.025,.023,.023,.026,.029,.026,.037,.038,.040,.031,.061,06
,CHULA VISTA,.018,.010,C,C,.012,.020,.017,.027,.038,.015,M,.010,M,.004,.004,.007,.006,.007,.010,.010,.032,.026,.029,.023,.016,.038,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.004,C,C,C,.013,.012,.011,.008,.009,.003,M,M,M,M,.004,.004,.003,.005,.008,.018,.020,.017,.014,.009,.020,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.005,C,C,.009,.016,.016,.013,.008,.005,.003,.003,.004,.004,.003,.003,.003,.004,.006,.013,.019,.024,.018,.010,.009,.024,21
,OTAY MESA DVN,.004,.004,C,C,.009,.016,.017,.078,.042,.010,.007,.004,.008,.007,.005,.004,.003,.005,.006,.004,.003,.003,.007,.003,.011,.078,07
,PENDLETON,.004,.005,.004,.004,.008,.012,.013,.012,.008,.009,.045,.012,.003,.007,.003,.003,.003,.005,.002,.002,.019,.023,.015,.008,.010,.045,10
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.001,.003,.007,.006,.002,.002,.002,.002,.002,.002,.002,.003,.003,.004,.004,.006,.006,.003,.003,.003,.007,07
,CARMEL MT RCH,.015,.024,C,C,C,.024,.024,.015,.018,.021,M,.013,.013,.012,.013,.013,.013,.015,.016,.019,.018,.029,.028,.029,.019,.029,21
,CHULA VISTA,.017,.010,C,C,.011,.017,.013,.016,.020,.010,M,.007,M,.003,.003,.005,.005,.006,.009,.009,.029,.024,.027,.022,.013,.029,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.010,.007,.006,.004,.005,.002,M,M,M,M,.003,.002,.003,.004,.008,.016,.019,.016,.013,.007,.019,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.005,C,C,.009,.014,.013,.009,.005,.003,.002,.002,.003,.003,.002,.003,.002,.003,.006,.013,.019,.022,.017,.010,.008,.022,21
,OTAY MESA DVN,.003,.004,C,C,.007,.013,.013,.026,.020,.007,.006,.003,.006,.005,.004,.003,.003,.004,.006,.004,.003,.002,.007,.002,.007,.026,07
,PENDLETON,.004,.004,.004,.004,.007,.010,.010,.008,.005,.005,.018,.007,.003,.005,.003,.002,.003,.003,.002,.002,.019,.022,.014,.008,.007,.022,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.003,.002,.001,.001,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,07
,CARMEL MT RCH,.001,.005,C,C,C,.032,.038,.013,.019,.018,M,.010,.009,.011,.011,.011,.010,.009,.010,.010,.008,.008,.010,.011,.013,.038,06
,CHULA VISTA,.001,.000,C,C,.001,.002,.004,.010,.018,.005,M,.003,M,.001,.001,.002,.001,.001,.001,.001,.003,.001,.002,.001,.003,.018,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.003,.005,.004,.004,.004,.001,M,M,M,M,.001,.002,.001,.001,.001,.002,.001,.001,.001,.002,.005,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,.003,.004,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.000,.000,.001,.004,07
,OTAY MESA DVN,.000,.000,C,C,.002,.003,.004,.052,.022,.003,.002,.001,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.004,.052,07
,PENDLETON,.000,.000,.000,.000,.001,.002,.003,.004,.003,.004,.027,.005,.000,.003,.000,.000,.001,.001,.000,.000,.000,.001,.002,.001,.002,.027,10
06 CO PPM,CARMEL MT RCH,.5,.7,C,C,C,.9,1.1,.5,.7,.6,M,.3,.3,.4,.5,.5,.5,.6,.6,.6,.6,.9,.8,.8,.6,1.1,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,24,24,24,23,23,23,23,23,23,24,24,25,25,26,26,26,27,27,27,26,26,26,25,24,27,17
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,24,24,24,24,25,25,24,25,24,25,23,M,M,25,25,24,23,23,23,24,24,24,24,25,24,25,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,26,27,27,27,27,27,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,23,23,23,25,24,24,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,24,24,24,25,04
,OTAY MESA DVN,24,25,24,25,25,25,25,25,24,24,25,25,25,M,24,24,24,24,23,24,24,24,24,24,24,25,01
,PENDLETON,23,23,23,23,24,24,24,23,23,23,24,25,25,25,25,26,26,27,26,26,26,25,25,25,25,27,17
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.2,4.1,3.2,5.2,7.8,5.4,5.0,4.4,6.0,6.6,6.9,6.9,7.5,6.1,6.3,6.9,5.4,7.0,7.7,8.6,7.2,7.6,6.1,5.2,6.2,8.6,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,12.9,7.9,8.0,8.8,7.3,8.8,8.2,6.6,7.4,6.8,4.5,3.6,5.0,6.5,9.3,6.1,3.5,5.6,4.7,4.3,15.1,19.5,14.7,15.8,8.3,19.5,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,9.1,7.5,6.8,6.7,8.5,12.7,13.7,23.9,16.0,11.4,9.1,M,M,9.3,8.3,7.8,6.3,6.3,7.5,6.4,7.6,5.8,10.4,8.8,9.5,23.9,07
,PENDLETON,10.5,11.0,7.2,9.8,8.1,9.1,14.1,10.4,6.5,6.5,4.6,1.3,8.1,9.0,5.7,3.4,10.4,6.4,10.2,8.1,9.9,10.6,7.2,6.9,8.1,14.1,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,92,35,85,95,18,85,84,129,253,254,275,241,226,278,295,266,271,283,320,355,69,45,331,95,187,355,19
,CHULA VISTA,101,85,72,52,91,88,87,78,118,343,298,M,M,268,282,304,295,298,320,342,27,44,65,60,169,343,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,80,103,84,47,104,66,69,94,17,311,334,331,323,258,275,283,293,299,306,303,223,110,102,89,188,334,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,72,66,71,78,79,82,76,87,52,345,334,333,288,298,305,304,302,313,316,343,2,46,52,57,179,345,09
,OTAY MESA DVN,98,35,53,85,81,103,110,148,157,226,300,296,280,M,273,267,273,292,308,10,8,30,49,55,154,308,18
,PENDLETON,39,40,47,48,54,58,57,54,58,292,243,242,251,268,282,290,290,272,284,305,344,27,43,46,164,344,20
13 SIGTHETA °,ALPINE,16,17,22,23,24,14,21,45,37,42,35,48,47,31,37,29,25,24,21,14,24,21,34,31,28,48,11
