Current Date:,3/5/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
3/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.041,.041,.041,.042,.042,.043,.044,.045,.046,.047,.048,.047,.046,.045,.044,.043,.042,.042,.042,.041,.042,.044,.046,.048,0.043,0.048,10
,CHULA VISTA,.031,.03,.031,.033,.034,.036,.038,.04,.042,.043,.043,.043,.042,.038,.035,.033,.031,.027,.025,.023,.021,.021,.02,.016,0.032,0.043,09
,EL CAJON LES,,,.022,.025,.028,.031,.036,.042,.046,.048,.048,.048,.047,.043,.038,.033,.029,.025,.022,.019,.016,,,,0.034,0.048,09
,KEARNY MESA,.028,.029,.031,.033,.034,.036,.039,.043,.046,.047,.048,.047,.047,.045,.041,.038,.035,.031,.028,.026,.024,.021,.019,.016,0.034,0.048,10
,OTAY MESA DVN,.038,.039,.039,.04,.04,.042,.043,.044,.045,.046,.046,.046,.045,.044,.043,.042,.041,.04,.039,.039,.038,.038,.039,.038,0.041,0.046,09
,PENDLETON,.032,.029,.031,.033,.034,.037,.039,.043,.046,.049,.05,.051,.05,.048,.045,.042,.039,.035,.032,.029,.027,.026,.025,.023,0.037,0.051,11
