Current Date:,3/15/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
3/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.024,C,C,.023,.024,.024,.026,.029,.030,.035,.037,.041,.044,.044,.045,.043,.042,.041,.039,.038,.035,.036,.038,.039,.035,.045,14
,CHULA VISTA,.024,C,C,.023,.022,.020,.020,M,M,M,.041,.042,.041,.041,.040,.041,.039,.039,.038,.038,.038,.037,.037,.036,.034,.042,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,C,C,C,.024,.024,.023,.025,.031,.038,.040,.044,.045,.045,.044,.043,.042,.042,.040,.036,.035,.034,.034,.034,.035,.045,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,C,C,.022,.020,.020,.022,.027,.035,.038,.042,.044,.045,.044,.042,.042,.041,.039,.036,.035,.038,.038,.038,.038,.034,.045,12
,OTAY MESA DVN,.019,.018,C,C,.014,.019,.015,.017,.028,.036,.040,.042,.043,.043,.042,.042,.040,.039,.036,.034,.028,.029,.030,.032,.031,.043,12
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 NOX PPM,ALPINE,.001,C,C,.002,.001,.002,.001,.001,.003,.002,.002,.002,.002,.002,.002,.002,.001,.001,.001,.002,.003,.002,.001,.000,.002,.003,08
,CARMEL MT RCH,.012,C,C,C,.027,.029,.027,.023,.025,.023,.025,.021,.023,.023,.018,.016,.017,.016,.016,.019,.020,.013,.010,.013,.020,.029,05
,CHULA VISTA,.002,C,C,.002,.003,.005,.005,M,M,M,.004,.003,.002,.003,.003,.002,.002,.003,.003,.002,.002,.002,.002,.002,.003,.005,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,C,C,C,.000,.001,.003,.005,.004,.003,.001,.001,.001,.001,.001,.001,.001,.001,.002,.005,.004,.003,.001,.000,.002,.006,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,C,C,.002,.004,.006,.006,.005,.005,.004,.003,.002,.002,.002,.002,.002,.001,.002,.002,.003,.002,.002,.001,.001,.003,.006,05
,OTAY MESA DVN,.003,.004,C,C,.006,.003,.008,.010,.003,.003,.001,.001,.001,.001,.001,.002,.001,.001,.001,.002,.007,.005,.004,.004,.003,.010,07
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPM,ALPINE,.001,C,C,.002,.001,.002,.001,.001,.003,.002,.002,.002,.002,.002,.002,.002,.001,.001,.001,.002,.003,.002,.001,.000,.002,.003,08
,CARMEL MT RCH,.008,C,C,C,.013,.011,.012,.010,.012,.012,.011,.010,.011,.011,.009,.008,.009,.009,.009,.011,.012,.008,.008,.010,.010,.013,04
,CHULA VISTA,.001,C,C,.001,.002,.004,.004,M,M,M,.003,.002,.002,.002,.002,.001,.001,.002,.002,.002,.001,.001,.001,.001,.002,.004,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,C,C,C,.000,.001,.002,.004,.003,.001,.001,.000,.000,.000,.000,.000,.001,.000,.001,.005,.003,.003,.001,.000,.002,.006,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,C,C,.002,.004,.006,.005,.004,.004,.003,.002,.002,.001,.001,.002,.001,.001,.001,.002,.003,.002,.001,.001,.000,.002,.006,05
,OTAY MESA DVN,.002,.003,C,C,.005,.003,.007,.009,.002,.002,.001,.001,.001,.001,.000,.001,.001,.000,.001,.002,.006,.005,.004,.003,.003,.009,07
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,CARMEL MT RCH,.005,C,C,C,.014,.018,.015,.014,.013,.012,.013,.011,.012,.012,.009,.008,.008,.007,.007,.008,.008,.004,.002,.004,.010,.018,05
,CHULA VISTA,.000,C,C,.001,.001,.001,.001,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,03
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,C,C,C,.000,.000,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.001,.000,.000,.000,.001,.002,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.000,.000,C,C,.001,.000,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 CO PPM,CARMEL MT RCH,.2,C,C,C,.3,.4,.4,.3,.3,.4,.4,.4,.4,.4,.4,.4,.5,.5,.4,.4,.4,.3,.3,.3,.4,.5,16
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,CARMEL MT RCH,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,00
,CHULA VISTA,25,25,25,25,25,25,25,25,24,24,25,23,24,25,25,25,25,25,25,25,25,25,26,26,25,26,22
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
