Current Date:,3/4/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
3/3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.027,.03,.033,.034,.035,.037,.038,.04,.042,.042,.043,.043,.042,.042,.041,.04,.04,.039,.039,.039,.04,.041,.041,.041,0.038,0.043,10
,CHULA VISTA,.01,.012,.014,.017,.02,.023,.027,.031,.035,.038,.04,.041,.04,.04,.04,.039,.039,.039,.039,.039,.038,.037,.034,.032,0.031,0.041,11
,EL CAJON LES,,,,.026,.028,.03,.033,.036,.039,.042,.043,.043,.042,.041,.04,.038,.036,.036,.035,.035,,,,,0.036,0.043,10
,KEARNY MESA,.018,.019,.022,.025,.027,.03,.033,.037,.04,.043,.044,.043,.042,.04,.037,.035,.033,.033,.031,.03,.031,.031,.032,.029,0.032,0.044,10
,OTAY MESA DVN,.015,.015,.015,.017,.019,.023,.026,.031,.035,.038,.04,.042,.042,.041,.039,.038,.038,.037,.036,.036,.036,.036,.037,.037,0.032,0.042,11
,PENDLETON,.02,.02,.024,.027,.03,.033,.037,.041,.045,.046,.047,.047,.047,.047,.047,.047,.047,.048,.048,.048,.046,.043,.041,.037,0.04,0.048,17
