Current Date:,3/8/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
3/7/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.052,.055,C,C,.051,.047,.043,.039,.032,.043,.049,.054,.054,.054,.055,.055,.054,.046,.045,.036,.033,.045,.039,.040,.046,.055,01
,CHULA VISTA,.024,.020,C,C,.012,.009,.014,.018,.013,.022,.036,.039,.044,.051,.051,.046,.047,.042,.037,.032,.020,.015,.020,.017,.028,.051,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.002,.003,.006,.011,.026,.037,.048,.052,.054,.055,.053,.047,.043,.042,.040,.024,.013,.009,.012,.027,.055,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,.034,C,C,.023,.010,.016,.031,.031,.033,.042,.047,.051,.051,.051,.054,.052,.043,.040,.039,.031,.020,.019,.012,.034,.054,15
,OTAY MESA DVN,.027,.040,C,C,.022,.030,.038,.013,M,M,M,M,M,M,M,M,M,.047,.039,.038,.033,.026,.024,.017,.030,.047,17
,PENDLETON,.017,.019,C,C,.017,.009,.018,.023,.018,.025,.032,.036,.037,.039,.042,.042,.043,.040,.033,.027,.011,.005,.010,.007,.025,.043,16
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.003,.007,.009,.016,.008,.004,.004,.006,.008,.009,.009,.008,.012,.012,.016,.014,.009,.009,.007,.008,.016,08
,CARMEL MT RCH,.037,.031,C,C,C,.056,.051,.086,.093,.073,.043,.036,.037,.035,.035,.035,.035,.030,.028,.033,.036,.058,.048,.029,.045,.093,08
,CHULA VISTA,.017,.018,C,C,.022,.027,.032,.043,.046,.035,.019,.016,.011,.009,.009,.011,.012,.013,.016,.017,.024,.026,.019,.020,.021,.046,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.030,.028,C,C,C,.034,.051,.062,.054,.029,.016,.011,.010,.009,.009,.011,.016,.016,.015,.015,.021,.028,.031,.024,.025,.062,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.007,C,C,.014,.030,.030,.010,.016,.022,.015,.011,.008,.008,.011,.009,.009,.012,.011,.010,.014,.023,.018,.025,.015,.030,05
,OTAY MESA DVN,.015,.003,C,C,.016,.007,.005,.054,.076,.044,.029,.009,.008,.007,.009,.012,.011,.007,.007,.006,.009,.016,.015,.022,.018,.076,08
,PENDLETON,.020,.016,C,C,.016,.036,.019,.017,.028,.022,.016,.011,.009,.011,.009,.011,.006,.009,.012,.015,.033,.035,.036,.025,.019,.036,05
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.005,.007,.012,.006,.003,.003,.005,.007,.008,.008,.008,.011,.012,.016,.014,.008,.009,.006,.007,.016,19
,CARMEL MT RCH,.030,.025,C,C,C,.035,.031,.038,.037,.033,.021,.019,.021,.020,.022,.023,.023,.021,.020,.025,.032,.043,.036,.024,.028,.043,21
,CHULA VISTA,.016,.017,C,C,.021,.025,.024,.023,.027,.021,.014,.012,.009,.007,.007,.010,.011,.012,.015,.016,.024,.026,.018,.019,.017,.027,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.027,.025,C,C,C,.023,.023,.024,.026,.016,.011,.008,.008,.007,.008,.009,.014,.015,.015,.014,.021,.027,.029,.024,.018,.029,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.007,C,C,.014,.026,.021,.009,.012,.016,.011,.008,.006,.006,.009,.008,.008,.011,.011,.010,.014,.023,.018,.024,.013,.026,05
,OTAY MESA DVN,.015,.003,C,C,.016,.007,.004,.029,.038,.028,.020,.007,.006,.006,.008,.010,.010,.006,.006,.006,.009,.016,.014,.022,.013,.038,08
,PENDLETON,.018,.015,C,C,.015,.026,.015,.013,.017,.014,.010,.007,.007,.007,.007,.009,.006,.009,.012,.015,.030,.029,.024,.024,.015,.030,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.002,.003,.004,.002,.001,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.004,08
,CARMEL MT RCH,.007,.006,C,C,C,.021,.020,.048,.057,.041,.021,.016,.016,.015,.013,.012,.012,.009,.008,.008,.004,.015,.012,.005,.017,.057,08
,CHULA VISTA,.000,.000,C,C,.001,.003,.007,.021,.019,.014,.006,.004,.003,.002,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.004,.021,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.003,C,C,C,.011,.028,.038,.028,.013,.006,.003,.003,.002,.001,.002,.002,.001,.001,.000,.000,.001,.002,.001,.007,.038,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.004,.009,.002,.004,.007,.004,.002,.002,.001,.002,.001,.001,.001,.001,.000,.000,.000,.000,.001,.002,.009,06
,OTAY MESA DVN,.000,.000,C,C,.001,.000,.001,.026,.038,.016,.008,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.004,.038,08
,PENDLETON,.002,.001,C,C,.001,.010,.004,.004,.011,.008,.006,.004,.002,.004,.002,.002,.001,.000,.000,.000,.003,.005,.012,.002,.004,.012,22
06 CO PPM,CARMEL MT RCH,.8,.6,C,C,C,.5,.8,1.2,1.0,.7,.6,.5,.6,.6,.7,.7,.7,.7,.6,.7,.8,.9,.9,.5,.7,1.2,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,27,27,27,27,27,26,27,25,24,24,25,24,24,24,24,25,25,26,26,26,27,27,25,27,02
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,25,24,24,24,24,25,25,25,25,25,25,24,24,25,24,25,25,25,25,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,24,24,25,25,25,25,24,25,24,24,24,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,24,24,25,25,24,24,24,24,23,24,24,23,23,24,24,25,25,24,24,25,00
,PENDLETON,25,24,24,24,24,24,24,23,24,26,26,25,25,25,26,26,26,27,27,27,27,26,26,26,25,27,17
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,.9,.4,.0,2.1,2.1,.3,-.5,2.7,2.2,1.2,.3,2.3,3.0,M,M,10.6,7.0,7.6,5.1,7.5,9.9,8.5,7.2,10.3,4.1,10.6,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
