Current Date:,3/28/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
3/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.043,.042,.043,.044,.045,.046,.048,.051,.053,.055,.056,.056,.056,.056,.056,.055,.054,.054,.054,.054,.054,.054,.051,0.051,0.056,11
,CHULA VISTA,.015,.016,,.02,.023,.027,.034,.041,.046,.051,.051,.051,.05,.047,.043,.036,.03,.025,.021,.018,.015,.015,.014,.016,0.03,0.051,09
,EL CAJON LES,,,,.023,.027,.03,.036,.043,.048,.052,.054,.055,.055,.052,.049,.044,.041,.037,.032,.029,.026,,,,0.04,0.055,11
,KEARNY MESA,.025,.027,.029,.031,.031,.032,.038,.045,.05,.053,.055,.056,.054,.051,.049,.046,.043,.04,.037,.035,.033,.032,.029,.026,0.039,0.056,11
,OTAY MESA DVN,,,,,.029,.033,.041,.049,.05,.051,.053,.054,.054,.053,.051,.047,.044,.041,.037,.035,.033,.031,.027,.023,0.041,0.054,11
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
